0 , ARE , 1-4 , ATH
1 , ARE , 0-0 , ATM
2 , ARE , 0-0 , BAR
3 , ARE , 0-0 , ESP
4 , ARE , 0-0 , CEE
5 , ARE , 0-0 , RAC
6 , ARE , 0-0 , RMA
7 , ARE , 0-0 , RSO
8 , ARE , 0-0 , RUN
9 , ATH , 4-1 , ARE
10 , ATH , 0-0 , ATM
11 , ATH , 0-0 , BAR
12 , ATH , 0-0 , ESP
13 , ATH , 0-0 , CEE
14 , ATH , 0-0 , RAC
15 , ATH , 0-0 , RMA
16 , ATH , 0-0 , RSO
17 , ATH , 0-0 , RUN
18 , ATM , 0-0 , ARE
19 , ATM , 0-0 , ATH
20 , ATM , 0-0 , BAR
21 , ATM , 0-0 , ESP
22 , ATM , 0-0 , CEE
23 , ATM , 0-0 , RAC
24 , ATM , 0-0 , RMA
25 , ATM , 0-0 , RSO
26 , ATM , 0-0 , RUN
27 , BAR , 0-0 , ARE
28 , BAR , 0-0 , ATH
29 , BAR , 0-0 , ATM
30 , BAR , 0-0 , ESP
31 , BAR , 0-0 , CEE
32 , BAR , 0-0 , RAC
33 , BAR , 0-0 , RMA
34 , BAR , 0-0 , RSO
35 , BAR , 0-0 , RUN
36 , ESP , 0-0 , ARE
37 , ESP , 0-0 , ATH
38 , ESP , 0-0 , ATM
39 , ESP , 0-0 , BAR
40 , ESP , 0-0 , CEE
41 , ESP , 0-0 , RAC
42 , ESP , 0-0 , RMA
43 , ESP , 0-0 , RSO
44 , ESP , 0-0 , RUN
45 , CEE , 0-0 , ARE
46 , CEE , 0-0 , ATH
47 , CEE , 0-0 , ATM
48 , CEE , 0-0 , BAR
49 , CEE , 0-0 , ESP
50 , CEE , 0-0 , RAC
51 , CEE , 0-0 , RMA
52 , CEE , 0-0 , RSO
53 , CEE , 0-0 , RUN
54 , RAC , 0-0 , ARE
55 , RAC , 0-0 , ATH
56 , RAC , 0-0 , ATM
57 , RAC , 0-0 , BAR
58 , RAC , 0-0 , ESP
59 , RAC , 0-0 , CEE
60 , RAC , 0-0 , RMA
61 , RAC , 0-0 , RSO
62 , RAC , 0-0 , RUN
63 , RMA , 0-0 , ARE
64 , RMA , 0-0 , ATH
65 , RMA , 0-0 , ATM
66 , RMA , 0-0 , BAR
67 , RMA , 0-0 , ESP
68 , RMA , 0-0 , CEE
69 , RMA , 0-0 , RAC
70 , RMA , 0-0 , RSO
71 , RMA , 0-0 , RUN
72 , RSO , 0-0 , ARE
73 , RSO , 0-0 , ATH
74 , RSO , 0-0 , ATM
75 , RSO , 0-0 , BAR
76 , RSO , 0-0 , ESP
77 , RSO , 0-0 , CEE
78 , RSO , 0-0 , RAC
79 , RSO , 0-0 , RMA
80 , RSO , 0-0 , RUN
81 , RUN , 0-0 , ARE
82 , RUN , 0-0 , ATH
83 , RUN , 0-0 , ATM
84 , RUN , 0-0 , BAR
85 , RUN , 0-0 , ESP
86 , RUN , 0-0 , CEE
87 , RUN , 0-0 , RAC
88 , RUN , 0-0 , RMA
89 , RUN , 0-0 , RSO
