0 , ALE , 2-0 , AMB
1 , ALE , 1-6 , BOL
2 , ALE , 4-0 , BRE
3 , ALE , 2-0 , CSL
4 , ALE , 0-1 , GEN
5 , ALE , 2-3 , JUV
6 , ALE , 1-3 , LAZ
7 , ALE , 5-0 , LEG
8 , ALE , 2-2 , LIV
9 , ALE , 3-0 , MIL
10 , ALE , 1-1 , MOD
11 , ALE , 4-3 , NAP
12 , ALE , 4-1 , PPA
13 , ALE , 0-1 , PVE
14 , ALE , 0-2 , ROM
15 , ALE , 1-1 , TOR
16 , ALE , 4-1 , TRI
17 , AMB , 2-0 , ALE
18 , AMB , 0-1 , BOL
19 , AMB , 3-3 , BRE
20 , AMB , 5-1 , CSL
21 , AMB , 2-0 , GEN
22 , AMB , 2-3 , JUV
23 , AMB , 3-2 , LAZ
24 , AMB , 3-0 , LEG
25 , AMB , 1-1 , LIV
26 , AMB , 1-1 , MIL
27 , AMB , 0-0 , MOD
28 , AMB , 2-1 , NAP
29 , AMB , 2-1 , PPA
30 , AMB , 6-1 , PVE
31 , AMB , 5-0 , ROM
32 , AMB , 3-0 , TOR
33 , AMB , 1-0 , TRI
34 , BOL , 0-0 , ALE
35 , BOL , 4-1 , AMB
36 , BOL , 7-1 , BRE
37 , BOL , 6-1 , CSL
38 , BOL , 1-1 , GEN
39 , BOL , 4-0 , JUV
40 , BOL , 4-0 , LAZ
41 , BOL , 2-1 , LEG
42 , BOL , 5-0 , LIV
43 , BOL , 2-2 , MIL
44 , BOL , 2-0 , MOD
45 , BOL , 2-0 , NAP
46 , BOL , 4-1 , PPA
47 , BOL , 3-0 , PVE
48 , BOL , 3-3 , ROM
49 , BOL , 3-0 , TOR
50 , BOL , 6-1 , TRI
51 , BRE , 7-3 , ALE
52 , BRE , 0-0 , AMB
53 , BRE , 2-0 , BOL
54 , BRE , 2-0 , CSL
55 , BRE , 1-2 , GEN
56 , BRE , 1-1 , JUV
57 , BRE , 2-0 , LAZ
58 , BRE , 2-1 , LEG
59 , BRE , 1-1 , LIV
60 , BRE , 3-0 , MIL
61 , BRE , 1-2 , MOD
62 , BRE , 0-1 , NAP
63 , BRE , 3-1 , PPA
64 , BRE , 2-2 , PVE
65 , BRE , 3-2 , ROM
66 , BRE , 2-1 , TOR
67 , BRE , 1-0 , TRI
68 , CSL , 0-0 , ALE
69 , CSL , 1-0 , AMB
70 , CSL , 1-2 , BOL
71 , CSL , 0-0 , BRE
72 , CSL , 1-0 , GEN
73 , CSL , 0-1 , JUV
74 , CSL , 0-2 , LAZ
75 , CSL , 1-1 , LEG
76 , CSL , 3-2 , LIV
77 , CSL , 3-2 , MIL
78 , CSL , 3-1 , MOD
79 , CSL , 0-2 , NAP
80 , CSL , 4-0 , PPA
81 , CSL , 2-2 , PVE
82 , CSL , 0-3 , ROM
83 , CSL , 3-1 , TOR
84 , CSL , 2-3 , TRI
85 , GEN , 5-1 , ALE
86 , GEN , 1-0 , AMB
87 , GEN , 3-1 , BOL
88 , GEN , 1-2 , BRE
89 , GEN , 1-0 , CSL
90 , GEN , 0-3 , JUV
91 , GEN , 2-0 , LAZ
92 , GEN , 5-0 , LEG
93 , GEN , 3-2 , LIV
94 , GEN , 2-1 , MIL
