0 , AMB , 0-0 , BAR
1 , AMB , 1-0 , BOL
2 , AMB , 3-0 , FIO
3 , AMB , 2-1 , GEN
4 , AMB , 4-0 , JUV
5 , AMB , 4-0 , LAZ
6 , AMB , 1-0 , LIG
7 , AMB , 0-3 , MIL
8 , AMB , 2-1 , MOD
9 , AMB , 4-0 , NAP
10 , AMB , 1-0 , NOV
11 , AMB , 3-0 , ROM
12 , AMB , 5-1 , TOR
13 , AMB , 5-1 , TRI
14 , AMB , 2-1 , VEN
15 , BAR , 3-0 , AMB
16 , BAR , 1-1 , BOL
17 , BAR , 2-1 , FIO
18 , BAR , 0-1 , GEN
19 , BAR , 2-1 , JUV
20 , BAR , 1-5 , LAZ
21 , BAR , 1-1 , LIG
22 , BAR , 2-0 , MIL
23 , BAR , 1-0 , MOD
24 , BAR , 1-0 , NAP
25 , BAR , 1-0 , NOV
26 , BAR , 0-0 , ROM
27 , BAR , 2-2 , TOR
28 , BAR , 2-2 , TRI
29 , BAR , 3-0 , VEN
30 , BOL , 0-0 , AMB
31 , BOL , 3-1 , BAR
32 , BOL , 3-2 , FIO
33 , BOL , 5-3 , GEN
34 , BOL , 1-0 , JUV
35 , BOL , 3-1 , LAZ
36 , BOL , 2-0 , LIG
37 , BOL , 1-0 , MIL
38 , BOL , 1-0 , MOD
39 , BOL , 1-1 , NAP
40 , BOL , 3-0 , NOV
41 , BOL , 1-0 , ROM
42 , BOL , 3-1 , TOR
43 , BOL , 2-0 , TRI
44 , BOL , 2-0 , VEN
45 , FIO , 0-3 , AMB
46 , FIO , 1-1 , BAR
47 , FIO , 1-0 , BOL
48 , FIO , 1-1 , GEN
49 , FIO , 0-0 , JUV
50 , FIO , 2-3 , LAZ
51 , FIO , 4-0 , LIG
52 , FIO , 1-0 , MIL
53 , FIO , 3-2 , MOD
54 , FIO , 2-0 , NAP
55 , FIO , 2-2 , NOV
56 , FIO , 1-0 , ROM
57 , FIO , 3-2 , TOR
58 , FIO , 1-0 , TRI
59 , FIO , 3-1 , VEN
60 , GEN , 2-2 , AMB
61 , GEN , 3-0 , BAR
62 , GEN , 1-2 , BOL
63 , GEN , 3-0 , FIO
64 , GEN , 3-2 , JUV
65 , GEN , 4-0 , LAZ
66 , GEN , 2-0 , LIG
67 , GEN , 1-1 , MIL
68 , GEN , 0-3 , MOD
69 , GEN , 2-0 , NAP
70 , GEN , 5-3 , NOV
71 , GEN , 0-0 , ROM
72 , GEN , 1-0 , TOR
73 , GEN , 1-0 , TRI
74 , GEN , 3-1 , VEN
75 , JUV , 1-0 , AMB
76 , JUV , 6-2 , BAR
77 , JUV , 1-0 , BOL
78 , JUV , 3-2 , FIO
79 , JUV , 3-1 , GEN
80 , JUV , 3-1 , LAZ
81 , JUV , 4-0 , LIG
82 , JUV , 2-2 , MIL
83 , JUV , 1-0 , MOD
84 , JUV , 2-1 , NAP
85 , JUV , 1-0 , NOV
86 , JUV , 1-1 , ROM
87 , JUV , 1-1 , TOR
88 , JUV , 2-6 , TRI
89 , JUV , 1-0 , VEN
90 , LAZ , 1-1 , AMB
91 , LAZ , 0-1 , BAR
92 , LAZ , 2-2 , BOL
93 , LAZ , 1-1 , FIO
94 , LAZ , 4-1 , GEN
95 , LAZ , 4-0 , JUV
96 , LAZ , 2-2 , LIG
97 , LAZ , 2-2 , MIL
98 , LAZ , 1-1 , MOD
99 , LAZ , 2-0 , NAP
100 , LAZ , 1-0 , NOV
101 , LAZ , 1-0 , ROM
102 , LAZ , 1-1 , TOR
103 , LAZ , 2-0 , TRI
104 , LAZ , 1-0 , VEN
105 , LIG , 0-2 , AMB
106 , LIG , 1-0 , BAR
107 , LIG , 1-1 , BOL
108 , LIG , 2-1 , FIO
109 , LIG , 2-1 , GEN
110 , LIG , 0-2 , JUV
111 , LIG , 0-0 , LAZ
112 , LIG , 0-2 , MIL
113 , LIG , 1-1 , MOD
114 , LIG , 2-0 , NAP
115 , LIG , 1-0 , NOV
116 , LIG , 1-0 , ROM
117 , LIG , 2-1 , TOR
118 , LIG , 1-1 , TRI
119 , LIG , 0-0 , VEN
120 , MIL , 1-3 , AMB
121 , MIL , 4-0 , BAR
122 , MIL , 0-2 , BOL
123 , MIL , 3-1 , FIO
124 , MIL , 2-2 , GEN
125 , MIL , 1-2 , JUV
126 , MIL , 0-2 , LAZ
127 , MIL , 1-1 , LIG
128 , MIL , 4-0 , MOD
129 , MIL , 3-0 , NAP
130 , MIL , 0-2 , NOV
131 , MIL , 3-0 , ROM
132 , MIL , 1-3 , TOR
133 , MIL , 0-0 , TRI
134 , MIL , 2-1 , VEN
135 , MOD , 1-2 , AMB
136 , MOD , 3-0 , BAR
137 , MOD , 0-0 , BOL
138 , MOD , 3-0 , FIO
139 , MOD , 1-4 , GEN
140 , MOD , 1-2 , JUV
141 , MOD , 1-1 , LAZ
142 , MOD , 1-1 , LIG
143 , MOD , 2-2 , MIL
144 , MOD , 0-0 , NAP
145 , MOD , 4-1 , NOV
146 , MOD , 1-0 , ROM
147 , MOD , 1-2 , TOR
148 , MOD , 2-1 , TRI
149 , MOD , 2-2 , VEN
150 , NAP , 0-1 , AMB
151 , NAP , 1-1 , BAR
152 , NAP , 1-1 , BOL
153 , NAP , 2-1 , FIO
154 , NAP , 3-1 , GEN
155 , NAP , 0-0 , JUV
156 , NAP , 1-1 , LAZ
157 , NAP , 3-2 , LIG
158 , NAP , 1-4 , MIL
159 , NAP , 1-0 , MOD
160 , NAP , 2-1 , NOV
161 , NAP , 0-1 , ROM
162 , NAP , 3-1 , TOR
163 , NAP , 3-1 , TRI
164 , NAP , 2-0 , VEN
165 , NOV , 1-0 , AMB
166 , NOV , 1-0 , BAR
167 , NOV , 0-0 , BOL
168 , NOV , 2-1 , FIO
169 , NOV , 3-1 , GEN
170 , NOV , 1-0 , JUV
171 , NOV , 0-0 , LAZ
172 , NOV , 1-0 , LIG
173 , NOV , 1-0 , MIL
174 , NOV , 1-0 , MOD
175 , NOV , 0-1 , NAP
176 , NOV , 1-0 , ROM
177 , NOV , 0-1 , TOR
178 , NOV , 2-1 , TRI
179 , NOV , 2-0 , VEN
180 , ROM , 1-2 , AMB
181 , ROM , 4-2 , BAR
182 , ROM , 2-0 , BOL
183 , ROM , 0-0 , FIO
184 , ROM , 2-0 , GEN
185 , ROM , 3-1 , JUV
186 , ROM , 1-0 , LAZ
187 , ROM , 2-2 , LIG
188 , ROM , 3-1 , MIL
189 , ROM , 1-0 , MOD
190 , ROM , 1-0 , NAP
191 , ROM , 3-1 , NOV
192 , ROM , 0-0 , TOR
193 , ROM , 1-0 , TRI
194 , ROM , 0-2 , VEN
195 , TOR , 0-1 , AMB
196 , TOR , 2-2 , BAR
197 , TOR , 2-1 , BOL
198 , TOR , 2-1 , FIO
199 , TOR , 3-1 , GEN
200 , TOR , 1-2 , JUV
201 , TOR , 0-1 , LAZ
202 , TOR , 3-0 , LIG
203 , TOR , 2-1 , MIL
204 , TOR , 4-3 , MOD
205 , TOR , 1-0 , NAP
206 , TOR , 1-0 , NOV
207 , TOR , 4-0 , ROM
208 , TOR , 3-1 , TRI
209 , TOR , 0-0 , VEN
210 , TRI , 2-1 , AMB
