0 , AMB , 0-0 , ATA
1 , AMB , 0-1 , BOL
2 , AMB , 0-1 , FIO
3 , AMB , 1-1 , GEN
4 , AMB , 4-1 , JUV
5 , AMB , 0-1 , LAZ
6 , AMB , 2-1 , LIG
7 , AMB , 1-1 , LIV
8 , AMB , 2-2 , MIL
9 , AMB , 1-0 , MOD
10 , AMB , 5-1 , NAP
11 , AMB , 0-2 , ROM
12 , AMB , 2-3 , TOR
13 , AMB , 1-1 , TRI
14 , AMB , 1-1 , VEN
15 , ATA , 1-1 , AMB
16 , ATA , 0-2 , BOL
17 , ATA , 2-1 , FIO
18 , ATA , 0-0 , GEN
19 , ATA , 2-3 , JUV
20 , ATA , 3-0 , LAZ
21 , ATA , 1-1 , LIG
22 , ATA , 4-0 , LIV
23 , ATA , 0-2 , MIL
24 , ATA , 3-0 , MOD
25 , ATA , 5-1 , NAP
26 , ATA , 2-2 , ROM
27 , ATA , 1-3 , TOR
28 , ATA , 1-1 , TRI
29 , ATA , 1-0 , VEN
30 , BOL , 0-1 , AMB
31 , BOL , 4-0 , ATA
32 , BOL , 2-3 , FIO
33 , BOL , 1-1 , GEN
34 , BOL , 2-0 , JUV
35 , BOL , 2-2 , LAZ
36 , BOL , 2-2 , LIG
37 , BOL , 7-1 , LIV
38 , BOL , 3-1 , MIL
39 , BOL , 4-0 , MOD
40 , BOL , 1-2 , NAP
41 , BOL , 1-2 , ROM
42 , BOL , 1-0 , TOR
43 , BOL , 2-0 , TRI
44 , BOL , 2-0 , VEN
45 , FIO , 4-1 , AMB
46 , FIO , 0-1 , ATA
47 , FIO , 2-5 , BOL
48 , FIO , 2-0 , GEN
49 , FIO , 1-1 , JUV
50 , FIO , 3-1 , LAZ
51 , FIO , 4-1 , LIG
52 , FIO , 2-0 , LIV
53 , FIO , 4-3 , MIL
54 , FIO , 8-0 , MOD
55 , FIO , 0-1 , NAP
56 , FIO , 2-2 , ROM
57 , FIO , 2-1 , TOR
58 , FIO , 2-1 , TRI
59 , FIO , 1-3 , VEN
60 , GEN , 6-1 , AMB
61 , GEN , 1-0 , ATA
62 , GEN , 3-2 , BOL
63 , GEN , 4-0 , FIO
64 , GEN , 1-4 , JUV
65 , GEN , 1-2 , LAZ
66 , GEN , 1-1 , LIG
67 , GEN , 3-1 , LIV
68 , GEN , 1-1 , MIL
69 , GEN , 6-0 , MOD
70 , GEN , 3-0 , NAP
71 , GEN , 2-0 , ROM
72 , GEN , 4-3 , TOR
73 , GEN , 0-0 , TRI
74 , GEN , 1-0 , VEN
75 , JUV , 4-0 , AMB
76 , JUV , 1-1 , ATA
77 , JUV , 1-1 , BOL
78 , JUV , 4-2 , FIO
79 , JUV , 1-1 , GEN
80 , JUV , 2-0 , LAZ
81 , JUV , 3-0 , LIG
82 , JUV , 2-3 , LIV
83 , JUV , 3-2 , MIL
84 , JUV , 1-1 , MOD
85 , JUV , 1-1 , NAP
86 , JUV , 2-0 , ROM
87 , JUV , 3-0 , TOR
88 , JUV , 1-0 , TRI
89 , JUV , 0-0 , VEN
90 , LAZ , 2-2 , AMB
91 , LAZ , 2-1 , ATA
92 , LAZ , 5-1 , BOL
93 , LAZ , 1-1 , FIO
94 , LAZ , 1-1 , GEN
95 , LAZ , 2-1 , JUV
96 , LAZ , 4-0 , LIG
97 , LAZ , 3-0 , LIV
98 , LAZ , 2-2 , MIL
99 , LAZ , 2-1 , MOD
100 , LAZ , 1-0 , NAP
101 , LAZ , 1-1 , ROM
102 , LAZ , 4-1 , TOR
103 , LAZ , 5-0 , TRI
104 , LAZ , 2-1 , VEN
105 , LIG , 0-1 , AMB
106 , LIG , 1-0 , ATA
107 , LIG , 2-1 , BOL
108 , LIG , 1-1 , FIO
109 , LIG , 3-4 , GEN
110 , LIG , 2-1 , JUV
111 , LIG , 4-1 , LAZ
112 , LIG , 4-2 , LIV
113 , LIG , 1-0 , MIL
114 , LIG , 2-1 , MOD
115 , LIG , 2-1 , NAP
116 , LIG , 0-3 , ROM
117 , LIG , 1-0 , TOR
118 , LIG , 2-2 , TRI
119 , LIG , 0-2 , VEN
120 , LIV , 3-0 , AMB
121 , LIV , 3-1 , ATA
122 , LIV , 1-1 , BOL
123 , LIV , 3-1 , FIO
124 , LIV , 0-0 , GEN
125 , LIV , 1-2 , JUV
126 , LIV , 2-1 , LAZ
127 , LIV , 2-0 , LIG
128 , LIV , 0-2 , MIL
129 , LIV , 2-2 , MOD
130 , LIV , 2-0 , NAP
131 , LIV , 0-2 , ROM
132 , LIV , 1-1 , TOR
133 , LIV , 1-0 , TRI
134 , LIV , 1-1 , VEN
135 , MIL , 2-1 , AMB
136 , MIL , 1-3 , ATA
137 , MIL , 2-0 , BOL
138 , MIL , 2-1 , FIO
139 , MIL , 3-0 , GEN
140 , MIL , 1-1 , JUV
141 , MIL , 2-5 , LAZ
142 , MIL , 3-2 , LIG
143 , MIL , 0-2 , LIV
144 , MIL , 7-1 , MOD
145 , MIL , 3-1 , NAP
146 , MIL , 4-2 , ROM
147 , MIL , 2-5 , TOR
148 , MIL , 2-2 , TRI
149 , MIL , 1-1 , VEN
150 , MOD , 1-1 , AMB
151 , MOD , 2-0 , ATA
152 , MOD , 1-0 , BOL
153 , MOD , 1-1 , FIO
154 , MOD , 2-3 , GEN
155 , MOD , 0-2 , JUV
156 , MOD , 1-0 , LAZ
157 , MOD , 1-1 , LIG
