0 , ADO , 1-0 , ATA
1 , ADO , 0-0 , BOL
2 , ADO , 1-1 , BRE
3 , ADO , 0-1 , GEN
4 , ADO , 1-1 , INT
5 , ADO , 1-1 , JUV
6 , ADO , 1-2 , MIL
7 , ADO , 1-1 , MOD
8 , ADO , 0-1 , SAM
9 , ADO , 2-3 , TOR
10 , ADO , 0-0 , TRI
11 , ADO , 2-0 , VEN
12 , ADO , 3-2 , VIC
13 , ATA , 0-3 , ADO
14 , ATA , 0-1 , BOL
15 , ATA , 0-0 , BRE
16 , ATA , 2-2 , GEN
17 , ATA , 2-1 , INT
18 , ATA , 1-1 , JUV
19 , ATA , 0-2 , MIL
20 , ATA , 0-1 , MOD
21 , ATA , 3-0 , SAM
22 , ATA , 1-0 , TOR
23 , ATA , 2-1 , TRI
24 , ATA , 1-0 , VEN
25 , ATA , 2-2 , VIC
26 , BOL , 1-0 , ADO
27 , BOL , 2-0 , ATA
28 , BOL , 0-0 , BRE
29 , BOL , 4-0 , GEN
30 , BOL , 1-3 , INT
31 , BOL , 2-1 , JUV
32 , BOL , 1-2 , MIL
33 , BOL , 2-2 , MOD
34 , BOL , 3-2 , SAM
35 , BOL , 0-2 , TOR
36 , BOL , 1-0 , TRI
37 , BOL , 3-0 , VEN
38 , BOL , 2-1 , VIC
39 , BRE , 2-0 , ADO
40 , BRE , 1-1 , ATA
41 , BRE , 2-1 , BOL
42 , BRE , 3-1 , GEN
43 , BRE , 1-2 , INT
44 , BRE , 2-1 , JUV
45 , BRE , 2-0 , MIL
46 , BRE , 1-0 , MOD
47 , BRE , 1-0 , SAM
48 , BRE , 1-3 , TOR
49 , BRE , 1-1 , TRI
50 , BRE , 3-1 , VEN
51 , BRE , 4-1 , VIC
52 , GEN , 0-3 , ADO
53 , GEN , 1-0 , ATA
54 , GEN , 3-0 , BOL
55 , GEN , 2-3 , BRE
56 , GEN , 1-2 , INT
57 , GEN , 2-1 , JUV
58 , GEN , 1-0 , MIL
59 , GEN , 0-0 , MOD
60 , GEN , 0-2 , SAM
61 , GEN , 0-1 , TOR
62 , GEN , 0-1 , TRI
63 , GEN , 0-0 , VEN
64 , GEN , 2-0 , VIC
65 , INT , 2-0 , ADO
66 , INT , 1-0 , ATA
67 , INT , 1-0 , BOL
68 , INT , 4-1 , BRE
69 , INT , 9-1 , GEN
70 , INT , 2-2 , JUV
71 , INT , 2-0 , MIL
72 , INT , 2-0 , MOD
73 , INT , 2-0 , SAM
74 , INT , 1-1 , TOR
75 , INT , 1-2 , TRI
76 , INT , 2-1 , VEN
77 , INT , 4-2 , VIC
78 , JUV , 6-1 , ADO
79 , JUV , 2-0 , ATA
80 , JUV , 1-0 , BOL
81 , JUV , 3-1 , BRE
82 , JUV , 4-1 , GEN
83 , JUV , 0-0 , INT
84 , JUV , 2-2 , MIL
85 , JUV , 1-0 , MOD
86 , JUV , 6-0 , SAM
87 , JUV , 2-1 , TOR
88 , JUV , 1-1 , TRI
89 , JUV , 5-0 , VEN
90 , JUV , 2-1 , VIC
91 , MIL , 1-2 , ADO
92 , MIL , 2-1 , ATA
93 , MIL , 2-2 , BOL
94 , MIL , 3-1 , BRE
95 , MIL , 1-0 , GEN
96 , MIL , 1-3 , INT
97 , MIL , 1-1 , JUV
98 , MIL , 1-0 , MOD
99 , MIL , 3-0 , SAM
100 , MIL , 2-3 , TOR
101 , MIL , 2-0 , TRI
102 , MIL , 2-1 , VEN
103 , MIL , 2-4 , VIC
104 , MOD , 1-0 , ADO
105 , MOD , 0-2 , ATA
106 , MOD , 2-0 , BOL
107 , MOD , 2-1 , BRE
108 , MOD , 1-1 , GEN
109 , MOD , 0-0 , INT
110 , MOD , 0-0 , JUV
111 , MOD , 1-1 , MIL
112 , MOD , 2-0 , SAM
113 , MOD , 0-3 , TOR
114 , MOD , 5-1 , TRI
115 , MOD , 0-0 , VEN
116 , MOD , 2-0 , VIC
117 , SAM , 1-0 , ADO
118 , SAM , 1-3 , ATA
119 , SAM , 0-2 , BOL
120 , SAM , 1-2 , BRE
121 , SAM , 1-1 , GEN
122 , SAM , 1-3 , INT
123 , SAM , 2-2 , JUV
124 , SAM , 1-2 , MIL
125 , SAM , 0-0 , MOD
126 , SAM , 0-5 , TOR
127 , SAM , 0-6 , TRI
128 , SAM , 1-1 , VEN
129 , SAM , 1-0 , VIC
130 , TOR , 5-0 , ADO
131 , TOR , 2-0 , ATA
132 , TOR , 4-0 , BOL
133 , TOR , 2-2 , BRE
134 , TOR , 6-0 , GEN
135 , TOR , 1-0 , INT
136 , TOR , 1-0 , JUV
137 , TOR , 4-0 , MIL
138 , TOR , 1-1 , MOD
139 , TOR , 2-1 , SAM
140 , TOR , 4-0 , TRI
141 , TOR , 3-1 , VEN
142 , TOR , 4-0 , VIC
143 , TRI , 0-1 , ADO
144 , TRI , 0-0 , ATA
145 , TRI , 1-0 , BOL
146 , TRI , 1-0 , BRE
147 , TRI , 2-1 , GEN
148 , TRI , 1-3 , INT
149 , TRI , 0-3 , JUV
150 , TRI , 1-2 , MIL
151 , TRI , 1-0 , MOD
152 , TRI , 0-1 , SAM
153 , TRI , 1-1 , TOR
154 , TRI , 0-0 , VEN
155 , TRI , 0-2 , VIC
156 , VEN , 2-2 , ADO
157 , VEN , 0-0 , ATA
158 , VEN , 1-2 , BOL
159 , VEN , 1-2 , BRE
160 , VEN , 0-0 , GEN
161 , VEN , 0-1 , INT
162 , VEN , 0-2 , JUV
163 , VEN , 0-0 , MIL
164 , VEN , 2-3 , MOD
165 , VEN , 3-1 , SAM
166 , VEN , 2-1 , TOR
167 , VEN , 1-1 , TRI
168 , VEN , 1-0 , VIC
169 , VIC , 1-0 , ADO
170 , VIC , 1-0 , ATA
171 , VIC , 3-0 , BOL
172 , VIC , 1-0 , BRE
173 , VIC , 0-0 , GEN
174 , VIC , 1-0 , INT
175 , VIC , 1-2 , JUV
176 , VIC , 2-2 , MIL
177 , VIC , 1-0 , MOD
178 , VIC , 1-1 , SAM
179 , VIC , 1-2 , TOR
180 , VIC , 0-1 , TRI
181 , VIC , 0-1 , VEN
