0 , ALE , 0-1 , ATA
1 , ALE , 1-0 , BAR
2 , ALE , 0-2 , BOL
3 , ALE , 1-0 , FIO
4 , ALE , 0-0 , GEN
5 , ALE , 1-0 , INT
6 , ALE , 1-3 , JUV
7 , ALE , 2-2 , LAZ
8 , ALE , 1-0 , LIV
9 , ALE , 4-2 , LUC
10 , ALE , 2-2 , MIL
11 , ALE , 0-0 , MOD
12 , ALE , 2-2 , NAP
13 , ALE , 2-5 , PPA
14 , ALE , 4-0 , ROM
15 , ALE , 3-0 , SAL
16 , ALE , 1-1 , SAM
17 , ALE , 2-2 , TOR
18 , ALE , 1-1 , TRI
19 , ALE , 4-0 , VIC
20 , ATA , 0-0 , ALE
21 , ATA , 3-1 , BAR
22 , ATA , 1-0 , BOL
23 , ATA , 1-0 , FIO
24 , ATA , 2-1 , GEN
25 , ATA , 1-1 , INT
26 , ATA , 0-0 , JUV
27 , ATA , 5-0 , LAZ
28 , ATA , 3-1 , LIV
29 , ATA , 5-0 , LUC
30 , ATA , 1-0 , MIL
31 , ATA , 2-1 , MOD
32 , ATA , 2-1 , NAP
33 , ATA , 2-2 , PPA
34 , ATA , 1-1 , ROM
35 , ATA , 0-0 , SAL
36 , ATA , 2-0 , SAM
37 , ATA , 1-0 , TOR
38 , ATA , 3-1 , TRI
39 , ATA , 2-0 , VIC
40 , BAR , 1-0 , ALE
41 , BAR , 3-0 , ATA
42 , BAR , 1-1 , BOL
43 , BAR , 1-0 , FIO
44 , BAR , 0-2 , GEN
45 , BAR , 2-1 , INT
46 , BAR , 2-1 , JUV
47 , BAR , 2-1 , LAZ
48 , BAR , 3-0 , LIV
49 , BAR , 1-0 , LUC
50 , BAR , 1-0 , MIL
51 , BAR , 1-1 , MOD
52 , BAR , 2-1 , NAP
53 , BAR , 1-3 , PPA
54 , BAR , 2-1 , ROM
55 , BAR , 0-0 , SAL
56 , BAR , 0-2 , SAM
57 , BAR , 1-0 , TOR
58 , BAR , 0-0 , TRI
59 , BAR , 1-0 , VIC
60 , BOL , 3-2 , ALE
61 , BOL , 3-1 , ATA
62 , BOL , 0-0 , BAR
63 , BOL , 1-0 , FIO
64 , BOL , 4-2 , GEN
65 , BOL , 1-0 , INT
66 , BOL , 1-1 , JUV
67 , BOL , 0-0 , LAZ
68 , BOL , 4-1 , LIV
69 , BOL , 2-2 , LUC
70 , BOL , 1-0 , MIL
71 , BOL , 3-3 , MOD
72 , BOL , 0-1 , NAP
73 , BOL , 2-2 , PPA
74 , BOL , 2-2 , ROM
75 , BOL , 4-0 , SAL
76 , BOL , 1-0 , SAM
77 , BOL , 1-0 , TOR
78 , BOL , 0-0 , TRI
79 , BOL , 2-1 , VIC
80 , FIO , 2-1 , ALE
81 , FIO , 2-0 , ATA
82 , FIO , 2-0 , BAR
83 , FIO , 1-1 , BOL
84 , FIO , 4-0 , GEN
85 , FIO , 1-0 , INT
86 , FIO , 2-4 , JUV
87 , FIO , 4-1 , LAZ
88 , FIO , 1-1 , LIV
89 , FIO , 2-0 , LUC
90 , FIO , 2-1 , MIL
91 , FIO , 4-2 , MOD
92 , FIO , 1-0 , NAP
93 , FIO , 1-0 , PPA
94 , FIO , 1-0 , ROM
95 , FIO , 1-0 , SAL
96 , FIO , 4-3 , SAM
97 , FIO , 1-2 , TOR
98 , FIO , 2-1 , TRI
99 , FIO , 1-2 , VIC
100 , GEN , 3-0 , ALE
101 , GEN , 1-1 , ATA
102 , GEN , 2-2 , BAR
103 , GEN , 7-2 , BOL
104 , GEN , 1-2 , FIO
105 , GEN , 2-1 , INT
106 , GEN , 2-3 , JUV
107 , GEN , 3-1 , LAZ
108 , GEN , 0-0 , LIV
109 , GEN , 1-1 , LUC
110 , GEN , 3-1 , MIL
111 , GEN , 2-0 , MOD
112 , GEN , 3-2 , NAP
113 , GEN , 4-1 , PPA
