0 , ATA , 2-0 , BOL
1 , ATA , 1-1 , COM
2 , ATA , 1-2 , FIO
3 , ATA , 0-1 , INT
4 , ATA , 1-5 , JUV
5 , ATA , 0-0 , LAZ
6 , ATA , 1-1 , MIL
7 , ATA , 1-1 , NAP
8 , ATA , 1-0 , NOV
9 , ATA , 0-0 , PAL
10 , ATA , 3-2 , PPA
11 , ATA , 1-5 , ROM
12 , ATA , 4-0 , SAM
13 , ATA , 0-1 , SPA
14 , ATA , 1-3 , TOR
15 , ATA , 5-2 , TRI
16 , ATA , 5-0 , UDI
17 , BOL , 3-1 , ATA
18 , BOL , 1-0 , COM
19 , BOL , 2-1 , FIO
20 , BOL , 2-0 , INT
21 , BOL , 1-0 , JUV
22 , BOL , 1-1 , LAZ
23 , BOL , 2-0 , MIL
24 , BOL , 1-3 , NAP
25 , BOL , 1-0 , NOV
26 , BOL , 5-2 , PAL
27 , BOL , 4-1 , PPA
28 , BOL , 0-1 , ROM
29 , BOL , 2-0 , SAM
30 , BOL , 2-1 , SPA
31 , BOL , 2-2 , TOR
32 , BOL , 0-1 , TRI
33 , BOL , 3-1 , UDI
34 , COM , 2-1 , ATA
35 , COM , 1-0 , BOL
36 , COM , 2-1 , FIO
37 , COM , 0-1 , INT
38 , COM , 0-1 , JUV
39 , COM , 0-1 , LAZ
40 , COM , 3-1 , MIL
41 , COM , 2-1 , NAP
42 , COM , 0-0 , NOV
43 , COM , 3-1 , PAL
44 , COM , 4-1 , PPA
45 , COM , 2-1 , ROM
46 , COM , 1-0 , SAM
47 , COM , 1-0 , SPA
48 , COM , 0-1 , TOR
49 , COM , 2-0 , TRI
50 , COM , 0-0 , UDI
51 , FIO , 1-1 , ATA
52 , FIO , 1-1 , BOL
53 , FIO , 2-0 , COM
54 , FIO , 1-0 , INT
55 , FIO , 1-2 , JUV
56 , FIO , 0-0 , LAZ
57 , FIO , 0-3 , MIL
58 , FIO , 2-1 , NAP
59 , FIO , 1-0 , NOV
60 , FIO , 0-2 , PAL
61 , FIO , 2-2 , PPA
62 , FIO , 2-0 , ROM
63 , FIO , 2-2 , SAM
64 , FIO , 1-1 , SPA
65 , FIO , 0-2 , TOR
66 , FIO , 2-0 , TRI
67 , FIO , 1-0 , UDI
68 , INT , 1-0 , ATA
69 , INT , 2-1 , BOL
70 , INT , 3-1 , COM
71 , INT , 3-0 , FIO
72 , INT , 2-0 , JUV
73 , INT , 1-1 , LAZ
74 , INT , 0-0 , MIL
75 , INT , 5-1 , NAP
76 , INT , 0-1 , NOV
77 , INT , 3-0 , PAL
78 , INT , 2-1 , PPA
79 , INT , 1-0 , ROM
80 , INT , 2-1 , SAM
81 , INT , 1-1 , SPA
82 , INT , 1-3 , TOR
83 , INT , 1-0 , TRI
84 , INT , 0-0 , UDI
85 , JUV , 1-1 , ATA
86 , JUV , 1-2 , BOL
87 , JUV , 2-1 , COM
88 , JUV , 8-0 , FIO
89 , JUV , 2-1 , INT
90 , JUV , 5-0 , LAZ
91 , JUV , 0-3 , MIL
92 , JUV , 1-1 , NAP
93 , JUV , 1-1 , NOV
94 , JUV , 2-1 , PAL
95 , JUV , 2-0 , PPA
96 , JUV , 3-2 , ROM
97 , JUV , 3-0 , SAM
98 , JUV , 2-2 , SPA
99 , JUV , 4-1 , TOR
100 , JUV , 3-2 , TRI
101 , JUV , 4-0 , UDI
102 , LAZ , 0-2 , ATA
103 , LAZ , 1-2 , BOL
104 , LAZ , 2-0 , COM
105 , LAZ , 0-1 , FIO
106 , LAZ , 1-1 , INT
107 , LAZ , 0-1 , JUV
108 , LAZ , 0-0 , MIL
109 , LAZ , 2-1 , NAP
110 , LAZ , 1-3 , NOV
111 , LAZ , 2-0 , PAL
112 , LAZ , 3-1 , PPA
113 , LAZ , 1-0 , ROM
114 , LAZ , 0-1 , SAM
115 , LAZ , 3-1 , SPA
116 , LAZ , 2-1 , TOR
117 , LAZ , 4-1 , TRI
118 , LAZ , 1-2 , UDI
119 , MIL , 5-1 , ATA
120 , MIL , 1-1 , BOL
121 , MIL , 4-2 , COM
122 , MIL , 2-1 , FIO
123 , MIL , 0-1 , INT
124 , MIL , 1-2 , JUV
125 , MIL , 3-1 , LAZ
126 , MIL , 2-2 , NAP
127 , MIL , 2-0 , NOV
128 , MIL , 5-0 , PAL
129 , MIL , 4-0 , PPA
130 , MIL , 4-1 , ROM
131 , MIL , 2-1 , SAM
132 , MIL , 1-0 , SPA
133 , MIL , 5-1 , TOR
134 , MIL , 4-1 , TRI
135 , MIL , 0-0 , UDI
136 , NAP , 2-0 , ATA
137 , NAP , 4-1 , BOL
138 , NAP , 1-0 , COM
139 , NAP , 0-0 , FIO
140 , NAP , 0-1 , INT
141 , NAP , 3-2 , JUV
142 , NAP , 3-0 , LAZ
143 , NAP , 4-2 , MIL
144 , NAP , 2-3 , NOV
145 , NAP , 0-0 , PAL
146 , NAP , 1-0 , PPA
147 , NAP , 0-0 , ROM
148 , NAP , 2-1 , SAM
149 , NAP , 1-0 , SPA
150 , NAP , 3-0 , TOR
151 , NAP , 1-1 , TRI
152 , NAP , 4-2 , UDI
153 , NOV , 1-1 , ATA
154 , NOV , 2-2 , BOL
155 , NOV , 2-1 , COM
156 , NOV , 1-2 , FIO
157 , NOV , 1-2 , INT
158 , NOV , 0-6 , JUV
159 , NOV , 2-2 , LAZ
160 , NOV , 2-1 , MIL
161 , NOV , 0-1 , NAP
162 , NOV , 3-4 , PAL
163 , NOV , 2-2 , PPA
