0 , ALE , 2-1 , BAR
1 , ALE , 1-0 , BOL
2 , ALE , 1-4 , FIO
3 , ALE , 0-0 , GEN
4 , ALE , 1-1 , INT
5 , ALE , 2-2 , JUV
6 , ALE , 1-0 , LRV
7 , ALE , 0-2 , LAZ
8 , ALE , 1-2 , MIL
9 , ALE , 2-1 , NAP
10 , ALE , 1-3 , PAD
11 , ALE , 1-1 , ROM
12 , ALE , 1-1 , SAM
13 , ALE , 2-0 , SPA
14 , ALE , 0-0 , TOR
15 , ALE , 4-3 , TRI
16 , ALE , 1-1 , UDI
17 , BAR , 1-0 , ALE
18 , BAR , 0-0 , BOL
19 , BAR , 1-2 , FIO
20 , BAR , 1-2 , GEN
21 , BAR , 1-2 , INT
22 , BAR , 1-1 , JUV
23 , BAR , 2-2 , LRV
24 , BAR , 2-2 , LAZ
25 , BAR , 0-2 , MIL
26 , BAR , 0-0 , NAP
27 , BAR , 1-0 , PAD
28 , BAR , 2-1 , ROM
29 , BAR , 2-1 , SAM
30 , BAR , 2-1 , SPA
31 , BAR , 4-1 , TOR
32 , BAR , 0-0 , TRI
33 , BAR , 2-1 , UDI
34 , BOL , 4-0 , ALE
35 , BOL , 1-1 , BAR
36 , BOL , 0-4 , FIO
37 , BOL , 2-1 , GEN
38 , BOL , 2-2 , INT
39 , BOL , 4-1 , JUV
40 , BOL , 1-0 , LRV
41 , BOL , 1-1 , LAZ
42 , BOL , 1-1 , MIL
43 , BOL , 1-1 , NAP
44 , BOL , 2-0 , PAD
45 , BOL , 1-0 , ROM
46 , BOL , 1-2 , SAM
47 , BOL , 3-2 , SPA
48 , BOL , 0-0 , TOR
49 , BOL , 0-2 , TRI
50 , BOL , 2-0 , UDI
51 , FIO , 7-1 , ALE
52 , FIO , 4-0 , BAR
53 , FIO , 6-3 , BOL
54 , FIO , 7-1 , GEN
55 , FIO , 4-0 , INT
56 , FIO , 3-3 , JUV
57 , FIO , 3-1 , LRV
58 , FIO , 1-1 , LAZ
59 , FIO , 1-3 , MIL
60 , FIO , 4-1 , NAP
61 , FIO , 3-0 , PAD
62 , FIO , 1-1 , ROM
63 , FIO , 4-1 , SAM
64 , FIO , 1-2 , SPA
65 , FIO , 4-0 , TOR
66 , FIO , 4-1 , TRI
67 , FIO , 7-0 , UDI
68 , GEN , 1-1 , ALE
69 , GEN , 1-0 , BAR
70 , GEN , 1-0 , BOL
71 , GEN , 0-0 , FIO
72 , GEN , 4-2 , INT
73 , GEN , 0-1 , JUV
74 , GEN , 0-1 , LRV
75 , GEN , 0-0 , LAZ
76 , GEN , 0-2 , MIL
77 , GEN , 3-3 , NAP
78 , GEN , 2-1 , PAD
79 , GEN , 2-2 , ROM
80 , GEN , 0-0 , SAM
81 , GEN , 0-3 , SPA
82 , GEN , 3-0 , TOR
83 , GEN , 1-1 , TRI
84 , GEN , 1-0 , UDI
85 , INT , 1-0 , ALE
86 , INT , 2-1 , BAR
87 , INT , 5-1 , BOL
88 , INT , 1-3 , FIO
89 , INT , 4-1 , GEN
90 , INT , 1-3 , JUV
91 , INT , 2-0 , LRV
92 , INT , 4-0 , LAZ
93 , INT , 1-0 , MIL
94 , INT , 1-1 , NAP
95 , INT , 3-0 , PAD
96 , INT , 3-2 , ROM
97 , INT , 5-1 , SAM
98 , INT , 8-0 , SPA
99 , INT , 1-0 , TOR
100 , INT , 1-0 , TRI
101 , INT , 5-0 , UDI
102 , JUV , 2-2 , ALE
103 , JUV , 2-2 , BAR
104 , JUV , 2-2 , BOL
105 , JUV , 3-2 , FIO
106 , JUV , 4-3 , GEN
107 , JUV , 3-2 , INT
108 , JUV , 2-3 , LRV
109 , JUV , 6-1 , LAZ
110 , JUV , 4-5 , MIL
111 , JUV , 2-0 , NAP
112 , JUV , 2-1 , PAD
113 , JUV , 2-0 , ROM
114 , JUV , 1-0 , SAM
115 , JUV , 1-1 , SPA
116 , JUV , 4-3 , TOR
117 , JUV , 4-0 , TRI
118 , JUV , 3-0 , UDI
119 , LRV , 1-0 , ALE
120 , LRV , 0-0 , BAR
121 , LRV , 1-1 , BOL
122 , LRV , 1-2 , FIO
123 , LRV , 1-2 , GEN
124 , LRV , 2-1 , INT
125 , LRV , 1-0 , JUV
126 , LRV , 1-0 , LAZ
127 , LRV , 2-0 , MIL
128 , LRV , 2-3 , NAP
129 , LRV , 3-2 , PAD
130 , LRV , 4-1 , ROM
131 , LRV , 1-2 , SAM
132 , LRV , 1-1 , SPA
133 , LRV , 2-0 , TOR
134 , LRV , 5-4 , TRI
135 , LRV , 2-0 , UDI
136 , LAZ , 0-2 , ALE
137 , LAZ , 3-2 , BAR
138 , LAZ , 2-1 , BOL
139 , LAZ , 0-0 , FIO
140 , LAZ , 2-4 , GEN
141 , LAZ , 1-2 , INT
142 , LAZ , 1-0 , JUV
143 , LAZ , 0-1 , LRV
144 , LAZ , 0-0 , MIL
145 , LAZ , 0-0 , NAP
146 , LAZ , 1-1 , PAD
147 , LAZ , 1-3 , ROM
148 , LAZ , 1-0 , SAM
149 , LAZ , 4-0 , SPA
150 , LAZ , 2-0 , TOR
151 , LAZ , 3-1 , TRI
152 , LAZ , 1-1 , UDI
153 , MIL , 5-1 , ALE
154 , MIL , 4-2 , BAR
155 , MIL , 4-3 , BOL
156 , MIL , 2-0 , FIO
157 , MIL , 4-0 , GEN
158 , MIL , 1-1 , INT
159 , MIL , 1-1 , JUV
160 , MIL , 0-0 , LRV
161 , MIL , 5-0 , LAZ
162 , MIL , 6-1 , NAP
163 , MIL , 4-1 , PAD
164 , MIL , 4-1 , ROM
165 , MIL , 4-1 , SAM
166 , MIL , 0-0 , SPA
167 , MIL , 5-1 , TOR
168 , MIL , 2-0 , TRI
169 , MIL , 7-0 , UDI
170 , NAP , 0-0 , ALE
171 , NAP , 1-2 , BAR
172 , NAP , 4-2 , BOL
173 , NAP , 2-3 , FIO
174 , NAP , 2-2 , GEN
175 , NAP , 1-0 , INT
176 , NAP , 0-0 , JUV
177 , NAP , 1-0 , LRV
178 , NAP , 1-1 , LAZ
179 , NAP , 0-1 , MIL
180 , NAP , 2-1 , PAD
181 , NAP , 3-0 , ROM
182 , NAP , 3-2 , SAM
183 , NAP , 0-0 , SPA
184 , NAP , 2-2 , TOR
185 , NAP , 1-0 , TRI
186 , NAP , 1-1 , UDI
187 , PAD , 0-0 , ALE
188 , PAD , 0-0 , BAR
189 , PAD , 1-0 , BOL
190 , PAD , 1-1 , FIO
191 , PAD , 4-2 , GEN
192 , PAD , 2-0 , INT
193 , PAD , 1-4 , JUV
194 , PAD , 3-1 , LRV
195 , PAD , 3-1 , LAZ
196 , PAD , 0-1 , MIL
197 , PAD , 0-0 , NAP
198 , PAD , 3-3 , ROM
199 , PAD , 2-1 , SAM
200 , PAD , 2-1 , SPA
201 , PAD , 4-0 , TOR
202 , PAD , 2-2 , TRI
203 , PAD , 2-1 , UDI
204 , ROM , 0-2 , ALE
205 , ROM , 3-1 , BAR
206 , ROM , 0-1 , BOL
207 , ROM , 0-0 , FIO
208 , ROM , 5-0 , GEN
209 , ROM , 2-2 , INT
210 , ROM , 3-0 , JUV
211 , ROM , 3-1 , LRV
212 , ROM , 3-0 , LAZ
213 , ROM , 1-1 , MIL
214 , ROM , 8-0 , NAP
215 , ROM , 1-1 , PAD
216 , ROM , 1-0 , SAM
217 , ROM , 2-0 , SPA
218 , ROM , 4-1 , TOR
219 , ROM , 1-0 , TRI
220 , ROM , 3-0 , UDI
221 , SAM , 3-1 , ALE
222 , SAM , 3-0 , BAR
223 , SAM , 2-1 , BOL
224 , SAM , 1-1 , FIO
225 , SAM , 2-1 , GEN
226 , SAM , 2-4 , INT
227 , SAM , 3-2 , JUV
228 , SAM , 2-0 , LRV
229 , SAM , 1-2 , LAZ
230 , SAM , 0-0 , MIL
231 , SAM , 0-0 , NAP
232 , SAM , 3-0 , PAD
233 , SAM , 0-0 , ROM
234 , SAM , 1-1 , SPA
235 , SAM , 3-0 , TOR
236 , SAM , 2-0 , TRI
237 , SAM , 3-1 , UDI
238 , SPA , 1-1 , ALE
239 , SPA , 0-1 , BAR
240 , SPA , 0-1 , BOL
241 , SPA , 0-0 , FIO
242 , SPA , 1-5 , GEN
243 , SPA , 0-1 , INT
244 , SPA , 0-0 , JUV
245 , SPA , 0-0 , LRV
246 , SPA , 0-3 , LAZ
247 , SPA , 1-1 , MIL
248 , SPA , 2-1 , NAP
249 , SPA , 0-2 , PAD
250 , SPA , 1-0 , ROM
251 , SPA , 1-2 , SAM
252 , SPA , 3-0 , TOR
253 , SPA , 4-0 , TRI
254 , SPA , 0-1 , UDI
255 , TOR , 6-1 , ALE
256 , TOR , 2-2 , BAR
257 , TOR , 2-2 , BOL
258 , TOR , 0-6 , FIO
259 , TOR , 0-0 , GEN
260 , TOR , 0-5 , INT
261 , TOR , 3-2 , JUV
262 , TOR , 1-1 , LRV
263 , TOR , 1-0 , LAZ
264 , TOR , 3-3 , MIL
265 , TOR , 1-2 , NAP
266 , TOR , 3-1 , PAD
267 , TOR , 2-2 , ROM
268 , TOR , 1-2 , SAM
269 , TOR , 1-0 , SPA
270 , TOR , 1-0 , TRI
271 , TOR , 0-1 , UDI
272 , TRI , 2-0 , ALE
273 , TRI , 0-0 , BAR
274 , TRI , 3-2 , BOL
275 , TRI , 1-3 , FIO
276 , TRI , 2-1 , GEN
277 , TRI , 1-1 , INT
278 , TRI , 0-3 , JUV
279 , TRI , 0-0 , LRV
280 , TRI , 3-0 , LAZ
281 , TRI , 2-2 , MIL
282 , TRI , 0-0 , NAP
283 , TRI , 2-4 , PAD
284 , TRI , 1-0 , ROM
285 , TRI , 1-2 , SAM
286 , TRI , 0-1 , SPA
287 , TRI , 1-1 , TOR
288 , TRI , 1-1 , UDI
