0 , BSC , 0-3 , BRS
1 , BSC , 0-0 , BRE
2 , BSC , 0-0 , DOR
3 , BSC , 1-3 , FRA
4 , BSC , 3-1 , HAM
5 , BSC , 1-1 , H96
6 , BSC , 5-3 , KAI
7 , BSC , 2-1 , KAR
8 , BSC , 1-3 , KÖL
9 , BSC , 2-2 , MSV
10 , BSC , 2-1 , M60
11 , BSC , 1-1 , NKI
12 , BSC , 1-2 , NUR
13 , BSC , 2-1 , S04
14 , BSC , 3-1 , STU
15 , BRS , 1-1 , BSC
16 , BRS , 1-1 , BRE
17 , BRS , 0-1 , DOR
18 , BRS , 3-2 , FRA
19 , BRS , 2-0 , HAM
20 , BRS , 2-2 , H96
21 , BRS , 2-0 , KAI
22 , BRS , 3-0 , KAR
23 , BRS , 1-1 , KÖL
24 , BRS , 0-1 , MSV
25 , BRS , 1-1 , M60
26 , BRS , 1-0 , NKI
27 , BRS , 1-0 , NUR
28 , BRS , 1-2 , S04
29 , BRS , 2-1 , STU
30 , BRE , 5-1 , BSC
31 , BRE , 5-1 , BRS
32 , BRE , 3-0 , DOR
33 , BRE , 2-2 , FRA
34 , BRE , 0-0 , HAM
35 , BRE , 3-0 , H96
36 , BRE , 1-1 , KAI
37 , BRE , 1-0 , KAR
38 , BRE , 0-0 , KÖL
39 , BRE , 1-0 , MSV
40 , BRE , 3-2 , M60
41 , BRE , 2-0 , NKI
42 , BRE , 1-1 , NUR
43 , BRE , 2-2 , S04
44 , BRE , 1-0 , STU
45 , DOR , 6-3 , BSC
46 , DOR , 5-4 , BRS
47 , DOR , 1-2 , BRE
48 , DOR , 1-3 , FRA
49 , DOR , 2-0 , HAM
50 , DOR , 0-2 , H96
51 , DOR , 3-2 , KAI
52 , DOR , 5-1 , KAR
53 , DOR , 2-2 , KÖL
54 , DOR , 0-0 , MSV
55 , DOR , 1-1 , M60
56 , DOR , 5-1 , NKI
57 , DOR , 2-1 , NUR
58 , DOR , 4-0 , S04
59 , DOR , 1-0 , STU
60 , FRA , 3-0 , BSC
61 , FRA , 2-2 , BRS
62 , FRA , 0-2 , BRE
63 , FRA , 0-2 , DOR
64 , FRA , 2-1 , HAM
65 , FRA , 3-3 , H96
66 , FRA , 1-2 , KAI
67 , FRA , 0-7 , KAR
68 , FRA , 1-4 , KÖL
69 , FRA , 2-3 , MSV
70 , FRA , 4-1 , M60
71 , FRA , 1-0 , NKI
72 , FRA , 1-1 , NUR
73 , FRA , 2-2 , S04
74 , FRA , 2-3 , STU
75 , HAM , 4-1 , BSC
76 , HAM , 0-1 , BRS
77 , HAM , 0-4 , BRE
78 , HAM , 1-4 , DOR
79 , HAM , 2-1 , FRA
80 , HAM , 3-0 , H96
81 , HAM , 3-2 , KAI
82 , HAM , 2-1 , KAR
83 , HAM , 0-0 , KÖL
84 , HAM , 3-0 , MSV
85 , HAM , 3-2 , M60
86 , HAM , 1-2 , NKI
87 , HAM , 2-1 , NUR
88 , HAM , 2-4 , S04
89 , HAM , 2-2 , STU
90 , H96 , 3-1 , BSC
91 , H96 , 1-2 , BRS
92 , H96 , 2-2 , BRE
93 , H96 , 2-0 , DOR
94 , H96 , 3-2 , FRA
95 , H96 , 1-2 , HAM
96 , H96 , 4-0 , KAI
97 , H96 , 4-2 , KAR
98 , H96 , 2-0 , KÖL
99 , H96 , 2-0 , MSV
100 , H96 , 0-2 , M60
101 , H96 , 1-1 , NKI
102 , H96 , 2-2 , NUR
103 , H96 , 1-0 , S04
104 , H96 , 2-1 , STU
105 , KAI , 1-2 , BSC
106 , KAI , 2-1 , BRS
107 , KAI , 2-1 , BRE
108 , KAI , 1-3 , DOR
109 , KAI , 0-1 , FRA
110 , KAI , 2-1 , HAM
111 , KAI , 1-0 , H96
112 , KAI , 0-1 , KAR
113 , KAI , 2-2 , KÖL
114 , KAI , 2-0 , MSV
115 , KAI , 1-2 , M60
116 , KAI , 2-0 , NKI
117 , KAI , 3-2 , NUR
118 , KAI , 3-0 , S04
119 , KAI , 2-1 , STU
120 , KAR , 0-1 , BSC
121 , KAR , 3-0 , BRS
122 , KAR , 0-2 , BRE
123 , KAR , 2-0 , DOR
124 , KAR , 3-1 , FRA
125 , KAR , 2-2 , HAM
126 , KAR , 2-3 , H96
