0 , TAB , 0-2 , BRS
1 , TAB , 1-1 , BRE
2 , TAB , 0-2 , DOR
3 , TAB , 0-3 , FRA
4 , TAB , 0-4 , HAM
5 , TAB , 1-5 , H96
6 , TAB , 1-1 , KAI
7 , TAB , 2-0 , KAR
8 , TAB , 0-6 , KÖL
9 , TAB , 0-9 , MSV
10 , TAB , 0-0 , MGL
11 , TAB , 0-5 , M60
12 , TAB , 0-2 , FCB
13 , TAB , 2-1 , NKI
14 , TAB , 0-1 , NUR
15 , TAB , 1-2 , S04
16 , TAB , 0-2 , STU
17 , BRS , 3-1 , TAB
18 , BRS , 1-0 , BRE
19 , BRS , 4-0 , DOR
20 , BRS , 2-2 , FRA
21 , BRS , 1-4 , HAM
22 , BRS , 2-1 , H96
23 , BRS , 1-1 , KAI
24 , BRS , 2-0 , KAR
25 , BRS , 1-2 , KÖL
26 , BRS , 1-0 , MSV
27 , BRS , 1-1 , MGL
28 , BRS , 2-2 , M60
29 , BRS , 2-4 , FCB
30 , BRS , 1-2 , NKI
31 , BRS , 3-0 , NUR
32 , BRS , 3-0 , S04
33 , BRS , 1-1 , STU
34 , BRE , 5-0 , TAB
35 , BRE , 4-0 , BRS
36 , BRE , 1-0 , DOR
37 , BRE , 3-2 , FRA
38 , BRE , 2-0 , HAM
39 , BRE , 3-3 , H96
40 , BRE , 4-1 , KAI
41 , BRE , 3-1 , KAR
42 , BRE , 2-1 , KÖL
43 , BRE , 2-0 , MSV
44 , BRE , 2-0 , MGL
45 , BRE , 0-2 , M60
46 , BRE , 1-1 , FCB
47 , BRE , 5-2 , NKI
48 , BRE , 1-0 , NUR
49 , BRE , 2-0 , S04
50 , BRE , 3-1 , STU
51 , DOR , 3-1 , TAB
52 , DOR , 1-1 , BRS
53 , DOR , 2-1 , BRE
54 , DOR , 3-0 , FRA
55 , DOR , 2-2 , HAM
56 , DOR , 4-0 , H96
57 , DOR , 4-0 , KAI
58 , DOR , 4-1 , KAR
59 , DOR , 3-2 , KÖL
60 , DOR , 1-1 , MSV
61 , DOR , 3-1 , MGL
62 , DOR , 0-2 , M60
63 , DOR , 3-0 , FCB
64 , DOR , 1-0 , NKI
65 , DOR , 2-0 , NUR
66 , DOR , 7-0 , S04
67 , DOR , 4-0 , STU
68 , FRA , 4-0 , TAB
69 , FRA , 4-1 , BRS
70 , FRA , 1-0 , BRE
71 , FRA , 4-1 , DOR
72 , FRA , 2-0 , HAM
73 , FRA , 0-1 , H96
74 , FRA , 6-0 , KAI
75 , FRA , 1-0 , KAR
76 , FRA , 0-0 , KÖL
77 , FRA , 2-0 , MSV
78 , FRA , 3-1 , MGL
79 , FRA , 5-2 , M60
80 , FRA , 0-0 , FCB
81 , FRA , 1-2 , NKI
82 , FRA , 1-2 , NUR
83 , FRA , 4-1 , S04
84 , FRA , 3-2 , STU
85 , HAM , 5-1 , TAB
86 , HAM , 2-1 , BRS
87 , HAM , 1-3 , BRE
88 , HAM , 1-1 , DOR
89 , HAM , 0-1 , FRA
90 , HAM , 2-1 , H96
91 , HAM , 4-1 , KAI
