0 , BRS , 2-0 , BRE
1 , BRS , 3-1 , DOR
2 , BRS , 0-0 , DUI
3 , BRS , 4-0 , DÜS
4 , BRS , 0-0 , RWE
5 , BRS , 3-0 , FRA
6 , BRS , 2-0 , HAM
7 , BRS , 0-1 , H96
8 , BRS , 2-0 , KAI
9 , BRS , 4-1 , KAR
10 , BRS , 1-0 , KÖL
11 , BRS , 2-1 , MGL
12 , BRS , 1-0 , M60
13 , BRS , 5-2 , FCB
14 , BRS , 4-1 , NUR
15 , BRS , 1-0 , S04
16 , BRS , 1-1 , STU
17 , BRE , 2-3 , BRS
18 , BRE , 2-1 , DOR
19 , BRE , 1-1 , DUI
20 , BRE , 1-0 , DÜS
21 , BRE , 0-0 , RWE
22 , BRE , 3-0 , FRA
23 , BRE , 5-1 , HAM
24 , BRE , 3-0 , H96
25 , BRE , 1-1 , KAI
26 , BRE , 0-3 , KAR
27 , BRE , 1-3 , KÖL
28 , BRE , 2-2 , MGL
29 , BRE , 2-4 , M60
30 , BRE , 4-1 , FCB
31 , BRE , 4-4 , NUR
32 , BRE , 2-1 , S04
33 , BRE , 1-2 , STU
34 , DOR , 0-0 , BRS
35 , DOR , 2-0 , BRE
36 , DOR , 4-1 , DUI
37 , DOR , 1-2 , DÜS
38 , DOR , 0-0 , RWE
39 , DOR , 3-1 , FRA
40 , DOR , 7-0 , HAM
41 , DOR , 3-0 , H96
42 , DOR , 2-1 , KAI
43 , DOR , 2-1 , KAR
44 , DOR , 6-1 , KÖL
45 , DOR , 3-2 , MGL
46 , DOR , 1-1 , M60
47 , DOR , 4-0 , FCB
48 , DOR , 0-1 , NUR
49 , DOR , 6-2 , S04
50 , DOR , 1-1 , STU
51 , DUI , 0-0 , BRS
52 , DUI , 1-0 , BRE
53 , DUI , 1-5 , DOR
54 , DUI , 1-1 , DÜS
55 , DUI , 2-0 , RWE
56 , DUI , 0-0 , FRA
57 , DUI , 2-1 , HAM
58 , DUI , 3-0 , H96
59 , DUI , 1-1 , KAI
60 , DUI , 0-1 , KAR
61 , DUI , 1-0 , KÖL
62 , DUI , 1-3 , MGL
63 , DUI , 1-2 , M60
64 , DUI , 0-0 , FCB
65 , DUI , 2-0 , NUR
66 , DUI , 3-0 , S04
67 , DUI , 0-0 , STU
68 , DÜS , 1-1 , BRS
69 , DÜS , 0-1 , BRE
70 , DÜS , 0-5 , DOR
71 , DÜS , 1-5 , DUI
72 , DÜS , 2-0 , RWE
73 , DÜS , 2-4 , FRA
74 , DÜS , 2-2 , HAM
75 , DÜS , 1-0 , H96
76 , DÜS , 3-1 , KAI
77 , DÜS , 1-0 , KAR
78 , DÜS , 1-3 , KÖL
79 , DÜS , 2-2 , MGL
80 , DÜS , 0-1 , M60
81 , DÜS , 0-0 , FCB
82 , DÜS , 2-2 , NUR
83 , DÜS , 3-1 , S04
84 , DÜS , 3-3 , STU
85 , RWE , 0-0 , BRS
86 , RWE , 0-1 , BRE
87 , RWE , 1-1 , DOR
88 , RWE , 0-1 , DUI
89 , RWE , 0-4 , DÜS
90 , RWE , 1-1 , FRA
91 , RWE , 1-1 , HAM
92 , RWE , 3-0 , H96
93 , RWE , 1-1 , KAI
94 , RWE , 3-1 , KAR
95 , RWE , 1-3 , KÖL
96 , RWE , 2-1 , MGL
97 , RWE , 2-2 , M60
98 , RWE , 3-1 , FCB
99 , RWE , 1-1 , NUR
100 , RWE , 4-1 , S04
101 , RWE , 1-3 , STU
102 , FRA , 0-1 , BRS
103 , FRA , 4-1 , BRE
104 , FRA , 3-3 , DOR
105 , FRA , 1-0 , DUI
106 , FRA , 3-0 , DÜS
107 , FRA , 5-0 , RWE
108 , FRA , 1-3 , HAM
109 , FRA , 3-3 , H96
110 , FRA , 1-1 , KAI
111 , FRA , 5-1 , KAR
112 , FRA , 4-0 , KÖL
113 , FRA , 1-0 , MGL
114 , FRA , 3-3 , M60
115 , FRA , 2-1 , FCB
116 , FRA , 1-4 , NUR
117 , FRA , 4-2 , S04
118 , FRA , 4-0 , STU
119 , HAM , 1-0 , BRS
120 , HAM , 1-1 , BRE
121 , HAM , 1-1 , DOR
122 , HAM , 0-0 , DUI
123 , HAM , 2-1 , DÜS
124 , HAM , 1-1 , RWE
125 , HAM , 0-2 , FRA
126 , HAM , 2-1 , H96
127 , HAM , 1-0 , KAI
128 , HAM , 1-0 , KAR
129 , HAM , 1-3 , KÖL
130 , HAM , 2-0 , MGL
131 , HAM , 3-2 , M60
132 , HAM , 3-1 , FCB
133 , HAM , 0-1 , NUR
134 , HAM , 1-1 , S04
135 , HAM , 1-1 , STU
136 , H96 , 4-2 , BRS
137 , H96 , 2-1 , BRE
138 , H96 , 2-0 , DOR
139 , H96 , 3-0 , DUI
140 , H96 , 0-2 , DÜS
141 , H96 , 1-0 , RWE
142 , H96 , 2-1 , FRA
143 , H96 , 1-0 , HAM
144 , H96 , 2-1 , KAI
145 , H96 , 3-1 , KAR
146 , H96 , 0-1 , KÖL
147 , H96 , 1-1 , MGL
148 , H96 , 2-2 , M60
149 , H96 , 2-1 , FCB
150 , H96 , 2-0 , NUR
151 , H96 , 1-2 , S04
152 , H96 , 2-2 , STU
153 , KAI , 2-0 , BRS
154 , KAI , 2-0 , BRE
155 , KAI , 1-1 , DOR
156 , KAI , 0-0 , DUI
157 , KAI , 2-1 , DÜS
158 , KAI , 5-2 , RWE
159 , KAI , 1-1 , FRA
160 , KAI , 2-1 , HAM
161 , KAI , 1-0 , H96
162 , KAI , 3-1 , KAR
163 , KAI , 0-0 , KÖL
164 , KAI , 1-0 , MGL
165 , KAI , 0-3 , M60
166 , KAI , 1-0 , FCB
167 , KAI , 1-1 , NUR
168 , KAI , 1-0 , S04
169 , KAI , 3-3 , STU
170 , KAR , 3-0 , BRS
171 , KAR , 4-4 , BRE
172 , KAR , 2-0 , DOR
173 , KAR , 3-0 , DUI
174 , KAR , 3-2 , DÜS
175 , KAR , 0-1 , RWE
176 , KAR , 3-2 , FRA
177 , KAR , 1-1 , HAM
178 , KAR , 0-0 , H96
179 , KAR , 2-2 , KAI
180 , KAR , 1-1 , KÖL
181 , KAR , 3-3 , MGL
182 , KAR , 3-1 , M60
183 , KAR , 1-6 , FCB
184 , KAR , 0-1 , NUR
185 , KAR , 1-0 , S04
186 , KAR , 4-1 , STU
187 , KÖL , 1-0 , BRS
188 , KÖL , 4-1 , BRE
189 , KÖL , 1-1 , DOR
190 , KÖL , 1-1 , DUI
191 , KÖL , 2-0 , DÜS
192 , KÖL , 2-1 , RWE
193 , KÖL , 1-4 , FRA
194 , KÖL , 0-0 , HAM
195 , KÖL , 1-1 , H96
196 , KÖL , 2-1 , KAI
197 , KÖL , 2-2 , KAR
198 , KÖL , 1-2 , MGL
199 , KÖL , 2-0 , M60
200 , KÖL , 2-4 , FCB
201 , KÖL , 2-0 , NUR
202 , KÖL , 2-1 , S04
203 , KÖL , 3-1 , STU
204 , MGL , 0-0 , BRS
205 , MGL , 1-1 , BRE
206 , MGL , 4-0 , DOR
207 , MGL , 3-3 , DUI
208 , MGL , 3-1 , DÜS
209 , MGL , 4-3 , RWE
