0 , AAC , 2-1 , BRS
1 , AAC , 1-1 , BRE
2 , AAC , 3-0 , DOR
3 , AAC , 4-4 , DUI
4 , AAC , 2-1 , FRA
5 , AAC , 2-0 , HAM
6 , AAC , 2-2 , H96
7 , AAC , 1-1 , KAI
8 , AAC , 2-1 , KAR
9 , AAC , 4-2 , KÖL
10 , AAC , 0-0 , MGL
11 , AAC , 3-3 , M60
12 , AAC , 0-4 , FCB
13 , AAC , 5-1 , NKI
14 , AAC , 2-0 , NUR
15 , AAC , 2-1 , S04
16 , AAC , 3-2 , STU
17 , BRS , 2-0 , AAC
18 , BRS , 0-3 , BRE
19 , BRS , 2-0 , DOR
20 , BRS , 3-0 , DUI
21 , BRS , 0-0 , FRA
22 , BRS , 0-1 , HAM
23 , BRS , 0-1 , H96
24 , BRS , 1-0 , KAI
25 , BRS , 1-0 , KAR
26 , BRS , 1-2 , KÖL
27 , BRS , 2-1 , MGL
28 , BRS , 0-1 , M60
29 , BRS , 1-0 , FCB
30 , BRS , 4-2 , NKI
31 , BRS , 0-3 , NUR
32 , BRS , 1-0 , S04
33 , BRS , 2-1 , STU
34 , BRE , 0-1 , AAC
35 , BRE , 3-2 , BRS
36 , BRE , 2-1 , DOR
37 , BRE , 3-3 , DUI
38 , BRE , 2-0 , FRA
39 , BRE , 1-4 , HAM
40 , BRE , 1-0 , H96
41 , BRE , 2-1 , KAI
42 , BRE , 6-1 , KAR
43 , BRE , 3-1 , KÖL
44 , BRE , 0-4 , MGL
45 , BRE , 2-2 , M60
46 , BRE , 4-1 , FCB
47 , BRE , 2-1 , NKI
48 , BRE , 0-4 , NUR
49 , BRE , 2-0 , S04
50 , BRE , 3-1 , STU
51 , DOR , 1-0 , AAC
52 , DOR , 0-1 , BRS
53 , DOR , 1-1 , BRE
54 , DOR , 4-3 , DUI
55 , DOR , 2-1 , FRA
56 , DOR , 2-2 , HAM
57 , DOR , 3-1 , H96
58 , DOR , 4-0 , KAI
59 , DOR , 5-0 , KAR
60 , DOR , 2-0 , KÖL
61 , DOR , 3-1 , MGL
62 , DOR , 0-0 , M60
63 , DOR , 6-3 , FCB
64 , DOR , 6-0 , NKI
65 , DOR , 1-2 , NUR
66 , DOR , 2-1 , S04
67 , DOR , 2-1 , STU
