0 , AAC , 0-0 , BSC
1 , AAC , 1-4 , BRS
2 , AAC , 2-1 , BRE
3 , AAC , 0-1 , DOR
4 , AAC , 4-0 , DUI
5 , AAC , 4-2 , FRA
6 , AAC , 2-0 , HAM
7 , AAC , 2-0 , H96
8 , AAC , 1-0 , KAI
9 , AAC , 2-1 , KÖL
10 , AAC , 2-1 , MGL
11 , AAC , 4-0 , M60
12 , AAC , 2-4 , FCB
13 , AAC , 4-2 , NUR
14 , AAC , 1-2 , OFF
15 , AAC , 4-1 , S04
16 , AAC , 1-3 , STU
17 , BSC , 0-1 , AAC
18 , BSC , 0-0 , BRS
19 , BSC , 1-0 , BRE
20 , BSC , 0-0 , DOR
21 , BSC , 1-1 , DUI
22 , BSC , 2-0 , FRA
23 , BSC , 3-2 , HAM
24 , BSC , 2-1 , H96
25 , BSC , 1-0 , KAI
26 , BSC , 2-1 , KÖL
27 , BSC , 2-1 , MGL
28 , BSC , 1-2 , M60
29 , BSC , 1-2 , FCB
30 , BSC , 2-0 , NUR
31 , BSC , 1-0 , OFF
32 , BSC , 1-0 , S04
33 , BSC , 0-1 , STU
34 , BRS , 2-0 , AAC
35 , BRS , 3-3 , BSC
36 , BRS , 0-3 , BRE
37 , BRS , 4-3 , DOR
38 , BRS , 0-0 , DUI
39 , BRS , 1-0 , FRA
40 , BRS , 1-0 , HAM
41 , BRS , 3-3 , H96
42 , BRS , 3-0 , KAI
43 , BRS , 2-1 , KÖL
44 , BRS , 0-0 , MGL
45 , BRS , 2-1 , M60
46 , BRS , 2-3 , FCB
47 , BRS , 0-0 , NUR
48 , BRS , 2-2 , OFF
49 , BRS , 3-0 , S04
50 , BRS , 1-2 , STU
51 , BRE , 1-2 , AAC
52 , BRE , 2-0 , BSC
53 , BRE , 2-1 , BRS
54 , BRE , 2-1 , DOR
55 , BRE , 2-1 , DUI
56 , BRE , 0-1 , FRA
57 , BRE , 1-1 , HAM
58 , BRE , 3-2 , H96
59 , BRE , 2-1 , KAI
60 , BRE , 3-1 , KÖL
61 , BRE , 6-5 , MGL
62 , BRE , 4-1 , M60
63 , BRE , 1-0 , FCB
64 , BRE , 3-3 , NUR
65 , BRE , 2-0 , OFF
66 , BRE , 1-3 , S04
67 , BRE , 1-0 , STU
68 , DOR , 3-1 , AAC
69 , DOR , 2-2 , BSC
70 , DOR , 2-1 , BRS
71 , DOR , 3-2 , BRE
72 , DOR , 2-1 , DUI
73 , DOR , 0-1 , FRA
74 , DOR , 3-1 , HAM
75 , DOR , 1-1 , H96
76 , DOR , 2-3 , KAI
77 , DOR , 1-1 , KÖL
78 , DOR , 1-3 , MGL
79 , DOR , 2-0 , M60
80 , DOR , 0-1 , FCB
81 , DOR , 3-1 , NUR
82 , DOR , 3-0 , OFF
83 , DOR , 0-1 , S04
84 , DOR , 1-0 , STU
85 , DUI , 1-1 , AAC
86 , DUI , 2-1 , BSC
87 , DUI , 1-1 , BRS
88 , DUI , 2-0 , BRE
89 , DUI , 2-0 , DOR
90 , DUI , 1-1 , FRA
91 , DUI , 0-0 , HAM
92 , DUI , 0-0 , H96
93 , DUI , 0-0 , KAI
94 , DUI , 0-0 , KÖL
95 , DUI , 1-1 , MGL
96 , DUI , 3-4 , M60
97 , DUI , 0-0 , FCB
98 , DUI , 1-0 , NUR
99 , DUI , 2-1 , OFF
100 , DUI , 1-0 , S04
101 , DUI , 2-0 , STU
102 , FRA , 0-1 , AAC
103 , FRA , 2-0 , BSC
104 , FRA , 0-1 , BRS
105 , FRA , 2-1 , BRE
106 , FRA , 1-1 , DOR
107 , FRA , 2-1 , DUI
108 , FRA , 2-2 , HAM
109 , FRA , 0-0 , H96
110 , FRA , 2-2 , KAI
111 , FRA , 1-2 , KÖL
112 , FRA , 1-1 , MGL
113 , FRA , 3-0 , M60
114 , FRA , 1-1 , FCB
115 , FRA , 3-0 , NUR
116 , FRA , 3-2 , OFF
117 , FRA , 1-0 , S04
118 , FRA , 3-0 , STU
119 , HAM , 3-0 , AAC
120 , HAM , 0-0 , BSC
121 , HAM , 0-0 , BRS
122 , HAM , 5-2 , BRE
123 , HAM , 2-0 , DOR
124 , HAM , 1-2 , DUI
125 , HAM , 1-4 , FRA
126 , HAM , 1-4 , H96
127 , HAM , 3-1 , KAI
128 , HAM , 3-1 , KÖL
129 , HAM , 2-0 , MGL
130 , HAM , 2-0 , M60
131 , HAM , 2-2 , FCB
132 , HAM , 4-2 , NUR
133 , HAM , 3-0 , OFF
134 , HAM , 1-3 , S04
135 , HAM , 2-1 , STU
136 , H96 , 5-2 , AAC
137 , H96 , 1-1 , BSC
138 , H96 , 1-1 , BRS
139 , H96 , 1-0 , BRE
140 , H96 , 1-1 , DOR
141 , H96 , 1-1 , DUI
142 , H96 , 1-2 , FRA
143 , H96 , 2-2 , HAM
144 , H96 , 0-2 , KAI
145 , H96 , 3-0 , KÖL
146 , H96 , 2-3 , MGL
147 , H96 , 3-2 , M60
148 , H96 , 1-0 , FCB
149 , H96 , 2-2 , NUR
150 , H96 , 2-2 , OFF
151 , H96 , 1-0 , S04
152 , H96 , 1-0 , STU
153 , KAI , 2-1 , AAC
154 , KAI , 1-0 , BSC
155 , KAI , 4-0 , BRS
156 , KAI , 1-0 , BRE
157 , KAI , 1-2 , DOR
158 , KAI , 3-0 , DUI
159 , KAI , 2-2 , FRA
160 , KAI , 0-1 , HAM
161 , KAI , 0-0 , H96
162 , KAI , 4-0 , KÖL
163 , KAI , 2-0 , MGL
164 , KAI , 3-1 , M60
165 , KAI , 3-1 , FCB
166 , KAI , 1-1 , NUR
167 , KAI , 2-1 , OFF
168 , KAI , 1-1 , S04
169 , KAI , 1-3 , STU
170 , KÖL , 1-2 , AAC
171 , KÖL , 1-0 , BSC
172 , KÖL , 2-0 , BRS
173 , KÖL , 3-3 , BRE
174 , KÖL , 2-1 , DOR
175 , KÖL , 1-1 , DUI
176 , KÖL , 2-1 , FRA
177 , KÖL , 4-1 , HAM
178 , KÖL , 1-0 , H96
179 , KÖL , 2-1 , KAI
180 , KÖL , 1-4 , MGL
181 , KÖL , 0-0 , M60
182 , KÖL , 1-1 , FCB
183 , KÖL , 3-0 , NUR
184 , KÖL , 2-1 , OFF
185 , KÖL , 2-0 , S04
186 , KÖL , 5-2 , STU
187 , MGL , 2-2 , AAC
188 , MGL , 0-1 , BSC
189 , MGL , 1-1 , BRS
190 , MGL , 1-1 , BRE
191 , MGL , 1-0 , DOR
192 , MGL , 1-0 , DUI
193 , MGL , 2-3 , FRA
194 , MGL , 1-2 , HAM
195 , MGL , 3-2 , H96
196 , MGL , 4-0 , KAI
197 , MGL , 2-1 , KÖL
198 , MGL , 3-0 , M60
199 , MGL , 1-1 , FCB
200 , MGL , 1-1 , NUR
201 , MGL , 4-1 , OFF
202 , MGL , 3-0 , S04
203 , MGL , 4-4 , STU
204 , M60 , 0-0 , AAC
205 , M60 , 0-1 , BSC
206 , M60 , 0-1 , BRS
207 , M60 , 4-3 , BRE
208 , M60 , 2-1 , DOR
209 , M60 , 2-1 , DUI
210 , M60 , 1-0 , FRA
211 , M60 , 3-3 , HAM
212 , M60 , 2-1 , H96
213 , M60 , 1-0 , KAI
214 , M60 , 2-1 , KÖL
215 , M60 , 0-4 , MGL
216 , M60 , 0-3 , FCB
217 , M60 , 2-0 , NUR
218 , M60 , 2-0 , OFF
219 , M60 , 3-1 , S04
220 , M60 , 3-1 , STU
221 , FCB , 1-1 , AAC
222 , FCB , 3-0 , BSC
223 , FCB , 2-1 , BRS
224 , FCB , 6-0 , BRE
225 , FCB , 4-1 , DOR
226 , FCB , 2-2 , DUI
227 , FCB , 2-0 , FRA
228 , FCB , 5-1 , HAM
229 , FCB , 2-1 , H96
230 , FCB , 2-0 , KAI
231 , FCB , 1-0 , KÖL
