0 , BOL , 0-0 , CAG
1 , BOL , 2-0 , CTN
2 , BOL , 0-0 , FIO
3 , BOL , 1-2 , FOG
4 , BOL , 2-2 , INT
5 , BOL , 1-0 , JUV
6 , BOL , 3-0 , LRV
7 , BOL , 2-0 , LAZ
8 , BOL , 3-2 , MIL
9 , BOL , 1-0 , NAP
10 , BOL , 0-0 , ROM
11 , BOL , 1-1 , SAM
12 , BOL , 1-0 , TOR
13 , BOL , 1-0 , VAR
14 , BOL , 2-2 , HEL
15 , CAG , 2-1 , BOL
16 , CAG , 1-1 , CTN
17 , CAG , 2-0 , FIO
18 , CAG , 1-1 , FOG
19 , CAG , 0-0 , INT
20 , CAG , 1-1 , JUV
21 , CAG , 1-1 , LRV
22 , CAG , 2-1 , LAZ
23 , CAG , 0-4 , MIL
24 , CAG , 1-1 , NAP
25 , CAG , 0-1 , ROM
26 , CAG , 2-1 , SAM
27 , CAG , 0-0 , TOR
28 , CAG , 1-1 , VAR
29 , CAG , 4-1 , HEL
30 , CTN , 0-0 , BOL
31 , CTN , 1-1 , CAG
32 , CTN , 0-0 , FIO
33 , CTN , 2-0 , FOG
34 , CTN , 0-1 , INT
35 , CTN , 0-1 , JUV
36 , CTN , 1-1 , LRV
37 , CTN , 3-1 , LAZ
38 , CTN , 0-0 , MIL
39 , CTN , 1-0 , NAP
40 , CTN , 1-2 , ROM
41 , CTN , 1-3 , SAM
42 , CTN , 1-0 , TOR
43 , CTN , 0-0 , VAR
44 , CTN , 0-1 , HEL
45 , FIO , 1-2 , BOL
46 , FIO , 1-2 , CAG
47 , FIO , 1-1 , CTN
48 , FIO , 3-0 , FOG
49 , FIO , 2-2 , INT
50 , FIO , 1-2 , JUV
51 , FIO , 0-0 , LRV
52 , FIO , 1-1 , LAZ
53 , FIO , 2-5 , MIL
54 , FIO , 0-1 , NAP
55 , FIO , 2-2 , ROM
56 , FIO , 0-0 , SAM
57 , FIO , 1-1 , TOR
58 , FIO , 1-1 , VAR
59 , FIO , 1-1 , HEL
60 , FOG , 1-1 , BOL
61 , FOG , 0-0 , CAG
62 , FOG , 1-0 , CTN
63 , FOG , 1-1 , FIO
64 , FOG , 1-1 , INT
65 , FOG , 0-0 , JUV
66 , FOG , 1-1 , LRV
67 , FOG , 5-2 , LAZ
68 , FOG , 1-1 , MIL
69 , FOG , 0-3 , NAP
70 , FOG , 1-0 , ROM
71 , FOG , 2-2 , SAM
72 , FOG , 1-0 , TOR
73 , FOG , 2-2 , VAR
74 , FOG , 3-0 , HEL
75 , INT , 1-0 , BOL
76 , INT , 1-3 , CAG
77 , INT , 3-2 , CTN
78 , INT , 2-1 , FIO
79 , INT , 5-0 , FOG
80 , INT , 2-0 , JUV
81 , INT , 2-1 , LRV
82 , INT , 1-1 , LAZ
83 , INT , 2-0 , MIL
84 , INT , 2-1 , NAP
85 , INT , 0-0 , ROM
86 , INT , 3-1 , SAM
87 , INT , 2-0 , TOR
88 , INT , 3-2 , VAR
89 , INT , 1-0 , HEL
90 , JUV , 0-0 , BOL
91 , JUV , 2-1 , CAG
92 , JUV , 5-0 , CTN
93 , JUV , 1-1 , FIO
94 , JUV , 2-1 , FOG
95 , JUV , 1-1 , INT
96 , JUV , 2-1 , LRV
97 , JUV , 3-1 , LAZ
98 , JUV , 0-2 , MIL
99 , JUV , 4-1 , NAP
100 , JUV , 2-0 , ROM
101 , JUV , 3-1 , SAM
102 , JUV , 3-3 , TOR
103 , JUV , 2-2 , VAR
104 , JUV , 2-1 , HEL
105 , LRV , 0-0 , BOL
106 , LRV , 1-1 , CAG
107 , LRV , 0-0 , CTN
108 , LRV , 0-1 , FIO
109 , LRV , 1-0 , FOG
110 , LRV , 1-2 , INT
111 , LRV , 1-1 , JUV
112 , LRV , 1-0 , LAZ
113 , LRV , 1-1 , MIL
114 , LRV , 0-1 , NAP
115 , LRV , 0-0 , ROM
116 , LRV , 0-0 , SAM
117 , LRV , 1-1 , TOR
118 , LRV , 3-1 , VAR
119 , LRV , 0-0 , HEL
120 , LAZ , 2-2 , BOL
121 , LAZ , 2-4 , CAG
122 , LAZ , 1-0 , CTN
123 , LAZ , 0-0 , FIO
124 , LAZ , 2-1 , FOG
125 , LAZ , 0-1 , INT
126 , LAZ , 2-2 , JUV
127 , LAZ , 0-1 , LRV
128 , LAZ , 0-1 , MIL
129 , LAZ , 0-0 , NAP
130 , LAZ , 1-1 , ROM
131 , LAZ , 1-0 , SAM
132 , LAZ , 1-0 , TOR
133 , LAZ , 0-0 , VAR
134 , LAZ , 1-1 , HEL
135 , MIL , 2-1 , BOL
136 , MIL , 3-1 , CAG
137 , MIL , 4-0 , CTN
138 , MIL , 1-0 , FIO
139 , MIL , 2-0 , FOG
140 , MIL , 3-0 , INT
141 , MIL , 1-1 , JUV
142 , MIL , 3-1 , LRV
143 , MIL , 1-1 , LAZ
144 , MIL , 1-1 , NAP
145 , MIL , 2-2 , ROM
146 , MIL , 3-1 , SAM
147 , MIL , 1-0 , TOR
148 , MIL , 1-2 , VAR
149 , MIL , 1-1 , HEL
150 , NAP , 3-0 , BOL
151 , NAP , 1-0 , CAG
152 , NAP , 1-0 , CTN
153 , NAP , 0-0 , FIO
154 , NAP , 0-0 , FOG
155 , NAP , 2-1 , INT
156 , NAP , 1-0 , JUV
157 , NAP , 1-0 , LRV
158 , NAP , 2-0 , LAZ
159 , NAP , 0-2 , MIL
160 , NAP , 1-2 , ROM
161 , NAP , 0-0 , SAM
162 , NAP , 2-0 , TOR
163 , NAP , 1-0 , VAR
164 , NAP , 2-0 , HEL
165 , ROM , 1-1 , BOL
166 , ROM , 0-0 , CAG
167 , ROM , 5-0 , CTN
168 , ROM , 0-1 , FIO
169 , ROM , 3-1 , FOG
170 , ROM , 0-0 , INT
171 , ROM , 0-0 , JUV
172 , ROM , 4-1 , LRV
173 , ROM , 2-2 , LAZ
174 , ROM , 1-1 , MIL
175 , ROM , 2-2 , NAP
176 , ROM , 0-0 , SAM
177 , ROM , 1-1 , TOR
178 , ROM , 3-0 , VAR
179 , ROM , 0-0 , HEL
180 , SAM , 1-2 , BOL
181 , SAM , 0-0 , CAG
182 , SAM , 2-0 , CTN
183 , SAM , 2-2 , FIO
184 , SAM , 2-0 , FOG
185 , SAM , 0-2 , INT
186 , SAM , 2-0 , JUV
187 , SAM , 1-2 , LRV
188 , SAM , 2-3 , LAZ
189 , SAM , 1-1 , MIL
190 , SAM , 0-1 , NAP
191 , SAM , 0-0 , ROM
192 , SAM , 0-0 , TOR
193 , SAM , 2-1 , VAR
194 , SAM , 3-0 , HEL
195 , TOR , 1-0 , BOL
196 , TOR , 2-1 , CAG
197 , TOR , 1-1 , CTN
198 , TOR , 1-1 , FIO
199 , TOR , 1-1 , FOG
200 , TOR , 0-2 , INT
201 , TOR , 2-1 , JUV
202 , TOR , 2-3 , LRV
203 , TOR , 1-1 , LAZ
204 , TOR , 1-1 , MIL
205 , TOR , 1-1 , NAP
206 , TOR , 4-0 , ROM
207 , TOR , 0-0 , SAM
208 , TOR , 3-1 , VAR
209 , TOR , 1-0 , HEL
210 , VAR , 0-0 , BOL
211 , VAR , 4-1 , CAG
212 , VAR , 0-1 , CTN
213 , VAR , 0-0 , FIO
214 , VAR , 3-0 , FOG
215 , VAR , 1-3 , INT
216 , VAR , 0-0 , JUV
217 , VAR , 0-0 , LRV
218 , VAR , 2-1 , LAZ
219 , VAR , 1-1 , MIL
220 , VAR , 1-1 , NAP
221 , VAR , 0-0 , ROM
222 , VAR , 1-1 , SAM
223 , VAR , 0-0 , TOR
224 , VAR , 2-0 , HEL
225 , HEL , 0-0 , BOL
226 , HEL , 2-0 , CAG
227 , HEL , 1-1 , CTN
228 , HEL , 1-1 , FIO
229 , HEL , 1-1 , FOG
230 , HEL , 1-2 , INT
231 , HEL , 0-0 , JUV
232 , HEL , 1-0 , LRV
233 , HEL , 1-0 , LAZ
234 , HEL , 1-3 , MIL
235 , HEL , 0-2 , NAP
236 , HEL , 1-0 , ROM
237 , HEL , 3-1 , SAM
238 , HEL , 1-0 , TOR
239 , HEL , 1-1 , VAR
