0 , BSC , 2-0 , BOC
1 , BSC , 3-0 , BRS
2 , BSC , 2-1 , BRE
3 , BSC , 0-0 , DUI
4 , BSC , 2-3 , DÜS
5 , BSC , 3-1 , FRA
6 , BSC , 2-1 , HAM
7 , BSC , 2-1 , H96
8 , BSC , 4-1 , KAI
9 , BSC , 1-1 , KÖL
10 , BSC , 3-1 , MGL
11 , BSC , 2-5 , FCB
12 , BSC , 3-1 , OBH
13 , BSC , 2-5 , OFF
14 , BSC , 3-0 , S04
15 , BSC , 5-1 , STU
16 , BSC , 0-1 , WUP
17 , BOC , 2-1 , BSC
18 , BOC , 2-2 , BRS
19 , BOC , 2-0 , BRE
20 , BOC , 2-1 , DUI
21 , BOC , 2-2 , DÜS
22 , BOC , 2-1 , FRA
23 , BOC , 3-3 , HAM
24 , BOC , 2-0 , H96
25 , BOC , 3-0 , KAI
26 , BOC , 2-4 , KÖL
27 , BOC , 3-0 , MGL
28 , BOC , 0-2 , FCB
29 , BOC , 2-2 , OBH
30 , BOC , 2-3 , OFF
31 , BOC , 2-0 , S04
32 , BOC , 3-1 , STU
33 , BOC , 2-2 , WUP
34 , BRS , 2-1 , BSC
35 , BRS , 0-2 , BOC
36 , BRS , 1-0 , BRE
37 , BRS , 1-1 , DUI
38 , BRS , 1-2 , DÜS
39 , BRS , 2-1 , FRA
40 , BRS , 1-1 , HAM
41 , BRS , 3-2 , H96
42 , BRS , 0-0 , KAI
43 , BRS , 2-0 , KÖL
44 , BRS , 0-0 , MGL
45 , BRS , 0-2 , FCB
46 , BRS , 3-1 , OBH
47 , BRS , 2-2 , OFF
48 , BRS , 1-1 , S04
49 , BRS , 1-0 , STU
50 , BRS , 0-1 , WUP
51 , BRE , 1-1 , BSC
52 , BRE , 5-2 , BOC
53 , BRE , 4-2 , BRS
54 , BRE , 0-2 , DUI
55 , BRE , 1-3 , DÜS
56 , BRE , 2-0 , FRA
57 , BRE , 1-4 , HAM
58 , BRE , 3-1 , H96
59 , BRE , 5-1 , KAI
60 , BRE , 2-1 , KÖL
61 , BRE , 1-1 , MGL
62 , BRE , 1-0 , FCB
63 , BRE , 1-0 , OBH
64 , BRE , 0-0 , OFF
65 , BRE , 2-0 , S04
66 , BRE , 0-2 , STU
67 , BRE , 0-1 , WUP
68 , DUI , 2-1 , BSC
69 , DUI , 0-1 , BOC
70 , DUI , 3-2 , BRS
71 , DUI , 1-2 , BRE
72 , DUI , 0-0 , DÜS
73 , DUI , 2-1 , FRA
74 , DUI , 3-0 , HAM
75 , DUI , 3-1 , H96
76 , DUI , 3-4 , KAI
77 , DUI , 1-1 , KÖL
78 , DUI , 2-2 , MGL
79 , DUI , 2-0 , FCB
80 , DUI , 4-1 , OBH
81 , DUI , 4-0 , OFF
82 , DUI , 0-1 , S04
83 , DUI , 0-1 , STU
84 , DUI , 0-0 , WUP
85 , DÜS , 3-1 , BSC
86 , DÜS , 1-1 , BOC
87 , DÜS , 2-0 , BRS
88 , DÜS , 2-1 , BRE
89 , DÜS , 2-1 , DUI
90 , DÜS , 2-2 , FRA
91 , DÜS , 2-2 , HAM
92 , DÜS , 0-1 , H96
93 , DÜS , 2-1 , KAI
94 , DÜS , 3-2 , KÖL
95 , DÜS , 1-3 , MGL
96 , DÜS , 0-0 , FCB
97 , DÜS , 3-1 , OBH
98 , DÜS , 2-0 , OFF
99 , DÜS , 1-1 , S04
100 , DÜS , 6-1 , STU
101 , DÜS , 2-1 , WUP
102 , FRA , 2-2 , BSC
103 , FRA , 4-1 , BOC
104 , FRA , 1-0 , BRS
105 , FRA , 2-2 , BRE
106 , FRA , 1-3 , DUI
107 , FRA , 2-1 , DÜS
108 , FRA , 2-1 , HAM
109 , FRA , 2-0 , H96
110 , FRA , 3-1 , KAI
