0 , BSC , 2-1 , TBB
1 , BSC , 4-2 , BOC
2 , BSC , 3-1 , BRS
3 , BSC , 2-0 , BRE
4 , BSC , 3-0 , DUI
5 , BSC , 3-3 , DÜS
6 , BSC , 4-2 , RWE
7 , BSC , 2-1 , FRA
8 , BSC , 1-0 , HAM
9 , BSC , 2-1 , KAI
10 , BSC , 1-1 , KÖL
11 , BSC , 2-1 , MGL
12 , BSC , 4-1 , FCB
13 , BSC , 4-1 , OFF
14 , BSC , 1-0 , S04
15 , BSC , 4-0 , STU
16 , BSC , 2-0 , WUP
17 , TBB , 0-3 , BSC
18 , TBB , 2-0 , BOC
19 , TBB , 2-2 , BRS
20 , TBB , 4-0 , BRE
21 , TBB , 2-3 , DUI
22 , TBB , 1-4 , DÜS
23 , TBB , 1-0 , RWE
24 , TBB , 1-4 , FRA
25 , TBB , 0-3 , HAM
26 , TBB , 3-2 , KAI
27 , TBB , 2-3 , KÖL
28 , TBB , 1-4 , MGL
29 , TBB , 2-2 , FCB
30 , TBB , 0-2 , OFF
31 , TBB , 0-2 , S04
32 , TBB , 1-1 , STU
33 , TBB , 0-0 , WUP
34 , BOC , 4-0 , BSC
35 , BOC , 0-0 , TBB
36 , BOC , 1-0 , BRS
37 , BOC , 3-1 , BRE
38 , BOC , 1-2 , DUI
39 , BOC , 4-2 , DÜS
40 , BOC , 2-2 , RWE
41 , BOC , 3-1 , FRA
42 , BOC , 4-2 , HAM
43 , BOC , 4-0 , KAI
44 , BOC , 3-2 , KÖL
45 , BOC , 0-0 , MGL
46 , BOC , 3-0 , FCB
47 , BOC , 3-1 , OFF
48 , BOC , 2-1 , S04
49 , BOC , 1-0 , STU
50 , BOC , 4-2 , WUP
51 , BRS , 2-1 , BSC
52 , BRS , 5-0 , TBB
53 , BRS , 2-0 , BOC
54 , BRS , 0-0 , BRE
55 , BRS , 4-1 , DUI
56 , BRS , 3-0 , DÜS
57 , BRS , 4-2 , RWE
58 , BRS , 2-0 , FRA
59 , BRS , 1-2 , HAM
60 , BRS , 3-2 , KAI
61 , BRS , 1-4 , KÖL
62 , BRS , 1-3 , MGL
63 , BRS , 3-1 , FCB
64 , BRS , 1-0 , OFF
65 , BRS , 1-0 , S04
66 , BRS , 6-0 , STU
67 , BRS , 1-1 , WUP
68 , BRE , 4-0 , BSC
69 , BRE , 1-1 , TBB
70 , BRE , 3-0 , BOC
71 , BRE , 0-0 , BRS
72 , BRE , 3-1 , DUI
73 , BRE , 0-0 , DÜS
74 , BRE , 0-0 , RWE
75 , BRE , 0-3 , FRA
76 , BRE , 1-0 , HAM
77 , BRE , 3-1 , KAI
78 , BRE , 4-1 , KÖL
79 , BRE , 1-4 , MGL
80 , BRE , 0-2 , FCB
81 , BRE , 3-6 , OFF
82 , BRE , 0-1 , S04
83 , BRE , 5-2 , STU
84 , BRE , 2-1 , WUP
85 , DUI , 1-3 , BSC
86 , DUI , 2-3 , TBB
87 , DUI , 3-1 , BOC
88 , DUI , 3-2 , BRS
89 , DUI , 4-0 , BRE
90 , DUI , 0-3 , DÜS
91 , DUI , 3-3 , RWE
92 , DUI , 1-3 , FRA
93 , DUI , 2-0 , HAM
94 , DUI , 3-2 , KAI
95 , DUI , 1-3 , KÖL
96 , DUI , 1-1 , MGL
97 , DUI , 2-1 , FCB
98 , DUI , 2-1 , OFF
99 , DUI , 2-0 , S04
100 , DUI , 3-3 , STU
101 , DUI , 2-2 , WUP
102 , DÜS , 0-0 , BSC
103 , DÜS , 3-2 , TBB
104 , DÜS , 0-1 , BOC
105 , DÜS , 2-2 , BRS
106 , DÜS , 4-1 , BRE
107 , DÜS , 1-1 , DUI
108 , DÜS , 4-0 , RWE
109 , DÜS , 2-2 , FRA
110 , DÜS , 0-0 , HAM
111 , DÜS , 2-0 , KAI
112 , DÜS , 3-0 , KÖL
113 , DÜS , 3-2 , MGL
114 , DÜS , 6-5 , FCB
115 , DÜS , 3-2 , OFF
116 , DÜS , 2-1 , S04
117 , DÜS , 4-0 , STU
118 , DÜS , 2-0 , WUP
119 , RWE , 2-1 , BSC
120 , RWE , 3-2 , TBB
121 , RWE , 1-1 , BOC
122 , RWE , 1-2 , BRS
123 , RWE , 1-1 , BRE
124 , RWE , 3-0 , DUI
125 , RWE , 1-2 , DÜS
126 , RWE , 0-5 , FRA
127 , RWE , 0-0 , HAM
128 , RWE , 3-1 , KAI
129 , RWE , 1-1 , KÖL
130 , RWE , 1-3 , MGL
131 , RWE , 2-2 , FCB
