0 , ASC , 1-3 , BOL
1 , ASC , 0-0 , CAG
2 , ASC , 0-0 , CES
3 , ASC , 0-1 , FIO
4 , ASC , 0-0 , INT
5 , ASC , 0-0 , JUV
6 , ASC , 1-0 , LRV
7 , ASC , 1-0 , LAZ
8 , ASC , 1-1 , MIL
9 , ASC , 1-1 , NAP
10 , ASC , 0-0 , ROM
11 , ASC , 1-0 , SAM
12 , ASC , 1-0 , TER
13 , ASC , 1-1 , TOR
14 , ASC , 2-0 , VAR
15 , BOL , 1-1 , ASC
16 , BOL , 2-0 , CAG
17 , BOL , 3-2 , CES
18 , BOL , 1-0 , FIO
19 , BOL , 2-1 , INT
20 , BOL , 2-1 , JUV
21 , BOL , 1-1 , LRV
22 , BOL , 1-2 , LAZ
23 , BOL , 0-0 , MIL
24 , BOL , 1-0 , NAP
25 , BOL , 1-0 , ROM
26 , BOL , 2-2 , SAM
27 , BOL , 1-1 , TER
28 , BOL , 1-3 , TOR
29 , BOL , 1-1 , VAR
30 , CAG , 2-0 , ASC
31 , CAG , 1-1 , BOL
32 , CAG , 2-2 , CES
33 , CAG , 2-1 , FIO
34 , CAG , 0-1 , INT
35 , CAG , 1-1 , JUV
36 , CAG , 0-0 , LRV
37 , CAG , 1-1 , LAZ
38 , CAG , 0-0 , MIL
39 , CAG , 1-1 , NAP
40 , CAG , 1-2 , ROM
41 , CAG , 1-0 , SAM
42 , CAG , 2-0 , TER
43 , CAG , 0-0 , TOR
44 , CAG , 1-1 , VAR
45 , CES , 0-0 , ASC
46 , CES , 2-2 , BOL
47 , CES , 2-1 , CAG
48 , CES , 1-1 , FIO
49 , CES , 0-0 , INT
50 , CES , 0-1 , JUV
51 , CES , 3-1 , LRV
52 , CES , 0-0 , LAZ
53 , CES , 1-0 , MIL
54 , CES , 0-0 , NAP
55 , CES , 0-0 , ROM
56 , CES , 1-1 , SAM
57 , CES , 2-1 , TER
58 , CES , 1-1 , TOR
59 , CES , 1-1 , VAR
60 , FIO , 0-0 , ASC
61 , FIO , 1-0 , BOL
62 , FIO , 2-1 , CAG
63 , FIO , 2-2 , CES
64 , FIO , 1-1 , INT
65 , FIO , 4-1 , JUV
66 , FIO , 0-0 , LRV
67 , FIO , 1-1 , LAZ
68 , FIO , 1-1 , MIL
69 , FIO , 1-1 , NAP
70 , FIO , 0-0 , ROM
71 , FIO , 0-2 , SAM
72 , FIO , 2-0 , TER
73 , FIO , 2-2 , TOR
74 , FIO , 2-0 , VAR
75 , INT , 0-1 , ASC
76 , INT , 1-1 , BOL
77 , INT , 4-1 , CAG
78 , INT , 0-1 , CES
79 , INT , 1-0 , FIO
80 , INT , 0-1 , JUV
81 , INT , 0-0 , LRV
82 , INT , 3-1 , LAZ
83 , INT , 0-0 , MIL
84 , INT , 0-0 , NAP
85 , INT , 0-2 , ROM
86 , INT , 0-0 , SAM
87 , INT , 1-0 , TER
88 , INT , 1-0 , TOR
89 , INT , 1-0 , VAR
90 , JUV , 4-0 , ASC
91 , JUV , 0-0 , BOL
92 , JUV , 1-0 , CAG
93 , JUV , 1-0 , CES
94 , JUV , 0-0 , FIO
95 , JUV , 1-0 , INT
96 , JUV , 5-0 , LRV
97 , JUV , 4-0 , LAZ
98 , JUV , 2-1 , MIL
99 , JUV , 2-1 , NAP
100 , JUV , 1-0 , ROM
101 , JUV , 1-1 , SAM
102 , JUV , 2-0 , TER
103 , JUV , 0-0 , TOR
104 , JUV , 3-0 , VAR
105 , LRV , 1-0 , ASC
106 , LRV , 0-1 , BOL
107 , LRV , 0-0 , CAG
108 , LRV , 2-0 , CES
109 , LRV , 0-1 , FIO
110 , LRV , 1-3 , INT
111 , LRV , 1-2 , JUV
112 , LRV , 1-2 , LAZ
113 , LRV , 2-0 , MIL
114 , LRV , 2-2 , NAP
115 , LRV , 0-2 , ROM
116 , LRV , 1-1 , SAM
117 , LRV , 1-0 , TER
118 , LRV , 1-0 , TOR
119 , LRV , 1-1 , VAR
120 , LAZ , 1-0 , ASC
121 , LAZ , 1-0 , BOL
122 , LAZ , 1-0 , CAG
123 , LAZ , 2-1 , CES
124 , LAZ , 1-0 , FIO
125 , LAZ , 1-2 , INT
126 , LAZ , 1-0 , JUV
127 , LAZ , 1-0 , LRV
128 , LAZ , 3-0 , MIL
129 , LAZ , 1-1 , NAP
130 , LAZ , 0-1 , ROM
131 , LAZ , 3-0 , SAM
132 , LAZ , 0-0 , TER
133 , LAZ , 1-5 , TOR
134 , LAZ , 2-0 , VAR
135 , MIL , 2-0 , ASC
136 , MIL , 3-0 , BOL
137 , MIL , 0-0 , CAG
138 , MIL , 3-0 , CES
139 , MIL , 1-1 , FIO
140 , MIL , 3-0 , INT
141 , MIL , 0-2 , JUV
142 , MIL , 1-0 , LRV
143 , MIL , 1-1 , LAZ
144 , MIL , 0-0 , NAP
145 , MIL , 1-1 , ROM
146 , MIL , 0-0 , SAM
147 , MIL , 3-1 , TER
148 , MIL , 2-0 , TOR
149 , MIL , 4-0 , VAR
150 , NAP , 3-1 , ASC
151 , NAP , 1-0 , BOL
152 , NAP , 5-0 , CAG
153 , NAP , 4-0 , CES
154 , NAP , 1-0 , FIO
155 , NAP , 3-2 , INT
156 , NAP , 2-6 , JUV
157 , NAP , 2-0 , LRV
158 , NAP , 1-1 , LAZ
159 , NAP , 2-0 , MIL
160 , NAP , 2-0 , ROM
161 , NAP , 2-0 , SAM
162 , NAP , 7-1 , TER
163 , NAP , 1-0 , TOR
164 , NAP , 3-0 , VAR
165 , ROM , 1-0 , ASC
166 , ROM , 2-1 , BOL
167 , ROM , 1-1 , CAG
168 , ROM , 2-0 , CES
169 , ROM , 1-0 , FIO
170 , ROM , 1-0 , INT
171 , ROM , 1-0 , JUV
172 , ROM , 1-0 , LRV
173 , ROM , 1-0 , LAZ
174 , ROM , 0-1 , MIL
175 , ROM , 0-0 , NAP
176 , ROM , 1-0 , SAM
177 , ROM , 4-2 , TER
178 , ROM , 0-1 , TOR
179 , ROM , 1-0 , VAR
180 , SAM , 0-0 , ASC
181 , SAM , 1-0 , BOL
182 , SAM , 0-0 , CAG
183 , SAM , 0-0 , CES
184 , SAM , 3-4 , FIO
185 , SAM , 1-1 , INT
186 , SAM , 1-3 , JUV
187 , SAM , 1-1 , LRV
188 , SAM , 0-2 , LAZ
189 , SAM , 2-4 , MIL
190 , SAM , 1-1 , NAP
191 , SAM , 0-0 , ROM
192 , SAM , 1-0 , TER
193 , SAM , 0-0 , TOR
194 , SAM , 1-0 , VAR
195 , TER , 1-0 , ASC
196 , TER , 0-0 , BOL
197 , TER , 0-2 , CAG
198 , TER , 1-0 , CES
199 , TER , 0-1 , FIO
200 , TER , 0-0 , INT
201 , TER , 0-2 , JUV
202 , TER , 0-0 , LRV
203 , TER , 1-1 , LAZ
204 , TER , 1-3 , MIL
205 , TER , 0-0 , NAP
206 , TER , 2-2 , ROM
207 , TER , 1-1 , SAM
208 , TER , 2-1 , TOR
209 , TER , 2-0 , VAR
210 , TOR , 1-0 , ASC
211 , TOR , 3-3 , BOL
212 , TOR , 1-0 , CAG
213 , TOR , 2-0 , CES
214 , TOR , 2-1 , FIO
215 , TOR , 2-3 , INT
216 , TOR , 3-2 , JUV
217 , TOR , 2-1 , LRV
218 , TOR , 2-2 , LAZ
219 , TOR , 1-1 , MIL
220 , TOR , 1-1 , NAP
221 , TOR , 1-0 , ROM
222 , TOR , 1-1 , SAM
223 , TOR , 1-1 , TER
224 , TOR , 3-1 , VAR
225 , VAR , 3-1 , ASC
226 , VAR , 1-4 , BOL
227 , VAR , 0-1 , CAG
228 , VAR , 1-1 , CES
229 , VAR , 1-1 , FIO
230 , VAR , 2-0 , INT
231 , VAR , 0-0 , JUV
232 , VAR , 1-1 , LRV
233 , VAR , 0-1 , LAZ
234 , VAR , 0-1 , MIL
235 , VAR , 0-2 , NAP
236 , VAR , 0-0 , ROM
237 , VAR , 4-0 , SAM
