0 , BOL , 0-0 , CTZ
1 , BOL , 0-0 , CES
2 , BOL , 2-0 , FIO
3 , BOL , 0-0 , FOG
4 , BOL , 0-0 , GEN
5 , BOL , 1-5 , INT
6 , BOL , 0-1 , JUV
7 , BOL , 1-0 , LAZ
8 , BOL , 2-2 , MIL
9 , BOL , 0-1 , NAP
10 , BOL , 1-0 , PER
11 , BOL , 2-0 , ROM
12 , BOL , 4-1 , SAM
13 , BOL , 0-3 , TOR
14 , BOL , 0-0 , HEL
15 , CTZ , 1-2 , BOL
16 , CTZ , 4-2 , CES
17 , CTZ , 0-1 , FIO
18 , CTZ , 3-1 , FOG
19 , CTZ , 2-1 , GEN
20 , CTZ , 1-3 , INT
21 , CTZ , 0-2 , JUV
22 , CTZ , 1-2 , LAZ
23 , CTZ , 1-0 , MIL
24 , CTZ , 0-0 , NAP
25 , CTZ , 1-1 , PER
26 , CTZ , 1-1 , ROM
27 , CTZ , 1-0 , SAM
28 , CTZ , 0-4 , TOR
29 , CTZ , 2-1 , HEL
30 , CES , 0-0 , BOL
31 , CES , 1-0 , CTZ
32 , CES , 1-2 , FIO
33 , CES , 2-3 , FOG
34 , CES , 1-1 , GEN
35 , CES , 0-0 , INT
36 , CES , 0-1 , JUV
37 , CES , 0-0 , LAZ
38 , CES , 0-2 , MIL
39 , CES , 0-2 , NAP
40 , CES , 0-3 , PER
41 , CES , 4-0 , ROM
42 , CES , 1-1 , SAM
43 , CES , 0-3 , TOR
44 , CES , 0-1 , HEL
45 , FIO , 3-0 , BOL
46 , FIO , 1-1 , CTZ
47 , FIO , 2-1 , CES
48 , FIO , 4-1 , FOG
49 , FIO , 1-2 , GEN
50 , FIO , 3-0 , INT
51 , FIO , 1-3 , JUV
52 , FIO , 0-1 , LAZ
53 , FIO , 1-1 , MIL
54 , FIO , 2-1 , NAP
55 , FIO , 1-0 , PER
56 , FIO , 1-1 , ROM
57 , FIO , 1-1 , SAM
58 , FIO , 0-1 , TOR
59 , FIO , 2-1 , HEL
60 , FOG , 1-0 , BOL
61 , FOG , 1-0 , CTZ
62 , FOG , 0-2 , CES
63 , FOG , 2-3 , FIO
64 , FOG , 2-3 , GEN
65 , FOG , 0-0 , INT
66 , FOG , 0-1 , JUV
67 , FOG , 1-0 , LAZ
68 , FOG , 2-1 , MIL
69 , FOG , 2-2 , NAP
70 , FOG , 2-1 , PER
71 , FOG , 1-0 , ROM
72 , FOG , 2-0 , SAM
73 , FOG , 0-1 , TOR
74 , FOG , 4-1 , HEL
75 , GEN , 0-2 , BOL
76 , GEN , 2-0 , CTZ
77 , GEN , 4-1 , CES
78 , GEN , 1-1 , FIO
79 , GEN , 1-2 , FOG
80 , GEN , 2-2 , INT
81 , GEN , 2-2 , JUV
82 , GEN , 3-1 , LAZ
83 , GEN , 1-0 , MIL
84 , GEN , 2-3 , NAP
85 , GEN , 0-0 , PER
86 , GEN , 2-2 , ROM
87 , GEN , 1-1 , SAM
88 , GEN , 1-1 , TOR
89 , GEN , 1-0 , HEL
90 , INT , 0-0 , BOL
91 , INT , 2-1 , CTZ
92 , INT , 1-1 , CES
93 , INT , 1-1 , FIO
94 , INT , 1-1 , FOG
95 , INT , 1-0 , GEN
96 , INT , 0-2 , JUV
97 , INT , 1-1 , LAZ
98 , INT , 0-0 , MIL
99 , INT , 3-2 , NAP
100 , INT , 1-1 , PER
101 , INT , 3-0 , ROM
102 , INT , 0-0 , SAM
103 , INT , 0-1 , TOR
104 , INT , 0-0 , HEL
105 , JUV , 2-1 , BOL
106 , JUV , 3-0 , CTZ
107 , JUV , 3-2 , CES
108 , JUV , 0-0 , FIO
109 , JUV , 1-0 , FOG
110 , JUV , 1-0 , GEN
111 , JUV , 2-0 , INT
112 , JUV , 2-0 , LAZ
113 , JUV , 2-1 , MIL
114 , JUV , 2-1 , NAP
115 , JUV , 1-0 , PER
116 , JUV , 1-0 , ROM
117 , JUV , 3-0 , SAM
118 , JUV , 0-2 , TOR
119 , JUV , 2-1 , HEL
120 , LAZ , 3-0 , BOL
121 , LAZ , 0-1 , CTZ
122 , LAZ , 3-0 , CES
123 , LAZ , 4-1 , FIO
124 , LAZ , 0-0 , FOG
125 , LAZ , 4-1 , GEN
126 , LAZ , 2-1 , INT
127 , LAZ , 2-3 , JUV
128 , LAZ , 1-2 , MIL
129 , LAZ , 0-0 , NAP
130 , LAZ , 1-0 , PER
131 , LAZ , 1-0 , ROM
132 , LAZ , 1-0 , SAM
133 , LAZ , 0-0 , TOR
134 , LAZ , 1-1 , HEL
135 , MIL , 1-1 , BOL
136 , MIL , 3-2 , CTZ
137 , MIL , 0-0 , CES
138 , MIL , 0-0 , FIO
139 , MIL , 0-0 , FOG
140 , MIL , 2-2 , GEN
141 , MIL , 1-1 , INT
142 , MIL , 2-3 , JUV
143 , MIL , 2-2 , LAZ
144 , MIL , 1-1 , NAP
145 , MIL , 2-1 , PER
146 , MIL , 1-1 , ROM
147 , MIL , 3-0 , SAM
148 , MIL , 0-0 , TOR
149 , MIL , 0-0 , HEL
150 , NAP , 1-2 , BOL
151 , NAP , 1-0 , CTZ
152 , NAP , 3-1 , CES
153 , NAP , 0-2 , FIO
154 , NAP , 3-2 , FOG
155 , NAP , 1-1 , GEN
156 , NAP , 0-3 , INT
157 , NAP , 0-2 , JUV
158 , NAP , 1-1 , LAZ
159 , NAP , 3-1 , MIL
160 , NAP , 1-1 , PER
161 , NAP , 1-0 , ROM
162 , NAP , 1-1 , SAM
163 , NAP , 0-0 , TOR
164 , NAP , 3-0 , HEL
165 , PER , 1-0 , BOL
166 , PER , 1-1 , CTZ
167 , PER , 1-0 , CES
168 , PER , 0-0 , FIO
169 , PER , 1-0 , FOG
170 , PER , 2-1 , GEN
171 , PER , 0-1 , INT
172 , PER , 1-1 , JUV
173 , PER , 2-0 , LAZ
174 , PER , 3-1 , MIL
175 , PER , 4-2 , NAP
176 , PER , 3-0 , ROM
177 , PER , 0-0 , SAM
178 , PER , 1-1 , TOR
179 , PER , 1-1 , HEL
180 , ROM , 1-0 , BOL
181 , ROM , 1-0 , CTZ
182 , ROM , 2-0 , CES
183 , ROM , 0-0 , FIO
184 , ROM , 3-1 , FOG
185 , ROM , 1-0 , GEN
186 , ROM , 2-3 , INT
187 , ROM , 3-1 , JUV
188 , ROM , 1-0 , LAZ
189 , ROM , 1-1 , MIL
190 , ROM , 0-0 , NAP
191 , ROM , 2-2 , PER
192 , ROM , 3-0 , SAM
193 , ROM , 1-0 , TOR
194 , ROM , 0-0 , HEL
195 , SAM , 0-0 , BOL
196 , SAM , 3-1 , CTZ
197 , SAM , 2-1 , CES
198 , SAM , 2-2 , FIO
199 , SAM , 2-1 , FOG
200 , SAM , 1-2 , GEN
201 , SAM , 0-1 , INT
202 , SAM , 0-2 , JUV
