0 , BWB , 0-0 , BOC
1 , BWB , 1-4 , BRE
2 , BWB , 1-1 , DOR
3 , BWB , 1-2 , DÜS
4 , BWB , 2-2 , FRA
5 , BWB , 1-3 , HAM
6 , BWB , 2-2 , HOM
7 , BWB , 1-4 , KAI
8 , BWB , 1-1 , KÖL
9 , BWB , 0-1 , LEV
10 , BWB , 4-1 , WMA
11 , BWB , 3-2 , MGL
12 , BWB , 1-1 , FCB
13 , BWB , 1-4 , NUR
14 , BWB , 0-0 , S04
15 , BWB , 0-2 , STU
16 , BWB , 1-1 , UER
17 , BOC , 5-1 , BWB
18 , BOC , 1-1 , BRE
19 , BOC , 0-0 , DOR
20 , BOC , 2-2 , DÜS
21 , BOC , 2-0 , FRA
22 , BOC , 1-1 , HAM
23 , BOC , 0-0 , HOM
24 , BOC , 3-1 , KAI
25 , BOC , 3-1 , KÖL
26 , BOC , 2-1 , LEV
27 , BOC , 6-1 , WMA
28 , BOC , 1-1 , MGL
29 , BOC , 1-2 , FCB
30 , BOC , 0-1 , NUR
31 , BOC , 1-1 , S04
32 , BOC , 0-1 , STU
33 , BOC , 2-1 , UER
34 , BRE , 2-0 , BWB
35 , BRE , 0-0 , BOC
36 , BRE , 5-0 , DOR
37 , BRE , 5-2 , DÜS
38 , BRE , 4-1 , FRA
39 , BRE , 2-1 , HAM
40 , BRE , 6-0 , HOM
41 , BRE , 1-0 , KAI
42 , BRE , 2-1 , KÖL
43 , BRE , 1-0 , LEV
44 , BRE , 4-2 , WMA
45 , BRE , 1-7 , MGL
46 , BRE , 1-1 , FCB
47 , BRE , 5-3 , NUR
48 , BRE , 0-0 , S04
49 , BRE , 1-0 , STU
50 , BRE , 5-1 , UER
51 , DOR , 7-0 , BWB
52 , DOR , 3-2 , BOC
53 , DOR , 2-1 , BRE
54 , DOR , 4-1 , DÜS
55 , DOR , 1-0 , FRA
56 , DOR , 4-3 , HAM
57 , DOR , 3-0 , HOM
58 , DOR , 2-0 , KAI
59 , DOR , 1-1 , KÖL
60 , DOR , 0-0 , LEV
61 , DOR , 6-0 , WMA
62 , DOR , 0-2 , MGL
63 , DOR , 2-2 , FCB
64 , DOR , 2-2 , NUR
65 , DOR , 1-0 , S04
66 , DOR , 1-2 , STU
67 , DOR , 1-1 , UER
68 , DÜS , 3-1 , BWB
69 , DÜS , 0-4 , BOC
70 , DÜS , 2-1 , BRE
71 , DÜS , 0-4 , DOR
72 , DÜS , 3-3 , FRA
73 , DÜS , 3-2 , HAM
74 , DÜS , 1-0 , HOM
75 , DÜS , 1-3 , KAI
76 , DÜS , 0-4 , KÖL
77 , DÜS , 2-3 , LEV
78 , DÜS , 2-0 , WMA
79 , DÜS , 1-1 , MGL
80 , DÜS , 0-3 , FCB
81 , DÜS , 1-1 , NUR
82 , DÜS , 3-4 , S04
83 , DÜS , 1-0 , STU
84 , DÜS , 1-1 , UER
85 , FRA , 1-3 , BWB
86 , FRA , 1-1 , BOC
87 , FRA , 2-2 , BRE
88 , FRA , 0-4 , DOR
89 , FRA , 5-0 , DÜS
90 , FRA , 1-3 , HAM
91 , FRA , 4-0 , HOM
92 , FRA , 2-2 , KAI
93 , FRA , 1-2 , KÖL
94 , FRA , 1-0 , LEV
95 , FRA , 2-1 , WMA
96 , FRA , 4-0 , MGL
97 , FRA , 0-0 , FCB
98 , FRA , 1-0 , NUR
99 , FRA , 0-1 , S04
100 , FRA , 3-1 , STU
101 , FRA , 1-0 , UER
102 , HAM , 2-1 , BWB
103 , HAM , 1-1 , BOC
104 , HAM , 3-0 , BRE
105 , HAM , 4-2 , DOR
106 , HAM , 4-1 , DÜS
107 , HAM , 2-0 , FRA
108 , HAM , 3-1 , HOM
