0 , BOC , 0-1 , BRE
1 , BOC , 2-2 , DOR
2 , BOC , 1-0 , FRA
3 , BOC , 2-1 , HAM
4 , BOC , 1-3 , H96
5 , BOC , 2-0 , KAI
6 , BOC , 2-0 , KAR
7 , BOC , 1-3 , KÖL
8 , BOC , 2-4 , LEV
9 , BOC , 2-2 , WMA
10 , BOC , 1-2 , MGL
11 , BOC , 0-0 , FCB
12 , BOC , 1-0 , NUR
13 , BOC , 0-0 , STP
14 , BOC , 1-0 , STU
15 , BOC , 2-1 , SKI
16 , BOC , 1-1 , UER
17 , BRE , 2-0 , BOC
18 , BRE , 2-0 , DOR
19 , BRE , 2-0 , FRA
20 , BRE , 2-1 , HAM
21 , BRE , 1-0 , H96
22 , BRE , 1-0 , KAI
23 , BRE , 3-1 , KAR
24 , BRE , 1-2 , KÖL
25 , BRE , 3-1 , LEV
26 , BRE , 2-1 , WMA
27 , BRE , 2-0 , MGL
28 , BRE , 2-2 , FCB
29 , BRE , 2-1 , NUR
30 , BRE , 0-0 , STP
31 , BRE , 3-0 , STU
32 , BRE , 4-0 , SKI
33 , BRE , 3-1 , UER
34 , DOR , 2-1 , BOC
35 , DOR , 3-1 , BRE
36 , DOR , 6-0 , FRA
37 , DOR , 2-2 , HAM
38 , DOR , 4-0 , H96
39 , DOR , 1-1 , KAI
40 , DOR , 3-2 , KAR
41 , DOR , 0-4 , KÖL
42 , DOR , 2-1 , LEV
43 , DOR , 1-2 , WMA
44 , DOR , 0-0 , MGL
45 , DOR , 1-1 , FCB
46 , DOR , 4-0 , NUR
47 , DOR , 0-0 , STP
48 , DOR , 1-2 , STU
49 , DOR , 1-1 , SKI
50 , DOR , 4-2 , UER
51 , FRA , 1-1 , BOC
52 , FRA , 0-0 , BRE
53 , FRA , 2-1 , DOR
54 , FRA , 0-1 , HAM
55 , FRA , 1-0 , H96
56 , FRA , 3-2 , KAI
57 , FRA , 1-0 , KAR
58 , FRA , 1-0 , KÖL
59 , FRA , 1-1 , LEV
60 , FRA , 0-0 , WMA
61 , FRA , 1-1 , MGL
62 , FRA , 2-2 , FCB
63 , FRA , 1-0 , NUR
64 , FRA , 1-1 , STP
65 , FRA , 1-3 , STU
66 , FRA , 1-2 , SKI
67 , FRA , 0-2 , UER
68 , HAM , 3-1 , BOC
69 , HAM , 2-0 , BRE
70 , HAM , 0-0 , DOR
71 , HAM , 2-1 , FRA
72 , HAM , 4-1 , H96
73 , HAM , 1-1 , KAI
74 , HAM , 1-1 , KAR
75 , HAM , 0-1 , KÖL
76 , HAM , 1-1 , LEV
77 , HAM , 5-1 , WMA
78 , HAM , 1-2 , MGL
79 , HAM , 0-1 , FCB
80 , HAM , 3-2 , NUR
81 , HAM , 1-1 , STP
82 , HAM , 2-1 , STU
83 , HAM , 3-0 , SKI
84 , HAM , 3-0 , UER
85 , H96 , 3-2 , BOC
86 , H96 , 2-2 , BRE
87 , H96 , 1-5 , DOR
88 , H96 , 1-1 , FRA
89 , H96 , 2-3 , HAM
90 , H96 , 0-0 , KAI
91 , H96 , 2-3 , KAR
92 , H96 , 2-2 , KÖL
93 , H96 , 2-2 , LEV
94 , H96 , 0-2 , WMA
95 , H96 , 0-1 , MGL
96 , H96 , 0-0 , FCB
97 , H96 , 2-2 , NUR
98 , H96 , 2-2 , STP
99 , H96 , 2-0 , STU
100 , H96 , 3-4 , SKI
101 , H96 , 0-5 , UER
102 , KAI , 3-0 , BOC
103 , KAI , 0-0 , BRE
104 , KAI , 3-2 , DOR
105 , KAI , 3-0 , FRA
106 , KAI , 0-0 , HAM
107 , KAI , 0-0 , H96
108 , KAI , 1-2 , KAR
109 , KAI , 1-1 , KÖL
110 , KAI , 0-0 , LEV
111 , KAI , 0-3 , WMA
112 , KAI , 0-0 , MGL
113 , KAI , 1-1 , FCB
114 , KAI , 2-1 , NUR
115 , KAI , 1-0 , STP
116 , KAI , 6-1 , STU
117 , KAI , 6-0 , SKI
118 , KAI , 2-0 , UER
119 , KAR , 1-3 , BOC
120 , KAR , 1-0 , BRE
121 , KAR , 0-0 , DOR
122 , KAR , 1-3 , FRA
123 , KAR , 2-2 , HAM
124 , KAR , 2-0 , H96
125 , KAR , 4-1 , KAI
126 , KAR , 0-0 , KÖL
127 , KAR , 2-3 , LEV
128 , KAR , 2-1 , WMA
129 , KAR , 2-2 , MGL
130 , KAR , 2-2 , FCB
131 , KAR , 1-1 , NUR
132 , KAR , 3-1 , STP
133 , KAR , 2-0 , STU
134 , KAR , 1-0 , SKI
135 , KAR , 0-1 , UER
136 , KÖL , 1-0 , BOC
137 , KÖL , 2-0 , BRE
138 , KÖL , 2-0 , DOR
139 , KÖL , 3-2 , FRA
140 , KÖL , 1-2 , HAM
141 , KÖL , 1-0 , H96
142 , KÖL , 2-2 , KAI
143 , KÖL , 6-1 , KAR
144 , KÖL , 3-0 , LEV
145 , KÖL , 1-0 , WMA
146 , KÖL , 3-1 , MGL
147 , KÖL , 1-3 , FCB
148 , KÖL , 1-1 , NUR
149 , KÖL , 4-2 , STP
150 , KÖL , 3-0 , STU
151 , KÖL , 5-1 , SKI
152 , KÖL , 1-1 , UER
153 , LEV , 1-1 , BOC
154 , LEV , 1-0 , BRE
155 , LEV , 2-0 , DOR
156 , LEV , 2-2 , FRA
157 , LEV , 1-2 , HAM
158 , LEV , 3-1 , H96
159 , LEV , 0-1 , KAI
160 , LEV , 1-0 , KAR
161 , LEV , 0-0 , KÖL
162 , LEV , 3-0 , WMA
163 , LEV , 3-1 , MGL
164 , LEV , 1-1 , FCB
165 , LEV , 3-0 , NUR
166 , LEV , 2-2 , STP
167 , LEV , 0-0 , STU
168 , LEV , 1-3 , SKI
169 , LEV , 2-2 , UER
170 , WMA , 2-2 , BOC
171 , WMA , 1-1 , BRE
172 , WMA , 0-3 , DOR
173 , WMA , 1-0 , FRA
174 , WMA , 0-0 , HAM
175 , WMA , 1-1 , H96
176 , WMA , 0-4 , KAI
177 , WMA , 2-0 , KAR
178 , WMA , 2-1 , KÖL
179 , WMA , 1-1 , LEV
180 , WMA , 4-1 , MGL
181 , WMA , 0-3 , FCB
182 , WMA , 2-1 , NUR
183 , WMA , 2-1 , STP
184 , WMA , 3-4 , STU
185 , WMA , 2-2 , SKI
186 , WMA , 3-3 , UER
187 , MGL , 2-0 , BOC
188 , MGL , 4-1 , BRE
189 , MGL , 1-1 , DOR
190 , MGL , 2-1 , FRA
191 , MGL , 0-4 , HAM
192 , MGL , 2-0 , H96
193 , MGL , 4-1 , KAI
194 , MGL , 1-1 , KAR
195 , MGL , 1-0 , KÖL
196 , MGL , 2-0 , LEV
197 , MGL , 1-1 , WMA
198 , MGL , 2-1 , FCB
199 , MGL , 1-1 , NUR
200 , MGL , 2-2 , STP
201 , MGL , 2-2 , STU
202 , MGL , 1-1 , SKI
203 , MGL , 3-0 , UER
204 , FCB , 5-0 , BOC
205 , FCB , 0-0 , BRE
206 , FCB , 1-1 , DOR
207 , FCB , 3-0 , FRA
