0 , ATH , 1-1 , ATM
1 , ATH , 3-2 , BAR
2 , ATH , 1-1 , BET
3 , ATH , 1-0 , CÁD
4 , ATH , 2-0 , CEL
5 , ATH , 2-0 , ELC
6 , ATH , 1-0 , ESP
7 , ATH , 3-0 , LOG
8 , ATH , 3-1 , MLG
9 , ATH , 3-0 , MUR
10 , ATH , 0-0 , OSA
11 , ATH , 1-1 , RMA
12 , ATH , 1-0 , ROV
13 , ATH , 2-3 , RSO
14 , ATH , 3-0 , SEV
15 , ATH , 1-4 , SPG
16 , ATH , 1-2 , VAL
17 , ATH , 2-0 , VLD
18 , ATH , 1-1 , ZAR
19 , ATM , 0-1 , ATH
20 , ATM , 1-3 , BAR
21 , ATM , 6-2 , BET
22 , ATM , 3-0 , CÁD
23 , ATM , 0-0 , CEL
24 , ATM , 3-1 , ELC
25 , ATM , 6-1 , ESP
26 , ATM , 2-0 , LOG
27 , ATM , 3-0 , MLG
28 , ATM , 3-0 , MUR
29 , ATM , 4-1 , OSA
30 , ATM , 3-3 , RMA
31 , ATM , 2-2 , ROV
32 , ATM , 3-0 , RSO
33 , ATM , 2-0 , SEV
34 , ATM , 0-0 , SPG
35 , ATM , 2-0 , VAL
36 , ATM , 3-2 , VLD
37 , ATM , 3-1 , ZAR
38 , BAR , 3-0 , ATH
39 , BAR , 3-0 , ATM
40 , BAR , 3-0 , BET
41 , BAR , 3-0 , CÁD
42 , BAR , 3-1 , CEL
43 , BAR , 2-0 , ELC
44 , BAR , 2-0 , ESP
45 , BAR , 2-1 , LOG
46 , BAR , 4-0 , MLG
47 , BAR , 3-1 , MUR
48 , BAR , 1-2 , OSA
49 , BAR , 0-0 , RMA
50 , BAR , 7-1 , ROV
51 , BAR , 4-1 , RSO
52 , BAR , 4-0 , SEV
53 , BAR , 4-0 , SPG
54 , BAR , 1-1 , VAL
55 , BAR , 0-0 , VLD
56 , BAR , 1-0 , ZAR
57 , BET , 2-0 , ATH
58 , BET , 0-1 , ATM
59 , BET , 0-2 , BAR
60 , BET , 1-1 , CÁD
61 , BET , 2-0 , CEL
62 , BET , 3-1 , ELC
63 , BET , 2-2 , ESP
64 , BET , 0-0 , LOG
65 , BET , 1-2 , MLG
66 , BET , 3-0 , MUR
67 , BET , 1-0 , OSA
68 , BET , 0-2 , RMA
69 , BET , 1-0 , ROV
70 , BET , 1-1 , RSO
71 , BET , 1-3 , SEV
72 , BET , 0-1 , SPG
73 , BET , 0-0 , VAL
74 , BET , 0-1 , VLD
75 , BET , 2-1 , ZAR
76 , CÁD , 0-0 , ATH
77 , CÁD , 2-0 , ATM
78 , CÁD , 1-1 , BAR
79 , CÁD , 4-0 , BET
80 , CÁD , 1-1 , CEL
81 , CÁD , 2-1 , ELC
82 , CÁD , 0-0 , ESP
83 , CÁD , 0-1 , LOG
84 , CÁD , 0-1 , MLG
85 , CÁD , 0-2 , MUR
86 , CÁD , 1-1 , OSA
87 , CÁD , 0-2 , RMA
88 , CÁD , 1-1 , ROV
89 , CÁD , 1-1 , RSO
90 , CÁD , 0-0 , SEV
91 , CÁD , 0-3 , SPG
92 , CÁD , 1-1 , VAL
93 , CÁD , 1-1 , VLD
94 , CÁD , 1-1 , ZAR
95 , CEL , 1-2 , ATH
96 , CEL , 0-3 , ATM
97 , CEL , 0-3 , BAR
98 , CEL , 0-0 , BET
99 , CEL , 3-2 , CÁD
100 , CEL , 3-0 , ELC
101 , CEL , 0-0 , ESP
102 , CEL , 1-0 , LOG
103 , CEL , 2-0 , MLG
104 , CEL , 0-0 , MUR
105 , CEL , 1-0 , OSA
106 , CEL , 2-0 , RMA
107 , CEL , 1-2 , ROV
108 , CEL , 2-2 , RSO
109 , CEL , 1-0 , SEV
110 , CEL , 2-1 , SPG
111 , CEL , 2-0 , VAL
112 , CEL , 1-1 , VLD
113 , CEL , 1-1 , ZAR
114 , ELC , 2-0 , ATH
115 , ELC , 1-3 , ATM
116 , ELC , 0-3 , BAR
117 , ELC , 0-0 , BET
118 , ELC , 2-2 , CÁD
119 , ELC , 0-1 , CEL
120 , ELC , 1-1 , ESP
121 , ELC , 1-2 , LOG
122 , ELC , 0-2 , MLG
123 , ELC , 3-0 , MUR
124 , ELC , 0-1 , OSA
125 , ELC , 1-3 , RMA
126 , ELC , 0-1 , ROV
127 , ELC , 1-1 , RSO
128 , ELC , 1-2 , SEV
129 , ELC , 0-0 , SPG
130 , ELC , 0-1 , VAL
131 , ELC , 1-0 , VLD
132 , ELC , 1-4 , ZAR
133 , ESP , 1-0 , ATH
134 , ESP , 1-0 , ATM
135 , ESP , 2-2 , BAR
136 , ESP , 0-0 , BET
137 , ESP , 0-2 , CÁD
138 , ESP , 1-1 , CEL
139 , ESP , 1-1 , ELC
140 , ESP , 2-0 , LOG
141 , ESP , 0-1 , MLG
142 , ESP , 3-0 , MUR
143 , ESP , 1-1 , OSA
144 , ESP , 1-4 , RMA
145 , ESP , 1-2 , ROV
146 , ESP , 1-1 , RSO
147 , ESP , 1-1 , SEV
148 , ESP , 2-1 , SPG
149 , ESP , 0-1 , VAL
150 , ESP , 0-1 , VLD
151 , ESP , 2-2 , ZAR
152 , LOG , 1-1 , ATH
153 , LOG , 1-0 , ATM
154 , LOG , 0-2 , BAR
155 , LOG , 3-1 , BET
156 , LOG , 1-0 , CÁD
157 , LOG , 1-1 , CEL
158 , LOG , 2-1 , ELC
159 , LOG , 0-0 , ESP
160 , LOG , 1-0 , MLG
161 , LOG , 0-0 , MUR
162 , LOG , 1-1 , OSA
163 , LOG , 0-1 , RMA
164 , LOG , 1-1 , ROV
165 , LOG , 1-1 , RSO
166 , LOG , 0-0 , SEV
167 , LOG , 1-0 , SPG
168 , LOG , 0-1 , VAL
169 , LOG , 1-1 , VLD
170 , LOG , 0-2 , ZAR
171 , MLG , 1-1 , ATH
172 , MLG , 1-2 , ATM
173 , MLG , 2-2 , BAR
174 , MLG , 2-2 , BET
175 , MLG , 0-2 , CÁD
176 , MLG , 2-2 , CEL
177 , MLG , 2-1 , ELC
178 , MLG , 1-0 , ESP
179 , MLG , 1-0 , LOG
180 , MLG , 1-3 , MUR
181 , MLG , 1-2 , OSA
182 , MLG , 2-2 , RMA
183 , MLG , 1-1 , ROV
184 , MLG , 1-0 , RSO
185 , MLG , 1-0 , SEV
186 , MLG , 1-0 , SPG
187 , MLG , 0-1 , VAL
188 , MLG , 0-0 , VLD
189 , MLG , 1-3 , ZAR
190 , MUR , 1-1 , ATH
191 , MUR , 1-1 , ATM
192 , MUR , 2-0 , BAR
193 , MUR , 0-2 , BET
194 , MUR , 0-1 , CÁD
195 , MUR , 1-2 , CEL
196 , MUR , 0-1 , ELC
197 , MUR , 1-0 , ESP
198 , MUR , 0-0 , LOG
199 , MUR , 1-0 , MLG
200 , MUR , 6-1 , OSA
201 , MUR , 0-3 , RMA
202 , MUR , 0-0 , ROV
203 , MUR , 0-1 , RSO
204 , MUR , 1-2 , SEV
205 , MUR , 0-3 , SPG
206 , MUR , 0-1 , VAL
207 , MUR , 2-1 , VLD
208 , MUR , 0-3 , ZAR
209 , OSA , 1-0 , ATH
210 , OSA , 2-0 , ATM
211 , OSA , 1-1 , BAR
