0 , BRE , 4-0 , DOR
1 , BRE , 0-1 , DRE
2 , BRE , 1-5 , DUI
3 , BRE , 1-0 , FRA
4 , BRE , 3-2 , FRE
5 , BRE , 0-2 , HAM
6 , BRE , 2-0 , KAI
7 , BRE , 0-2 , KAR
8 , BRE , 3-1 , KÖL
9 , BRE , 3-1 , LEI
10 , BRE , 2-1 , LEV
11 , BRE , 4-2 , MGL
12 , BRE , 1-0 , FCB
13 , BRE , 2-2 , NUR
14 , BRE , 0-1 , S04
15 , BRE , 5-1 , STU
16 , BRE , 0-0 , W09
17 , DOR , 3-2 , BRE
18 , DOR , 4-0 , DRE
19 , DOR , 2-1 , DUI
20 , DOR , 2-0 , FRA
21 , DOR , 3-2 , FRE
22 , DOR , 2-1 , HAM
23 , DOR , 2-1 , KAI
24 , DOR , 2-1 , KAR
25 , DOR , 2-1 , KÖL
26 , DOR , 0-1 , LEI
27 , DOR , 1-0 , LEV
28 , DOR , 3-0 , MGL
29 , DOR , 1-1 , FCB
30 , DOR , 4-1 , NUR
31 , DOR , 1-1 , S04
32 , DOR , 1-2 , STU
33 , DOR , 2-0 , W09
34 , DRE , 1-0 , BRE
35 , DRE , 3-0 , DOR
36 , DRE , 0-1 , DUI
37 , DRE , 0-4 , FRA
38 , DRE , 1-2 , FRE
39 , DRE , 1-1 , HAM
40 , DRE , 3-1 , KAI
41 , DRE , 1-1 , KAR
42 , DRE , 1-1 , KÖL
43 , DRE , 1-0 , LEI
44 , DRE , 1-1 , LEV
45 , DRE , 2-1 , MGL
46 , DRE , 1-1 , FCB
47 , DRE , 1-1 , NUR
48 , DRE , 1-0 , S04
49 , DRE , 1-0 , STU
50 , DRE , 1-1 , W09
51 , DUI , 1-0 , BRE
52 , DUI , 2-2 , DOR
53 , DUI , 1-1 , DRE
54 , DUI , 1-0 , FRA
55 , DUI , 0-2 , FRE
56 , DUI , 0-1 , HAM
57 , DUI , 1-7 , KAI
58 , DUI , 1-2 , KAR
59 , DUI , 0-0 , KÖL
60 , DUI , 2-1 , LEI
61 , DUI , 2-2 , LEV
62 , DUI , 2-0 , MGL
63 , DUI , 2-2 , FCB
64 , DUI , 1-0 , NUR
65 , DUI , 1-0 , S04
66 , DUI , 2-2 , STU
67 , DUI , 2-1 , W09
68 , FRA , 2-2 , BRE
69 , FRA , 2-0 , DOR
70 , FRA , 3-2 , DRE
71 , FRA , 1-2 , DUI
72 , FRA , 3-0 , FRE
73 , FRA , 1-1 , HAM
74 , FRA , 1-0 , KAI
75 , FRA , 3-1 , KAR
76 , FRA , 0-3 , KÖL
77 , FRA , 2-1 , LEI
78 , FRA , 2-0 , LEV
79 , FRA , 0-3 , MGL
80 , FRA , 2-2 , FCB
81 , FRA , 1-1 , NUR
82 , FRA , 1-3 , S04
83 , FRA , 0-0 , STU
84 , FRA , 5-1 , W09
85 , FRE , 0-0 , BRE
86 , FRE , 4-1 , DOR
87 , FRE , 0-1 , DRE
88 , FRE , 1-2 , DUI
89 , FRE , 1-3 , FRA
90 , FRE , 0-1 , HAM
91 , FRE , 2-3 , KAI
92 , FRE , 3-3 , KAR
93 , FRE , 2-4 , KÖL
94 , FRE , 1-0 , LEI
95 , FRE , 1-0 , LEV
96 , FRE , 3-3 , MGL
97 , FRE , 3-1 , FCB
98 , FRE , 0-0 , NUR
99 , FRE , 2-3 , S04
100 , FRE , 2-1 , STU
101 , FRE , 4-1 , W09
102 , HAM , 1-1 , BRE
103 , HAM , 0-0 , DOR
104 , HAM , 1-1 , DRE
105 , HAM , 0-1 , DUI
106 , HAM , 3-0 , FRA
107 , HAM , 1-1 , FRE
108 , HAM , 1-3 , KAI
