0 , BIE , 3-1 , BOC
1 , BIE , 3-1 , BRE
2 , BIE , 2-0 , DOR
3 , BIE , 1-1 , DUI
4 , BIE , 1-0 , DÜS
5 , BIE , 2-0 , FRE
6 , BIE , 1-1 , HAM
7 , BIE , 1-2 , KAR
8 , BIE , 1-4 , KÖL
9 , BIE , 0-1 , LEV
10 , BIE , 0-2 , MGL
11 , BIE , 2-0 , FCB
12 , BIE , 2-3 , M60
13 , BIE , 1-3 , ROS
14 , BIE , 0-1 , S04
15 , BIE , 1-2 , STP
16 , BIE , 2-0 , STU
17 , BOC , 1-1 , BIE
18 , BOC , 3-2 , BRE
19 , BOC , 1-0 , DOR
20 , BOC , 1-0 , DUI
21 , BOC , 3-1 , DÜS
22 , BOC , 3-2 , FRE
23 , BOC , 3-1 , HAM
24 , BOC , 3-1 , KAR
25 , BOC , 2-2 , KÖL
26 , BOC , 2-2 , LEV
27 , BOC , 2-0 , MGL
28 , BOC , 1-1 , FCB
29 , BOC , 2-2 , M60
30 , BOC , 1-0 , ROS
31 , BOC , 0-1 , S04
32 , BOC , 6-0 , STP
33 , BOC , 2-1 , STU
34 , BRE , 2-1 , BIE
35 , BRE , 5-1 , BOC
36 , BRE , 0-4 , DOR
37 , BRE , 0-2 , DUI
38 , BRE , 1-0 , DÜS
39 , BRE , 1-0 , FRE
40 , BRE , 0-0 , HAM
41 , BRE , 1-0 , KAR
42 , BRE , 3-2 , KÖL
43 , BRE , 1-1 , LEV
44 , BRE , 1-0 , MGL
45 , BRE , 3-0 , FCB
46 , BRE , 1-1 , M60
47 , BRE , 1-1 , ROS
48 , BRE , 3-0 , S04
49 , BRE , 2-1 , STP
50 , BRE , 2-2 , STU
51 , DOR , 5-0 , BIE
52 , DOR , 2-0 , BOC
53 , DOR , 2-1 , BRE
54 , DOR , 2-0 , DUI
55 , DOR , 4-0 , DÜS
56 , DOR , 3-1 , FRE
57 , DOR , 1-1 , HAM
58 , DOR , 1-1 , KAR
59 , DOR , 2-1 , KÖL
60 , DOR , 3-1 , LEV
61 , DOR , 1-3 , MGL
62 , DOR , 1-1 , FCB
63 , DOR , 4-1 , M60
64 , DOR , 3-0 , ROS
65 , DOR , 1-0 , S04
66 , DOR , 2-1 , STP
67 , DOR , 1-1 , STU
68 , DUI , 0-0 , BIE
69 , DUI , 1-1 , BOC
70 , DUI , 3-2 , BRE
71 , DUI , 3-2 , DOR
72 , DUI , 0-0 , DÜS
73 , DUI , 1-4 , FRE
74 , DUI , 1-1 , HAM
75 , DUI , 2-2 , KAR
76 , DUI , 3-0 , KÖL
77 , DUI , 1-3 , LEV
78 , DUI , 4-2 , MGL
79 , DUI , 0-4 , FCB
80 , DUI , 2-3 , M60
81 , DUI , 0-1 , ROS
82 , DUI , 0-1 , S04
83 , DUI , 1-0 , STP
84 , DUI , 3-1 , STU
85 , DÜS , 1-2 , BIE
86 , DÜS , 2-2 , BOC
87 , DÜS , 4-1 , BRE
88 , DÜS , 2-0 , DOR
89 , DÜS , 1-1 , DUI
90 , DÜS , 2-1 , FRE
91 , DÜS , 1-1 , HAM
92 , DÜS , 0-3 , KAR
93 , DÜS , 0-3 , KÖL
94 , DÜS , 0-0 , LEV
95 , DÜS , 1-0 , MGL
96 , DÜS , 0-2 , FCB
97 , DÜS , 0-0 , M60
98 , DÜS , 0-2 , ROS
99 , DÜS , 1-3 , S04
100 , DÜS , 2-0 , STP
101 , DÜS , 0-4 , STU
102 , FRE , 2-1 , BIE
103 , FRE , 0-1 , BOC
104 , FRE , 3-2 , BRE
105 , FRE , 1-2 , DOR
106 , FRE , 2-0 , DUI
107 , FRE , 1-2 , DÜS
108 , FRE , 0-4 , HAM
109 , FRE , 1-1 , KAR
110 , FRE , 1-3 , KÖL
111 , FRE , 1-2 , LEV
112 , FRE , 1-0 , MGL
113 , FRE , 0-0 , FCB
114 , FRE , 2-2 , M60
115 , FRE , 1-0 , ROS
116 , FRE , 2-3 , S04
117 , FRE , 4-0 , STP
118 , FRE , 1-1 , STU
119 , HAM , 2-2 , BIE
120 , HAM , 2-2 , BOC
121 , HAM , 3-2 , BRE
122 , HAM , 2-1 , DOR
123 , HAM , 1-1 , DUI
124 , HAM , 2-1 , DÜS
125 , HAM , 5-1 , FRE
126 , HAM , 2-0 , KAR
127 , HAM , 0-4 , KÖL
128 , HAM , 0-2 , LEV
129 , HAM , 2-1 , MGL
130 , HAM , 0-3 , FCB
131 , HAM , 2-3 , M60
132 , HAM , 1-1 , ROS
133 , HAM , 1-0 , S04
134 , HAM , 3-0 , STP
135 , HAM , 0-4 , STU
136 , KAR , 5-2 , BIE
137 , KAR , 2-3 , BOC
138 , KAR , 1-3 , BRE
139 , KAR , 1-1 , DOR
140 , KAR , 1-0 , DUI
141 , KAR , 2-0 , DÜS
142 , KAR , 3-0 , FRE
143 , KAR , 3-1 , HAM
144 , KAR , 4-1 , KÖL
145 , KAR , 1-1 , LEV
146 , KAR , 1-1 , MGL
147 , KAR , 0-2 , FCB
148 , KAR , 3-0 , M60
149 , KAR , 1-1 , ROS
150 , KAR , 0-0 , S04
151 , KAR , 4-0 , STP
152 , KAR , 0-2 , STU
153 , KÖL , 2-5 , BIE
154 , KÖL , 2-0 , BOC
155 , KÖL , 4-1 , BRE
156 , KÖL , 1-3 , DOR
157 , KÖL , 2-5 , DUI
158 , KÖL , 2-0 , DÜS
159 , KÖL , 1-0 , FRE
160 , KÖL , 2-2 , HAM
161 , KÖL , 4-1 , KAR
162 , KÖL , 4-0 , LEV
163 , KÖL , 4-0 , MGL
164 , KÖL , 2-4 , FCB
165 , KÖL , 1-0 , M60
166 , KÖL , 0-2 , ROS
167 , KÖL , 3-1 , S04
168 , KÖL , 0-1 , STP
169 , KÖL , 1-5 , STU
170 , LEV , 1-0 , BIE
171 , LEV , 2-0 , BOC
172 , LEV , 2-1 , BRE
173 , LEV , 4-2 , DOR
174 , LEV , 1-0 , DUI
175 , LEV , 0-1 , DÜS
176 , LEV , 5-3 , FRE
177 , LEV , 5-0 , HAM
178 , LEV , 3-1 , KAR
179 , LEV , 4-2 , KÖL
180 , LEV , 3-0 , MGL
181 , LEV , 5-2 , FCB
182 , LEV , 3-0 , M60
183 , LEV , 4-1 , ROS
184 , LEV , 2-0 , S04
185 , LEV , 3-0 , STP
186 , LEV , 0-0 , STU
187 , MGL , 0-0 , BIE
188 , MGL , 6-2 , BOC
189 , MGL , 4-1 , BRE
190 , MGL , 5-1 , DOR
191 , MGL , 0-1 , DUI
192 , MGL , 2-0 , DÜS
193 , MGL , 4-3 , FRE
194 , MGL , 3-0 , HAM
195 , MGL , 1-3 , KAR
196 , MGL , 2-1 , KÖL
197 , MGL , 2-2 , LEV
198 , MGL , 2-2 , FCB
199 , MGL , 1-0 , M60
200 , MGL , 2-0 , ROS
201 , MGL , 0-0 , S04
202 , MGL , 0-0 , STP
203 , MGL , 0-1 , STU
204 , FCB , 1-0 , BIE
205 , FCB , 1-1 , BOC
206 , FCB , 1-0 , BRE
207 , FCB , 0-0 , DOR
208 , FCB , 5-2 , DUI
209 , FCB , 5-0 , DÜS
210 , FCB , 0-0 , FRE
211 , FCB , 2-1 , HAM
212 , FCB , 1-0 , KAR
213 , FCB , 3-2 , KÖL
214 , FCB , 4-2 , LEV
215 , FCB , 1-0 , MGL
216 , FCB , 1-1 , M60
217 , FCB , 2-1 , ROS
218 , FCB , 3-0 , S04
219 , FCB , 3-0 , STP
220 , FCB , 4-2 , STU
221 , M60 , 1-3 , BIE
222 , M60 , 0-1 , BOC
223 , M60 , 0-3 , BRE
224 , M60 , 1-3 , DOR
225 , M60 , 1-1 , DUI
226 , M60 , 3-0 , DÜS
227 , M60 , 4-0 , FRE
228 , M60 , 2-1 , HAM
229 , M60 , 1-1 , KAR
230 , M60 , 2-1 , KÖL
231 , M60 , 3-0 , LEV
232 , M60 , 3-0 , MGL
233 , M60 , 3-3 , FCB
234 , M60 , 2-0 , ROS
235 , M60 , 2-1 , S04
236 , M60 , 4-2 , STP
237 , M60 , 2-5 , STU
238 , ROS , 3-1 , BIE
239 , ROS , 0-0 , BOC
240 , ROS , 0-1 , BRE
241 , ROS , 0-1 , DOR
242 , ROS , 0-1 , DUI
243 , ROS , 3-1 , DÜS
244 , ROS , 3-1 , FRE
245 , ROS , 0-1 , HAM
