0 , ARS , 1-0 , AST
1 , ARS , 1-0 , BLB
2 , ARS , 0-0 , CHA
3 , ARS , 1-0 , CHE
4 , ARS , 2-0 , COV
5 , ARS , 1-0 , DER
6 , ARS , 1-0 , EVE
7 , ARS , 3-1 , LEE
8 , ARS , 5-0 , LEI
9 , ARS , 0-0 , LIV
10 , ARS , 3-0 , MUN
11 , ARS , 1-1 , MID
12 , ARS , 3-0 , NEW
13 , ARS , 2-1 , NOT
14 , ARS , 3-0 , SHW
15 , ARS , 1-1 , SOU
16 , ARS , 0-0 , TOT
17 , ARS , 1-0 , WHU
18 , ARS , 5-1 , WDN
19 , AST , 3-2 , ARS
20 , AST , 1-3 , BLB
21 , AST , 3-4 , CHA
22 , AST , 0-3 , CHE
23 , AST , 1-4 , COV
24 , AST , 1-0 , DER
25 , AST , 3-0 , EVE
26 , AST , 1-2 , LEE
27 , AST , 1-1 , LEI
28 , AST , 2-4 , LIV
29 , AST , 1-1 , MUN
30 , AST , 3-1 , MID
31 , AST , 1-0 , NEW
32 , AST , 2-0 , NOT
33 , AST , 2-1 , SHW
34 , AST , 3-0 , SOU
35 , AST , 3-2 , TOT
36 , AST , 0-0 , WHU
37 , AST , 2-0 , WDN
38 , BLB , 1-2 , ARS
39 , BLB , 2-1 , AST
40 , BLB , 1-0 , CHA
41 , BLB , 3-4 , CHE
42 , BLB , 1-2 , COV
43 , BLB , 0-0 , DER
44 , BLB , 1-2 , EVE
45 , BLB , 1-0 , LEE
46 , BLB , 1-0 , LEI
47 , BLB , 1-3 , LIV
48 , BLB , 0-0 , MUN
49 , BLB , 0-0 , MID
50 , BLB , 0-0 , NEW
51 , BLB , 1-2 , NOT
52 , BLB , 1-4 , SHW
53 , BLB , 0-2 , SOU
54 , BLB , 1-1 , TOT
55 , BLB , 3-0 , WHU
56 , BLB , 3-1 , WDN
57 , CHA , 0-1 , ARS
58 , CHA , 0-1 , AST
59 , CHA , 0-0 , BLB
60 , CHA , 0-1 , CHE
61 , CHA , 1-1 , COV
62 , CHA , 1-2 , DER
63 , CHA , 1-2 , EVE
64 , CHA , 1-1 , LEE
65 , CHA , 0-0 , LEI
66 , CHA , 1-0 , LIV
67 , CHA , 0-1 , MUN
68 , CHA , 1-1 , MID
69 , CHA , 2-2 , NEW
70 , CHA , 0-0 , NOT
71 , CHA , 0-1 , SHW
72 , CHA , 5-0 , SOU
73 , CHA , 1-4 , TOT
74 , CHA , 4-2 , WHU
75 , CHA , 2-0 , WDN
76 , CHE , 0-0 , ARS
77 , CHE , 2-1 , AST
78 , CHE , 1-1 , BLB
79 , CHE , 2-1 , CHA
80 , CHE , 2-1 , COV
81 , CHE , 2-1 , DER
82 , CHE , 3-1 , EVE
83 , CHE , 1-0 , LEE
84 , CHE , 2-2 , LEI
85 , CHE , 2-1 , LIV
86 , CHE , 0-0 , MUN
87 , CHE , 2-0 , MID
88 , CHE , 1-1 , NEW
89 , CHE , 2-1 , NOT
90 , CHE , 1-1 , SHW
91 , CHE , 1-0 , SOU
92 , CHE , 2-0 , TOT
93 , CHE , 0-1 , WHU
94 , CHE , 3-0 , WDN
95 , COV , 0-1 , ARS
96 , COV , 1-2 , AST
97 , COV , 1-1 , BLB
98 , COV , 2-1 , CHA
99 , COV , 2-1 , CHE
100 , COV , 1-1 , DER
101 , COV , 3-0 , EVE
102 , COV , 2-2 , LEE
103 , COV , 1-1 , LEI
104 , COV , 2-1 , LIV
105 , COV , 0-1 , MUN
106 , COV , 1-2 , MID
107 , COV , 1-5 , NEW
108 , COV , 4-0 , NOT
109 , COV , 1-0 , SHW
110 , COV , 1-0 , SOU
111 , COV , 1-1 , TOT
112 , COV , 0-0 , WHU
113 , COV , 2-1 , WDN
