0 , BSC , 2-0 , BIE
1 , BSC , 1-1 , BRE
2 , BSC , 0-3 , DOR
3 , BSC , 2-1 , DUI
4 , BSC , 1-0 , FRA
5 , BSC , 0-0 , FRE
6 , BSC , 2-1 , HAM
7 , BSC , 0-1 , KAI
8 , BSC , 0-0 , LEV
9 , BSC , 1-1 , FCB
10 , BSC , 1-1 , M60
11 , BSC , 5-2 , ROS
12 , BSC , 2-1 , S04
13 , BSC , 1-1 , STU
14 , BSC , 3-0 , ULM
15 , BSC , 2-1 , UHA
16 , BSC , 0-0 , WOL
17 , BIE , 1-1 , BSC
18 , BIE , 2-2 , BRE
19 , BIE , 0-2 , DOR
20 , BIE , 0-1 , DUI
21 , BIE , 1-1 , FRA
22 , BIE , 2-1 , FRE
23 , BIE , 3-0 , HAM
24 , BIE , 1-2 , KAI
25 , BIE , 1-2 , LEV
26 , BIE , 0-3 , FCB
27 , BIE , 2-2 , M60
28 , BIE , 2-2 , ROS
29 , BIE , 1-2 , S04
30 , BIE , 1-2 , STU
31 , BIE , 4-1 , ULM
32 , BIE , 1-0 , UHA
33 , BIE , 0-0 , WOL
34 , BRE , 4-1 , BSC
35 , BRE , 3-1 , BIE
36 , BRE , 3-2 , DOR
37 , BRE , 4-0 , DUI
38 , BRE , 3-1 , FRA
39 , BRE , 5-2 , FRE
40 , BRE , 2-1 , HAM
41 , BRE , 5-0 , KAI
42 , BRE , 1-3 , LEV
43 , BRE , 0-2 , FCB
44 , BRE , 1-3 , M60
45 , BRE , 2-1 , ROS
46 , BRE , 0-1 , S04
47 , BRE , 2-1 , STU
48 , BRE , 2-2 , ULM
49 , BRE , 2-2 , UHA
50 , BRE , 2-2 , WOL
51 , DOR , 4-0 , BSC
52 , DOR , 1-3 , BIE
53 , DOR , 1-3 , BRE
54 , DOR , 2-2 , DUI
55 , DOR , 1-0 , FRA
56 , DOR , 1-1 , FRE
57 , DOR , 0-1 , HAM
58 , DOR , 0-1 , KAI
59 , DOR , 1-1 , LEV
60 , DOR , 0-1 , FCB
61 , DOR , 1-1 , M60
62 , DOR , 3-0 , ROS
63 , DOR , 1-1 , S04
64 , DOR , 1-1 , STU
65 , DOR , 1-1 , ULM
66 , DOR , 1-3 , UHA
67 , DOR , 2-1 , WOL
68 , DUI , 0-0 , BSC
69 , DUI , 0-3 , BIE
70 , DUI , 0-1 , BRE
71 , DUI , 2-2 , DOR
72 , DUI , 2-3 , FRA
73 , DUI , 1-2 , FRE
74 , DUI , 1-1 , HAM
75 , DUI , 2-2 , KAI
76 , DUI , 0-0 , LEV
77 , DUI , 1-2 , FCB
78 , DUI , 3-0 , M60
79 , DUI , 2-2 , ROS
80 , DUI , 1-1 , S04
81 , DUI , 1-3 , STU
82 , DUI , 0-0 , ULM
83 , DUI , 2-0 , UHA
84 , DUI , 2-3 , WOL
85 , FRA , 4-0 , BSC
86 , FRA , 2-1 , BIE
87 , FRA , 1-0 , BRE
88 , FRA , 1-1 , DOR
89 , FRA , 2-2 , DUI
90 , FRA , 2-0 , FRE
91 , FRA , 3-0 , HAM
92 , FRA , 0-1 , KAI
93 , FRA , 1-2 , LEV
94 , FRA , 1-2 , FCB
95 , FRA , 3-1 , M60
96 , FRA , 0-0 , ROS
97 , FRA , 0-2 , S04
