0 , ATA , 0-0 , BAR
1 , ATA , 2-2 , BOL
2 , ATA , 2-0 , BRE
3 , ATA , 0-0 , FIO
4 , ATA , 0-1 , INT
5 , ATA , 2-1 , JUV
6 , ATA , 2-2 , LAZ
7 , ATA , 1-0 , LCE
8 , ATA , 1-1 , MIL
9 , ATA , 1-1 , NAP
10 , ATA , 0-1 , PAR
11 , ATA , 0-0 , PER
12 , ATA , 1-1 , REG
13 , ATA , 0-2 , ROM
14 , ATA , 0-1 , UDI
15 , ATA , 3-0 , HEL
16 , ATA , 1-1 , VIC
17 , BAR , 0-2 , ATA
18 , BAR , 2-0 , BOL
19 , BAR , 1-3 , BRE
20 , BAR , 2-1 , FIO
21 , BAR , 1-2 , INT
22 , BAR , 0-1 , JUV
23 , BAR , 1-2 , LAZ
24 , BAR , 3-2 , LCE
25 , BAR , 1-3 , MIL
26 , BAR , 0-1 , NAP
27 , BAR , 0-1 , PAR
28 , BAR , 3-4 , PER
29 , BAR , 2-1 , REG
30 , BAR , 1-4 , ROM
31 , BAR , 2-1 , UDI
32 , BAR , 1-1 , HEL
33 , BAR , 2-2 , VIC
34 , BOL , 0-1 , ATA
35 , BOL , 4-2 , BAR
36 , BOL , 1-0 , BRE
37 , BOL , 1-1 , FIO
38 , BOL , 0-3 , INT
39 , BOL , 1-4 , JUV
40 , BOL , 2-0 , LAZ
41 , BOL , 2-2 , LCE
42 , BOL , 2-1 , MIL
43 , BOL , 2-1 , NAP
44 , BOL , 2-1 , PAR
45 , BOL , 3-2 , PER
46 , BOL , 2-0 , REG
47 , BOL , 1-2 , ROM
48 , BOL , 1-1 , UDI
49 , BOL , 1-0 , HEL
50 , BOL , 1-1 , VIC
51 , BRE , 0-3 , ATA
52 , BRE , 3-1 , BAR
53 , BRE , 0-0 , BOL
54 , BRE , 1-1 , FIO
55 , BRE , 1-0 , INT
56 , BRE , 0-0 , JUV
57 , BRE , 0-1 , LAZ
58 , BRE , 2-2 , LCE
59 , BRE , 1-1 , MIL
60 , BRE , 1-1 , NAP
61 , BRE , 0-0 , PAR
62 , BRE , 1-0 , PER
63 , BRE , 4-0 , REG
64 , BRE , 2-4 , ROM
65 , BRE , 3-1 , UDI
66 , BRE , 1-0 , HEL
67 , BRE , 2-1 , VIC
68 , FIO , 1-1 , ATA
69 , FIO , 2-2 , BAR
70 , FIO , 1-1 , BOL
71 , FIO , 2-2 , BRE
72 , FIO , 2-0 , INT
73 , FIO , 1-3 , JUV
74 , FIO , 1-4 , LAZ
75 , FIO , 2-0 , LCE
76 , FIO , 4-0 , MIL
77 , FIO , 1-2 , NAP
78 , FIO , 0-1 , PAR
79 , FIO , 3-4 , PER
80 , FIO , 2-1 , REG
81 , FIO , 3-1 , ROM
82 , FIO , 2-1 , UDI
83 , FIO , 2-0 , HEL
84 , FIO , 3-2 , VIC
85 , INT , 3-0 , ATA
86 , INT , 1-0 , BAR
87 , INT , 2-1 , BOL
88 , INT , 0-0 , BRE
89 , INT , 4-2 , FIO
90 , INT , 2-2 , JUV
91 , INT , 1-1 , LAZ
92 , INT , 0-1 , LCE
93 , INT , 0-6 , MIL
94 , INT , 3-1 , NAP
95 , INT , 1-1 , PAR
96 , INT , 2-1 , PER
97 , INT , 1-1 , REG
98 , INT , 2-0 , ROM
99 , INT , 2-1 , UDI
100 , INT , 2-0 , HEL
101 , INT , 1-1 , VIC
102 , JUV , 2-1 , ATA
103 , JUV , 2-0 , BAR
104 , JUV , 1-0 , BOL
105 , JUV , 1-1 , BRE
106 , JUV , 3-3 , FIO
107 , JUV , 3-1 , INT
108 , JUV , 1-1 , LAZ
109 , JUV , 1-1 , LCE
110 , JUV , 3-0 , MIL
111 , JUV , 3-0 , NAP
112 , JUV , 1-0 , PAR
113 , JUV , 1-0 , PER
114 , JUV , 1-0 , REG
115 , JUV , 2-2 , ROM
116 , JUV , 1-2 , UDI
117 , JUV , 2-1 , HEL
118 , JUV , 4-0 , VIC
