0 , ANC , 3-2 , BOL
1 , ANC , 1-1 , BRE
2 , ANC , 0-2 , CHV
3 , ANC , 2-1 , EMP
4 , ANC , 0-2 , INT
5 , ANC , 2-3 , JUV
6 , ANC , 0-1 , LAZ
7 , ANC , 0-2 , LCE
8 , ANC , 0-2 , MIL
9 , ANC , 1-1 , MOD
10 , ANC , 0-2 , PAR
11 , ANC , 0-0 , PER
12 , ANC , 1-1 , REG
13 , ANC , 0-0 , ROM
14 , ANC , 0-1 , SAM
15 , ANC , 0-0 , SIE
16 , ANC , 0-3 , UDI
17 , BOL , 3-2 , ANC
18 , BOL , 3-0 , BRE
19 , BOL , 3-1 , CHV
20 , BOL , 2-1 , EMP
21 , BOL , 0-2 , INT
22 , BOL , 0-1 , JUV
23 , BOL , 2-1 , LAZ
24 , BOL , 1-1 , LCE
25 , BOL , 0-3 , MIL
26 , BOL , 1-1 , MOD
27 , BOL , 2-2 , PAR
28 , BOL , 2-2 , PER
29 , BOL , 2-2 , REG
30 , BOL , 0-4 , ROM
31 , BOL , 0-1 , SAM
32 , BOL , 3-1 , SIE
33 , BOL , 2-0 , UDI
34 , BRE , 5-2 , ANC
35 , BRE , 0-0 , BOL
36 , BRE , 1-1 , CHV
37 , BRE , 2-0 , EMP
38 , BRE , 2-2 , INT
39 , BRE , 2-3 , JUV
40 , BRE , 2-1 , LAZ
41 , BRE , 1-2 , LCE
42 , BRE , 0-1 , MIL
43 , BRE , 0-0 , MOD
44 , BRE , 2-3 , PAR
45 , BRE , 1-1 , PER
46 , BRE , 4-4 , REG
47 , BRE , 1-0 , ROM
48 , BRE , 1-1 , SAM
49 , BRE , 4-2 , SIE
50 , BRE , 1-2 , UDI
51 , CHV , 1-0 , ANC
52 , CHV , 2-1 , BOL
53 , CHV , 3-1 , BRE
54 , CHV , 0-0 , EMP
55 , CHV , 0-2 , INT
56 , CHV , 1-2 , JUV
57 , CHV , 0-0 , LAZ
58 , CHV , 2-3 , LCE
59 , CHV , 0-2 , MIL
60 , CHV , 2-0 , MOD
61 , CHV , 0-2 , PAR
62 , CHV , 4-1 , PER
63 , CHV , 0-0 , REG
64 , CHV , 0-3 , ROM
65 , CHV , 1-1 , SAM
66 , CHV , 1-1 , SIE
67 , CHV , 0-0 , UDI
68 , EMP , 2-0 , ANC
69 , EMP , 2-0 , BOL
70 , EMP , 1-1 , BRE
71 , EMP , 0-1 , CHV
72 , EMP , 2-3 , INT
73 , EMP , 3-3 , JUV
74 , EMP , 2-2 , LAZ
75 , EMP , 0-0 , LCE
76 , EMP , 0-1 , MIL
77 , EMP , 0-3 , MOD
78 , EMP , 1-0 , PAR
79 , EMP , 1-0 , PER
80 , EMP , 1-1 , REG
81 , EMP , 0-2 , ROM
82 , EMP , 1-1 , SAM
83 , EMP , 1-0 , SIE
84 , EMP , 2-0 , UDI
85 , INT , 3-0 , ANC
86 , INT , 4-2 , BOL
87 , INT , 1-3 , BRE
88 , INT , 0-0 , CHV
89 , INT , 0-1 , EMP
90 , INT , 3-2 , JUV
91 , INT , 0-0 , LAZ
92 , INT , 3-1 , LCE
93 , INT , 1-3 , MIL
94 , INT , 2-0 , MOD
95 , INT , 1-0 , PAR
96 , INT , 2-1 , PER
97 , INT , 6-0 , REG
98 , INT , 0-0 , ROM
99 , INT , 0-0 , SAM
100 , INT , 4-0 , SIE
101 , INT , 1-2 , UDI
102 , JUV , 3-0 , ANC
103 , JUV , 2-1 , BOL
104 , JUV , 2-0 , BRE
105 , JUV , 1-0 , CHV
106 , JUV , 5-1 , EMP
107 , JUV , 1-3 , INT
108 , JUV , 1-0 , LAZ
109 , JUV , 3-4 , LCE
110 , JUV , 1-3 , MIL
