0 , ALB , 0-2 , ATH
1 , ALB , 1-0 , ATM
2 , ALB , 1-2 , BAR
3 , ALB , 0-0 , BET
4 , ALB , 0-1 , DEP
5 , ALB , 1-0 , ESP
6 , ALB , 1-1 , GET
7 , ALB , 3-1 , LEV
8 , ALB , 1-2 , MLG
9 , ALB , 0-0 , MLL
10 , ALB , 1-2 , NUM
11 , ALB , 1-1 , OSA
12 , ALB , 0-0 , RAC
13 , ALB , 1-2 , RMA
14 , ALB , 2-2 , RSO
15 , ALB , 0-2 , SEV
16 , ALB , 0-1 , VAL
17 , ALB , 2-2 , VIL
18 , ALB , 2-1 , ZAR
19 , ATH , 3-1 , ALB
20 , ATH , 1-0 , ATM
21 , ATH , 1-1 , BAR
22 , ATH , 4-4 , BET
23 , ATH , 1-2 , DEP
24 , ATH , 1-1 , ESP
25 , ATH , 1-2 , GET
26 , ATH , 3-1 , LEV
27 , ATH , 1-0 , MLG
28 , ATH , 4-0 , MLL
29 , ATH , 0-2 , NUM
30 , ATH , 4-3 , OSA
31 , ATH , 3-0 , RAC
32 , ATH , 2-1 , RMA
33 , ATH , 3-0 , RSO
34 , ATH , 1-3 , SEV
35 , ATH , 2-2 , VAL
36 , ATH , 2-1 , VIL
37 , ATH , 2-0 , ZAR
38 , ATM , 3-1 , ALB
39 , ATM , 1-1 , ATH
40 , ATM , 1-1 , BAR
41 , ATM , 1-2 , BET
42 , ATM , 1-0 , DEP
43 , ATM , 0-0 , ESP
44 , ATM , 2-2 , GET
45 , ATM , 0-0 , LEV
46 , ATM , 2-0 , MLG
47 , ATM , 4-0 , MLL
48 , ATM , 2-0 , NUM
49 , ATM , 3-2 , OSA
50 , ATM , 1-0 , RAC
51 , ATM , 0-3 , RMA
52 , ATM , 1-0 , RSO
53 , ATM , 3-0 , SEV
54 , ATM , 1-0 , VAL
55 , ATM , 1-0 , VIL
56 , ATM , 1-1 , ZAR
57 , BAR , 2-0 , ALB
58 , BAR , 2-0 , ATH
59 , BAR , 0-2 , ATM
60 , BAR , 3-3 , BET
61 , BAR , 2-1 , DEP
62 , BAR , 0-0 , ESP
63 , BAR , 2-0 , GET
64 , BAR , 2-1 , LEV
65 , BAR , 4-0 , MLG
66 , BAR , 2-0 , MLL
67 , BAR , 1-0 , NUM
68 , BAR , 3-0 , OSA
69 , BAR , 3-0 , RAC
70 , BAR , 3-0 , RMA
71 , BAR , 1-0 , RSO
72 , BAR , 2-0 , SEV
73 , BAR , 1-1 , VAL
74 , BAR , 3-3 , VIL
75 , BAR , 4-1 , ZAR
76 , BET , 2-1 , ALB
77 , BET , 2-1 , ATH
78 , BET , 2-1 , ATM
79 , BET , 2-1 , BAR
80 , BET , 2-0 , DEP
81 , BET , 1-4 , ESP
82 , BET , 2-2 , GET
83 , BET , 2-2 , LEV
84 , BET , 1-1 , MLG
85 , BET , 2-0 , MLL
86 , BET , 4-0 , NUM
87 , BET , 3-1 , OSA
88 , BET , 2-1 , RAC
89 , BET , 1-1 , RMA
90 , BET , 2-3 , RSO
91 , BET , 1-0 , SEV
92 , BET , 1-1 , VAL
93 , BET , 2-1 , VIL
94 , BET , 3-2 , ZAR
95 , DEP , 0-0 , ALB
96 , DEP , 2-0 , ATH
97 , DEP , 1-1 , ATM
98 , DEP , 0-1 , BAR
99 , DEP , 1-1 , BET
100 , DEP , 4-1 , ESP
101 , DEP , 2-1 , GET
102 , DEP , 1-0 , LEV
