0 , ASC , 1-3 , ATA
1 , ASC , 2-1 , CAG
2 , ASC , 2-2 , CTN
3 , ASC , 3-0 , CHV
4 , ASC , 0-1 , EMP
5 , ASC , 1-1 , FIO
6 , ASC , 1-2 , INT
7 , ASC , 2-2 , LAZ
8 , ASC , 0-2 , LIV
9 , ASC , 1-1 , MES
10 , ASC , 2-5 , MIL
11 , ASC , 3-2 , PAL
12 , ASC , 0-0 , PAR
13 , ASC , 2-3 , REG
14 , ASC , 1-1 , ROM
15 , ASC , 1-1 , SAM
16 , ASC , 0-1 , SIE
17 , ASC , 0-2 , TOR
18 , ASC , 2-2 , UDI
19 , ATA , 3-1 , ASC
20 , ATA , 3-3 , CAG
21 , ATA , 1-1 , CTN
22 , ATA , 1-0 , CHV
23 , ATA , 0-0 , EMP
24 , ATA , 2-2 , FIO
25 , ATA , 1-1 , INT
26 , ATA , 0-0 , LAZ
27 , ATA , 5-1 , LIV
28 , ATA , 3-2 , MES
29 , ATA , 2-0 , MIL
30 , ATA , 1-1 , PAL
31 , ATA , 1-1 , PAR
32 , ATA , 1-1 , REG
33 , ATA , 2-1 , ROM
34 , ATA , 3-2 , SAM
35 , ATA , 3-1 , SIE
36 , ATA , 1-2 , TOR
37 , ATA , 1-2 , UDI
38 , CAG , 1-0 , ASC
39 , CAG , 2-0 , ATA
40 , CAG , 0-1 , CTN
41 , CAG , 0-2 , CHV
42 , CAG , 0-0 , EMP
43 , CAG , 0-2 , FIO
44 , CAG , 1-1 , INT
45 , CAG , 0-2 , LAZ
46 , CAG , 2-2 , LIV
47 , CAG , 2-0 , MES
48 , CAG , 2-2 , MIL
49 , CAG , 1-0 , PAL
50 , CAG , 0-0 , PAR
51 , CAG , 0-2 , REG
52 , CAG , 3-2 , ROM
53 , CAG , 1-0 , SAM
54 , CAG , 2-2 , SIE
55 , CAG , 0-0 , TOR
56 , CAG , 2-1 , UDI
57 , CTN , 3-3 , ASC
58 , CTN , 0-0 , ATA
59 , CTN , 0-1 , CAG
60 , CTN , 2-0 , CHV
61 , CTN , 2-1 , EMP
62 , CTN , 0-1 , FIO
63 , CTN , 2-5 , INT
64 , CTN , 3-1 , LAZ
65 , CTN , 3-2 , LIV
66 , CTN , 2-2 , MES
67 , CTN , 1-1 , MIL
68 , CTN , 1-2 , PAL
69 , CTN , 2-0 , PAR
70 , CTN , 1-4 , REG
71 , CTN , 0-2 , ROM
72 , CTN , 4-2 , SAM
73 , CTN , 1-1 , SIE
74 , CTN , 1-1 , TOR
75 , CTN , 1-0 , UDI
76 , CHV , 1-0 , ASC
77 , CHV , 2-2 , ATA
78 , CHV , 0-0 , CAG
79 , CHV , 2-1 , CTN
80 , CHV , 0-0 , EMP
81 , CHV , 0-1 , FIO
82 , CHV , 0-2 , INT
83 , CHV , 0-1 , LAZ
84 , CHV , 2-1 , LIV
85 , CHV , 1-1 , MES
86 , CHV , 0-1 , MIL
87 , CHV , 0-1 , PAL
88 , CHV , 1-0 , PAR
89 , CHV , 3-2 , REG
90 , CHV , 2-2 , ROM
91 , CHV , 1-1 , SAM
92 , CHV , 1-2 , SIE
93 , CHV , 3-0 , TOR
94 , CHV , 2-0 , UDI
95 , EMP , 4-1 , ASC
96 , EMP , 2-0 , ATA
97 , EMP , 1-0 , CAG
98 , EMP , 2-1 , CTN
99 , EMP , 1-1 , CHV
100 , EMP , 1-2 , FIO
