0 , ATA , 2-2 , CAG
1 , ATA , 0-0 , CTN
2 , ATA , 4-1 , EMP
3 , ATA , 2-2 , FIO
4 , ATA , 2-0 , GEN
5 , ATA , 0-2 , INT
6 , ATA , 0-4 , JUV
7 , ATA , 2-1 , LAZ
8 , ATA , 3-2 , LIV
9 , ATA , 2-1 , MIL
10 , ATA , 5-1 , NAP
11 , ATA , 1-3 , PAL
12 , ATA , 2-0 , PAR
13 , ATA , 2-2 , REG
14 , ATA , 1-2 , ROM
15 , ATA , 4-1 , SAM
16 , ATA , 2-2 , SIE
17 , ATA , 2-2 , TOR
18 , ATA , 0-0 , UDI
19 , CAG , 1-0 , ATA
20 , CAG , 1-1 , CTN
21 , CAG , 2-0 , EMP
22 , CAG , 2-1 , FIO
23 , CAG , 2-1 , GEN
24 , CAG , 0-2 , INT
25 , CAG , 2-3 , JUV
26 , CAG , 1-0 , LAZ
27 , CAG , 0-0 , LIV
28 , CAG , 1-2 , MIL
29 , CAG , 2-1 , NAP
30 , CAG , 0-1 , PAL
31 , CAG , 1-1 , PAR
32 , CAG , 2-2 , REG
33 , CAG , 1-1 , ROM
34 , CAG , 0-3 , SAM
35 , CAG , 1-0 , SIE
36 , CAG , 3-0 , TOR
37 , CAG , 0-1 , UDI
38 , CTN , 1-2 , ATA
39 , CTN , 2-1 , CAG
40 , CTN , 1-0 , EMP
41 , CTN , 0-1 , FIO
42 , CTN , 0-0 , GEN
43 , CTN , 0-2 , INT
44 , CTN , 1-1 , JUV
45 , CTN , 1-0 , LAZ
46 , CTN , 1-0 , LIV
47 , CTN , 1-1 , MIL
48 , CTN , 3-0 , NAP
49 , CTN , 3-1 , PAL
50 , CTN , 0-0 , PAR
51 , CTN , 1-2 , REG
52 , CTN , 1-1 , ROM
53 , CTN , 2-0 , SAM
54 , CTN , 0-0 , SIE
55 , CTN , 1-2 , TOR
56 , CTN , 2-0 , UDI
57 , EMP , 0-1 , ATA
58 , EMP , 4-1 , CAG
59 , EMP , 2-0 , CTN
60 , EMP , 0-2 , FIO
61 , EMP , 1-1 , GEN
62 , EMP , 0-2 , INT
63 , EMP , 0-0 , JUV
64 , EMP , 1-0 , LAZ
65 , EMP , 2-1 , LIV
66 , EMP , 1-3 , MIL
67 , EMP , 0-0 , NAP
68 , EMP , 3-1 , PAL
69 , EMP , 1-1 , PAR
70 , EMP , 1-1 , REG
71 , EMP , 2-2 , ROM
72 , EMP , 0-2 , SAM
73 , EMP , 0-2 , SIE
74 , EMP , 0-0 , TOR
75 , EMP , 0-1 , UDI
76 , FIO , 2-2 , ATA
77 , FIO , 5-1 , CAG
78 , FIO , 2-1 , CTN
79 , FIO , 3-1 , EMP
80 , FIO , 3-1 , GEN
81 , FIO , 0-2 , INT
82 , FIO , 1-1 , JUV
83 , FIO , 1-0 , LAZ
84 , FIO , 1-0 , LIV
85 , FIO , 0-1 , MIL
86 , FIO , 1-0 , NAP
87 , FIO , 1-0 , PAL
88 , FIO , 3-1 , PAR
89 , FIO , 2-0 , REG
90 , FIO , 2-2 , ROM
91 , FIO , 2-2 , SAM
92 , FIO , 3-0 , SIE
93 , FIO , 2-1 , TOR
94 , FIO , 1-2 , UDI
95 , GEN , 2-1 , ATA
96 , GEN , 2-0 , CAG
97 , GEN , 2-1 , CTN
98 , GEN , 0-1 , EMP
99 , GEN , 0-0 , FIO
100 , GEN , 1-1 , INT
101 , GEN , 0-2 , JUV
102 , GEN , 0-2 , LAZ
103 , GEN , 1-1 , LIV
104 , GEN , 0-3 , MIL
105 , GEN , 2-0 , NAP
106 , GEN , 3-3 , PAL
107 , GEN , 1-0 , PAR
108 , GEN , 2-0 , REG
109 , GEN , 0-1 , ROM
110 , GEN , 0-1 , SAM
111 , GEN , 1-3 , SIE
112 , GEN , 3-0 , TOR
113 , GEN , 3-2 , UDI
114 , INT , 2-1 , ATA
115 , INT , 2-1 , CAG
116 , INT , 2-0 , CTN
117 , INT , 1-0 , EMP
118 , INT , 2-0 , FIO
119 , INT , 4-1 , GEN
120 , INT , 1-2 , JUV
121 , INT , 3-0 , LAZ
122 , INT , 2-0 , LIV
123 , INT , 2-1 , MIL
124 , INT , 2-1 , NAP
125 , INT , 2-1 , PAL
126 , INT , 3-2 , PAR
127 , INT , 2-0 , REG
128 , INT , 1-1 , ROM
129 , INT , 3-0 , SAM
130 , INT , 2-2 , SIE
131 , INT , 4-0 , TOR
132 , INT , 1-1 , UDI
133 , JUV , 1-0 , ATA
134 , JUV , 1-1 , CAG
135 , JUV , 1-1 , CTN
136 , JUV , 3-0 , EMP
137 , JUV , 2-3 , FIO
138 , JUV , 1-0 , GEN
139 , JUV , 1-1 , INT
140 , JUV , 5-2 , LAZ
141 , JUV , 5-1 , LIV
142 , JUV , 3-2 , MIL
143 , JUV , 1-0 , NAP
144 , JUV , 5-0 , PAL
145 , JUV , 3-0 , PAR
146 , JUV , 4-0 , REG
147 , JUV , 1-0 , ROM
148 , JUV , 0-0 , SAM
149 , JUV , 2-0 , SIE
150 , JUV , 0-0 , TOR
151 , JUV , 0-1 , UDI
152 , LAZ , 3-0 , ATA
153 , LAZ , 3-1 , CAG
154 , LAZ , 2-0 , CTN
155 , LAZ , 0-0 , EMP
156 , LAZ , 0-1 , FIO
157 , LAZ , 1-2 , GEN
158 , LAZ , 1-1 , INT
159 , LAZ , 2-3 , JUV
160 , LAZ , 2-0 , LIV
161 , LAZ , 1-0 , MIL
162 , LAZ , 2-1 , NAP
163 , LAZ , 1-2 , PAL
164 , LAZ , 1-0 , PAR
165 , LAZ , 1-0 , REG
166 , LAZ , 3-2 , ROM
167 , LAZ , 2-1 , SAM
168 , LAZ , 1-1 , SIE
169 , LAZ , 2-2 , TOR
170 , LAZ , 0-1 , UDI
171 , LIV , 1-1 , ATA
172 , LIV , 1-2 , CAG
173 , LIV , 1-0 , CTN
174 , LIV , 1-0 , EMP
175 , LIV , 0-3 , FIO
176 , LIV , 1-1 , GEN
177 , LIV , 2-2 , INT
178 , LIV , 1-3 , JUV
179 , LIV , 0-1 , LAZ
180 , LIV , 1-4 , MIL
181 , LIV , 1-2 , NAP
182 , LIV , 2-4 , PAL
183 , LIV , 1-1 , PAR
184 , LIV , 1-1 , REG
185 , LIV , 1-1 , ROM
186 , LIV , 3-1 , SAM
187 , LIV , 0-0 , SIE
188 , LIV , 0-1 , TOR
189 , LIV , 0-0 , UDI
190 , MIL , 1-2 , ATA
191 , MIL , 3-1 , CAG
192 , MIL , 1-1 , CTN
193 , MIL , 0-1 , EMP
194 , MIL , 1-1 , FIO
195 , MIL , 2-0 , GEN
196 , MIL , 2-1 , INT
197 , MIL , 0-0 , JUV
198 , MIL , 1-1 , LAZ
199 , MIL , 1-1 , LIV
200 , MIL , 5-2 , NAP
201 , MIL , 2-1 , PAL
202 , MIL , 1-1 , PAR
203 , MIL , 5-1 , REG
204 , MIL , 0-1 , ROM
205 , MIL , 1-2 , SAM
206 , MIL , 1-0 , SIE
207 , MIL , 0-0 , TOR
208 , MIL , 4-1 , UDI
209 , NAP , 2-0 , ATA
210 , NAP , 0-2 , CAG
211 , NAP , 2-0 , CTN
212 , NAP , 1-3 , EMP
213 , NAP , 2-0 , FIO
214 , NAP , 1-2 , GEN
215 , NAP , 1-0 , INT
216 , NAP , 3-1 , JUV
217 , NAP , 2-2 , LAZ
218 , NAP , 1-0 , LIV
219 , NAP , 3-1 , MIL
220 , NAP , 1-0 , PAL
221 , NAP , 1-0 , PAR
222 , NAP , 1-1 , REG
223 , NAP , 0-2 , ROM
224 , NAP , 2-0 , SAM
225 , NAP , 0-0 , SIE
226 , NAP , 1-1 , TOR
227 , NAP , 3-1 , UDI
228 , PAL , 0-0 , ATA
229 , PAL , 2-1 , CAG
230 , PAL , 1-0 , CTN
231 , PAL , 2-0 , EMP
232 , PAL , 2-0 , FIO
233 , PAL , 2-3 , GEN
234 , PAL , 0-0 , INT
235 , PAL , 3-2 , JUV
236 , PAL , 2-2 , LAZ
237 , PAL , 1-0 , LIV
238 , PAL , 2-1 , MIL
239 , PAL , 2-1 , NAP
240 , PAL , 1-1 , PAR
241 , PAL , 1-1 , REG
242 , PAL , 0-2 , ROM
243 , PAL , 0-1 , SAM
244 , PAL , 2-3 , SIE
245 , PAL , 1-1 , TOR
246 , PAL , 1-1 , UDI
247 , PAR , 2-3 , ATA
248 , PAR , 1-1 , CAG
249 , PAR , 2-2 , CTN
250 , PAR , 1-0 , EMP
251 , PAR , 1-2 , FIO
252 , PAR , 1-0 , GEN
253 , PAR , 0-2 , INT
254 , PAR , 2-2 , JUV
255 , PAR , 2-2 , LAZ
256 , PAR , 3-2 , LIV
257 , PAR , 0-0 , MIL
258 , PAR , 1-2 , NAP
259 , PAR , 2-1 , PAL
260 , PAR , 3-0 , REG
261 , PAR , 0-3 , ROM
262 , PAR , 1-2 , SAM
263 , PAR , 2-2 , SIE
264 , PAR , 2-0 , TOR
265 , PAR , 2-0 , UDI
266 , REG , 1-1 , ATA
267 , REG , 2-0 , CAG
268 , REG , 3-1 , CTN
269 , REG , 2-0 , EMP
270 , REG , 0-0 , FIO
271 , REG , 2-0 , GEN
272 , REG , 0-1 , INT
273 , REG , 2-1 , JUV
274 , REG , 1-1 , LAZ
275 , REG , 1-3 , LIV
276 , REG , 0-1 , MIL
277 , REG , 1-1 , NAP
278 , REG , 0-0 , PAL
279 , REG , 2-1 , PAR
280 , REG , 0-2 , ROM
281 , REG , 1-0 , SAM
282 , REG , 4-0 , SIE
283 , REG , 1-3 , TOR
284 , REG , 1-3 , UDI
285 , ROM , 2-1 , ATA
286 , ROM , 2-0 , CAG
287 , ROM , 2-0 , CTN
288 , ROM , 2-1 , EMP
289 , ROM , 1-0 , FIO
290 , ROM , 3-2 , GEN
291 , ROM , 1-4 , INT
292 , ROM , 2-2 , JUV
293 , ROM , 3-2 , LAZ
294 , ROM , 1-1 , LIV
295 , ROM , 2-1 , MIL
296 , ROM , 4-4 , NAP
297 , ROM , 1-0 , PAL
298 , ROM , 4-0 , PAR
299 , ROM , 2-0 , REG
300 , ROM , 2-0 , SAM
301 , ROM , 3-0 , SIE
302 , ROM , 4-1 , TOR
303 , ROM , 2-1 , UDI
304 , SAM , 3-0 , ATA
305 , SAM , 1-1 , CAG
306 , SAM , 3-1 , CTN
307 , SAM , 3-0 , EMP
308 , SAM , 2-0 , FIO
309 , SAM , 0-0 , GEN
310 , SAM , 1-1 , INT
311 , SAM , 3-3 , JUV
312 , SAM , 0-0 , LAZ
313 , SAM , 2-0 , LIV
314 , SAM , 0-5 , MIL
315 , SAM , 2-0 , NAP
316 , SAM , 3-0 , PAL
317 , SAM , 3-1 , PAR
318 , SAM , 3-0 , REG
319 , SAM , 0-3 , ROM
320 , SAM , 1-0 , SIE
321 , SAM , 2-2 , TOR
322 , SAM , 3-0 , UDI
323 , SIE , 1-1 , ATA
324 , SIE , 1-0 , CAG
325 , SIE , 1-1 , CTN
326 , SIE , 3-0 , EMP
327 , SIE , 1-0 , FIO
328 , SIE , 0-1 , GEN
329 , SIE , 2-3 , INT
330 , SIE , 1-0 , JUV
331 , SIE , 1-1 , LAZ
332 , SIE , 2-3 , LIV
