0 , ALM , 2-1 , ATH
1 , ALM , 1-1 , ATM
2 , ALM , 0-2 , BAR
3 , ALM , 1-0 , BET
4 , ALM , 0-1 , DEP
5 , ALM , 0-3 , ESP
6 , ALM , 2-1 , GET
7 , ALM , 1-0 , MLG
8 , ALM , 2-1 , MLL
9 , ALM , 2-1 , NUM
10 , ALM , 2-1 , OSA
11 , ALM , 1-1 , RAC
12 , ALM , 1-1 , RMA
13 , ALM , 1-0 , REC
14 , ALM , 0-1 , SEV
15 , ALM , 3-1 , SPG
16 , ALM , 2-2 , VAL
17 , ALM , 3-2 , VLD
18 , ALM , 3-0 , VIL
19 , ATH , 1-3 , ALM
20 , ATH , 1-4 , ATM
21 , ATH , 0-1 , BAR
22 , ATH , 1-0 , BET
23 , ATH , 0-1 , DEP
24 , ATH , 1-1 , ESP
25 , ATH , 0-1 , GET
26 , ATH , 3-2 , MLG
27 , ATH , 2-1 , MLL
28 , ATH , 2-0 , NUM
29 , ATH , 2-0 , OSA
30 , ATH , 2-1 , RAC
31 , ATH , 2-5 , RMA
32 , ATH , 1-1 , REC
33 , ATH , 1-2 , SEV
34 , ATH , 3-0 , SPG
35 , ATH , 3-2 , VAL
36 , ATH , 2-0 , VLD
37 , ATH , 1-4 , VIL
38 , ATM , 3-0 , ALM
39 , ATM , 2-3 , ATH
40 , ATM , 4-3 , BAR
41 , ATM , 2-0 , BET
42 , ATM , 4-1 , DEP
43 , ATM , 3-2 , ESP
44 , ATM , 1-1 , GET
45 , ATM , 4-0 , MLG
46 , ATM , 2-0 , MLL
47 , ATM , 3-0 , NUM
48 , ATM , 2-4 , OSA
49 , ATM , 4-1 , RAC
50 , ATM , 1-2 , RMA
51 , ATM , 4-0 , REC
52 , ATM , 0-1 , SEV
53 , ATM , 3-1 , SPG
54 , ATM , 1-0 , VAL
55 , ATM , 1-2 , VLD
56 , ATM , 3-2 , VIL
57 , BAR , 5-0 , ALM
58 , BAR , 2-0 , ATH
59 , BAR , 6-1 , ATM
60 , BAR , 3-2 , BET
61 , BAR , 5-0 , DEP
62 , BAR , 1-2 , ESP
63 , BAR , 1-1 , GET
64 , BAR , 6-0 , MLG
65 , BAR , 3-1 , MLL
66 , BAR , 4-1 , NUM
67 , BAR , 0-1 , OSA
68 , BAR , 1-1 , RAC
69 , BAR , 2-0 , RMA
70 , BAR , 2-0 , REC
71 , BAR , 4-0 , SEV
72 , BAR , 3-1 , SPG
73 , BAR , 4-0 , VAL
74 , BAR , 6-0 , VLD
75 , BAR , 3-3 , VIL
76 , BET , 2-0 , ALM
77 , BET , 0-1 , ATH
78 , BET , 0-2 , ATM
79 , BET , 2-2 , BAR
80 , BET , 0-3 , DEP
81 , BET , 1-1 , ESP
82 , BET , 2-2 , GET
83 , BET , 1-2 , MLG
84 , BET , 3-0 , MLL
85 , BET , 3-3 , NUM
86 , BET , 0-0 , OSA
87 , BET , 3-1 , RAC
88 , BET , 1-2 , RMA
89 , BET , 0-1 , REC
90 , BET , 0-0 , SEV
91 , BET , 2-0 , SPG
92 , BET , 1-2 , VAL
93 , BET , 1-1 , VLD
94 , BET , 2-2 , VIL
95 , DEP , 2-0 , ALM
96 , DEP , 3-1 , ATH
97 , DEP , 1-2 , ATM
98 , DEP , 1-1 , BAR
99 , DEP , 1-1 , BET
100 , DEP , 1-0 , ESP
101 , DEP , 1-1 , GET
102 , DEP , 2-0 , MLG
103 , DEP , 0-0 , MLL
104 , DEP , 1-0 , NUM
105 , DEP , 0-0 , OSA
106 , DEP , 5-3 , RAC
107 , DEP , 2-1 , RMA
108 , DEP , 4-1 , REC
109 , DEP , 1-3 , SEV
110 , DEP , 0-3 , SPG
111 , DEP , 1-1 , VAL
112 , DEP , 1-0 , VLD
113 , DEP , 3-0 , VIL
114 , ESP , 2-2 , ALM
115 , ESP , 1-0 , ATH
116 , ESP , 2-3 , ATM
117 , ESP , 1-2 , BAR
118 , ESP , 2-0 , BET
119 , ESP , 3-1 , DEP
120 , ESP , 1-1 , GET
121 , ESP , 3-0 , MLG
122 , ESP , 3-3 , MLL
123 , ESP , 3-4 , NUM
124 , ESP , 1-0 , OSA
125 , ESP , 1-0 , RAC
126 , ESP , 0-2 , RMA
127 , ESP , 1-1 , REC
128 , ESP , 0-2 , SEV
129 , ESP , 0-1 , SPG
130 , ESP , 3-0 , VAL
131 , ESP , 1-0 , VLD
132 , ESP , 0-0 , VIL
133 , GET , 2-2 , ALM
134 , GET , 1-1 , ATH
135 , GET , 1-2 , ATM
136 , GET , 0-1 , BAR
137 , GET , 0-0 , BET
138 , GET , 1-2 , DEP
139 , GET , 1-1 , ESP
140 , GET , 1-2 , MLG
141 , GET , 4-1 , MLL
142 , GET , 1-0 , NUM
143 , GET , 3-0 , OSA
144 , GET , 0-1 , RAC
145 , GET , 3-1 , RMA
146 , GET , 2-1 , REC
147 , GET , 0-2 , SEV
148 , GET , 5-1 , SPG
149 , GET , 0-3 , VAL
150 , GET , 1-0 , VLD
151 , GET , 1-2 , VIL
152 , MLG , 3-2 , ALM
153 , MLG , 0-0 , ATH
154 , MLG , 1-1 , ATM
155 , MLG , 1-4 , BAR
156 , MLG , 1-1 , BET
157 , MLG , 1-1 , DEP
158 , MLG , 4-0 , ESP
159 , MLG , 2-1 , GET
160 , MLG , 1-1 , MLL
161 , MLG , 2-0 , NUM
162 , MLG , 4-2 , OSA
163 , MLG , 1-0 , RAC
164 , MLG , 0-1 , RMA
165 , MLG , 0-2 , REC
166 , MLG , 2-2 , SEV
167 , MLG , 1-0 , SPG
168 , MLG , 0-2 , VAL
169 , MLG , 2-1 , VLD
170 , MLG , 2-2 , VIL
171 , MLL , 2-0 , ALM
172 , MLL , 3-3 , ATH
173 , MLL , 2-0 , ATM
174 , MLL , 2-1 , BAR
175 , MLL , 3-3 , BET
176 , MLL , 1-1 , DEP
177 , MLL , 3-0 , ESP
178 , MLL , 2-1 , GET
179 , MLL , 2-2 , MLG
180 , MLL , 2-0 , NUM
181 , MLL , 1-1 , OSA
182 , MLL , 1-0 , RAC
183 , MLL , 0-3 , RMA
184 , MLL , 2-3 , REC
185 , MLL , 0-0 , SEV
186 , MLL , 0-2 , SPG
187 , MLL , 3-1 , VAL
188 , MLL , 2-0 , VLD
189 , MLL , 2-3 , VIL
190 , NUM , 2-1 , ALM
191 , NUM , 1-2 , ATH
192 , NUM , 1-1 , ATM
193 , NUM , 1-0 , BAR
194 , NUM , 2-4 , BET
195 , NUM , 0-1 , DEP
196 , NUM , 0-0 , ESP
197 , NUM , 2-0 , GET
198 , NUM , 2-0 , MLG
199 , NUM , 0-1 , MLL
200 , NUM , 0-0 , OSA
201 , NUM , 2-1 , RAC
202 , NUM , 0-2 , RMA
203 , NUM , 1-0 , REC
204 , NUM , 0-2 , SEV
205 , NUM , 2-1 , SPG
206 , NUM , 2-1 , VAL
207 , NUM , 4-3 , VLD
208 , NUM , 1-2 , VIL
209 , OSA , 3-1 , ALM
210 , OSA , 2-1 , ATH
211 , OSA , 0-0 , ATM
212 , OSA , 2-3 , BAR
213 , OSA , 0-2 , BET
214 , OSA , 0-0 , DEP
215 , OSA , 1-0 , ESP
216 , OSA , 5-2 , GET
217 , OSA , 2-3 , MLG
218 , OSA , 1-0 , MLL
219 , OSA , 2-0 , NUM
220 , OSA , 0-1 , RAC
221 , OSA , 2-1 , RMA
222 , OSA , 1-2 , REC
223 , OSA , 0-0 , SEV
224 , OSA , 1-2 , SPG
225 , OSA , 1-0 , VAL
226 , OSA , 3-3 , VLD
227 , OSA , 1-1 , VIL
228 , RAC , 0-2 , ALM
229 , RAC , 1-1 , ATH
230 , RAC , 5-1 , ATM
231 , RAC , 1-2 , BAR
232 , RAC , 2-3 , BET
233 , RAC , 0-0 , DEP
234 , RAC , 3-0 , ESP
235 , RAC , 1-1 , GET
236 , RAC , 1-1 , MLG
237 , RAC , 1-2 , MLL
238 , RAC , 5-0 , NUM
239 , RAC , 1-1 , OSA
240 , RAC , 0-2 , RMA
241 , RAC , 1-1 , REC
242 , RAC , 1-1 , SEV
243 , RAC , 1-0 , SPG
