0 , AUX , 0-2 , BOR
1 , AUX , 2-1 , CAE
2 , AUX , 2-0 , GRE
3 , AUX , 3-0 , HAC
4 , AUX , 2-0 , MFC
5 , AUX , 2-0 , LIL
6 , AUX , 0-0 , LOR
7 , AUX , 0-0 , OL
8 , AUX , 0-2 , OM
9 , AUX , 0-1 , ASM
10 , AUX , 1-1 , NAL
11 , AUX , 2-1 , NAN
12 , AUX , 0-1 , NIC
13 , AUX , 1-2 , PSG
14 , AUX , 0-0 , REN
15 , AUX , 1-0 , STE
16 , AUX , 1-0 , SOC
17 , AUX , 1-1 , TFC
18 , AUX , 0-0 , VAL
19 , BOR , 2-0 , AUX
20 , BOR , 2-1 , CAE
21 , BOR , 1-1 , GRE
22 , BOR , 4-0 , HAC
23 , BOR , 3-2 , MFC
24 , BOR , 2-2 , LIL
25 , BOR , 1-0 , LOR
26 , BOR , 1-0 , OL
27 , BOR , 1-1 , OM
28 , BOR , 1-0 , ASM
29 , BOR , 1-0 , NAL
30 , BOR , 2-0 , NAN
31 , BOR , 2-1 , NIC
32 , BOR , 4-0 , PSG
33 , BOR , 1-1 , REN
34 , BOR , 1-1 , STE
35 , BOR , 3-0 , SOC
36 , BOR , 2-1 , TFC
37 , BOR , 2-1 , VAL
38 , CAE , 1-0 , AUX
39 , CAE , 0-1 , BOR
40 , CAE , 2-2 , GRE
41 , CAE , 0-1 , HAC
42 , CAE , 3-1 , MFC
43 , CAE , 0-1 , LIL
44 , CAE , 1-1 , LOR
45 , CAE , 0-1 , OL
46 , CAE , 0-1 , OM
47 , CAE , 2-2 , ASM
48 , CAE , 1-2 , NAL
49 , CAE , 3-0 , NAN
50 , CAE , 1-1 , NIC
51 , CAE , 0-1 , PSG
52 , CAE , 1-1 , REN
53 , CAE , 2-0 , STE
54 , CAE , 2-0 , SOC
55 , CAE , 0-0 , TFC
56 , CAE , 3-1 , VAL
57 , GRE , 0-0 , AUX
58 , GRE , 0-1 , BOR
59 , GRE , 2-1 , CAE
60 , GRE , 0-0 , HAC
61 , GRE , 2-1 , MFC
62 , GRE , 0-0 , LIL
63 , GRE , 1-3 , LOR
64 , GRE , 0-2 , OL
