0 , LEV , 1-1 , FCB
1 , LEV , 1-3 , DOR
2 , LEV , 2-1 , FRA
3 , LEV , 2-2 , FRE
4 , LEV , 1-1 , HAM
5 , LEV , 2-0 , H96
6 , LEV , 2-1 , HOF
7 , LEV , 3-1 , KAI
8 , LEV , 3-2 , KÖL
9 , LEV , 0-1 , MAI
10 , LEV , 3-6 , MGL
11 , LEV , 0-0 , NUR
12 , LEV , 2-0 , S04
13 , LEV , 2-1 , STP
14 , LEV , 4-2 , STU
15 , LEV , 2-2 , BRE
16 , LEV , 3-0 , WOL
17 , FCB , 5-1 , LEV
18 , FCB , 1-3 , DOR
19 , FCB , 4-1 , FRA
20 , FCB , 4-2 , FRE
21 , FCB , 6-0 , HAM
22 , FCB , 3-0 , H96
23 , FCB , 4-0 , HOF
24 , FCB , 5-1 , KAI
25 , FCB , 0-0 , KÖL
26 , FCB , 1-2 , MAI
27 , FCB , 1-0 , MGL
28 , FCB , 3-0 , NUR
29 , FCB , 4-1 , S04
30 , FCB , 3-0 , STP
31 , FCB , 2-1 , STU
32 , FCB , 0-0 , BRE
33 , FCB , 2-1 , WOL
34 , DOR , 0-2 , LEV
35 , DOR , 2-0 , FCB
36 , DOR , 3-1 , FRA
37 , DOR , 3-0 , FRE
38 , DOR , 2-0 , HAM
39 , DOR , 4-1 , H96
40 , DOR , 1-1 , HOF
41 , DOR , 5-0 , KAI
42 , DOR , 1-0 , KÖL
43 , DOR , 1-1 , MAI
44 , DOR , 4-1 , MGL
45 , DOR , 2-0 , NUR
46 , DOR , 0-0 , S04
47 , DOR , 2-0 , STP
48 , DOR , 1-1 , STU
49 , DOR , 2-0 , BRE
50 , DOR , 2-0 , WOL
51 , FRA , 0-3 , LEV
52 , FRA , 1-1 , FCB
53 , FRA , 1-0 , DOR
54 , FRA , 0-1 , FRE
55 , FRA , 1-3 , HAM
56 , FRA , 0-3 , H96
57 , FRA , 0-4 , HOF
58 , FRA , 0-0 , KAI
59 , FRA , 0-2 , KÖL
60 , FRA , 2-1 , MAI
61 , FRA , 0-1 , MGL
62 , FRA , 2-0 , NUR
63 , FRA , 0-0 , S04
64 , FRA , 2-1 , STP
65 , FRA , 0-2 , STU
66 , FRA , 1-1 , BRE
67 , FRA , 3-1 , WOL
68 , FRE , 0-1 , LEV
69 , FRE , 1-2 , FCB
70 , FRE , 1-2 , DOR
71 , FRE , 0-0 , FRA
72 , FRE , 1-0 , HAM
73 , FRE , 1-3 , H96
74 , FRE , 3-2 , HOF
75 , FRE , 2-1 , KAI
76 , FRE , 3-2 , KÖL
77 , FRE , 1-0 , MAI
78 , FRE , 3-0 , MGL
79 , FRE , 1-1 , NUR
80 , FRE , 1-2 , S04
81 , FRE , 1-3 , STP
82 , FRE , 2-1 , STU
83 , FRE , 1-3 , BRE
84 , FRE , 2-1 , WOL
85 , HAM , 2-4 , LEV
86 , HAM , 0-0 , FCB
87 , HAM , 1-1 , DOR
88 , HAM , 1-0 , FRA
89 , HAM , 0-2 , FRE
90 , HAM , 0-0 , H96
91 , HAM , 2-1 , HOF
92 , HAM , 2-1 , KAI
93 , HAM , 6-2 , KÖL
94 , HAM , 2-4 , MAI
95 , HAM , 1-1 , MGL
96 , HAM , 1-1 , NUR
97 , HAM , 2-1 , S04
98 , HAM , 0-1 , STP
99 , HAM , 4-2 , STU
100 , HAM , 4-0 , BRE
101 , HAM , 1-3 , WOL
102 , H96 , 2-2 , LEV
103 , H96 , 3-1 , FCB
104 , H96 , 0-4 , DOR
105 , H96 , 2-1 , FRA
106 , H96 , 3-0 , FRE
107 , H96 , 3-2 , HAM
108 , H96 , 2-0 , HOF
109 , H96 , 3-0 , KAI
110 , H96 , 2-1 , KÖL
111 , H96 , 2-0 , MAI
112 , H96 , 0-1 , MGL
113 , H96 , 3-1 , NUR
114 , H96 , 0-1 , S04
115 , H96 , 0-1 , STP
116 , H96 , 2-1 , STU
117 , H96 , 4-1 , BRE
118 , H96 , 1-0 , WOL
119 , HOF , 2-2 , LEV
120 , HOF , 1-2 , FCB
121 , HOF , 1-0 , DOR
122 , HOF , 1-0 , FRA
123 , HOF , 0-1 , FRE
124 , HOF , 0-0 , HAM
125 , HOF , 4-0 , H96
126 , HOF , 3-2 , KAI
127 , HOF , 1-1 , KÖL
