0 , ACAA , 0-4 , AUX
1 , ACAA , 2-4 , BOR
2 , ACAA , 1-1 , BRS
3 , ACAA , 3-2 , CAE
4 , ACAA , 0-1 , RCL
5 , ACAA , 0-1 , LIL
6 , ACAA , 3-3 , LOR
7 , ACAA , 1-1 , OL
8 , ACAA , 0-3 , OM
9 , ACAA , 0-2 , ASM
10 , ACAA , 0-0 , MHS
11 , ACAA , 1-1 , NAL
12 , ACAA , 0-0 , NIC
13 , ACAA , 1-2 , PSG
14 , ACAA , 0-1 , REN
15 , ACAA , 0-1 , STE
16 , ACAA , 1-3 , SOC
17 , ACAA , 1-0 , TFC
18 , ACAA , 0-1 , VAL
19 , AUX , 1-1 , ACAA
20 , AUX , 0-1 , BOR
21 , AUX , 0-1 , BRS
22 , AUX , 1-1 , CAE
23 , AUX , 1-1 , RCL
24 , AUX , 1-1 , LIL
25 , AUX , 2-2 , LOR
26 , AUX , 4-0 , OL
27 , AUX , 1-1 , OM
28 , AUX , 1-1 , ASM
29 , AUX , 1-0 , MHS
30 , AUX , 2-2 , NAL
31 , AUX , 2-0 , NIC
32 , AUX , 1-0 , PSG
33 , AUX , 2-1 , REN
34 , AUX , 2-2 , STE
35 , AUX , 2-0 , SOC
36 , AUX , 1-2 , TFC
37 , AUX , 1-1 , VAL
38 , BOR , 0-0 , ACAA
39 , BOR , 3-0 , AUX
40 , BOR , 0-2 , BRS
41 , BOR , 1-2 , CAE
42 , BOR , 2-2 , RCL
43 , BOR , 1-1 , LIL
44 , BOR , 1-0 , LOR
45 , BOR , 2-0 , OL
46 , BOR , 1-1 , OM
47 , BOR , 0-1 , ASM
48 , BOR , 2-0 , MHS
49 , BOR , 2-1 , NAL
50 , BOR , 2-0 , NIC
51 , BOR , 1-0 , PSG
52 , BOR , 0-0 , REN
53 , BOR , 2-0 , STE
54 , BOR , 0-4 , SOC
55 , BOR , 1-2 , TFC
56 , BOR , 1-1 , VAL
57 , BRS , 0-0 , ACAA
58 , BRS , 1-1 , AUX
59 , BRS , 1-3 , BOR
60 , BRS , 1-3 , CAE
61 , BRS , 4-1 , RCL
62 , BRS , 1-2 , LIL
63 , BRS , 0-0 , LOR
64 , BRS , 1-1 , OL
65 , BRS , 0-0 , OM
66 , BRS , 2-0 , ASM
67 , BRS , 0-0 , MHS
68 , BRS , 2-1 , NAL
69 , BRS , 0-0 , NIC
70 , BRS , 2-2 , PSG
71 , BRS , 2-0 , REN
72 , BRS , 2-0 , STE
73 , BRS , 1-1 , SOC
74 , BRS , 0-2 , TFC
75 , BRS , 1-0 , VAL
76 , CAE , 2-0 , ACAA
77 , CAE , 2-0 , AUX
78 , CAE , 0-0 , BOR
79 , CAE , 0-2 , BRS
80 , CAE , 1-1 , RCL
81 , CAE , 2-5 , LIL
82 , CAE , 0-2 , LOR
83 , CAE , 3-2 , OL
84 , CAE , 2-2 , OM
85 , CAE , 0-0 , ASM
86 , CAE , 2-0 , MHS
87 , CAE , 2-3 , NAL
88 , CAE , 0-0 , NIC
89 , CAE , 1-2 , PSG
90 , CAE , 1-0 , REN
91 , CAE , 1-0 , STE
92 , CAE , 0-3 , SOC
93 , CAE , 1-1 , TFC
94 , CAE , 2-2 , VAL
95 , RCL , 0-1 , ACAA
96 , RCL , 1-1 , AUX
97 , RCL , 1-0 , BOR
98 , RCL , 1-1 , BRS
99 , RCL , 2-0 , CAE
100 , RCL , 1-4 , LIL
101 , RCL , 2-3 , LOR
102 , RCL , 1-3 , OL
103 , RCL , 0-1 , OM
104 , RCL , 2-2 , ASM
105 , RCL , 2-0 , MHS
106 , RCL , 1-2 , NAL
107 , RCL , 1-0 , NIC
108 , RCL , 0-2 , PSG
109 , RCL , 0-0 , REN
110 , RCL , 2-1 , STE
111 , RCL , 2-3 , SOC
112 , RCL , 0-1 , TFC
113 , RCL , 1-1 , VAL
114 , LIL , 5-0 , ACAA
115 , LIL , 1-0 , AUX
116 , LIL , 1-1 , BOR
117 , LIL , 3-1 , BRS
118 , LIL , 3-1 , CAE
119 , LIL , 1-0 , RCL
120 , LIL , 6-3 , LOR
121 , LIL , 1-1 , OL
122 , LIL , 1-3 , OM
123 , LIL , 2-1 , ASM
124 , LIL , 3-1 , MHS
125 , LIL , 3-0 , NAL
126 , LIL , 1-1 , NIC
127 , LIL , 0-0 , PSG
128 , LIL , 3-2 , REN
129 , LIL , 1-1 , STE
130 , LIL , 1-0 , SOC
131 , LIL , 2-0 , TFC
132 , LIL , 1-1 , VAL
133 , LOR , 2-0 , ACAA
134 , LOR , 1-2 , AUX
135 , LOR , 5-1 , BOR
136 , LOR , 2-0 , BRS
137 , LOR , 0-1 , CAE
138 , LOR , 3-0 , RCL
139 , LOR , 1-1 , LIL
140 , LOR , 2-0 , OL
141 , LOR , 2-2 , OM
142 , LOR , 2-1 , ASM
143 , LOR , 0-0 , MHS
144 , LOR , 0-0 , NAL
145 , LOR , 1-2 , NIC
146 , LOR , 1-1 , PSG
147 , LOR , 2-0 , REN
148 , LOR , 0-0 , STE
149 , LOR , 1-1 , SOC
150 , LOR , 0-0 , TFC
151 , LOR , 2-1 , VAL
152 , OL , 5-0 , ACAA
153 , OL , 1-1 , AUX
154 , OL , 0-0 , BOR
155 , OL , 1-0 , BRS
156 , OL , 0-0 , CAE
157 , OL , 3-0 , RCL
158 , OL , 3-1 , LIL
159 , OL , 3-0 , LOR
160 , OL , 3-2 , OM
161 , OL , 0-0 , ASM
162 , OL , 3-2 , MHS
163 , OL , 4-0 , NAL
164 , OL , 1-0 , NIC
165 , OL , 2-2 , PSG
166 , OL , 1-1 , REN
167 , OL , 0-1 , STE
