0 , BAR , 0-2 , BOL
1 , BAR , 2-1 , BRE
2 , BAR , 0-0 , CAG
3 , BAR , 1-1 , CTN
4 , BAR , 1-1 , CES
5 , BAR , 1-2 , CHV
6 , BAR , 1-1 , FIO
7 , BAR , 0-0 , GEN
8 , BAR , 0-3 , INT
9 , BAR , 1-0 , JUV
10 , BAR , 0-2 , LAZ
11 , BAR , 0-2 , LCE
12 , BAR , 2-3 , MIL
13 , BAR , 0-2 , NAP
14 , BAR , 1-1 , PAL
15 , BAR , 0-1 , PAR
16 , BAR , 2-3 , ROM
17 , BAR , 0-1 , SAM
18 , BAR , 0-2 , UDI
19 , BOL , 0-4 , BAR
20 , BOL , 1-0 , BRE
21 , BOL , 2-2 , CAG
22 , BOL , 1-0 , CTN
23 , BOL , 0-2 , CES
24 , BOL , 2-1 , CHV
25 , BOL , 1-1 , FIO
26 , BOL , 1-1 , GEN
27 , BOL , 0-0 , INT
28 , BOL , 0-0 , JUV
29 , BOL , 3-1 , LAZ
30 , BOL , 2-0 , LCE
31 , BOL , 0-3 , MIL
32 , BOL , 0-2 , NAP
33 , BOL , 1-0 , PAL
34 , BOL , 0-0 , PAR
35 , BOL , 0-1 , ROM
36 , BOL , 1-1 , SAM
37 , BOL , 2-1 , UDI
38 , BRE , 2-0 , BAR
39 , BRE , 3-1 , BOL
40 , BRE , 1-2 , CAG
41 , BRE , 1-2 , CTN
42 , BRE , 1-2 , CES
43 , BRE , 0-3 , CHV
44 , BRE , 2-2 , FIO
45 , BRE , 0-0 , GEN
46 , BRE , 1-1 , INT
47 , BRE , 1-1 , JUV
48 , BRE , 0-2 , LAZ
49 , BRE , 2-2 , LCE
50 , BRE , 0-1 , MIL
51 , BRE , 0-1 , NAP
52 , BRE , 3-2 , PAL
53 , BRE , 2-0 , PAR
54 , BRE , 2-1 , ROM
55 , BRE , 1-0 , SAM
56 , BRE , 0-1 , UDI
57 , CAG , 2-1 , BAR
58 , CAG , 2-0 , BOL
59 , CAG , 1-1 , BRE
60 , CAG , 3-0 , CTN
61 , CAG , 0-2 , CES
62 , CAG , 4-1 , CHV
63 , CAG , 1-2 , FIO
64 , CAG , 0-1 , GEN
65 , CAG , 0-1 , INT
66 , CAG , 1-3 , JUV
67 , CAG , 1-0 , LAZ
68 , CAG , 3-2 , LCE
69 , CAG , 0-1 , MIL
70 , CAG , 0-1 , NAP
71 , CAG , 3-1 , PAL
72 , CAG , 1-1 , PAR
73 , CAG , 5-1 , ROM
74 , CAG , 0-0 , SAM
75 , CAG , 0-4 , UDI
76 , CTN , 1-0 , BAR
77 , CTN , 1-1 , BOL
78 , CTN , 1-0 , BRE
79 , CTN , 2-0 , CAG
80 , CTN , 2-0 , CES
81 , CTN , 1-1 , CHV
82 , CTN , 0-0 , FIO
83 , CTN , 2-1 , GEN
84 , CTN , 1-2 , INT
85 , CTN , 1-3 , JUV
86 , CTN , 1-4 , LAZ
87 , CTN , 3-2 , LCE
88 , CTN , 0-2 , MIL
89 , CTN , 1-1 , NAP
90 , CTN , 4-0 , PAL
91 , CTN , 2-1 , PAR
92 , CTN , 2-1 , ROM
93 , CTN , 1-0 , SAM
94 , CTN , 1-0 , UDI
95 , CES , 1-0 , BAR
96 , CES , 0-2 , BOL
97 , CES , 1-0 , BRE
98 , CES , 1-0 , CAG
99 , CES , 1-1 , CTN
100 , CES , 1-0 , CHV
101 , CES , 2-2 , FIO
102 , CES , 0-0 , GEN
103 , CES , 1-2 , INT
104 , CES , 2-2 , JUV
105 , CES , 1-0 , LAZ
106 , CES , 1-0 , LCE
107 , CES , 2-0 , MIL
108 , CES , 1-4 , NAP
109 , CES , 1-2 , PAL
110 , CES , 1-1 , PAR
111 , CES , 0-1 , ROM
112 , CES , 0-1 , SAM
113 , CES , 0-3 , UDI
114 , CHV , 0-0 , BAR
115 , CHV , 2-0 , BOL
116 , CHV , 0-1 , BRE
117 , CHV , 0-0 , CAG
118 , CHV , 2-1 , CTN
119 , CHV , 2-1 , CES
120 , CHV , 0-1 , FIO
121 , CHV , 0-0 , GEN
122 , CHV , 2-1 , INT
123 , CHV , 1-1 , JUV
124 , CHV , 0-1 , LAZ
125 , CHV , 1-0 , LCE
126 , CHV , 1-2 , MIL
127 , CHV , 2-0 , NAP
128 , CHV , 0-0 , PAL
129 , CHV , 0-0 , PAR
130 , CHV , 2-2 , ROM
131 , CHV , 0-0 , SAM
132 , CHV , 0-2 , UDI
133 , FIO , 2-1 , BAR
134 , FIO , 1-1 , BOL
135 , FIO , 3-2 , BRE
136 , FIO , 1-0 , CAG
137 , FIO , 3-0 , CTN
138 , FIO , 1-0 , CES
139 , FIO , 1-0 , CHV
140 , FIO , 1-0 , GEN
141 , FIO , 1-2 , INT
142 , FIO , 0-0 , JUV
143 , FIO , 1-2 , LAZ
144 , FIO , 1-1 , LCE
145 , FIO , 1-2 , MIL
146 , FIO , 1-1 , NAP
147 , FIO , 1-2 , PAL
148 , FIO , 2-0 , PAR
149 , FIO , 2-2 , ROM
150 , FIO , 0-0 , SAM
151 , FIO , 5-2 , UDI
152 , GEN , 2-1 , BAR
153 , GEN , 1-0 , BOL
154 , GEN , 3-0 , BRE
155 , GEN , 0-1 , CAG
156 , GEN , 1-0 , CTN
157 , GEN , 3-2 , CES
158 , GEN , 1-3 , CHV
159 , GEN , 1-1 , FIO
160 , GEN , 0-1 , INT
161 , GEN , 0-2 , JUV
162 , GEN , 0-0 , LAZ
163 , GEN , 4-2 , LCE
164 , GEN , 1-1 , MIL
165 , GEN , 0-1 , NAP
166 , GEN , 1-0 , PAL
167 , GEN , 3-1 , PAR
168 , GEN , 4-3 , ROM
169 , GEN , 2-1 , SAM
170 , GEN , 2-4 , UDI
171 , INT , 4-0 , BAR
172 , INT , 4-1 , BOL
173 , INT , 1-1 , BRE
174 , INT , 1-0 , CAG
175 , INT , 3-1 , CTN
176 , INT , 3-2 , CES
177 , INT , 2-0 , CHV
178 , INT , 3-1 , FIO
179 , INT , 5-2 , GEN
180 , INT , 0-0 , JUV
181 , INT , 2-1 , LAZ
182 , INT , 1-0 , LCE
183 , INT , 0-1 , MIL
184 , INT , 3-1 , NAP
185 , INT , 3-2 , PAL
186 , INT , 5-2 , PAR
187 , INT , 5-3 , ROM
188 , INT , 1-1 , SAM
189 , INT , 2-1 , UDI
190 , JUV , 2-1 , BAR
191 , JUV , 0-2 , BOL
192 , JUV , 2-1 , BRE
193 , JUV , 4-2 , CAG
194 , JUV , 2-2 , CTN
195 , JUV , 3-1 , CES
196 , JUV , 2-2 , CHV
197 , JUV , 1-1 , FIO
198 , JUV , 3-2 , GEN
199 , JUV , 1-0 , INT
200 , JUV , 2-1 , LAZ
201 , JUV , 4-0 , LCE
202 , JUV , 0-1 , MIL
203 , JUV , 2-2 , NAP
204 , JUV , 1-3 , PAL
205 , JUV , 1-4 , PAR
206 , JUV , 1-1 , ROM
207 , JUV , 3-3 , SAM
208 , JUV , 1-2 , UDI
209 , LAZ , 1-0 , BAR
210 , LAZ , 3-1 , BOL
211 , LAZ , 1-0 , BRE
212 , LAZ , 2-1 , CAG
213 , LAZ , 1-1 , CTN
214 , LAZ , 1-0 , CES
215 , LAZ , 1-1 , CHV
216 , LAZ , 2-0 , FIO
217 , LAZ , 4-2 , GEN
218 , LAZ , 3-1 , INT
219 , LAZ , 0-1 , JUV
220 , LAZ , 1-2 , LCE
221 , LAZ , 1-1 , MIL
222 , LAZ , 2-0 , NAP
223 , LAZ , 2-0 , PAL
224 , LAZ , 2-0 , PAR
225 , LAZ , 0-2 , ROM
226 , LAZ , 1-0 , SAM
227 , LAZ , 3-2 , UDI
228 , LCE , 0-1 , BAR
229 , LCE , 0-1 , BOL
230 , LCE , 2-1 , BRE
231 , LCE , 3-3 , CAG
232 , LCE , 1-0 , CTN
233 , LCE , 1-1 , CES
234 , LCE , 3-2 , CHV
235 , LCE , 1-0 , FIO
236 , LCE , 1-3 , GEN
237 , LCE , 1-1 , INT
238 , LCE , 2-0 , JUV
239 , LCE , 2-4 , LAZ
240 , LCE , 1-1 , MIL
241 , LCE , 2-1 , NAP
242 , LCE , 2-4 , PAL
243 , LCE , 1-1 , PAR
244 , LCE , 1-2 , ROM
245 , LCE , 2-3 , SAM
246 , LCE , 2-0 , UDI
247 , MIL , 1-1 , BAR
248 , MIL , 1-0 , BOL
249 , MIL , 3-0 , BRE
250 , MIL , 4-1 , CAG
251 , MIL , 1-1 , CTN
252 , MIL , 2-0 , CES
253 , MIL , 3-1 , CHV
254 , MIL , 1-0 , FIO
255 , MIL , 1-0 , GEN
256 , MIL , 3-0 , INT
257 , MIL , 1-2 , JUV
258 , MIL , 0-0 , LAZ
259 , MIL , 4-0 , LCE
260 , MIL , 3-0 , NAP
261 , MIL , 3-1 , PAL
262 , MIL , 4-0 , PAR
263 , MIL , 0-1 , ROM
264 , MIL , 3-0 , SAM
265 , MIL , 4-4 , UDI
266 , NAP , 2-2 , BAR
267 , NAP , 4-1 , BOL
268 , NAP , 0-0 , BRE
269 , NAP , 2-1 , CAG
270 , NAP , 1-0 , CTN
271 , NAP , 2-0 , CES
272 , NAP , 1-3 , CHV
273 , NAP , 0-0 , FIO
274 , NAP , 1-0 , GEN
275 , NAP , 1-1 , INT
276 , NAP , 3-0 , JUV
