0 , AUG , 1-4 , LEV
1 , AUG , 1-2 , FCB
2 , AUG , 0-0 , DOR
3 , AUG , 1-0 , MGL
4 , AUG , 2-2 , FRE
5 , AUG , 1-0 , HAM
6 , AUG , 0-0 , H96
7 , AUG , 3-0 , BSC
8 , AUG , 0-2 , HOF
9 , AUG , 2-2 , KAI
10 , AUG , 2-1 , KÖL
11 , AUG , 2-1 , MAI
12 , AUG , 0-0 , NUR
13 , AUG , 1-1 , S04
14 , AUG , 1-3 , STU
15 , AUG , 1-1 , BRE
16 , AUG , 2-0 , WOL
17 , LEV , 4-1 , AUG
18 , LEV , 2-0 , FCB
19 , LEV , 0-0 , DOR
20 , LEV , 1-2 , MGL
21 , LEV , 0-2 , FRE
22 , LEV , 2-2 , HAM
23 , LEV , 1-0 , H96
24 , LEV , 3-3 , BSC
25 , LEV , 2-0 , HOF
26 , LEV , 3-1 , KAI
27 , LEV , 1-4 , KÖL
28 , LEV , 3-2 , MAI
29 , LEV , 0-3 , NUR
30 , LEV , 0-1 , S04
31 , LEV , 2-2 , STU
32 , LEV , 1-0 , BRE
33 , LEV , 3-1 , WOL
34 , FCB , 2-1 , AUG
35 , FCB , 3-0 , LEV
36 , FCB , 0-1 , DOR
37 , FCB , 0-1 , MGL
38 , FCB , 7-0 , FRE
39 , FCB , 5-0 , HAM
40 , FCB , 2-1 , H96
41 , FCB , 4-0 , BSC
42 , FCB , 7-1 , HOF
43 , FCB , 2-0 , KAI
44 , FCB , 3-0 , KÖL
45 , FCB , 0-0 , MAI
46 , FCB , 4-0 , NUR
47 , FCB , 2-0 , S04
48 , FCB , 2-0 , STU
49 , FCB , 4-1 , BRE
50 , FCB , 2-0 , WOL
51 , DOR , 4-0 , AUG
52 , DOR , 1-0 , LEV
53 , DOR , 1-0 , FCB
54 , DOR , 2-0 , MGL
55 , DOR , 4-0 , FRE
56 , DOR , 3-1 , HAM
57 , DOR , 3-1 , H96
58 , DOR , 1-2 , BSC
59 , DOR , 3-1 , HOF
60 , DOR , 1-1 , KAI
61 , DOR , 5-0 , KÖL
62 , DOR , 2-1 , MAI
63 , DOR , 2-0 , NUR
64 , DOR , 2-0 , S04
65 , DOR , 4-4 , STU
66 , DOR , 1-0 , BRE
67 , DOR , 5-1 , WOL
68 , MGL , 0-0 , AUG
69 , MGL , 2-2 , LEV
70 , MGL , 3-1 , FCB
71 , MGL , 1-1 , DOR
72 , MGL , 0-0 , FRE
73 , MGL , 1-1 , HAM
74 , MGL , 2-1 , H96
75 , MGL , 0-0 , BSC
76 , MGL , 1-2 , HOF
77 , MGL , 1-0 , KAI
78 , MGL , 3-0 , KÖL
79 , MGL , 1-0 , MAI
80 , MGL , 1-0 , NUR
81 , MGL , 3-0 , S04
82 , MGL , 1-1 , STU
83 , MGL , 5-0 , BRE
84 , MGL , 4-1 , WOL
85 , FRE , 1-0 , AUG
86 , FRE , 0-1 , LEV
87 , FRE , 0-0 , FCB
88 , FRE , 1-4 , DOR
89 , FRE , 1-0 , MGL
90 , FRE , 1-2 , HAM
91 , FRE , 1-1 , H96
92 , FRE , 2-2 , BSC
93 , FRE , 0-0 , HOF
94 , FRE , 2-0 , KAI
95 , FRE , 4-1 , KÖL
96 , FRE , 1-2 , MAI
97 , FRE , 2-2 , NUR
98 , FRE , 2-1 , S04
99 , FRE , 1-2 , STU
100 , FRE , 2-2 , BRE
101 , FRE , 3-0 , WOL
102 , HAM , 1-1 , AUG
103 , HAM , 1-1 , LEV
104 , HAM , 1-1 , FCB
105 , HAM , 1-5 , DOR
106 , HAM , 0-1 , MGL
107 , HAM , 1-3 , FRE
108 , HAM , 1-0 , H96
109 , HAM , 2-2 , BSC
110 , HAM , 2-0 , HOF
111 , HAM , 1-1 , KAI
112 , HAM , 3-4 , KÖL
113 , HAM , 0-0 , MAI
114 , HAM , 2-0 , NUR
115 , HAM , 1-2 , S04
116 , HAM , 0-4 , STU
117 , HAM , 1-3 , BRE
118 , HAM , 1-1 , WOL
119 , H96 , 2-2 , AUG
120 , H96 , 0-0 , LEV
121 , H96 , 2-1 , FCB
122 , H96 , 2-1 , DOR
123 , H96 , 2-1 , MGL
124 , H96 , 0-0 , FRE
125 , H96 , 1-1 , HAM
126 , H96 , 1-1 , BSC
127 , H96 , 2-1 , HOF
128 , H96 , 2-1 , KAI
129 , H96 , 4-1 , KÖL
130 , H96 , 1-1 , MAI
131 , H96 , 1-0 , NUR
132 , H96 , 2-2 , S04
133 , H96 , 4-2 , STU
134 , H96 , 3-2 , BRE
135 , H96 , 2-0 , WOL
136 , BSC , 2-2 , AUG
137 , BSC , 3-3 , LEV
138 , BSC , 0-6 , FCB
139 , BSC , 0-1 , DOR
140 , BSC , 1-2 , MGL
141 , BSC , 1-2 , FRE
142 , BSC , 1-2 , HAM
143 , BSC , 0-1 , H96
144 , BSC , 3-1 , HOF
145 , BSC , 1-2 , KAI
146 , BSC , 3-0 , KÖL
147 , BSC , 0-0 , MAI
148 , BSC , 0-1 , NUR
149 , BSC , 1-2 , S04
150 , BSC , 1-0 , STU
151 , BSC , 1-0 , BRE
152 , BSC , 1-4 , WOL
153 , HOF , 2-2 , AUG
154 , HOF , 0-1 , LEV
155 , HOF , 0-0 , FCB
156 , HOF , 1-0 , DOR
157 , HOF , 1-0 , MGL
158 , HOF , 1-1 , FRE
159 , HOF , 4-0 , HAM
160 , HOF , 0-0 , H96
161 , HOF , 1-1 , BSC
162 , HOF , 1-1 , KAI
163 , HOF , 1-1 , KÖL
164 , HOF , 1-1 , MAI
165 , HOF , 2-3 , NUR
166 , HOF , 1-1 , S04
167 , HOF , 1-2 , STU
168 , HOF , 1-2 , BRE
169 , HOF , 3-1 , WOL
170 , KAI , 1-1 , AUG
171 , KAI , 0-2 , LEV
