0 , ACA , 2-1 , AUX
1 , ACA , 0-2 , BOR
2 , ACA , 0-0 , BRS
3 , ACA , 2-2 , CAE
4 , ACA , 2-1 , DIJ
5 , ACA , 1-1 , EVI
6 , ACA , 2-3 , LIL
7 , ACA , 1-1 , LOR
8 , ACA , 1-1 , OL
9 , ACA , 1-0 , OM
10 , ACA , 1-3 , MHS
11 , ACA , 0-0 , NAL
12 , ACA , 1-1 , NIC
13 , ACA , 1-3 , PSG
14 , ACA , 1-0 , REN
15 , ACA , 1-1 , STE
16 , ACA , 2-1 , SOC
17 , ACA , 0-2 , TFC
18 , ACA , 3-1 , VAL
19 , AUX , 4-1 , ACA
20 , AUX , 2-4 , BOR
21 , AUX , 4-0 , BRS
22 , AUX , 1-1 , CAE
23 , AUX , 2-2 , DIJ
24 , AUX , 0-2 , EVI
25 , AUX , 1-3 , LIL
26 , AUX , 1-1 , LOR
27 , AUX , 0-3 , OL
28 , AUX , 2-2 , OM
29 , AUX , 1-2 , MHS
30 , AUX , 1-3 , NAL
31 , AUX , 2-1 , NIC
32 , AUX , 1-1 , PSG
33 , AUX , 0-1 , REN
34 , AUX , 0-0 , STE
35 , AUX , 4-1 , SOC
36 , AUX , 2-0 , TFC
37 , AUX , 2-0 , VAL
38 , BOR , 1-1 , ACA
39 , BOR , 1-1 , AUX
40 , BOR , 1-1 , BRS
41 , BOR , 2-0 , CAE
42 , BOR , 1-1 , DIJ
43 , BOR , 0-0 , EVI
44 , BOR , 1-1 , LIL
45 , BOR , 1-0 , LOR
46 , BOR , 1-0 , OL
47 , BOR , 2-1 , OM
48 , BOR , 2-2 , MHS
49 , BOR , 2-0 , NAL
50 , BOR , 1-2 , NIC
51 , BOR , 1-1 , PSG
52 , BOR , 2-0 , REN
53 , BOR , 1-2 , STE
54 , BOR , 1-0 , SOC
55 , BOR , 2-0 , TFC
56 , BOR , 2-1 , VAL
57 , BRS , 1-1 , ACA
58 , BRS , 1-0 , AUX
59 , BRS , 0-2 , BOR
60 , BRS , 1-1 , CAE
61 , BRS , 1-1 , DIJ
62 , BRS , 2-2 , EVI
63 , BRS , 3-1 , LIL
64 , BRS , 3-1 , LOR
65 , BRS , 1-1 , OL
66 , BRS , 1-0 , OM
67 , BRS , 2-2 , MHS
68 , BRS , 0-1 , NAL
69 , BRS , 1-0 , NIC
70 , BRS , 0-1 , PSG
71 , BRS , 0-1 , REN
72 , BRS , 2-2 , STE
73 , BRS , 2-0 , SOC
74 , BRS , 0-0 , TFC
75 , BRS , 1-0 , VAL
76 , CAE , 0-0 , ACA
77 , CAE , 2-1 , AUX
78 , CAE , 1-0 , BOR
79 , CAE , 0-0 , BRS
80 , CAE , 3-0 , DIJ
81 , CAE , 2-2 , EVI
82 , CAE , 1-2 , LIL
83 , CAE , 1-0 , LOR
84 , CAE , 1-0 , OL
85 , CAE , 1-2 , OM
86 , CAE , 1-3 , MHS
87 , CAE , 1-2 , NAL
88 , CAE , 1-1 , NIC
89 , CAE , 2-2 , PSG
90 , CAE , 0-2 , REN
91 , CAE , 1-4 , STE
92 , CAE , 1-3 , SOC
93 , CAE , 0-1 , TFC
94 , CAE , 1-0 , VAL
95 , DIJ , 1-1 , ACA
96 , DIJ , 0-2 , AUX
97 , DIJ , 2-0 , BOR
98 , DIJ , 1-0 , BRS
99 , DIJ , 2-0 , CAE
100 , DIJ , 3-1 , EVI
101 , DIJ , 0-2 , LIL
102 , DIJ , 2-0 , LOR
103 , DIJ , 1-2 , OL
104 , DIJ , 2-3 , OM
105 , DIJ , 1-1 , MHS
106 , DIJ , 0-2 , NAL
107 , DIJ , 3-0 , NIC
108 , DIJ , 1-2 , PSG
109 , DIJ , 1-5 , REN
110 , DIJ , 1-2 , STE
111 , DIJ , 0-0 , SOC
