0 , ARS , 2-1 , AST
1 , ARS , 1-2 , CHE
2 , ARS , 0-0 , EVE
3 , ARS , 3-3 , FUL
4 , ARS , 2-2 , LIV
5 , ARS , 0-2 , MCI
6 , ARS , 1-1 , MUN
7 , ARS , 7-3 , NEW
8 , ARS , 3-1 , NOR
9 , ARS , 1-0 , QPR
10 , ARS , 4-1 , REA
11 , ARS , 6-1 , SOU
12 , ARS , 1-0 , STK
13 , ARS , 0-0 , SUN
14 , ARS , 0-2 , SWA
15 , ARS , 5-2 , TOT
16 , ARS , 2-0 , WBA
17 , ARS , 5-1 , WHU
18 , ARS , 4-1 , WIG
19 , AST , 0-0 , ARS
20 , AST , 1-2 , CHE
21 , AST , 1-3 , EVE
22 , AST , 1-1 , FUL
23 , AST , 1-2 , LIV
24 , AST , 0-1 , MCI
25 , AST , 2-3 , MUN
26 , AST , 1-2 , NEW
27 , AST , 1-1 , NOR
28 , AST , 3-2 , QPR
29 , AST , 1-0 , REA
30 , AST , 0-1 , SOU
31 , AST , 0-0 , STK
32 , AST , 6-1 , SUN
33 , AST , 2-0 , SWA
34 , AST , 0-4 , TOT
35 , AST , 1-1 , WBA
36 , AST , 2-1 , WHU
37 , AST , 0-3 , WIG
38 , CHE , 2-1 , ARS
39 , CHE , 8-0 , AST
40 , CHE , 2-1 , EVE
41 , CHE , 0-0 , FUL
42 , CHE , 1-1 , LIV
43 , CHE , 0-0 , MCI
44 , CHE , 2-3 , MUN
45 , CHE , 2-0 , NEW
46 , CHE , 4-1 , NOR
47 , CHE , 0-1 , QPR
48 , CHE , 4-2 , REA
49 , CHE , 2-2 , SOU
50 , CHE , 1-0 , STK
51 , CHE , 2-1 , SUN
52 , CHE , 2-0 , SWA
53 , CHE , 2-2 , TOT
54 , CHE , 1-0 , WBA
55 , CHE , 2-0 , WHU
56 , CHE , 4-1 , WIG
57 , EVE , 1-1 , ARS
58 , EVE , 3-3 , AST
59 , EVE , 1-2 , CHE
60 , EVE , 1-0 , FUL
61 , EVE , 2-2 , LIV
62 , EVE , 2-0 , MCI
63 , EVE , 1-0 , MUN
64 , EVE , 2-2 , NEW
65 , EVE , 1-1 , NOR
66 , EVE , 2-0 , QPR
67 , EVE , 3-1 , REA
68 , EVE , 3-1 , SOU
69 , EVE , 1-0 , STK
70 , EVE , 2-1 , SUN
71 , EVE , 0-0 , SWA
72 , EVE , 2-1 , TOT
73 , EVE , 2-1 , WBA
74 , EVE , 2-0 , WHU
75 , EVE , 2-1 , WIG
76 , FUL , 0-1 , ARS
77 , FUL , 1-0 , AST
78 , FUL , 0-3 , CHE
79 , FUL , 2-2 , EVE
80 , FUL , 1-3 , LIV
81 , FUL , 1-2 , MCI
82 , FUL , 0-1 , MUN
83 , FUL , 2-1 , NEW
84 , FUL , 5-0 , NOR
85 , FUL , 3-2 , QPR
86 , FUL , 2-4 , REA
87 , FUL , 1-1 , SOU
88 , FUL , 1-0 , STK
89 , FUL , 1-3 , SUN
90 , FUL , 1-2 , SWA
91 , FUL , 0-3 , TOT
92 , FUL , 3-0 , WBA
93 , FUL , 3-1 , WHU
94 , FUL , 1-1 , WIG
95 , LIV , 0-2 , ARS
96 , LIV , 1-3 , AST
97 , LIV , 2-2 , CHE
98 , LIV , 0-0 , EVE
99 , LIV , 4-0 , FUL
100 , LIV , 2-2 , MCI
101 , LIV , 1-2 , MUN
102 , LIV , 1-1 , NEW
103 , LIV , 5-0 , NOR
104 , LIV , 1-0 , QPR
105 , LIV , 1-0 , REA
106 , LIV , 1-0 , SOU
107 , LIV , 0-0 , STK
108 , LIV , 3-0 , SUN
109 , LIV , 5-0 , SWA
110 , LIV , 3-2 , TOT
111 , LIV , 0-2 , WBA
112 , LIV , 0-0 , WHU
113 , LIV , 3-0 , WIG
114 , MCI , 1-1 , ARS
115 , MCI , 5-0 , AST
116 , MCI , 2-0 , CHE
117 , MCI , 1-1 , EVE
118 , MCI , 2-0 , FUL
119 , MCI , 2-2 , LIV
120 , MCI , 2-3 , MUN
121 , MCI , 4-0 , NEW
122 , MCI , 2-3 , NOR
123 , MCI , 3-1 , QPR
124 , MCI , 1-0 , REA
125 , MCI , 3-2 , SOU
126 , MCI , 3-0 , STK
127 , MCI , 3-0 , SUN
128 , MCI , 1-0 , SWA
129 , MCI , 2-1 , TOT
130 , MCI , 1-0 , WBA
131 , MCI , 2-1 , WHU
132 , MCI , 1-0 , WIG
133 , MUN , 2-1 , ARS
134 , MUN , 3-0 , AST
135 , MUN , 0-1 , CHE
136 , MUN , 2-0 , EVE
137 , MUN , 3-2 , FUL
138 , MUN , 2-1 , LIV
139 , MUN , 1-2 , MCI
140 , MUN , 4-3 , NEW
141 , MUN , 4-0 , NOR
142 , MUN , 3-1 , QPR
143 , MUN , 1-0 , REA
144 , MUN , 2-1 , SOU
145 , MUN , 4-2 , STK
146 , MUN , 3-1 , SUN
147 , MUN , 2-1 , SWA
148 , MUN , 2-3 , TOT
149 , MUN , 2-0 , WBA
150 , MUN , 1-0 , WHU
151 , MUN , 4-0 , WIG
152 , NEW , 0-1 , ARS
153 , NEW , 1-1 , AST
154 , NEW , 3-2 , CHE
155 , NEW , 1-2 , EVE
156 , NEW , 1-0 , FUL
157 , NEW , 0-6 , LIV
158 , NEW , 1-3 , MCI
159 , NEW , 0-3 , MUN
160 , NEW , 1-0 , NOR
161 , NEW , 1-0 , QPR
162 , NEW , 1-2 , REA
163 , NEW , 4-2 , SOU
164 , NEW , 2-1 , STK
165 , NEW , 0-3 , SUN
166 , NEW , 1-2 , SWA
167 , NEW , 2-1 , TOT
168 , NEW , 2-1 , WBA
169 , NEW , 0-1 , WHU
170 , NEW , 3-0 , WIG
171 , NOR , 1-0 , ARS
172 , NOR , 1-2 , AST
173 , NOR , 0-1 , CHE
174 , NOR , 2-1 , EVE
175 , NOR , 0-0 , FUL
176 , NOR , 2-5 , LIV
177 , NOR , 3-4 , MCI
178 , NOR , 1-0 , MUN
179 , NOR , 0-0 , NEW
180 , NOR , 1-1 , QPR
181 , NOR , 2-1 , REA
182 , NOR , 0-0 , SOU
183 , NOR , 1-0 , STK
184 , NOR , 2-1 , SUN
185 , NOR , 2-2 , SWA
186 , NOR , 1-1 , TOT
187 , NOR , 4-0 , WBA
188 , NOR , 0-0 , WHU
189 , NOR , 2-1 , WIG
190 , QPR , 0-1 , ARS
191 , QPR , 1-1 , AST
192 , QPR , 0-0 , CHE
193 , QPR , 1-1 , EVE
194 , QPR , 2-1 , FUL
195 , QPR , 0-3 , LIV
196 , QPR , 0-0 , MCI
197 , QPR , 0-2 , MUN
198 , QPR , 1-2 , NEW
199 , QPR , 0-0 , NOR
200 , QPR , 1-1 , REA
201 , QPR , 1-3 , SOU
202 , QPR , 0-2 , STK
203 , QPR , 3-1 , SUN
204 , QPR , 0-5 , SWA
205 , QPR , 0-0 , TOT
206 , QPR , 1-2 , WBA
207 , QPR , 1-2 , WHU
208 , QPR , 1-1 , WIG
209 , REA , 2-5 , ARS
210 , REA , 1-2 , AST
211 , REA , 2-2 , CHE
212 , REA , 2-1 , EVE
213 , REA , 3-3 , FUL
214 , REA , 0-0 , LIV
215 , REA , 0-2 , MCI
216 , REA , 3-4 , MUN
217 , REA , 2-2 , NEW
218 , REA , 0-0 , NOR
219 , REA , 0-0 , QPR
220 , REA , 0-2 , SOU
221 , REA , 1-1 , STK
222 , REA , 2-1 , SUN
223 , REA , 0-0 , SWA
224 , REA , 1-3 , TOT
225 , REA , 3-2 , WBA
226 , REA , 1-0 , WHU
227 , REA , 0-3 , WIG
228 , SOU , 1-1 , ARS
229 , SOU , 4-1 , AST
230 , SOU , 2-1 , CHE
231 , SOU , 0-0 , EVE
232 , SOU , 2-2 , FUL
233 , SOU , 3-1 , LIV
234 , SOU , 3-1 , MCI
235 , SOU , 2-3 , MUN
236 , SOU , 2-0 , NEW
237 , SOU , 1-1 , NOR
238 , SOU , 1-2 , QPR
239 , SOU , 1-0 , REA
240 , SOU , 1-1 , STK
241 , SOU , 0-1 , SUN
242 , SOU , 1-1 , SWA
243 , SOU , 1-2 , TOT
244 , SOU , 0-3 , WBA
245 , SOU , 1-1 , WHU
246 , SOU , 0-2 , WIG
247 , STK , 0-0 , ARS
248 , STK , 1-3 , AST
249 , STK , 0-4 , CHE
250 , STK , 1-1 , EVE
251 , STK , 1-0 , FUL
252 , STK , 3-1 , LIV
253 , STK , 1-1 , MCI
254 , STK , 0-2 , MUN
255 , STK , 2-1 , NEW
256 , STK , 1-0 , NOR
257 , STK , 1-0 , QPR
258 , STK , 2-1 , REA
259 , STK , 3-3 , SOU
260 , STK , 0-0 , SUN
261 , STK , 2-0 , SWA
262 , STK , 1-2 , TOT
263 , STK , 0-0 , WBA
264 , STK , 0-1 , WHU
265 , STK , 2-2 , WIG
266 , SUN , 0-1 , ARS
267 , SUN , 0-1 , AST
268 , SUN , 1-3 , CHE
269 , SUN , 1-0 , EVE
270 , SUN , 2-2 , FUL
271 , SUN , 1-1 , LIV
272 , SUN , 1-0 , MCI
273 , SUN , 0-1 , MUN
274 , SUN , 1-1 , NEW
275 , SUN , 1-1 , NOR
276 , SUN , 0-0 , QPR
277 , SUN , 3-0 , REA
278 , SUN , 1-1 , SOU
279 , SUN , 1-1 , STK
280 , SUN , 0-0 , SWA
281 , SUN , 1-2 , TOT
282 , SUN , 2-4 , WBA
283 , SUN , 3-0 , WHU
284 , SUN , 1-0 , WIG
285 , SWA , 0-2 , ARS
286 , SWA , 2-2 , AST
287 , SWA , 1-1 , CHE
288 , SWA , 0-3 , EVE
289 , SWA , 0-3 , FUL
290 , SWA , 0-0 , LIV
291 , SWA , 0-0 , MCI
292 , SWA , 1-1 , MUN
293 , SWA , 1-0 , NEW
294 , SWA , 3-4 , NOR
295 , SWA , 4-1 , QPR
296 , SWA , 2-2 , REA
297 , SWA , 0-0 , SOU
298 , SWA , 3-1 , STK
299 , SWA , 2-2 , SUN
300 , SWA , 1-2 , TOT
301 , SWA , 3-1 , WBA
302 , SWA , 3-0 , WHU
303 , SWA , 2-1 , WIG
304 , TOT , 2-1 , ARS
305 , TOT , 2-0 , AST
306 , TOT , 2-4 , CHE
307 , TOT , 2-2 , EVE
308 , TOT , 0-1 , FUL
309 , TOT , 2-1 , LIV
310 , TOT , 3-1 , MCI
311 , TOT , 1-1 , MUN
312 , TOT , 2-1 , NEW
313 , TOT , 1-1 , NOR
314 , TOT , 2-1 , QPR
315 , TOT , 3-1 , REA
316 , TOT , 1-0 , SOU
317 , TOT , 0-0 , STK
318 , TOT , 1-0 , SUN
319 , TOT , 1-0 , SWA
320 , TOT , 1-1 , WBA
321 , TOT , 3-1 , WHU
322 , TOT , 0-1 , WIG
323 , WBA , 1-2 , ARS
324 , WBA , 2-2 , AST
325 , WBA , 2-1 , CHE
326 , WBA , 2-0 , EVE
327 , WBA , 1-2 , FUL
328 , WBA , 3-0 , LIV
329 , WBA , 1-2 , MCI
330 , WBA , 5-5 , MUN
331 , WBA , 1-1 , NEW
332 , WBA , 2-1 , NOR
333 , WBA , 3-2 , QPR
334 , WBA , 1-0 , REA
335 , WBA , 2-0 , SOU
336 , WBA , 0-1 , STK
337 , WBA , 2-1 , SUN
338 , WBA , 2-1 , SWA
339 , WBA , 0-1 , TOT
340 , WBA , 0-0 , WHU
341 , WBA , 2-3 , WIG
342 , WHU , 1-3 , ARS
343 , WHU , 1-0 , AST
344 , WHU , 3-1 , CHE
345 , WHU , 1-2 , EVE
346 , WHU , 3-0 , FUL
347 , WHU , 2-3 , LIV
