0 , ACA , 1-1 , BAS
1 , ACA , 1-1 , BOR
2 , ACA , 2-3 , EVI
3 , ACA , 1-2 , GUI
4 , ACA , 2-3 , LIL
5 , ACA , 1-2 , LOR
6 , ACA , 2-1 , OL
7 , ACA , 1-3 , OM
8 , ACA , 1-4 , ASM
9 , ACA , 1-1 , MHS
10 , ACA , 0-1 , NAN
11 , ACA , 0-0 , NIC
12 , ACA , 1-2 , PSG
13 , ACA , 2-1 , REI
14 , ACA , 3-1 , REN
15 , ACA , 0-1 , STE
16 , ACA , 1-1 , SOC
17 , ACA , 2-2 , TFC
18 , ACA , 1-3 , VAL
19 , BAS , 2-1 , ACA
20 , BAS , 1-0 , BOR
21 , BAS , 2-0 , EVI
22 , BAS , 3-2 , GUI
23 , BAS , 1-1 , LIL
24 , BAS , 4-1 , LOR
25 , BAS , 1-3 , OL
26 , BAS , 0-0 , OM
27 , BAS , 0-2 , ASM
28 , BAS , 0-0 , MHS
29 , BAS , 0-0 , NAN
30 , BAS , 1-0 , NIC
31 , BAS , 0-3 , PSG
32 , BAS , 2-0 , REI
33 , BAS , 1-0 , REN
34 , BAS , 0-2 , STE
35 , BAS , 2-2 , SOC
36 , BAS , 2-1 , TFC
37 , BAS , 2-0 , VAL
38 , BOR , 4-0 , ACA
39 , BOR , 1-0 , BAS
40 , BOR , 2-1 , EVI
41 , BOR , 5-1 , GUI
42 , BOR , 1-0 , LIL
43 , BOR , 3-2 , LOR
44 , BOR , 1-2 , OL
45 , BOR , 1-1 , OM
46 , BOR , 0-2 , ASM
47 , BOR , 2-0 , MHS
48 , BOR , 0-3 , NAN
49 , BOR , 1-1 , NIC
50 , BOR , 0-2 , PSG
51 , BOR , 0-0 , REI
52 , BOR , 2-2 , REN
53 , BOR , 2-0 , STE
54 , BOR , 4-1 , SOC
55 , BOR , 0-1 , TFC
56 , BOR , 2-1 , VAL
57 , EVI , 1-1 , ACA
58 , EVI , 2-1 , BAS
59 , EVI , 1-1 , BOR
60 , EVI , 1-2 , GUI
61 , EVI , 2-2 , LIL
62 , EVI , 0-4 , LOR
63 , EVI , 2-1 , OL
64 , EVI , 1-2 , OM
65 , EVI , 1-0 , ASM
