0 , BAS , 0-0 , BOR
1 , BAS , 1-1 , CAE
2 , BAS , 1-2 , EVI
3 , BAS , 0-0 , GUI
4 , BAS , 1-1 , RCL
5 , BAS , 2-1 , LIL
6 , BAS , 0-2 , LOR
7 , BAS , 0-0 , OL
8 , BAS , 3-3 , OM
9 , BAS , 2-0 , MET
10 , BAS , 1-3 , ASM
11 , BAS , 2-0 , MHS
12 , BAS , 0-0 , NAN
13 , BAS , 2-1 , NIC
14 , BAS , 4-2 , PSG
15 , BAS , 1-2 , REI
16 , BAS , 2-0 , REN
17 , BAS , 1-0 , STE
18 , BAS , 1-0 , TFC
19 , BOR , 1-1 , BAS
20 , BOR , 1-1 , CAE
21 , BOR , 2-1 , EVI
22 , BOR , 1-1 , GUI
23 , BOR , 2-1 , RCL
24 , BOR , 1-0 , LIL
25 , BOR , 3-2 , LOR
26 , BOR , 0-5 , OL
27 , BOR , 1-0 , OM
28 , BOR , 1-1 , MET
29 , BOR , 4-1 , ASM
30 , BOR , 2-1 , MHS
31 , BOR , 2-1 , NAN
32 , BOR , 1-2 , NIC
33 , BOR , 3-2 , PSG
34 , BOR , 1-1 , REI
35 , BOR , 2-1 , REN
36 , BOR , 1-0 , STE
37 , BOR , 2-1 , TFC
38 , CAE , 1-1 , BAS
39 , CAE , 1-2 , BOR
40 , CAE , 3-2 , EVI
41 , CAE , 0-2 , GUI
42 , CAE , 4-1 , RCL
43 , CAE , 0-1 , LIL
44 , CAE , 2-1 , LOR
45 , CAE , 3-0 , OL
46 , CAE , 1-2 , OM
47 , CAE , 0-0 , MET
48 , CAE , 0-3 , ASM
49 , CAE , 1-1 , MHS
50 , CAE , 1-2 , NAN
51 , CAE , 2-3 , NIC
52 , CAE , 0-2 , PSG
53 , CAE , 4-1 , REI
54 , CAE , 0-1 , REN
55 , CAE , 1-0 , STE
56 , CAE , 2-0 , TFC
57 , EVI , 1-2 , BAS
58 , EVI , 0-1 , BOR
59 , EVI , 0-3 , CAE
60 , EVI , 2-0 , GUI
61 , EVI , 2-1 , RCL
62 , EVI , 0-1 , LIL
63 , EVI , 1-0 , LOR
64 , EVI , 2-3 , OL
65 , EVI , 1-3 , OM
66 , EVI , 3-0 , MET
67 , EVI , 1-3 , ASM
68 , EVI , 1-0 , MHS
69 , EVI , 0-2 , NAN
70 , EVI , 1-0 , NIC
71 , EVI , 0-0 , PSG
72 , EVI , 2-3 , REI
73 , EVI , 1-1 , REN
74 , EVI , 1-2 , STE
75 , EVI , 1-0 , TFC
76 , GUI , 1-0 , BAS
77 , GUI , 2-1 , BOR
78 , GUI , 5-1 , CAE
79 , GUI , 1-1 , EVI
80 , GUI , 2-0 , RCL
81 , GUI , 0-1 , LIL
82 , GUI , 3-2 , LOR
83 , GUI , 1-3 , OL
84 , GUI , 0-1 , OM
85 , GUI , 0-1 , MET
86 , GUI , 1-0 , ASM
87 , GUI , 0-2 , MHS
88 , GUI , 0-1 , NAN
89 , GUI , 2-7 , NIC
90 , GUI , 1-0 , PSG
91 , GUI , 2-0 , REI
92 , GUI , 0-1 , REN
93 , GUI , 0-2 , STE
94 , GUI , 2-1 , TFC
95 , RCL , 1-1 , BAS
96 , RCL , 1-2 , BOR
97 , RCL , 0-0 , CAE
98 , RCL , 0-2 , EVI
99 , RCL , 0-1 , GUI
100 , RCL , 1-1 , LIL
101 , RCL , 0-0 , LOR
102 , RCL , 0-2 , OL
103 , RCL , 0-4 , OM
104 , RCL , 2-0 , MET
105 , RCL , 0-3 , ASM
106 , RCL , 0-1 , MHS
107 , RCL , 1-0 , NAN
108 , RCL , 2-0 , NIC
109 , RCL , 1-3 , PSG
110 , RCL , 4-2 , REI
111 , RCL , 0-1 , REN
112 , RCL , 0-1 , STE
113 , RCL , 1-0 , TFC
114 , LIL , 1-0 , BAS
115 , LIL , 2-0 , BOR
116 , LIL , 1-0 , CAE
117 , LIL , 1-0 , EVI
118 , LIL , 1-2 , GUI
119 , LIL , 3-1 , RCL
120 , LIL , 2-0 , LOR
121 , LIL , 2-1 , OL
122 , LIL , 0-4 , OM
123 , LIL , 0-0 , MET
124 , LIL , 0-1 , ASM
125 , LIL , 0-0 , MHS
126 , LIL , 2-0 , NAN
127 , LIL , 0-0 , NIC
128 , LIL , 1-1 , PSG
129 , LIL , 3-1 , REI
130 , LIL , 3-0 , REN
131 , LIL , 1-1 , STE
132 , LIL , 3-0 , TFC
133 , LOR , 2-0 , BAS
134 , LOR , 0-0 , BOR
135 , LOR , 2-1 , CAE
136 , LOR , 0-2 , EVI
137 , LOR , 4-0 , GUI
138 , LOR , 1-0 , RCL
139 , LOR , 1-0 , LIL
140 , LOR , 1-1 , OL
141 , LOR , 1-1 , OM
142 , LOR , 3-1 , MET
143 , LOR , 0-1 , ASM
144 , LOR , 0-0 , MHS
145 , LOR , 1-2 , NAN
146 , LOR , 0-0 , NIC
147 , LOR , 1-2 , PSG
148 , LOR , 0-1 , REI
149 , LOR , 0-3 , REN
150 , LOR , 0-1 , STE
151 , LOR , 0-1 , TFC
152 , OL , 2-0 , BAS
153 , OL , 1-1 , BOR
154 , OL , 3-0 , CAE
155 , OL , 2-0 , EVI
156 , OL , 3-1 , GUI
157 , OL , 0-1 , RCL
158 , OL , 3-0 , LIL
159 , OL , 4-0 , LOR
160 , OL , 1-0 , OM
161 , OL , 2-0 , MET
162 , OL , 2-1 , ASM
163 , OL , 5-1 , MHS
164 , OL , 1-0 , NAN
165 , OL , 1-2 , NIC
166 , OL , 1-1 , PSG
167 , OL , 2-1 , REI
168 , OL , 2-0 , REN
169 , OL , 2-2 , STE
170 , OL , 3-0 , TFC
171 , OM , 3-0 , BAS
172 , OM , 3-1 , BOR
173 , OM , 2-3 , CAE
174 , OM , 1-0 , EVI
175 , OM , 2-1 , GUI
176 , OM , 2-1 , RCL
177 , OM , 2-1 , LIL
178 , OM , 3-5 , LOR
179 , OM , 0-0 , OL
180 , OM , 3-1 , MET
181 , OM , 2-1 , ASM
182 , OM , 0-2 , MHS
183 , OM , 2-0 , NAN
184 , OM , 4-0 , NIC
185 , OM , 2-3 , PSG
186 , OM , 2-2 , REI
187 , OM , 3-0 , REN
188 , OM , 2-1 , STE
189 , OM , 2-0 , TFC
190 , MET , 3-1 , BAS
191 , MET , 0-0 , BOR
192 , MET , 3-2 , CAE
193 , MET , 1-2 , EVI
194 , MET , 0-2 , GUI
195 , MET , 3-1 , RCL
196 , MET , 1-4 , LIL
197 , MET , 0-4 , LOR
198 , MET , 2-1 , OL
199 , MET , 0-2 , OM
200 , MET , 0-1 , ASM
201 , MET , 2-3 , MHS
202 , MET , 1-1 , NAN
203 , MET , 0-0 , NIC
204 , MET , 2-3 , PSG
205 , MET , 3-0 , REI
206 , MET , 0-0 , REN
207 , MET , 2-3 , STE
208 , MET , 3-2 , TFC
209 , ASM , 3-0 , BAS
210 , ASM , 0-0 , BOR
211 , ASM , 2-2 , CAE
212 , ASM , 2-0 , EVI
213 , ASM , 1-0 , GUI
214 , ASM , 2-0 , RCL
215 , ASM , 1-1 , LIL
216 , ASM , 1-2 , LOR
217 , ASM , 0-0 , OL
218 , ASM , 1-0 , OM
219 , ASM , 2-0 , MET
220 , ASM , 0-0 , MHS
221 , ASM , 1-0 , NAN
