0 , AUG , 0-2 , DAR
1 , AUG , 2-0 , H96
2 , AUG , 0-1 , BSC
3 , AUG , 1-3 , HOF
4 , AUG , 0-1 , ING
5 , AUG , 3-3 , MAI
6 , AUG , 2-1 , S04
7 , AUG , 1-2 , BRE
8 , AUG , 0-0 , WOL
9 , LEV , 1-1 , AUG
10 , LEV , 5-0 , MGL
11 , LEV , 0-1 , DAR
12 , LEV , 2-1 , HOF
13 , LEV , 1-2 , KÖL
14 , LEV , 1-0 , MAI
15 , LEV , 1-1 , S04
16 , LEV , 4-3 , STU
17 , FCB , 2-1 , AUG
18 , FCB , 3-0 , LEV
19 , FCB , 5-1 , DOR
20 , FCB , 5-0 , HAM
21 , FCB , 2-0 , BSC
22 , FCB , 2-0 , ING
23 , FCB , 4-0 , KÖL
24 , FCB , 4-0 , STU
25 , FCB , 5-1 , WOL
26 , DOR , 5-1 , AUG
27 , DOR , 3-0 , LEV
28 , DOR , 4-0 , MGL
29 , DOR , 2-2 , DAR
30 , DOR , 4-1 , FRA
31 , DOR , 3-1 , BSC
32 , DOR , 3-2 , S04
33 , DOR , 4-1 , STU
34 , MGL , 4-2 , AUG
35 , MGL , 3-1 , FCB
36 , MGL , 3-2 , DAR
37 , MGL , 0-3 , HAM
38 , MGL , 2-1 , H96
39 , MGL , 0-0 , ING
40 , MGL , 1-2 , MAI
41 , MGL , 4-1 , S04
42 , MGL , 2-0 , WOL
43 , DAR , 0-3 , FCB
44 , DAR , 1-1 , HAM
45 , DAR , 2-2 , H96
46 , DAR , 0-4 , BSC
47 , DAR , 0-0 , HOF
48 , DAR , 0-0 , KÖL
49 , DAR , 2-3 , MAI
50 , DAR , 2-1 , BRE
51 , DAR , 0-1 , WOL
52 , FRA , 1-1 , AUG
53 , FRA , 1-3 , LEV
54 , FRA , 0-0 , FCB
55 , FRA , 1-5 , MGL
56 , FRA , 0-1 , DAR
57 , FRA , 1-1 , BSC
58 , FRA , 6-2 , KÖL
59 , FRA , 2-1 , BRE
60 , HAM , 0-1 , AUG
61 , HAM , 0-0 , LEV
62 , HAM , 3-1 , DOR
63 , HAM , 0-0 , FRA
64 , HAM , 1-2 , H96
65 , HAM , 1-3 , MAI
66 , HAM , 0-1 , S04
67 , HAM , 3-2 , STU
68 , H96 , 0-1 , LEV
69 , H96 , 0-1 , FCB
70 , H96 , 2-4 , DOR
71 , H96 , 1-2 , FRA
72 , H96 , 1-3 , BSC
73 , H96 , 4-0 , ING
74 , H96 , 1-3 , STU
75 , H96 , 1-0 , BRE
76 , BSC , 2-1 , LEV
77 , BSC , 1-4 , MGL
78 , BSC , 3-0 , HAM
79 , BSC , 1-0 , HOF
80 , BSC , 2-0 , KÖL
81 , BSC , 2-0 , MAI
82 , BSC , 2-1 , STU
83 , BSC , 1-1 , BRE
84 , HOF , 1-2 , FCB
85 , HOF , 1-1 , DOR
86 , HOF , 3-3 , MGL
87 , HOF , 0-0 , FRA
88 , HOF , 0-1 , HAM
89 , HOF , 1-0 , H96
90 , HOF , 2-2 , STU
91 , HOF , 1-3 , BRE
92 , ING , 0-1 , LEV
93 , ING , 0-4 , DOR
94 , ING , 3-1 , DAR
95 , ING , 2-0 , FRA
96 , ING , 0-1 , HAM
97 , ING , 0-1 , BSC
98 , ING , 1-1 , HOF
99 , ING , 0-0 , WOL
100 , KÖL , 0-1 , AUG
101 , KÖL , 2-1 , DOR
102 , KÖL , 1-0 , MGL
103 , KÖL , 2-1 , HAM
104 , KÖL , 0-1 , H96
105 , KÖL , 0-0 , HOF
106 , KÖL , 1-1 , ING
107 , KÖL , 0-0 , MAI
108 , KÖL , 1-1 , WOL
109 , MAI , 0-3 , FCB
110 , MAI , 0-2 , DOR
111 , MAI , 2-1 , FRA
112 , MAI , 3-0 , H96
113 , MAI , 3-1 , HOF
114 , MAI , 0-1 , ING
115 , MAI , 0-0 , STU
116 , MAI , 1-3 , BRE
117 , MAI , 2-0 , WOL
118 , S04 , 1-3 , FCB
119 , S04 , 1-1 , DAR
120 , S04 , 2-0 , FRA
121 , S04 , 3-1 , H96
122 , S04 , 2-1 , BSC
123 , S04 , 1-0 , HOF
124 , S04 , 1-1 , ING
125 , S04 , 0-3 , KÖL
126 , S04 , 2-1 , MAI
127 , STU , 0-4 , AUG
128 , STU , 1-3 , MGL
129 , STU , 2-0 , DAR
130 , STU , 1-4 , FRA
131 , STU , 1-0 , ING
132 , STU , 1-3 , KÖL
133 , STU , 0-1 , S04
134 , STU , 1-1 , BRE
135 , STU , 3-1 , WOL
136 , BRE , 0-3 , LEV
137 , BRE , 0-1 , FCB
138 , BRE , 1-3 , DOR
139 , BRE , 2-1 , MGL
140 , BRE , 1-3 , HAM
141 , BRE , 0-1 , ING
142 , BRE , 1-1 , KÖL
143 , BRE , 0-3 , S04
144 , WOL , 2-1 , LEV
145 , WOL , 1-2 , DOR
146 , WOL , 2-1 , FRA
147 , WOL , 1-1 , HAM
148 , WOL , 1-1 , H96
149 , WOL , 2-0 , BSC
150 , WOL , 4-2 , HOF
151 , WOL , 3-0 , S04
152 , WOL , 6-0 , BRE
