0 , ANG , 1-0 , BAS
1 , ANG , 1-1 , BOR
2 , ANG , 2-0 , CAE
3 , ANG , 0-0 , GUI
4 , ANG , 2-0 , LIL
5 , ANG , 0-0 , NAN
6 , ANG , 1-1 , NIC
7 , ANG , 0-0 , PSG
8 , ANG , 0-0 , REI
9 , ANG , 0-2 , REN
10 , ANG , 1-0 , TRO
11 , BAS , 1-0 , BOR
12 , BAS , 1-0 , CAE
13 , BAS , 1-2 , GAZ
14 , BAS , 3-0 , GUI
15 , BAS , 1-2 , ASM
16 , BAS , 1-3 , NIC
17 , BAS , 0-2 , PSG
18 , BAS , 2-0 , REI
19 , BAS , 2-1 , REN
20 , BAS , 3-0 , TFC
21 , BOR , 1-4 , CAE
22 , BOR , 1-0 , GUI
23 , BOR , 3-1 , OL
24 , BOR , 1-1 , OM
25 , BOR , 3-1 , ASM
26 , BOR , 0-0 , MHS
27 , BOR , 2-0 , NAN
28 , BOR , 1-2 , REI
29 , BOR , 1-1 , TFC
30 , BOR , 1-0 , TRO
31 , CAE , 0-0 , ANG
32 , CAE , 2-0 , GAZ
33 , CAE , 2-1 , GUI
34 , CAE , 1-2 , LIL
35 , CAE , 0-4 , OL
36 , CAE , 2-1 , MHS
37 , CAE , 0-2 , NAN
38 , CAE , 0-3 , PSG
39 , CAE , 1-0 , STE
40 , CAE , 1-0 , TFC
41 , GAZ , 0-2 , ANG
42 , GAZ , 2-0 , BOR
43 , GAZ , 1-1 , LOR
44 , GAZ , 2-1 , OL
45 , GAZ , 0-1 , ASM
46 , GAZ , 1-1 , NAN
47 , GAZ , 3-1 , NIC
48 , GAZ , 1-1 , REN
49 , GAZ , 2-2 , TFC
50 , GUI , 2-1 , GAZ
51 , GUI , 1-1 , LIL
52 , GUI , 2-2 , LOR
53 , GUI , 0-1 , OL
54 , GUI , 2-0 , OM
55 , GUI , 3-3 , ASM
56 , GUI , 1-2 , REI
57 , GUI , 0-2 , REN
58 , GUI , 2-0 , TFC
59 , LIL , 1-1 , BAS
60 , LIL , 0-0 , BOR
61 , LIL , 1-0 , GAZ
62 , LIL , 3-0 , LOR
63 , LIL , 1-2 , OM
64 , LIL , 2-0 , MHS
65 , LIL , 0-1 , NAN
66 , LIL , 0-1 , PSG
67 , LIL , 1-0 , STE
68 , LOR , 3-1 , ANG
69 , LOR , 1-1 , BAS
70 , LOR , 3-2 , BOR
71 , LOR , 2-0 , CAE
72 , LOR , 0-0 , NAN
73 , LOR , 0-0 , NIC
74 , LOR , 1-2 , PSG
75 , LOR , 1-1 , REN
76 , LOR , 0-1 , STE
77 , LOR , 4-1 , TRO
78 , OL , 0-2 , ANG
79 , OL , 2-0 , BAS
80 , OL , 0-0 , LIL
81 , OL , 0-0 , LOR
82 , OL , 2-4 , MHS
83 , OL , 1-0 , REI
84 , OL , 1-2 , REN
85 , OL , 3-0 , STE
86 , OL , 3-0 , TFC
87 , OL , 4-1 , TRO
88 , OM , 1-2 , ANG
89 , OM , 4-1 , BAS
90 , OM , 0-1 , CAE
91 , OM , 1-1 , GAZ
92 , OM , 1-1 , LOR
93 , OM , 1-1 , OL
94 , OM , 3-3 , ASM
95 , OM , 2-2 , MHS
96 , OM , 0-1 , NIC
97 , OM , 6-0 , TRO
98 , ASM , 1-0 , ANG
99 , ASM , 1-1 , CAE
100 , ASM , 2-2 , GAZ
101 , ASM , 0-0 , LIL
102 , ASM , 2-3 , LOR
103 , ASM , 1-1 , OL
104 , ASM , 1-0 , NAN
105 , ASM , 0-3 , PSG
106 , ASM , 1-1 , REN
107 , ASM , 1-0 , STE
108 , MHS , 0-2 , ANG
109 , MHS , 2-0 , BAS
110 , MHS , 0-1 , BOR
111 , MHS , 0-2 , GAZ
112 , MHS , 2-1 , GUI
113 , MHS , 2-1 , LOR
114 , MHS , 2-3 , ASM
115 , MHS , 2-1 , NAN
116 , MHS , 0-1 , PSG
117 , MHS , 3-1 , REI
118 , MHS , 1-2 , STE
119 , NAN , 0-0 , BAS
120 , NAN , 1-0 , GUI
121 , NAN , 0-0 , OL
122 , NAN , 0-1 , OM
123 , NAN , 1-4 , PSG
124 , NAN , 1-0 , REI
125 , NAN , 0-2 , REN
126 , NAN , 1-1 , TFC
127 , NAN , 3-0 , TRO
128 , NIC , 6-1 , BOR
129 , NIC , 2-1 , CAE
130 , NIC , 0-1 , GUI
131 , NIC , 0-0 , LIL
132 , NIC , 3-0 , OL
133 , NIC , 1-2 , ASM
134 , NIC , 1-0 , MHS
135 , NIC , 1-2 , NAN
136 , NIC , 0-3 , PSG
137 , PSG , 2-0 , BAS
138 , PSG , 2-2 , BOR
139 , PSG , 2-0 , GAZ
140 , PSG , 3-0 , GUI
141 , PSG , 5-1 , OL
142 , PSG , 2-1 , OM
143 , PSG , 4-1 , STE
144 , PSG , 5-0 , TFC
145 , PSG , 4-1 , TRO
146 , REI , 0-1 , CAE
147 , REI , 1-2 , GAZ
148 , REI , 1-0 , LIL
149 , REI , 4-1 , LOR
150 , REI , 1-0 , OM
151 , REI , 0-1 , ASM
152 , REI , 1-1 , NIC
153 , REI , 1-1 , PSG
154 , REI , 2-2 , REN
155 , REI , 1-3 , TFC
156 , REI , 1-1 , TRO
157 , REN , 2-2 , BOR
158 , REN , 1-1 , CAE
159 , REN , 1-1 , LIL
160 , REN , 2-2 , LOR
161 , REN , 0-1 , OM
162 , REN , 1-0 , MHS
163 , REN , 1-4 , NIC
164 , REN , 0-1 , PSG
165 , REN , 3-1 , TFC
166 , REN , 1-1 , TRO
167 , STE , 1-0 , ANG
168 , STE , 2-1 , BAS
169 , STE , 1-1 , BOR
170 , STE , 2-0 , GAZ
171 , STE , 3-0 , GUI
172 , STE , 0-2 , OM
173 , STE , 2-0 , NAN
174 , STE , 1-4 , NIC
175 , STE , 3-0 , REI
176 , STE , 1-1 , REN
177 , TFC , 1-2 , ANG
178 , TFC , 1-1 , LIL
179 , TFC , 2-3 , LOR
180 , TFC , 1-1 , OM
181 , TFC , 1-1 , ASM
182 , TFC , 1-1 , MHS
183 , TFC , 2-0 , NIC
184 , TFC , 2-2 , REI
185 , TFC , 2-1 , STE
186 , TRO , 1-1 , BAS
187 , TRO , 1-3 , CAE
188 , TRO , 0-0 , GAZ
189 , TRO , 0-1 , GUI
190 , TRO , 1-1 , LIL
191 , TRO , 0-1 , OL
192 , TRO , 0-0 , ASM
193 , TRO , 0-0 , MHS
194 , TRO , 3-3 , NIC
195 , TRO , 0-1 , STE
196 , TRO , 0-3 , TFC
