0 , ARS , 2-0 , BOU
1 , ARS , 2-1 , EVE
2 , ARS , 0-0 , LIV
3 , ARS , 2-1 , MCI
4 , ARS , 3-0 , MUN
5 , ARS , 1-0 , NEW
6 , ARS , 2-0 , STK
7 , ARS , 3-1 , SUN
8 , ARS , 1-1 , TOT
9 , ARS , 0-2 , WHU
10 , AST , 0-2 , ARS
11 , AST , 0-0 , MCI
12 , AST , 0-1 , MUN
13 , AST , 0-1 , STK
14 , AST , 2-2 , SUN
15 , AST , 1-2 , SWA
16 , AST , 2-3 , WAT
17 , AST , 0-1 , WBA
18 , AST , 1-1 , WHU
19 , BOU , 0-1 , AST
20 , BOU , 0-0 , CRY
21 , BOU , 3-3 , EVE
22 , BOU , 1-1 , LEI
23 , BOU , 2-1 , MUN
24 , BOU , 0-1 , NEW
25 , BOU , 2-0 , SUN
26 , BOU , 1-5 , TOT
27 , BOU , 1-1 , WAT
28 , CHE , 2-0 , ARS
29 , CHE , 2-0 , AST
30 , CHE , 0-1 , BOU
31 , CHE , 1-2 , CRY
32 , CHE , 1-3 , LIV
33 , CHE , 1-0 , NOR
34 , CHE , 1-3 , SOU
35 , CHE , 3-1 , SUN
36 , CHE , 2-2 , SWA
37 , CHE , 2-2 , WAT
38 , CRY , 1-2 , ARS
39 , CRY , 2-1 , AST
40 , CRY , 0-3 , CHE
41 , CRY , 0-1 , MCI
42 , CRY , 0-0 , MUN
43 , CRY , 5-1 , NEW
44 , CRY , 1-0 , SOU
45 , CRY , 0-1 , SUN
46 , CRY , 0-0 , SWA
47 , CRY , 2-0 , WBA
48 , CRY , 1-3 , WHU
49 , EVE , 4-0 , AST
50 , EVE , 3-1 , CHE
51 , EVE , 1-1 , CRY
52 , EVE , 2-3 , LEI
53 , EVE , 1-1 , LIV
54 , EVE , 0-2 , MCI
55 , EVE , 0-3 , MUN
56 , EVE , 3-4 , STK
57 , EVE , 6-2 , SUN
58 , EVE , 1-1 , TOT
59 , EVE , 2-2 , WAT
60 , LEI , 2-5 , ARS
61 , LEI , 3-2 , AST
62 , LEI , 0-0 , BOU
63 , LEI , 2-1 , CHE
64 , LEI , 1-0 , CRY
65 , LEI , 0-0 , MCI
66 , LEI , 1-1 , MUN
67 , LEI , 4-2 , SUN
68 , LEI , 1-1 , TOT
69 , LEI , 2-1 , WAT
70 , LIV , 3-2 , AST
71 , LIV , 1-0 , BOU
72 , LIV , 1-2 , CRY
73 , LIV , 1-0 , LEI
74 , LIV , 1-1 , NOR
75 , LIV , 1-1 , SOU
76 , LIV , 1-0 , SWA
77 , LIV , 2-2 , WBA
78 , LIV , 0-3 , WHU
79 , MCI , 5-1 , BOU
80 , MCI , 3-0 , CHE
81 , MCI , 1-4 , LIV
82 , MCI , 6-1 , NEW
83 , MCI , 2-1 , NOR
84 , MCI , 3-1 , SOU
85 , MCI , 4-1 , SUN
86 , MCI , 2-1 , SWA
87 , MCI , 2-0 , WAT
88 , MCI , 1-2 , WHU
89 , MUN , 0-0 , CHE
90 , MUN , 3-1 , LIV
91 , MUN , 0-0 , MCI
92 , MUN , 0-0 , NEW
93 , MUN , 1-2 , NOR
94 , MUN , 3-0 , SUN
95 , MUN , 2-1 , SWA
96 , MUN , 1-0 , TOT
97 , MUN , 2-0 , WBA
98 , MUN , 0-0 , WHU
99 , NEW , 0-1 , ARS
100 , NEW , 1-1 , AST
101 , NEW , 2-2 , CHE
102 , NEW , 0-1 , EVE
103 , NEW , 0-3 , LEI
104 , NEW , 2-0 , LIV
105 , NEW , 6-2 , NOR
106 , NEW , 2-2 , SOU
107 , NEW , 0-0 , STK
108 , NEW , 1-2 , WAT
109 , NOR , 1-1 , ARS
110 , NOR , 2-0 , AST
111 , NOR , 3-1 , BOU
112 , NOR , 1-3 , CRY
113 , NOR , 1-1 , EVE
114 , NOR , 1-2 , LEI
115 , NOR , 1-0 , SOU
116 , NOR , 1-1 , STK
117 , NOR , 1-0 , SWA
118 , NOR , 0-1 , WBA
119 , SOU , 4-0 , ARS
120 , SOU , 1-1 , AST
121 , SOU , 2-0 , BOU
122 , SOU , 0-3 , EVE
123 , SOU , 2-2 , LEI
124 , SOU , 2-3 , MUN
125 , SOU , 3-0 , NOR
126 , SOU , 0-1 , STK
127 , SOU , 3-1 , SWA
128 , SOU , 0-2 , TOT
129 , STK , 2-1 , BOU
130 , STK , 1-0 , CHE
131 , STK , 1-2 , CRY
132 , STK , 2-2 , LEI
133 , STK , 0-1 , LIV
134 , STK , 2-0 , MCI
135 , STK , 2-0 , MUN
136 , STK , 0-2 , WAT
137 , STK , 0-1 , WBA
138 , SUN , 3-1 , AST
139 , SUN , 0-1 , LIV
140 , SUN , 3-0 , NEW
141 , SUN , 1-3 , NOR
142 , SUN , 0-1 , SOU
143 , SUN , 2-0 , STK
144 , SUN , 1-1 , SWA
145 , SUN , 0-1 , TOT
146 , SUN , 0-1 , WAT
147 , SUN , 2-2 , WHU
148 , SWA , 0-3 , ARS
149 , SWA , 2-2 , BOU
150 , SWA , 0-0 , EVE
151 , SWA , 0-3 , LEI
152 , SWA , 2-1 , MUN
153 , SWA , 2-0 , NEW
154 , SWA , 0-1 , STK
155 , SWA , 2-2 , TOT
156 , SWA , 1-0 , WBA
157 , SWA , 0-0 , WHU
158 , TOT , 3-1 , AST
159 , TOT , 0-0 , CHE
160 , TOT , 1-0 , CRY
161 , TOT , 0-0 , EVE
162 , TOT , 0-0 , LIV
163 , TOT , 4-1 , MCI
164 , TOT , 1-2 , NEW
165 , TOT , 3-0 , NOR
166 , TOT , 2-2 , STK
167 , TOT , 4-1 , WHU
168 , WAT , 0-3 , ARS
169 , WAT , 0-1 , CRY
170 , WAT , 3-0 , LIV
171 , WAT , 1-2 , MCI
172 , WAT , 1-2 , MUN
173 , WAT , 2-0 , NOR
174 , WAT , 0-0 , SOU
175 , WAT , 1-0 , SWA
176 , WAT , 1-2 , TOT
177 , WAT , 0-0 , WBA
178 , WAT , 2-0 , WHU
179 , WBA , 2-1 , ARS
