0 , ATA , 3-0 , CRP
1 , ATA , 2-0 , FRO
2 , ATA , 1-1 , HEL
3 , ATA , 2-1 , LAZ
4 , ATA , 1-3 , NAP
5 , ATA , 3-0 , PAL
6 , ATA , 2-1 , SAM
7 , ATA , 0-1 , TOR
8 , BOL , 3-0 , ATA
9 , BOL , 2-3 , EMP
10 , BOL , 1-0 , FRO
11 , BOL , 0-1 , INT
12 , BOL , 3-2 , NAP
13 , BOL , 0-1 , PAL
14 , BOL , 2-2 , ROM
15 , BOL , 0-1 , SAS
16 , BOL , 1-2 , UDI
17 , CRP , 1-2 , BOL
18 , CRP , 1-2 , CHV
19 , CRP , 0-1 , FIO
20 , CRP , 0-0 , HEL
21 , CRP , 1-2 , INT
22 , CRP , 2-3 , JUV
23 , CRP , 0-0 , MIL
24 , CRP , 0-0 , NAP
25 , CRP , 2-1 , TOR
26 , CRP , 2-1 , UDI
27 , CHV , 1-0 , ATA
28 , CHV , 1-1 , HEL
29 , CHV , 0-1 , INT
30 , CHV , 4-0 , LAZ
31 , CHV , 0-1 , NAP
32 , CHV , 3-3 , ROM
33 , CHV , 1-1 , SAM
34 , CHV , 1-0 , TOR
35 , CHV , 2-3 , UDI
36 , EMP , 0-1 , ATA
37 , EMP , 3-0 , CRP
38 , EMP , 1-3 , CHV
39 , EMP , 2-0 , GEN
40 , EMP , 0-1 , INT
41 , EMP , 1-3 , JUV
42 , EMP , 1-0 , LAZ
43 , EMP , 2-2 , NAP
44 , EMP , 1-0 , SAS
45 , FIO , 3-0 , ATA
46 , FIO , 2-0 , BOL
47 , FIO , 2-0 , CHV
48 , FIO , 2-2 , EMP
49 , FIO , 4-1 , FRO
50 , FIO , 1-0 , GEN
51 , FIO , 1-3 , LAZ
52 , FIO , 2-0 , MIL
53 , FIO , 1-2 , ROM
54 , FIO , 3-0 , UDI
55 , FRO , 2-1 , CRP
56 , FRO , 0-2 , CHV
57 , FRO , 2-0 , EMP
58 , FRO , 2-2 , GEN
59 , FRO , 3-2 , HEL
60 , FRO , 2-4 , MIL
61 , FRO , 0-2 , ROM
62 , FRO , 2-0 , SAM
63 , FRO , 1-2 , TOR
64 , GEN , 0-1 , BOL
65 , GEN , 1-2 , CRP
66 , GEN , 3-2 , CHV
67 , GEN , 2-0 , HEL
68 , GEN , 0-2 , JUV
69 , GEN , 1-0 , MIL
70 , GEN , 0-0 , NAP
71 , GEN , 2-3 , SAM
72 , GEN , 2-1 , SAS
73 , HEL , 0-2 , BOL
74 , HEL , 0-1 , EMP
75 , HEL , 0-2 , FIO
76 , HEL , 1-2 , LAZ
77 , HEL , 0-2 , NAP
78 , HEL , 1-1 , ROM
79 , HEL , 1-1 , SAS
80 , HEL , 2-2 , TOR
81 , HEL , 1-1 , UDI
82 , INT , 1-0 , ATA
83 , INT , 1-4 , FIO
84 , INT , 4-0 , FRO
85 , INT , 1-0 , GEN
86 , INT , 1-0 , HEL
87 , INT , 0-0 , JUV
88 , INT , 1-2 , LAZ
89 , INT , 1-0 , MIL
90 , INT , 1-0 , ROM
91 , JUV , 2-0 , ATA
92 , JUV , 3-1 , BOL
93 , JUV , 1-1 , CHV
94 , JUV , 3-1 , FIO
95 , JUV , 1-1 , FRO
96 , JUV , 3-0 , HEL
97 , JUV , 1-0 , MIL
98 , JUV , 2-1 , TOR
99 , JUV , 0-1 , UDI
100 , LAZ , 2-1 , BOL
101 , LAZ , 0-0 , CRP
102 , LAZ , 2-0 , FRO
103 , LAZ , 2-0 , GEN
104 , LAZ , 0-2 , JUV
105 , LAZ , 1-3 , MIL
106 , LAZ , 1-1 , PAL
107 , LAZ , 1-1 , SAM
108 , LAZ , 3-0 , TOR
109 , LAZ , 2-0 , UDI
110 , MIL , 0-0 , ATA
111 , MIL , 0-1 , BOL
112 , MIL , 1-0 , CHV
113 , MIL , 2-1 , EMP
114 , MIL , 1-1 , HEL
115 , MIL , 0-4 , NAP
116 , MIL , 3-2 , PAL
117 , MIL , 4-1 , SAM
118 , MIL , 2-1 , SAS
119 , NAP , 2-1 , FIO
120 , NAP , 2-1 , INT
121 , NAP , 2-1 , JUV
122 , NAP , 5-0 , LAZ
123 , NAP , 2-0 , PAL
124 , NAP , 0-0 , ROM
125 , NAP , 2-2 , SAM
126 , NAP , 2-1 , TOR
127 , NAP , 1-0 , UDI
128 , PAL , 2-2 , CRP
129 , PAL , 1-0 , CHV
130 , PAL , 0-1 , EMP
