0 , Alessandria , 1-2 , Ambrosiana
1 , Alessandria , 2-3 , Bologna
2 , Alessandria , 4-0 , Brescia
3 , Alessandria , 3-0 , Cremonese
4 , Alessandria , 0-2 , Genova 1893
5 , Alessandria , 1-0 , Juventus
6 , Alessandria , 4-2 , Lazio
7 , Alessandria , 3-2 , Livorno
8 , Alessandria , 2-1 , Milan
9 , Alessandria , 1-1 , Modena
10 , Alessandria , 2-1 , Napoli
11 , Alessandria , 4-2 , Padova
12 , Alessandria , 0-0 , Pro Patria
13 , Alessandria , 0-2 , Pro Vercelli
14 , Alessandria , 3-1 , Roma
15 , Alessandria , 3-3 , Torino
16 , Alessandria , 4-1 , Triestina
17 , Ambrosiana , 2-0 , Alessandria
18 , Ambrosiana , 2-1 , Bologna
19 , Ambrosiana , 5-1 , Brescia
20 , Ambrosiana , 3-2 , Cremonese
21 , Ambrosiana , 3-3 , Genova 1893
22 , Ambrosiana , 2-0 , Juventus
23 , Ambrosiana , 4-2 , Lazio
24 , Ambrosiana , 6-2 , Livorno
25 , Ambrosiana , 2-0 , Milan
26 , Ambrosiana , 5-1 , Modena
27 , Ambrosiana , 2-1 , Napoli
28 , Ambrosiana , 6-1 , Padova
29 , Ambrosiana , 8-0 , Pro Patria
30 , Ambrosiana , 4-0 , Pro Vercelli
31 , Ambrosiana , 6-0 , Roma
32 , Ambrosiana , 3-0 , Torino
33 , Ambrosiana , 1-2 , Triestina
34 , Bologna , 1-2 , Alessandria
35 , Bologna , 2-2 , Ambrosiana
36 , Bologna , 0-0 , Brescia
37 , Bologna , 4-1 , Cremonese
38 , Bologna , 0-1 , Genova 1893
39 , Bologna , 0-1 , Juventus
40 , Bologna , 3-2 , Lazio
41 , Bologna , 6-1 , Livorno
42 , Bologna , 1-1 , Milan
43 , Bologna , 2-1 , Modena
44 , Bologna , 3-1 , Napoli
45 , Bologna , 1-2 , Padova
46 , Bologna , 2-0 , Pro Patria
47 , Bologna , 2-2 , Pro Vercelli
48 , Bologna , 5-2 , Roma
49 , Bologna , 0-1 , Torino
50 , Bologna , 2-2 , Triestina
51 , Brescia , 2-1 , Alessandria
52 , Brescia , 0-0 , Ambrosiana
53 , Brescia , 2-0 , Bologna
54 , Brescia , 4-3 , Cremonese
55 , Brescia , 4-1 , Genova 1893
