0 , Arenas Club de Getxo , 3-2 , Athletic Bilbao
1 , Arenas Club de Getxo , 5-0 , FC Barcelona
2 , Arenas Club de Getxo , 1-1 , Deportivo Alavés
3 , Arenas Club de Getxo , 1-0 , RCD Español
4 , Arenas Club de Getxo , 1-0 , CE Europa
5 , Arenas Club de Getxo , 4-2 , Racing de Santander
6 , Arenas Club de Getxo , 4-1 , Real Madrid
7 , Arenas Club de Getxo , 1-3 , Real Sociedad
8 , Arenas Club de Getxo , 1-2 , Real Unión
9 , Athletic Bilbao , 5-2 , Arenas Club de Getxo
10 , Athletic Bilbao , 12-1 , FC Barcelona
11 , Athletic Bilbao , 7-1 , Deportivo Alavés
12 , Athletic Bilbao , 5-1 , RCD Español
13 , Athletic Bilbao , 4-1 , CE Europa
14 , Athletic Bilbao , 7-1 , Racing de Santander
15 , Athletic Bilbao , 2-4 , Real Madrid
16 , Athletic Bilbao , 6-1 , Real Sociedad
17 , Athletic Bilbao , 1-2 , Real Unión
18 , FC Barcelona , 2-0 , Arenas Club de Getxo
19 , FC Barcelona , 6-3 , Athletic Bilbao
20 , FC Barcelona , 1-1 , Deportivo Alavés
21 , FC Barcelona , 6-2 , RCD Español
22 , FC Barcelona , 0-2 , CE Europa
23 , FC Barcelona , 1-1 , Racing de Santander
24 , FC Barcelona , 3-1 , Real Madrid
25 , FC Barcelona , 5-1 , Real Sociedad
26 , FC Barcelona , 5-3 , Real Unión
27 , Deportivo Alavés , 3-2 , Arenas Club de Getxo
28 , Deportivo Alavés , 1-4 , Athletic Bilbao
29 , Deportivo Alavés , 1-1 , FC Barcelona
30 , Deportivo Alavés , 4-1 , RCD Español
31 , Deportivo Alavés , 2-0 , CE Europa
32 , Deportivo Alavés , 2-5 , Racing de Santander
33 , Deportivo Alavés , 2-0 , Real Madrid
34 , Deportivo Alavés , 1-2 , Real Sociedad
35 , Deportivo Alavés , 3-1 , Real Unión
36 , RCD Español , 5-0 , Arenas Club de Getxo
37 , RCD Español , 0-4 , Athletic Bilbao
38 , RCD Español , 4-4 , FC Barcelona
39 , RCD Español , 2-0 , Deportivo Alavés
40 , RCD Español , 4-0 , CE Europa
41 , RCD Español , 4-1 , Racing de Santander
42 , RCD Español , 1-1 , Real Madrid
43 , RCD Español , 1-0 , Real Sociedad
44 , RCD Español , 4-2 , Real Unión
45 , CE Europa , 1-4 , Arenas Club de Getxo
46 , CE Europa , 2-1 , Athletic Bilbao
47 , CE Europa , 2-2 , FC Barcelona
48 , CE Europa , 1-0 , Deportivo Alavés
49 , CE Europa , 3-1 , RCD Español
50 , CE Europa , 1-2 , Racing de Santander
51 , CE Europa , 0-3 , Real Madrid
52 , CE Europa , 2-1 , Real Sociedad
53 , CE Europa , 2-1 , Real Unión
54 , Racing de Santander , 4-1 , Arenas Club de Getxo
55 , Racing de Santander , 4-1 , Athletic Bilbao
56 , Racing de Santander , 0-1 , FC Barcelona
57 , Racing de Santander , 4-0 , Deportivo Alavés
58 , Racing de Santander , 4-0 , RCD Español
59 , Racing de Santander , 2-1 , CE Europa
60 , Racing de Santander , 3-0 , Real Madrid
61 , Racing de Santander , 2-5 , Real Sociedad
62 , Racing de Santander , 4-1 , Real Unión
63 , Real Madrid , 1-2 , Arenas Club de Getxo
64 , Real Madrid , 0-6 , Athletic Bilbao
65 , Real Madrid , 0-0 , FC Barcelona
66 , Real Madrid , 1-0 , Deportivo Alavés
67 , Real Madrid , 2-0 , RCD Español
68 , Real Madrid , 3-1 , CE Europa
69 , Real Madrid , 0-0 , Racing de Santander
70 , Real Madrid , 2-0 , Real Sociedad
71 , Real Madrid , 3-0 , Real Unión
72 , Real Sociedad , 4-1 , Arenas Club de Getxo
73 , Real Sociedad , 1-0 , Athletic Bilbao
74 , Real Sociedad , 4-1 , FC Barcelona
75 , Real Sociedad , 2-2 , Deportivo Alavés
76 , Real Sociedad , 2-1 , RCD Español
77 , Real Sociedad , 3-1 , CE Europa
78 , Real Sociedad , 4-7 , Racing de Santander
79 , Real Sociedad , 2-1 , Real Madrid
80 , Real Sociedad , 3-3 , Real Unión
81 , Real Unión , 2-2 , Arenas Club de Getxo
82 , Real Unión , 2-3 , Athletic Bilbao
83 , Real Unión , 1-1 , FC Barcelona
84 , Real Unión , 4-1 , Deportivo Alavés
85 , Real Unión , 6-1 , RCD Español
86 , Real Unión , 4-3 , CE Europa
87 , Real Unión , 4-3 , Racing de Santander
88 , Real Unión , 1-1 , Real Madrid
89 , Real Unión , 2-4 , Real Sociedad
shortNames:,,Are,Ath,Bar,DAl,Esp,Eur,Rac,RMa,RSo,RIr
fullNames:,,Arenas Club de Getxo,Athletic Bilbao,FC Barcelona,Deportivo Alavés,RCD Español,CE Europa,Racing de Santander,Real Madrid,Real Sociedad,Real Unión
