0 , Alessandria , 2-2 , Ambrosiana-Inter
1 , Alessandria , 2-0 , Bari
2 , Alessandria , 1-1 , Bologna
3 , Alessandria , 5-0 , Brescia
4 , Alessandria , 2-1 , Fiorentina
5 , Alessandria , 1-0 , Genova 1893
6 , Alessandria , 3-2 , Juventus
7 , Alessandria , 2-0 , Lazio
8 , Alessandria , 6-1 , Milan
9 , Alessandria , 2-3 , Napoli
10 , Alessandria , 1-0 , Palermo
11 , Alessandria , 1-0 , Roma
12 , Alessandria , 1-1 , Sampierdarenese
13 , Alessandria , 0-2 , Torino
14 , Alessandria , 0-0 , Triestina
15 , Ambrosiana-Inter , 2-1 , Alessandria
16 , Ambrosiana-Inter , 2-0 , Bari
17 , Ambrosiana-Inter , 3-1 , Bologna
18 , Ambrosiana-Inter , 1-0 , Brescia
19 , Ambrosiana-Inter , 0-2 , Fiorentina
20 , Ambrosiana-Inter , 3-0 , Genova 1893
21 , Ambrosiana-Inter , 4-0 , Juventus
22 , Ambrosiana-Inter , 3-1 , Lazio
23 , Ambrosiana-Inter , 1-1 , Milan
24 , Ambrosiana-Inter , 4-2 , Napoli
25 , Ambrosiana-Inter , 4-0 , Palermo
26 , Ambrosiana-Inter , 5-1 , Roma
27 , Ambrosiana-Inter , 3-0 , Sampierdarenese
28 , Ambrosiana-Inter , 4-0 , Torino
29 , Ambrosiana-Inter , 5-0 , Triestina
30 , Bari , 4-0 , Alessandria
31 , Bari , 2-1 , Ambrosiana-Inter
32 , Bari , 0-0 , Bologna
33 , Bari , 1-1 , Brescia
34 , Bari , 0-0 , Fiorentina
35 , Bari , 3-2 , Genova 1893
36 , Bari , 1-1 , Juventus
37 , Bari , 1-1 , Lazio
38 , Bari , 0-2 , Milan
39 , Bari , 0-0 , Napoli
40 , Bari , 1-0 , Palermo
41 , Bari , 0-1 , Roma
42 , Bari , 1-1 , Sampierdarenese
43 , Bari , 2-0 , Torino
44 , Bari , 0-0 , Triestina
45 , Bologna , 1-1 , Alessandria
46 , Bologna , 3-0 , Ambrosiana-Inter
47 , Bologna , 0-2 , Bari
48 , Bologna , 1-0 , Brescia
49 , Bologna , 1-0 , Fiorentina
50 , Bologna , 4-1 , Genova 1893
51 , Bologna , 2-1 , Juventus
52 , Bologna , 2-0 , Lazio
53 , Bologna , 4-1 , Milan
54 , Bologna , 2-1 , Napoli
55 , Bologna , 1-0 , Palermo
56 , Bologna , 2-0 , Roma
57 , Bologna , 0-0 , Sampierdarenese
58 , Bologna , 2-0 , Torino
59 , Bologna , 3-0 , Triestina
60 , Brescia , 1-1 , Alessandria
61 , Brescia , 1-0 , Ambrosiana-Inter
62 , Brescia , 1-2 , Bari
63 , Brescia , 2-1 , Bologna
64 , Brescia , 2-0 , Fiorentina
65 , Brescia , 0-0 , Genova 1893
66 , Brescia , 0-1 , Juventus
67 , Brescia , 3-1 , Lazio
68 , Brescia , 1-2 , Milan
69 , Brescia , 2-0 , Napoli
70 , Brescia , 0-1 , Palermo
71 , Brescia , 1-1 , Roma
72 , Brescia , 1-2 , Sampierdarenese
73 , Brescia , 2-2 , Torino
74 , Brescia , 0-0 , Triestina
75 , Fiorentina , 0-0 , Alessandria
76 , Fiorentina , 2-3 , Ambrosiana-Inter
77 , Fiorentina , 2-2 , Bari
78 , Fiorentina , 0-1 , Bologna
79 , Fiorentina , 1-0 , Brescia
80 , Fiorentina , 2-1 , Genova 1893
81 , Fiorentina , 1-1 , Juventus
82 , Fiorentina , 2-1 , Lazio
