0 , Ambrosiana-Inter , 0-0 , Bari
1 , Ambrosiana-Inter , 1-0 , Bologna
2 , Ambrosiana-Inter , 3-0 , Fiorentina
3 , Ambrosiana-Inter , 2-1 , Genova 1893
4 , Ambrosiana-Inter , 4-0 , Juventus
5 , Ambrosiana-Inter , 4-0 , Lazio
6 , Ambrosiana-Inter , 1-0 , Liguria
7 , Ambrosiana-Inter , 0-3 , Milano
8 , Ambrosiana-Inter , 2-1 , Modena
9 , Ambrosiana-Inter , 4-0 , Napoli
10 , Ambrosiana-Inter , 1-0 , Novara
11 , Ambrosiana-Inter , 3-0 , Roma
12 , Ambrosiana-Inter , 5-1 , Torino
13 , Ambrosiana-Inter , 5-1 , Triestina
14 , Ambrosiana-Inter , 2-1 , Venezia
15 , Bari , 3-0 , Ambrosiana-Inter
16 , Bari , 1-1 , Bologna
17 , Bari , 2-1 , Fiorentina
18 , Bari , 0-1 , Genova 1893
19 , Bari , 2-1 , Juventus
20 , Bari , 1-5 , Lazio
21 , Bari , 1-1 , Liguria
22 , Bari , 2-0 , Milano
23 , Bari , 1-0 , Modena
24 , Bari , 1-0 , Napoli
25 , Bari , 1-0 , Novara
26 , Bari , 0-0 , Roma
27 , Bari , 2-2 , Torino
28 , Bari , 2-2 , Triestina
29 , Bari , 3-0 , Venezia
30 , Bologna , 0-0 , Ambrosiana-Inter
31 , Bologna , 3-1 , Bari
32 , Bologna , 3-2 , Fiorentina
33 , Bologna , 5-3 , Genova 1893
34 , Bologna , 1-0 , Juventus
35 , Bologna , 3-1 , Lazio
36 , Bologna , 2-0 , Liguria
37 , Bologna , 1-0 , Milano
38 , Bologna , 1-0 , Modena
39 , Bologna , 1-1 , Napoli
40 , Bologna , 3-0 , Novara
41 , Bologna , 1-0 , Roma
42 , Bologna , 3-1 , Torino
43 , Bologna , 2-0 , Triestina
44 , Bologna , 2-0 , Venezia
45 , Fiorentina , 0-3 , Ambrosiana-Inter
46 , Fiorentina , 1-1 , Bari
47 , Fiorentina , 1-0 , Bologna
48 , Fiorentina , 1-1 , Genova 1893
49 , Fiorentina , 0-0 , Juventus
50 , Fiorentina , 2-3 , Lazio
51 , Fiorentina , 4-0 , Liguria
52 , Fiorentina , 1-0 , Milano
53 , Fiorentina , 3-2 , Modena
54 , Fiorentina , 2-0 , Napoli
55 , Fiorentina , 2-2 , Novara
56 , Fiorentina , 1-0 , Roma
57 , Fiorentina , 3-2 , Torino
58 , Fiorentina , 1-0 , Triestina
59 , Fiorentina , 3-1 , Venezia
60 , Genova 1893 , 2-2 , Ambrosiana-Inter
61 , Genova 1893 , 3-0 , Bari
62 , Genova 1893 , 1-2 , Bologna
63 , Genova 1893 , 3-0 , Fiorentina
64 , Genova 1893 , 3-2 , Juventus
65 , Genova 1893 , 4-0 , Lazio
66 , Genova 1893 , 2-0 , Liguria
67 , Genova 1893 , 1-1 , Milano
68 , Genova 1893 , 0-3 , Modena
69 , Genova 1893 , 2-0 , Napoli
70 , Genova 1893 , 5-3 , Novara
71 , Genova 1893 , 0-0 , Roma
72 , Genova 1893 , 1-0 , Torino
73 , Genova 1893 , 1-0 , Triestina
74 , Genova 1893 , 3-1 , Venezia
75 , Juventus , 1-0 , Ambrosiana-Inter
76 , Juventus , 6-2 , Bari
77 , Juventus , 1-0 , Bologna
78 , Juventus , 3-2 , Fiorentina
79 , Juventus , 3-1 , Genova 1893
80 , Juventus , 3-1 , Lazio
81 , Juventus , 4-0 , Liguria
82 , Juventus , 2-2 , Milano
83 , Juventus , 1-0 , Modena
84 , Juventus , 2-1 , Napoli
85 , Juventus , 1-0 , Novara
86 , Juventus , 1-1 , Roma
87 , Juventus , 1-1 , Torino
88 , Juventus , 2-6 , Triestina
89 , Juventus , 1-0 , Venezia
90 , Lazio , 1-1 , Ambrosiana-Inter
91 , Lazio , 0-1 , Bari
92 , Lazio , 2-2 , Bologna
93 , Lazio , 1-1 , Fiorentina
94 , Lazio , 4-1 , Genova 1893
95 , Lazio , 4-0 , Juventus
96 , Lazio , 2-2 , Liguria
97 , Lazio , 2-2 , Milano
98 , Lazio , 1-1 , Modena
99 , Lazio , 2-0 , Napoli
100 , Lazio , 1-0 , Novara
101 , Lazio , 1-0 , Roma
102 , Lazio , 1-1 , Torino
103 , Lazio , 2-0 , Triestina
104 , Lazio , 1-0 , Venezia
105 , Liguria , 0-2 , Ambrosiana-Inter
106 , Liguria , 1-0 , Bari
107 , Liguria , 1-1 , Bologna
108 , Liguria , 2-1 , Fiorentina
109 , Liguria , 2-1 , Genova 1893
110 , Liguria , 0-2 , Juventus
111 , Liguria , 0-0 , Lazio
112 , Liguria , 0-2 , Milano
113 , Liguria , 1-1 , Modena
114 , Liguria , 2-0 , Napoli
115 , Liguria , 1-0 , Novara
116 , Liguria , 1-0 , Roma
117 , Liguria , 2-1 , Torino
118 , Liguria , 1-1 , Triestina
119 , Liguria , 0-0 , Venezia
120 , Milano , 1-3 , Ambrosiana-Inter
121 , Milano , 4-0 , Bari
122 , Milano , ??-?? , Bologna
123 , Milano , 3-1 , Fiorentina
124 , Milano , 2-2 , Genova 1893
125 , Milano , 1-2 , Juventus
126 , Milano , 0-2 , Lazio
127 , Milano , 1-1 , Liguria
128 , Milano , 4-0 , Modena
129 , Milano , 3-0 , Napoli
130 , Milano , 0-2 , Novara
131 , Milano , 3-0 , Roma
132 , Milano , 1-3 , Torino
133 , Milano , 0-0 , Triestina
134 , Milano , 2-1 , Venezia
135 , Modena , 1-2 , Ambrosiana-Inter
136 , Modena , 3-0 , Bari
137 , Modena , 0-0 , Bologna
138 , Modena , 3-0 , Fiorentina
139 , Modena , 1-4 , Genova 1893
140 , Modena , 1-2 , Juventus
141 , Modena , 1-1 , Lazio
142 , Modena , 1-1 , Liguria
143 , Modena , 2-2 , Milano
144 , Modena , 0-0 , Napoli
145 , Modena , 4-1 , Novara
146 , Modena , 1-0 , Roma
147 , Modena , 1-2 , Torino
148 , Modena , 2-1 , Triestina
149 , Modena , 2-2 , Venezia
150 , Napoli , 0-1 , Ambrosiana-Inter
151 , Napoli , 1-1 , Bari
152 , Napoli , 1-1 , Bologna
153 , Napoli , 2-1 , Fiorentina
154 , Napoli , 3-1 , Genova 1893
155 , Napoli , 0-0 , Juventus
156 , Napoli , 1-1 , Lazio
157 , Napoli , 3-2 , Liguria
158 , Napoli , 1-4 , Milano
159 , Napoli , 1-0 , Modena
160 , Napoli , 2-1 , Novara
161 , Napoli , 0-1 , Roma
162 , Napoli , 3-1 , Torino
163 , Napoli , 3-1 , Triestina
164 , Napoli , 2-0 , Venezia
165 , Novara , 1-0 , Ambrosiana-Inter
166 , Novara , 1-0 , Bari
167 , Novara , 0-0 , Bologna
168 , Novara , 2-1 , Fiorentina
169 , Novara , 3-1 , Genova 1893
170 , Novara , 1-0 , Juventus
171 , Novara , 0-0 , Lazio
172 , Novara , 1-0 , Liguria
173 , Novara , 1-0 , Milano
174 , Novara , 1-0 , Modena
175 , Novara , 0-1 , Napoli
176 , Novara , 1-0 , Roma
177 , Novara , 0-1 , Torino
178 , Novara , 2-1 , Triestina
179 , Novara , 2-0 , Venezia
180 , Roma , 1-2 , Ambrosiana-Inter
181 , Roma , 4-2 , Bari
182 , Roma , 2-0 , Bologna
183 , Roma , 0-0 , Fiorentina
184 , Roma , 2-0 , Genova 1893
185 , Roma , 3-1 , Juventus
186 , Roma , 1-0 , Lazio
187 , Roma , 2-2 , Liguria
188 , Roma , 3-1 , Milano
189 , Roma , 1-0 , Modena
190 , Roma , 1-0 , Napoli
191 , Roma , 3-1 , Novara
192 , Roma , 0-0 , Torino
193 , Roma , 1-0 , Triestina
194 , Roma , 0-2 , Venezia
195 , Torino , 0-1 , Ambrosiana-Inter
196 , Torino , 2-2 , Bari
197 , Torino , 2-1 , Bologna
198 , Torino , 2-1 , Fiorentina
199 , Torino , 3-1 , Genova 1893
200 , Torino , 1-2 , Juventus
201 , Torino , 0-1 , Lazio
202 , Torino , 3-0 , Liguria
203 , Torino , 2-1 , Milano
204 , Torino , 4-3 , Modena
205 , Torino , 1-0 , Napoli
206 , Torino , 1-0 , Novara
207 , Torino , 4-0 , Roma
208 , Torino , 3-1 , Triestina
209 , Torino , 0-0 , Venezia
210 , Triestina , 2-1 , Ambrosiana-Inter
211 , Triestina , 1-0 , Bari
212 , Triestina , 0-2 , Bologna
213 , Triestina , 2-1 , Fiorentina
214 , Triestina , 0-1 , Genova 1893
215 , Triestina , 1-0 , Juventus
216 , Triestina , 2-3 , Lazio
217 , Triestina , 3-1 , Liguria
218 , Triestina , 1-1 , Milano
219 , Triestina , 4-1 , Modena
220 , Triestina , 2-0 , Napoli
221 , Triestina , 2-0 , Novara
222 , Triestina , 1-0 , Roma
223 , Triestina , 2-2 , Torino
224 , Triestina , 0-0 , Venezia
225 , Venezia , 2-1 , Ambrosiana-Inter
226 , Venezia , 2-1 , Bari
227 , Venezia , 1-1 , Bologna
228 , Venezia , 2-0 , Fiorentina
229 , Venezia , 2-6 , Genova 1893
230 , Venezia , 1-1 , Juventus
231 , Venezia , 2-1 , Lazio
232 , Venezia , 2-1 , Liguria
233 , Venezia , ??-?? , Milano
234 , Venezia , 0-4 , Modena
235 , Venezia , 2-0 , Napoli
236 , Venezia , 3-1 , Novara
237 , Venezia , 2-2 , Roma
238 , Venezia , 2-1 , Torino
