0 , Alessandria , 1-1 , Atalanta
1 , Alessandria , 1-0 , Bari
2 , Alessandria , 0-1 , Bologna
3 , Alessandria , 2-2 , Brescia
4 , Alessandria , 1-1 , Fiorentina
5 , Alessandria , 2-2 , Genoa
6 , Alessandria , 1-0 , Internazionale
7 , Alessandria , 2-0 , Juventus
8 , Alessandria , 2-1 , Lazio
9 , Alessandria , 4-1 , Livorno
10 , Alessandria , 4-1 , Milan
11 , Alessandria , 1-3 , Modena
12 , Alessandria , 5-0 , Napoli
13 , Alessandria , 1-0 , Roma
14 , Alessandria , 0-1 , Sampdoria
15 , Alessandria , 2-0 , Torino
16 , Alessandria , 5-0 , Triestina
17 , Alessandria , 1-1 , Venezia
18 , Alessandria , 0-2 , Vicenza
19 , Atalanta , 1-0 , Alessandria
20 , Atalanta , 3-0 , Bari
21 , Atalanta , 2-1 , Bologna
22 , Atalanta , 2-0 , Brescia
23 , Atalanta , 1-1 , Fiorentina
24 , Atalanta , 1-0 , Genoa
25 , Atalanta , 0-3 , Internazionale
26 , Atalanta , 1-3 , Juventus
27 , Atalanta , 1-1 , Lazio
28 , Atalanta , 3-1 , Livorno
29 , Atalanta , 1-3 , Milan
30 , Atalanta , 1-1 , Modena
31 , Atalanta , 2-1 , Napoli
32 , Atalanta , 0-0 , Roma
33 , Atalanta , 1-1 , Sampdoria
34 , Atalanta , 0-3 , Torino
35 , Atalanta , 1-1 , Triestina
36 , Atalanta , 3-2 , Venezia
37 , Atalanta , 1-1 , Vicenza
38 , Bari , 2-2 , Alessandria
39 , Bari , 2-0 , Atalanta
40 , Bari , 1-0 , Bologna
41 , Bari , 0-0 , Brescia
42 , Bari , 1-0 , Fiorentina
43 , Bari , 2-0 , Genoa
44 , Bari , 1-2 , Internazionale
45 , Bari , 0-1 , Juventus
46 , Bari , 1-3 , Lazio
47 , Bari , 2-1 , Livorno
48 , Bari , 0-3 , Milan
49 , Bari , 0-0 , Modena
50 , Bari , 1-0 , Napoli
51 , Bari , 2-0 , Roma
52 , Bari , 2-1 , Sampdoria
53 , Bari , 0-0 , Torino
54 , Bari , 2-0 , Triestina
55 , Bari , 1-0 , Venezia
56 , Bari , 1-0 , Vicenza
57 , Bologna , 4-1 , Alessandria
58 , Bologna , 2-0 , Atalanta
59 , Bologna , 2-1 , Bari
60 , Bologna , 0-2 , Brescia
61 , Bologna , 1-1 , Fiorentina
62 , Bologna , 0-0 , Genoa
63 , Bologna , 2-0 , Internazionale
64 , Bologna , 0-0 , Juventus
65 , Bologna , 3-1 , Lazio
66 , Bologna , 1-0 , Livorno
67 , Bologna , 1-2 , Milan
68 , Bologna , 1-0 , Modena
69 , Bologna , 3-0 , Napoli
70 , Bologna , 0-2 , Roma
71 , Bologna , 2-0 , Sampdoria
72 , Bologna , 1-1 , Torino
73 , Bologna , 1-0 , Triestina
74 , Bologna , 4-0 , Venezia
75 , Bologna , 0-0 , Vicenza
76 , Brescia , 0-3 , Alessandria
77 , Brescia , 4-1 , Atalanta
78 , Brescia , 0-0 , Bari
79 , Brescia , 0-1 , Bologna
80 , Brescia , 1-0 , Fiorentina
81 , Brescia , 5-1 , Genoa
82 , Brescia , 2-2 , Internazionale
83 , Brescia , 1-1 , Juventus
84 , Brescia , 2-0 , Lazio
85 , Brescia , 0-1 , Livorno
86 , Brescia , 1-1 , Milan
87 , Brescia , 0-1 , Modena
88 , Brescia , 2-1 , Napoli
89 , Brescia , 3-0 , Roma
90 , Brescia , 2-1 , Sampdoria
91 , Brescia , 0-1 , Torino
92 , Brescia , 2-2 , Triestina
93 , Brescia , 0-2 , Venezia
94 , Brescia , 0-2 , Vicenza
95 , Fiorentina , 2-0 , Alessandria
96 , Fiorentina , 1-0 , Atalanta
97 , Fiorentina , 2-0 , Bari
98 , Fiorentina , 0-0 , Bologna
99 , Fiorentina , 3-1 , Brescia
100 , Fiorentina , 2-2 , Genoa
101 , Fiorentina , 3-3 , Internazionale
102 , Fiorentina , 2-1 , Juventus
103 , Fiorentina , 4-1 , Lazio
104 , Fiorentina , 2-2 , Livorno
105 , Fiorentina , 0-3 , Milan
106 , Fiorentina , 1-2 , Modena
107 , Fiorentina , 1-0 , Napoli
108 , Fiorentina , 3-3 , Roma
109 , Fiorentina , 2-1 , Sampdoria
110 , Fiorentina , 0-4 , Torino
111 , Fiorentina , 2-1 , Triestina
112 , Fiorentina , 1-1 , Venezia
113 , Fiorentina , 4-1 , Vicenza
114 , Genoa , 3-1 , Alessandria
115 , Genoa , 2-2 , Atalanta
116 , Genoa , 1-0 , Bari
117 , Genoa , 3-0 , Bologna
118 , Genoa , 4-0 , Brescia
119 , Genoa , 5-0 , Fiorentina
120 , Genoa , 0-0 , Internazionale
121 , Genoa , 1-0 , Juventus
122 , Genoa , 3-0 , Lazio
123 , Genoa , 0-0 , Livorno
124 , Genoa , 0-2 , Milan
