0 , Atlético Bilbao , 0-1 , Atlético Madrid
1 , Atlético Bilbao , 0-1 , CF Barcelona
2 , Atlético Bilbao , 3-0 , Betis
3 , Atlético Bilbao , 1-0 , Burgos
4 , Atlético Bilbao , 4-0 , Celta de Vigo
5 , Atlético Bilbao , 5-0 , Córdoba CF
6 , Atlético Bilbao , 1-0 , Deportivo de La Coruña
7 , Atlético Bilbao , 1-1 , RCD Español
8 , Atlético Bilbao , 1-0 , Granada CF
9 , Atlético Bilbao , 1-2 , UD Las Palmas
10 , Atlético Bilbao , 0-0 , CD Málaga
11 , Atlético Bilbao , 3-1 , Real Gijón
12 , Atlético Bilbao , 1-0 , Real Madrid
13 , Atlético Bilbao , 1-2 , Real Sociedad
14 , Atlético Bilbao , 3-1 , CE Sabadell FC
15 , Atlético Bilbao , 2-0 , Sevilla CF
16 , Atlético Bilbao , 1-1 , Valencia CF
17 , Atlético Madrid , 1-2 , Atlético Bilbao
18 , Atlético Madrid , 1-1 , CF Barcelona
19 , Atlético Madrid , 4-1 , Betis
20 , Atlético Madrid , 1-0 , Burgos
21 , Atlético Madrid , 0-0 , Celta de Vigo
22 , Atlético Madrid , 2-2 , Córdoba CF
23 , Atlético Madrid , 2-1 , Deportivo de La Coruña
24 , Atlético Madrid , 1-1 , RCD Español
25 , Atlético Madrid , 1-0 , Granada CF
26 , Atlético Madrid , 2-0 , UD Las Palmas
27 , Atlético Madrid , 0-0 , CD Málaga
28 , Atlético Madrid , 1-0 , Real Gijón
29 , Atlético Madrid , 4-1 , Real Madrid
30 , Atlético Madrid , 5-0 , Real Sociedad
31 , Atlético Madrid , 5-0 , CE Sabadell FC
32 , Atlético Madrid , 0-2 , Sevilla CF
33 , Atlético Madrid , 0-1 , Valencia CF
34 , CF Barcelona , 0-1 , Atlético Bilbao
35 , CF Barcelona , 0-0 , Atlético Madrid
36 , CF Barcelona , 2-2 , Betis
37 , CF Barcelona , 2-1 , Burgos
38 , CF Barcelona , 1-0 , Celta de Vigo
39 , CF Barcelona , 4-1 , Córdoba CF
40 , CF Barcelona , 1-0 , Deportivo de La Coruña
41 , CF Barcelona , 2-0 , RCD Español
42 , CF Barcelona , 2-0 , Granada CF
43 , CF Barcelona , 1-2 , UD Las Palmas
44 , CF Barcelona , 0-1 , CD Málaga
45 , CF Barcelona , 1-0 , Real Gijón
46 , CF Barcelona , 1-0 , Real Madrid
47 , CF Barcelona , 3-0 , Real Sociedad
48 , CF Barcelona , 2-0 , CE Sabadell FC
49 , CF Barcelona , 1-0 , Sevilla CF
50 , CF Barcelona , 1-1 , Valencia CF
51 , Betis , 1-0 , Atlético Bilbao
52 , Betis , 1-3 , Atlético Madrid
53 , Betis , 0-0 , CF Barcelona
54 , Betis , 2-0 , Burgos
55 , Betis , 1-1 , Celta de Vigo
56 , Betis , 0-0 , Córdoba CF
57 , Betis , 2-0 , Deportivo de La Coruña
58 , Betis , 0-1 , RCD Español
59 , Betis , 1-0 , Granada CF
60 , Betis , 2-1 , UD Las Palmas
61 , Betis , 0-0 , CD Málaga
62 , Betis , 2-1 , Real Gijón
63 , Betis , 0-0 , Real Madrid
64 , Betis , 1-0 , Real Sociedad
65 , Betis , 1-0 , CE Sabadell FC
66 , Betis , 1-1 , Sevilla CF
67 , Betis , 1-0 , Valencia CF
68 , Burgos , 1-0 , Atlético Bilbao
69 , Burgos , 0-0 , Atlético Madrid
70 , Burgos , 2-3 , CF Barcelona
71 , Burgos , 0-1 , Betis
72 , Burgos , 3-2 , Celta de Vigo
73 , Burgos , 1-0 , Córdoba CF
74 , Burgos , 3-1 , Deportivo de La Coruña
75 , Burgos , 2-1 , RCD Español
76 , Burgos , 1-1 , Granada CF
77 , Burgos , 1-0 , UD Las Palmas
78 , Burgos , 3-1 , CD Málaga
79 , Burgos , 1-0 , Real Gijón
80 , Burgos , 1-2 , Real Madrid
81 , Burgos , 3-1 , Real Sociedad
82 , Burgos , 4-1 , CE Sabadell FC
83 , Burgos , 1-0 , Sevilla CF
84 , Burgos , 0-1 , Valencia CF
85 , Celta de Vigo , 2-0 , Atlético Bilbao
86 , Celta de Vigo , 2-1 , Atlético Madrid
87 , Celta de Vigo , 1-2 , CF Barcelona
88 , Celta de Vigo , 1-0 , Betis
89 , Celta de Vigo , 2-0 , Burgos
90 , Celta de Vigo , 2-0 , Córdoba CF
91 , Celta de Vigo , 3-1 , Deportivo de La Coruña
92 , Celta de Vigo , 4-2 , RCD Español
93 , Celta de Vigo , 0-0 , Granada CF
94 , Celta de Vigo , 2-0 , UD Las Palmas
95 , Celta de Vigo , 1-1 , CD Málaga
96 , Celta de Vigo , 2-2 , Real Gijón
97 , Celta de Vigo , 1-1 , Real Madrid
98 , Celta de Vigo , 0-1 , Real Sociedad
99 , Celta de Vigo , 0-1 , CE Sabadell FC
