0 , Ascoli , 0-0 , Bologna
1 , Ascoli , 1-1 , Cagliari
2 , Ascoli , 0-0 , Cesena
3 , Ascoli , 1-1 , Como
4 , Ascoli , 1-0 , Fiorentina
5 , Ascoli , 2-0 , Internazionale
6 , Ascoli , 0-3 , Juventus
7 , Ascoli , 2-1 , Lazio
8 , Ascoli , 0-1 , Milan
9 , Ascoli , 0-0 , Napoli
10 , Ascoli , 1-2 , Perugia
11 , Ascoli , 0-0 , Roma
12 , Ascoli , 1-1 , Sampdoria
13 , Ascoli , 1-1 , Torino
14 , Ascoli , 2-0 , Hellas Verona
15 , Bologna , 1-1 , Ascoli
16 , Bologna , 0-0 , Cagliari
17 , Bologna , 5-3 , Cesena
18 , Bologna , 1-1 , Como
19 , Bologna , 1-1 , Fiorentina
20 , Bologna , 1-2 , Internazionale
21 , Bologna , 1-4 , Juventus
22 , Bologna , 1-0 , Lazio
23 , Bologna , 1-1 , Milan
24 , Bologna , 2-0 , Napoli
25 , Bologna , 1-1 , Perugia
26 , Bologna , 2-1 , Roma
27 , Bologna , 1-0 , Sampdoria
28 , Bologna , 1-0 , Torino
29 , Bologna , 0-0 , Hellas Verona
30 , Cagliari , 0-0 , Ascoli
31 , Cagliari , 1-2 , Bologna
32 , Cagliari , 1-2 , Cesena
33 , Cagliari , 1-0 , Como
34 , Cagliari , 2-1 , Fiorentina
35 , Cagliari , 0-0 , Internazionale
36 , Cagliari , 0-1 , Juventus
37 , Cagliari , 2-1 , Lazio
38 , Cagliari , 1-3 , Milan
39 , Cagliari , 1-1 , Napoli
40 , Cagliari , 0-0 , Perugia
41 , Cagliari , 1-5 , Roma
42 , Cagliari , 5-3 , Sampdoria
43 , Cagliari , 0-0 , Torino
44 , Cagliari , 0-2 , Hellas Verona
45 , Cesena , 3-1 , Ascoli
46 , Cesena , 0-0 , Bologna
47 , Cesena , 0-0 , Cagliari
48 , Cesena , 2-0 , Como
49 , Cesena , 1-1 , Fiorentina
50 , Cesena , 2-3 , Internazionale
51 , Cesena , 2-1 , Juventus
52 , Cesena , 0-0 , Lazio
53 , Cesena , 2-1 , Milan
54 , Cesena , 0-1 , Napoli
55 , Cesena , 2-1 , Perugia
56 , Cesena , 2-0 , Roma
57 , Cesena , 1-1 , Sampdoria
58 , Cesena , 1-1 , Torino
59 , Cesena , 3-0 , Hellas Verona
60 , Como , 0-0 , Ascoli
61 , Como , 2-1 , Bologna
62 , Como , 3-0 , Cagliari
63 , Como , 0-0 , Cesena
64 , Como , 0-1 , Fiorentina
65 , Como , 3-0 , Internazionale
66 , Como , 2-2 , Juventus
67 , Como , 2-2 , Lazio
68 , Como , 1-4 , Milan
69 , Como , 0-1 , Napoli
70 , Como , 0-0 , Perugia
71 , Como , 0-0 , Roma
72 , Como , 0-0 , Sampdoria
73 , Como , 0-1 , Torino
74 , Como , 2-1 , Hellas Verona
75 , Fiorentina , 0-0 , Ascoli
76 , Fiorentina , 1-2 , Bologna
77 , Fiorentina , 3-0 , Cagliari
78 , Fiorentina , 3-1 , Cesena
79 , Fiorentina , 0-2 , Como
80 , Fiorentina , 0-0 , Internazionale
81 , Fiorentina , 1-1 , Juventus
82 , Fiorentina , 4-3 , Lazio
83 , Fiorentina , 0-1 , Milan
84 , Fiorentina , 1-1 , Napoli
85 , Fiorentina , 3-1 , Perugia
86 , Fiorentina , 2-0 , Roma
87 , Fiorentina , 0-1 , Sampdoria
88 , Fiorentina , 0-1 , Torino
89 , Fiorentina , 2-2 , Hellas Verona
90 , Internazionale , 3-0 , Ascoli
91 , Internazionale , 1-1 , Bologna
92 , Internazionale , 1-0 , Cagliari
93 , Internazionale , 0-0 , Cesena
94 , Internazionale , 2-1 , Como
95 , Internazionale , 1-0 , Fiorentina
96 , Internazionale , 1-0 , Juventus
97 , Internazionale , 1-0 , Lazio
98 , Internazionale , 0-1 , Milan
99 , Internazionale , 2-1 , Napoli
100 , Internazionale , 2-2 , Perugia
101 , Internazionale , 2-0 , Roma
102 , Internazionale , 2-1 , Sampdoria
103 , Internazionale , 1-0 , Torino
104 , Internazionale , 3-0 , Hellas Verona
105 , Juventus , 2-1 , Ascoli
106 , Juventus , 1-0 , Bologna
107 , Juventus , 1-0 , Cagliari
108 , Juventus , 3-3 , Cesena
