0 , Bologna , 0-0 , Catanzaro
1 , Bologna , 0-0 , Cesena
2 , Bologna , 2-0 , Fiorentina
3 , Bologna , 0-0 , Foggia
4 , Bologna , 0-0 , Genoa
5 , Bologna , 1-5 , Internazionale
6 , Bologna , 0-1 , Juventus
7 , Bologna , 1-0 , Lazio
8 , Bologna , 2-2 , Milan
9 , Bologna , 0-1 , Napoli
10 , Bologna , 1-0 , Perugia
11 , Bologna , 2-0 , Roma
12 , Bologna , 4-1 , Sampdoria
13 , Bologna , 0-3 , Torino
14 , Bologna , 0-0 , Hellas Verona
15 , Catanzaro , 1-2 , Bologna
16 , Catanzaro , 4-2 , Cesena
17 , Catanzaro , 0-1 , Fiorentina
18 , Catanzaro , 3-1 , Foggia
19 , Catanzaro , 2-1 , Genoa
20 , Catanzaro , 1-3 , Internazionale
21 , Catanzaro , 0-2 , Juventus
22 , Catanzaro , 1-2 , Lazio
23 , Catanzaro , 1-0 , Milan
24 , Catanzaro , 0-0 , Napoli
25 , Catanzaro , 1-1 , Perugia
26 , Catanzaro , 1-1 , Roma
27 , Catanzaro , 1-0 , Sampdoria
28 , Catanzaro , 0-4 , Torino
29 , Catanzaro , 2-1 , Hellas Verona
30 , Cesena , 0-0 , Bologna
31 , Cesena , 1-0 , Catanzaro
32 , Cesena , 1-2 , Fiorentina
33 , Cesena , 2-3 , Foggia
34 , Cesena , 1-1 , Genoa
35 , Cesena , 0-0 , Internazionale
36 , Cesena , 0-1 , Juventus
37 , Cesena , 0-0 , Lazio
38 , Cesena , 0-2 , Milan
39 , Cesena , 0-2 , Napoli
40 , Cesena , 0-3 , Perugia
41 , Cesena , 4-0 , Roma
42 , Cesena , 1-1 , Sampdoria
43 , Cesena , 0-3 , Torino
44 , Cesena , 0-1 , Hellas Verona
45 , Fiorentina , 3-0 , Bologna
46 , Fiorentina , 1-1 , Catanzaro
47 , Fiorentina , 2-1 , Cesena
48 , Fiorentina , 4-1 , Foggia
49 , Fiorentina , 1-2 , Genoa
50 , Fiorentina , 3-0 , Internazionale
51 , Fiorentina , 1-3 , Juventus
52 , Fiorentina , 0-1 , Lazio
53 , Fiorentina , 1-1 , Milan
54 , Fiorentina , 2-1 , Napoli
55 , Fiorentina , 1-0 , Perugia
56 , Fiorentina , 1-1 , Roma
57 , Fiorentina , 1-1 , Sampdoria
58 , Fiorentina , 0-1 , Torino
59 , Fiorentina , 2-1 , Hellas Verona
60 , Foggia , 1-0 , Bologna
61 , Foggia , 1-0 , Catanzaro
62 , Foggia , 0-2 , Cesena
63 , Foggia , 2-3 , Fiorentina
64 , Foggia , 2-3 , Genoa
65 , Foggia , 0-0 , Internazionale
66 , Foggia , 0-1 , Juventus
67 , Foggia , 1-0 , Lazio
68 , Foggia , 2-1 , Milan
69 , Foggia , 2-2 , Napoli
70 , Foggia , 2-1 , Perugia
71 , Foggia , 1-0 , Roma
72 , Foggia , 2-0 , Sampdoria
73 , Foggia , 0-1 , Torino
74 , Foggia , 4-1 , Hellas Verona
75 , Genoa , 0-2 , Bologna
76 , Genoa , 2-0 , Catanzaro
77 , Genoa , 4-1 , Cesena
78 , Genoa , 1-1 , Fiorentina
79 , Genoa , 1-2 , Foggia
80 , Genoa , 2-2 , Internazionale
81 , Genoa , 2-2 , Juventus
82 , Genoa , 3-1 , Lazio
83 , Genoa , 1-0 , Milan
84 , Genoa , 2-3 , Napoli
