0 , Ascoli , 1-1 , Avellino
1 , Ascoli , 1-1 , Bologna
2 , Ascoli , 0-0 , Brescia
3 , Ascoli , 0-0 , Cagliari
4 , Ascoli , 1-2 , Catanzaro
5 , Ascoli , 2-1 , Como
6 , Ascoli , 1-0 , Fiorentina
7 , Ascoli , 0-1 , Inter
8 , Ascoli , 0-0 , Juventus
9 , Ascoli , 3-2 , Napoli
10 , Ascoli , 0-3 , Perugia
11 , Ascoli , 0-0 , Pistoiese
12 , Ascoli , 0-0 , Roma
13 , Ascoli , 0-0 , Torino
14 , Ascoli , 1-0 , Udinese
15 , Avellino , 4-2 , Ascoli
16 , Avellino , 2-0 , Bologna
17 , Avellino , 1-0 , Brescia
18 , Avellino , 2-1 , Cagliari
19 , Avellino , 1-0 , Catanzaro
20 , Avellino , 2-1 , Como
21 , Avellino , 2-3 , Fiorentina
22 , Avellino , 1-3 , Inter
23 , Avellino , 1-1 , Juventus
24 , Avellino , 0-0 , Napoli
25 , Avellino , 2-1 , Perugia
26 , Avellino , 3-0 , Pistoiese
27 , Avellino , 1-1 , Roma
28 , Avellino , 3-0 , Torino
29 , Avellino , 0-0 , Udinese
30 , Bologna , 1-0 , Ascoli
31 , Bologna , 0-0 , Avellino
32 , Bologna , 0-1 , Brescia
33 , Bologna , 2-1 , Cagliari
34 , Bologna , 0-0 , Catanzaro
35 , Bologna , 1-1 , Como
36 , Bologna , 2-1 , Fiorentina
37 , Bologna , 2-1 , Inter
38 , Bologna , 1-5 , Juventus
39 , Bologna , 1-1 , Napoli
40 , Bologna , 4-0 , Perugia
41 , Bologna , 2-0 , Pistoiese
42 , Bologna , 1-1 , Roma
43 , Bologna , 1-0 , Torino
44 , Bologna , 1-0 , Udinese
45 , Brescia , 0-1 , Ascoli
46 , Brescia , 1-2 , Avellino
47 , Brescia , 0-0 , Bologna
48 , Brescia , 1-0 , Cagliari
49 , Brescia , 1-1 , Catanzaro
50 , Brescia , 1-0 , Como
51 , Brescia , 0-0 , Fiorentina
52 , Brescia , 0-0 , Inter
53 , Brescia , 1-1 , Juventus
54 , Brescia , 1-2 , Napoli
55 , Brescia , 1-1 , Perugia
56 , Brescia , 2-2 , Pistoiese
57 , Brescia , 1-2 , Roma
58 , Brescia , 1-1 , Torino
59 , Brescia , 1-1 , Udinese
60 , Cagliari , 2-0 , Ascoli
61 , Cagliari , 1-0 , Avellino
62 , Cagliari , 0-0 , Bologna
63 , Cagliari , 1-2 , Brescia
64 , Cagliari , 2-1 , Catanzaro
65 , Cagliari , 1-1 , Como
66 , Cagliari , 0-0 , Fiorentina
67 , Cagliari , 1-1 , Inter
68 , Cagliari , 1-1 , Juventus
69 , Cagliari , 0-0 , Napoli
70 , Cagliari , 2-1 , Perugia
71 , Cagliari , 2-0 , Pistoiese
72 , Cagliari , 1-0 , Roma
73 , Cagliari , 1-1 , Torino
74 , Cagliari , 1-1 , Udinese
75 , Catanzaro , 2-0 , Ascoli
76 , Catanzaro , 1-1 , Avellino
77 , Catanzaro , 2-2 , Bologna
78 , Catanzaro , 0-0 , Brescia
79 , Catanzaro , 0-0 , Cagliari
80 , Catanzaro , 2-0 , Como
81 , Catanzaro , 2-2 , Fiorentina
82 , Catanzaro , 0-0 , Inter
83 , Catanzaro , 0-0 , Juventus
84 , Catanzaro , 0-0 , Napoli
85 , Catanzaro , 0-1 , Perugia
86 , Catanzaro , 1-3 , Pistoiese
87 , Catanzaro , 1-1 , Roma
88 , Catanzaro , 1-0 , Torino
89 , Catanzaro , 2-1 , Udinese
90 , Como , 0-0 , Ascoli
91 , Como , 2-0 , Avellino
92 , Como , 2-1 , Bologna
93 , Como , 2-2 , Brescia
94 , Como , 3-1 , Cagliari
95 , Como , 0-0 , Catanzaro
96 , Como , 2-1 , Fiorentina
97 , Como , 1-0 , Inter
98 , Como , 1-2 , Juventus
99 , Como , 0-1 , Napoli
100 , Como , 1-0 , Perugia
101 , Como , 1-0 , Pistoiese
102 , Como , 0-1 , Roma
103 , Como , 0-2 , Torino
104 , Como , 2-0 , Udinese
105 , Fiorentina , 2-1 , Ascoli
106 , Fiorentina , 2-1 , Avellino
107 , Fiorentina , 2-1 , Bologna
108 , Fiorentina , 1-0 , Brescia
109 , Fiorentina , 0-0 , Cagliari
110 , Fiorentina , 1-1 , Catanzaro
111 , Fiorentina , 1-1 , Como
112 , Fiorentina , 0-0 , Inter
113 , Fiorentina , 0-1 , Juventus
114 , Fiorentina , 0-1 , Napoli
115 , Fiorentina , 1-0 , Perugia
116 , Fiorentina , 1-2 , Pistoiese
117 , Fiorentina , 1-1 , Roma
118 , Fiorentina , 2-0 , Torino
119 , Fiorentina , 1-1 , Udinese
120 , Inter , 1-2 , Ascoli
121 , Inter , 0-0 , Avellino
122 , Inter , 1-0 , Bologna
123 , Inter , 0-0 , Brescia
124 , Inter , 4-1 , Cagliari
125 , Inter , 2-2 , Catanzaro
126 , Inter , 2-1 , Como
127 , Inter , 1-2 , Fiorentina
128 , Inter , 1-0 , Juventus
129 , Inter , 3-0 , Napoli
130 , Inter , 3-1 , Perugia
131 , Inter , 2-0 , Pistoiese
132 , Inter , 2-4 , Roma
133 , Inter , 1-1 , Torino
134 , Inter , 2-0 , Udinese
135 , Juventus , 3-0 , Ascoli
136 , Juventus , 1-0 , Avellino
