0 , Athletic Bilbao , 2-2 , Atlético Madrid
1 , Athletic Bilbao , 1-0 , FC Barcelona
2 , Athletic Bilbao , 1-1 , Betis
3 , Athletic Bilbao , 0-0 , Elche CF
4 , Athletic Bilbao , 2-1 , RCD Español
5 , Athletic Bilbao , 4-1 , Hércules CF
6 , Athletic Bilbao , 4-1 , CD Málaga
7 , Athletic Bilbao , 1-0 , Murcia
8 , Athletic Bilbao , 5-0 , Osasuna
9 , Athletic Bilbao , 1-0 , Racing de Santander
10 , Athletic Bilbao , 0-0 , Real Madrid
11 , Athletic Bilbao , 1-1 , Real Sociedad
12 , Athletic Bilbao , 0-0 , Sevilla FC
13 , Athletic Bilbao , 2-0 , Sporting de Gijón
14 , Athletic Bilbao , 3-2 , Valencia CF
15 , Athletic Bilbao , 1-1 , Valladolid
16 , Athletic Bilbao , 0-3 , Zaragoza
17 , Atlético Madrid , 0-0 , Athletic Bilbao
18 , Atlético Madrid , 1-2 , FC Barcelona
19 , Atlético Madrid , 2-0 , Betis
20 , Atlético Madrid , 1-0 , Elche CF
21 , Atlético Madrid , 2-2 , RCD Español
22 , Atlético Madrid , 1-0 , Hércules CF
23 , Atlético Madrid , 3-0 , CD Málaga
24 , Atlético Madrid , 2-1 , Murcia
25 , Atlético Madrid , 3-0 , Osasuna
26 , Atlético Madrid , 2-1 , Racing de Santander
27 , Atlético Madrid , 0-1 , Real Madrid
28 , Atlético Madrid , 2-1 , Real Sociedad
29 , Atlético Madrid , 1-1 , Sevilla FC
30 , Atlético Madrid , 0-0 , Sporting de Gijón
31 , Atlético Madrid , 2-3 , Valencia CF
32 , Atlético Madrid , 2-0 , Valladolid
33 , Atlético Madrid , 0-1 , Zaragoza
34 , FC Barcelona , 0-0 , Athletic Bilbao
35 , FC Barcelona , 2-2 , Atlético Madrid
36 , FC Barcelona , 4-0 , Betis
37 , FC Barcelona , 4-0 , Elche CF
38 , FC Barcelona , 1-0 , RCD Español
39 , FC Barcelona , 2-0 , Hércules CF
40 , FC Barcelona , 1-0 , CD Málaga
41 , FC Barcelona , 6-0 , Murcia
42 , FC Barcelona , 2-0 , Osasuna
43 , FC Barcelona , 2-0 , Racing de Santander
44 , FC Barcelona , 3-2 , Real Madrid
45 , FC Barcelona , 1-1 , Real Sociedad
46 , FC Barcelona , 3-1 , Sevilla FC
47 , FC Barcelona , 2-0 , Sporting de Gijón
48 , FC Barcelona , 1-1 , Valencia CF
49 , FC Barcelona , 4-2 , Valladolid
50 , FC Barcelona , 4-0 , Zaragoza
51 , Betis , 0-2 , Athletic Bilbao
52 , Betis , 0-1 , Atlético Madrid
53 , Betis , 1-2 , FC Barcelona
54 , Betis , 2-0 , Elche CF
55 , Betis , 3-1 , RCD Español
56 , Betis , 1-0 , Hércules CF
57 , Betis , 0-1 , CD Málaga
58 , Betis , 0-2 , Murcia
59 , Betis , 3-1 , Osasuna
60 , Betis , 1-2 , Racing de Santander
61 , Betis , 4-1 , Real Madrid
62 , Betis , 0-0 , Real Sociedad
63 , Betis , 1-2 , Sevilla FC
64 , Betis , 1-2 , Sporting de Gijón
65 , Betis , 1-3 , Valencia CF
66 , Betis , 1-1 , Valladolid
67 , Betis , 2-0 , Zaragoza
68 , Elche CF , 1-0 , Athletic Bilbao
69 , Elche CF , 1-0 , Atlético Madrid
70 , Elche CF , 0-0 , FC Barcelona
71 , Elche CF , 2-1 , Betis
72 , Elche CF , 0-3 , RCD Español
73 , Elche CF , 2-0 , Hércules CF
74 , Elche CF , 1-1 , CD Málaga
75 , Elche CF , 0-0 , Murcia
76 , Elche CF , 0-0 , Osasuna
77 , Elche CF , 2-0 , Racing de Santander
78 , Elche CF , 0-1 , Real Madrid
79 , Elche CF , 1-1 , Real Sociedad
80 , Elche CF , 0-0 , Sevilla FC
81 , Elche CF , 0-0 , Sporting de Gijón
82 , Elche CF , 0-1 , Valencia CF
83 , Elche CF , 1-1 , Valladolid
84 , Elche CF , 0-0 , Zaragoza
85 , RCD Español , 1-0 , Athletic Bilbao
86 , RCD Español , 0-0 , Atlético Madrid
87 , RCD Español , 0-0 , FC Barcelona
88 , RCD Español , 0-1 , Betis
89 , RCD Español , 1-0 , Elche CF
90 , RCD Español , 2-2 , Hércules CF
91 , RCD Español , 0-0 , CD Málaga
92 , RCD Español , 1-0 , Murcia
93 , RCD Español , 1-0 , Osasuna
94 , RCD Español , 5-0 , Racing de Santander
95 , RCD Español , 2-0 , Real Madrid
96 , RCD Español , 1-3 , Real Sociedad
97 , RCD Español , 1-0 , Sevilla FC
98 , RCD Español , 2-2 , Sporting de Gijón
99 , RCD Español , 3-2 , Valencia CF
100 , RCD Español , 2-2 , Valladolid
101 , RCD Español , 3-2 , Zaragoza
102 , Hércules CF , 0-0 , Athletic Bilbao
103 , Hércules CF , 1-3 , Atlético Madrid
104 , Hércules CF , 1-0 , FC Barcelona
105 , Hércules CF , 2-2 , Betis
106 , Hércules CF , 1-0 , Elche CF
107 , Hércules CF , 0-0 , RCD Español
108 , Hércules CF , 1-1 , CD Málaga
109 , Hércules CF , 2-1 , Murcia
110 , Hércules CF , 1-1 , Osasuna
111 , Hércules CF , 2-0 , Racing de Santander
112 , Hércules CF , 2-2 , Real Madrid
113 , Hércules CF , 0-0 , Real Sociedad
114 , Hércules CF , 0-0 , Sevilla FC
115 , Hércules CF , 1-1 , Sporting de Gijón
116 , Hércules CF , 2-0 , Valencia CF
117 , Hércules CF , 2-1 , Valladolid
118 , Hércules CF , 0-0 , Zaragoza
119 , CD Málaga , 0-1 , Athletic Bilbao
120 , CD Málaga , 1-0 , Atlético Madrid
121 , CD Málaga , 1-2 , FC Barcelona
122 , CD Málaga , 1-1 , Betis
123 , CD Málaga , 0-0 , Elche CF
124 , CD Málaga , 1-1 , RCD Español
125 , CD Málaga , 1-1 , Hércules CF
126 , CD Málaga , 0-0 , Murcia
127 , CD Málaga , 2-1 , Osasuna
128 , CD Málaga , 2-0 , Racing de Santander
129 , CD Málaga , 1-1 , Real Madrid
130 , CD Málaga , 1-3 , Real Sociedad
131 , CD Málaga , 0-1 , Sevilla FC
