0 , Ascoli , 2-1 , Atalanta
1 , Ascoli , 0-1 , Avellino
2 , Ascoli , 0-0 , Brescia
3 , Ascoli , 0-0 , Como
4 , Ascoli , 0-1 , Empoli
5 , Ascoli , 0-1 , Fiorentina
6 , Ascoli , 1-0 , Inter
7 , Ascoli , 0-5 , Juventus
8 , Ascoli , 1-0 , Milan
9 , Ascoli , 1-1 , Napoli
10 , Ascoli , 1-1 , Roma
11 , Ascoli , 0-1 , Sampdoria
12 , Ascoli , 1-1 , Torino
13 , Ascoli , 1-0 , Udinese
14 , Ascoli , 0-1 , Verona
15 , Atalanta , 0-0 , Ascoli
16 , Atalanta , 1-1 , Avellino
17 , Atalanta , 1-0 , Brescia
18 , Atalanta , 0-0 , Como
19 , Atalanta , 1-0 , Empoli
20 , Atalanta , 2-0 , Fiorentina
21 , Atalanta , 1-0 , Inter
22 , Atalanta , 0-0 , Juventus
23 , Atalanta , 1-2 , Milan
24 , Atalanta , 0-1 , Napoli
25 , Atalanta , 0-1 , Roma
26 , Atalanta , 1-0 , Sampdoria
27 , Atalanta , 0-2 , Torino
28 , Atalanta , 4-2 , Udinese
29 , Atalanta , 1-0 , Verona
30 , Avellino , 0-0 , Ascoli
31 , Avellino , 2-1 , Atalanta
32 , Avellino , 0-0 , Brescia
33 , Avellino , 1-1 , Como
34 , Avellino , 0-1 , Empoli
35 , Avellino , 2-1 , Fiorentina
36 , Avellino , 0-1 , Inter
37 , Avellino , 1-1 , Juventus
38 , Avellino , 2-1 , Milan
39 , Avellino , 0-0 , Napoli
40 , Avellino , 2-1 , Roma
41 , Avellino , 3-1 , Sampdoria
42 , Avellino , 0-0 , Torino
43 , Avellino , 1-1 , Udinese
44 , Avellino , 1-1 , Verona
45 , Brescia , 1-2 , Ascoli
46 , Brescia , 1-0 , Atalanta
47 , Brescia , 2-0 , Avellino
48 , Brescia , 2-0 , Como
49 , Brescia , 3-0 , Empoli
50 , Brescia , 0-0 , Fiorentina
51 , Brescia , 0-1 , Inter
52 , Brescia , 0-0 , Juventus
53 , Brescia , 1-0 , Milan
54 , Brescia , 0-1 , Napoli
55 , Brescia , 1-1 , Roma
56 , Brescia , 0-1 , Sampdoria
57 , Brescia , 2-0 , Torino
58 , Brescia , 1-0 , Udinese
59 , Brescia , 1-1 , Verona
60 , Como , 0-0 , Ascoli
61 , Como , 2-1 , Atalanta
62 , Como , 1-2 , Avellino
63 , Como , 1-0 , Brescia
64 , Como , 0-1 , Empoli
65 , Como , 0-0 , Fiorentina
66 , Como , 1-1 , Inter
67 , Como , 0-0 , Juventus
68 , Como , 0-1 , Milan
69 , Como , 1-1 , Napoli
70 , Como , 0-0 , Roma
71 , Como , 0-0 , Sampdoria
72 , Como , 1-1 , Torino
73 , Como , 3-1 , Udinese
74 , Como , 1-1 , Verona
75 , Empoli , 1-0 , Ascoli
76 , Empoli , 0-0 , Atalanta
77 , Empoli , 0-1 , Avellino
78 , Empoli , 0-0 , Brescia
79 , Empoli , 0-0 , Como
80 , Empoli , 1-0 , Fiorentina
81 , Empoli , 1-0 , Inter
82 , Empoli , 0-1 , Juventus
83 , Empoli , 0-3 , Milan
84 , Empoli , 0-0 , Napoli
85 , Empoli , 1-3 , Roma
86 , Empoli , 0-0 , Sampdoria
87 , Empoli , 2-0 , Torino
88 , Empoli , 0-0 , Udinese
89 , Empoli , 1-0 , Verona
90 , Fiorentina , 2-1 , Ascoli
91 , Fiorentina , 1-0 , Atalanta
92 , Fiorentina , 2-0 , Avellino
93 , Fiorentina , 4-3 , Brescia
94 , Fiorentina , 1-2 , Como
95 , Fiorentina , 1-1 , Empoli
96 , Fiorentina , 0-1 , Inter
97 , Fiorentina , 1-1 , Juventus
98 , Fiorentina , 2-2 , Milan
99 , Fiorentina , 3-1 , Napoli
100 , Fiorentina , 2-1 , Roma
101 , Fiorentina , 2-0 , Sampdoria
