0 , Ancona , 0-2 , Atalanta
1 , Ancona , 5-1 , Brescia
2 , Ancona , 0-1 , Cagliari
3 , Ancona , 2-1 , Fiorentina
4 , Ancona , 3-0 , Foggia
5 , Ancona , 0-0 , Genoa
6 , Ancona , 3-0 , Inter
7 , Ancona , 0-1 , Juventus
8 , Ancona , 0-3 , Lazio
9 , Ancona , 1-3 , Milan
10 , Ancona , 1-1 , Napoli
11 , Ancona , 1-1 , Parma
12 , Ancona , 5-3 , Pescara
13 , Ancona , 1-1 , Roma
14 , Ancona , 2-3 , Sampdoria
15 , Ancona , 0-1 , Torino
16 , Ancona , 1-0 , Udinese
17 , Atalanta , 2-1 , Ancona
18 , Atalanta , 1-1 , Brescia
19 , Atalanta , 2-1 , Cagliari
20 , Atalanta , 2-1 , Fiorentina
21 , Atalanta , 2-1 , Foggia
22 , Atalanta , 1-2 , Genoa
23 , Atalanta , 1-1 , Inter
24 , Atalanta , 2-1 , Juventus
25 , Atalanta , 2-2 , Lazio
26 , Atalanta , 1-1 , Milan
27 , Atalanta , 3-2 , Napoli
28 , Atalanta , 2-1 , Parma
29 , Atalanta , 2-1 , Pescara
30 , Atalanta , 3-1 , Roma
31 , Atalanta , 1-2 , Sampdoria
32 , Atalanta , 0-0 , Torino
33 , Atalanta , 2-0 , Udinese
34 , Brescia , 1-1 , Ancona
35 , Brescia , 2-0 , Atalanta
36 , Brescia , 0-2 , Cagliari
37 , Brescia , 1-1 , Fiorentina
38 , Brescia , 4-1 , Foggia
39 , Brescia , 2-2 , Genoa
40 , Brescia , 1-3 , Inter
41 , Brescia , 2-0 , Juventus
42 , Brescia , 2-0 , Lazio
43 , Brescia , 0-1 , Milan
44 , Brescia , 2-1 , Napoli
45 , Brescia , 0-1 , Parma
46 , Brescia , 1-0 , Pescara
47 , Brescia , 0-2 , Roma
48 , Brescia , 3-1 , Sampdoria
49 , Brescia , 0-0 , Torino
50 , Brescia , 2-1 , Udinese
51 , Cagliari , 3-0 , Ancona
52 , Cagliari , 2-1 , Atalanta
53 , Cagliari , 3-1 , Brescia
54 , Cagliari , 2-1 , Fiorentina
55 , Cagliari , 1-1 , Foggia
56 , Cagliari , 3-0 , Genoa
57 , Cagliari , 0-0 , Inter
58 , Cagliari , 0-0 , Juventus
59 , Cagliari , 1-1 , Lazio
60 , Cagliari , 1-1 , Milan
61 , Cagliari , 1-0 , Napoli
62 , Cagliari , 0-1 , Parma
63 , Cagliari , 4-0 , Pescara
64 , Cagliari , 1-0 , Roma
65 , Cagliari , 0-2 , Sampdoria
66 , Cagliari , 0-0 , Torino
67 , Cagliari , 1-1 , Udinese
68 , Fiorentina , 7-1 , Ancona
69 , Fiorentina , 0-1 , Atalanta
70 , Fiorentina , 2-2 , Brescia
71 , Fiorentina , 2-1 , Cagliari
72 , Fiorentina , 6-2 , Foggia
73 , Fiorentina , 1-1 , Genoa
74 , Fiorentina , 2-2 , Inter
75 , Fiorentina , 2-0 , Juventus
76 , Fiorentina , 0-2 , Lazio
77 , Fiorentina , 3-7 , Milan
78 , Fiorentina , 1-1 , Napoli
79 , Fiorentina , 1-1 , Parma
80 , Fiorentina , 2-0 , Pescara
