0 , Albacete , 1-2 , Athletic Bilbao
1 , Albacete , 2-2 , Atlético Madrid
2 , Albacete , 2-2 , Barcelona
3 , Albacete , 3-1 , Betis
4 , Albacete , 1-1 , Celta de Vigo
5 , Albacete , 1-3 , Compostela
6 , Albacete , 2-8 , Deportivo La Coruña
7 , Albacete , 1-1 , Espanyol
8 , Albacete , 0-0 , Logroñés
9 , Albacete , 2-0 , Racing Santander
10 , Albacete , 1-1 , Real Madrid
11 , Albacete , 1-0 , Oviedo
12 , Albacete , 0-1 , Real Sociedad
13 , Albacete , 1-1 , Sevilla
14 , Albacete , 1-2 , Sporting de Gijón
15 , Albacete , 2-1 , Tenerife
16 , Albacete , 1-0 , Valencia
17 , Albacete , 1-0 , Valladolid
18 , Albacete , 0-3 , Zaragoza
19 , Athletic Bilbao , 1-2 , Albacete
20 , Athletic Bilbao , 3-1 , Atlético Madrid
21 , Athletic Bilbao , 0-2 , Barcelona
22 , Athletic Bilbao , 1-0 , Betis
23 , Athletic Bilbao , 1-1 , Celta de Vigo
24 , Athletic Bilbao , 1-0 , Compostela
25 , Athletic Bilbao , 0-2 , Deportivo La Coruña
26 , Athletic Bilbao , 1-3 , Espanyol
27 , Athletic Bilbao , 1-0 , Logroñés
28 , Athletic Bilbao , 2-0 , Racing Santander
29 , Athletic Bilbao , 1-1 , Real Madrid
30 , Athletic Bilbao , 1-0 , Oviedo
31 , Athletic Bilbao , 0-0 , Real Sociedad
32 , Athletic Bilbao , 0-2 , Sevilla
33 , Athletic Bilbao , 2-0 , Sporting de Gijón
34 , Athletic Bilbao , 3-2 , Tenerife
35 , Athletic Bilbao , 2-1 , Valencia
36 , Athletic Bilbao , 1-1 , Valladolid
37 , Athletic Bilbao , 1-0 , Zaragoza
38 , Atlético Madrid , 4-0 , Albacete
39 , Atlético Madrid , 2-1 , Athletic Bilbao
40 , Atlético Madrid , 2-0 , Barcelona
41 , Atlético Madrid , 0-2 , Betis
42 , Atlético Madrid , 0-2 , Celta de Vigo
43 , Atlético Madrid , 1-1 , Compostela
44 , Atlético Madrid , 1-1 , Deportivo La Coruña
45 , Atlético Madrid , 3-1 , Espanyol
46 , Atlético Madrid , 3-0 , Logroñés
47 , Atlético Madrid , 0-1 , Racing Santander
48 , Atlético Madrid , 0-2 , Real Madrid
49 , Atlético Madrid , 3-3 , Oviedo
50 , Atlético Madrid , 2-1 , Real Sociedad
51 , Atlético Madrid , 2-2 , Sevilla
52 , Atlético Madrid , 3-2 , Sporting de Gijón
53 , Atlético Madrid , 3-1 , Tenerife
54 , Atlético Madrid , 2-4 , Valencia
55 , Atlético Madrid , 6-0 , Valladolid
56 , Atlético Madrid , 2-0 , Zaragoza
57 , Barcelona , 0-1 , Albacete
58 , Barcelona , 1-0 , Athletic Bilbao
59 , Barcelona , 4-3 , Atlético Madrid
60 , Barcelona , 1-1 , Betis
61 , Barcelona , 1-1 , Celta de Vigo
62 , Barcelona , 4-0 , Compostela
63 , Barcelona , 1-1 , Deportivo La Coruña
64 , Barcelona , 3-0 , Espanyol
65 , Barcelona , 3-0 , Logroñés
66 , Barcelona , 2-1 , Racing Santander
67 , Barcelona , 1-0 , Real Madrid
68 , Barcelona , 1-0 , Oviedo
69 , Barcelona , 1-1 , Real Sociedad
70 , Barcelona , 0-1 , Sevilla
71 , Barcelona , 3-1 , Sporting de Gijón
72 , Barcelona , 1-0 , Tenerife
73 , Barcelona , 0-0 , Valencia
74 , Barcelona , 4-1 , Valladolid
75 , Barcelona , 3-0 , Zaragoza
76 , Betis , 4-1 , Albacete
77 , Betis , 0-0 , Athletic Bilbao
78 , Betis , 2-0 , Atlético Madrid
79 , Betis , 1-1 , Barcelona
80 , Betis , 1-1 , Celta de Vigo
81 , Betis , 1-0 , Compostela
82 , Betis , 0-0 , Deportivo La Coruña
83 , Betis , 3-1 , Espanyol
84 , Betis , 1-0 , Logroñés
85 , Betis , 2-0 , Racing Santander
86 , Betis , 0-0 , Real Madrid
87 , Betis , 0-0 , Oviedo
88 , Betis , 0-0 , Real Sociedad
89 , Betis , 2-1 , Sevilla
90 , Betis , 5-0 , Sporting de Gijón
91 , Betis , 3-0 , Tenerife
92 , Betis , 1-1 , Valencia
93 , Betis , 1-2 , Valladolid
94 , Betis , 0-1 , Zaragoza
95 , Celta de Vigo , 0-0 , Albacete
96 , Celta de Vigo , 1-1 , Athletic Bilbao
97 , Celta de Vigo , 1-0 , Atlético Madrid
98 , Celta de Vigo , 2-4 , Barcelona
99 , Celta de Vigo , 0-2 , Betis
100 , Celta de Vigo , 1-2 , Compostela
101 , Celta de Vigo , 0-2 , Deportivo La Coruña
102 , Celta de Vigo , 1-2 , Espanyol
103 , Celta de Vigo , 0-1 , Logroñés
104 , Celta de Vigo , 2-1 , Racing Santander
105 , Celta de Vigo , 0-2 , Real Madrid
106 , Celta de Vigo , 0-0 , Oviedo
107 , Celta de Vigo , 2-1 , Real Sociedad
108 , Celta de Vigo , 0-0 , Sevilla
109 , Celta de Vigo , 2-0 , Sporting de Gijón
110 , Celta de Vigo , 3-2 , Tenerife
111 , Celta de Vigo , 0-0 , Valencia
112 , Celta de Vigo , 1-0 , Valladolid
113 , Celta de Vigo , 0-0 , Zaragoza
114 , Compostela , 0-0 , Albacete
115 , Compostela , 0-1 , Athletic Bilbao
116 , Compostela , 2-1 , Atlético Madrid
117 , Compostela , 1-2 , Barcelona
118 , Compostela , 1-1 , Betis
119 , Compostela , 2-0 , Celta de Vigo
120 , Compostela , 0-1 , Deportivo La Coruña
121 , Compostela , 1-1 , Espanyol
122 , Compostela , 2-0 , Logroñés
123 , Compostela , 2-1 , Racing Santander
124 , Compostela , 1-1 , Real Madrid
125 , Compostela , 1-1 , Oviedo
126 , Compostela , 0-2 , Real Sociedad
127 , Compostela , 0-4 , Sevilla
128 , Compostela , 3-2 , Sporting de Gijón
129 , Compostela , 2-0 , Tenerife
130 , Compostela , 1-1 , Valencia
131 , Compostela , 1-0 , Valladolid
132 , Compostela , 3-2 , Zaragoza
133 , Deportivo La Coruña , 2-1 , Albacete
134 , Deportivo La Coruña , 0-0 , Athletic Bilbao
135 , Deportivo La Coruña , 0-1 , Atlético Madrid
136 , Deportivo La Coruña , 1-0 , Barcelona
137 , Deportivo La Coruña , 2-0 , Betis
138 , Deportivo La Coruña , 1-2 , Celta de Vigo
139 , Deportivo La Coruña , 1-0 , Compostela
140 , Deportivo La Coruña , 1-1 , Espanyol
141 , Deportivo La Coruña , 5-0 , Logroñés
142 , Deportivo La Coruña , 3-0 , Racing Santander
143 , Deportivo La Coruña , 0-0 , Real Madrid
144 , Deportivo La Coruña , 2-2 , Oviedo
145 , Deportivo La Coruña , 3-1 , Real Sociedad
146 , Deportivo La Coruña , 5-1 , Sevilla
147 , Deportivo La Coruña , 2-1 , Sporting de Gijón
148 , Deportivo La Coruña , 4-1 , Tenerife
149 , Deportivo La Coruña , 3-1 , Valencia
150 , Deportivo La Coruña , 4-0 , Valladolid
151 , Deportivo La Coruña , 3-3 , Zaragoza
152 , Espanyol , 5-1 , Albacete
153 , Espanyol , 3-1 , Athletic Bilbao
154 , Espanyol , 2-0 , Atlético Madrid
155 , Espanyol , 0-0 , Barcelona
156 , Espanyol , 0-0 , Betis
157 , Espanyol , 0-0 , Celta de Vigo
158 , Espanyol , 2-0 , Compostela
159 , Espanyol , 1-0 , Deportivo La Coruña
160 , Espanyol , 2-0 , Logroñés
161 , Espanyol , 2-0 , Racing Santander
162 , Espanyol , 1-2 , Real Madrid
163 , Espanyol , 4-2 , Oviedo
164 , Espanyol , 0-0 , Real Sociedad
165 , Espanyol , 2-2 , Sevilla
166 , Espanyol , 1-1 , Sporting de Gijón
167 , Espanyol , 0-0 , Tenerife
168 , Espanyol , 5-0 , Valencia
169 , Espanyol , 3-0 , Valladolid
170 , Espanyol , 2-0 , Zaragoza
171 , Logroñés , 1-1 , Albacete
172 , Logroñés , 0-1 , Athletic Bilbao
173 , Logroñés , 0-0 , Atlético Madrid
174 , Logroñés , 1-4 , Barcelona
175 , Logroñés , 0-0 , Betis
176 , Logroñés , 0-3 , Celta de Vigo
177 , Logroñés , 0-4 , Compostela
178 , Logroñés , 0-1 , Deportivo La Coruña
179 , Logroñés , 1-1 , Espanyol
180 , Logroñés , 0-1 , Racing Santander
181 , Logroñés , 1-4 , Real Madrid
182 , Logroñés , 0-2 , Oviedo
183 , Logroñés , 0-4 , Real Sociedad
