0 , Albacete , 2-0 , Athletic Bilbao
1 , Albacete , 1-1 , Atlético Madrid
2 , Albacete , 0-1 , FC Barcelona
3 , Albacete , 0-0 , Betis
4 , Albacete , 4-0 , Celta de Vigo
5 , Albacete , 2-1 , SD Compostela
6 , Albacete , 1-0 , Deportivo de La Coruña
7 , Albacete , 0-0 , RCD Espanyol
8 , Albacete , 2-0 , CP Mérida
9 , Albacete , 2-2 , Racing de Santander
10 , Albacete , 1-2 , Rayo Vallecano
11 , Albacete , 1-1 , Real Madrid
12 , Albacete , 0-1 , Real Oviedo
13 , Albacete , 3-5 , Real Sociedad
14 , Albacete , 3-3 , UD Salamanca
15 , Albacete , 3-2 , Sevilla FC
16 , Albacete , 1-3 , Sporting de Gijón
17 , Albacete , 0-0 , Tenerife
18 , Albacete , 1-3 , Valencia CF
19 , Albacete , 4-2 , Valladolid
20 , Albacete , 0-1 , Zaragoza
21 , Athletic Bilbao , 2-2 , Albacete
22 , Athletic Bilbao , 0-2 , Atlético Madrid
23 , Athletic Bilbao , 0-0 , FC Barcelona
24 , Athletic Bilbao , 0-1 , Betis
25 , Athletic Bilbao , 3-0 , Celta de Vigo
26 , Athletic Bilbao , 0-0 , SD Compostela
27 , Athletic Bilbao , 1-0 , Deportivo de La Coruña
28 , Athletic Bilbao , 0-0 , RCD Espanyol
29 , Athletic Bilbao , 1-1 , CP Mérida
30 , Athletic Bilbao , 4-0 , Racing de Santander
31 , Athletic Bilbao , 3-1 , Rayo Vallecano
32 , Athletic Bilbao , 0-5 , Real Madrid
33 , Athletic Bilbao , 0-1 , Real Oviedo
34 , Athletic Bilbao , 0-0 , Real Sociedad
35 , Athletic Bilbao , 3-1 , UD Salamanca
36 , Athletic Bilbao , 1-1 , Sevilla FC
37 , Athletic Bilbao , 2-1 , Sporting de Gijón
38 , Athletic Bilbao , 2-0 , Tenerife
39 , Athletic Bilbao , 0-1 , Valencia CF
40 , Athletic Bilbao , 2-1 , Valladolid
41 , Athletic Bilbao , 1-0 , Zaragoza
42 , Atlético Madrid , 2-0 , Albacete
43 , Atlético Madrid , 4-1 , Athletic Bilbao
44 , Atlético Madrid , 3-1 , FC Barcelona
45 , Atlético Madrid , 1-1 , Betis
46 , Atlético Madrid , 3-2 , Celta de Vigo
47 , Atlético Madrid , 3-0 , SD Compostela
48 , Atlético Madrid , 1-0 , Deportivo de La Coruña
49 , Atlético Madrid , 2-1 , RCD Espanyol
50 , Atlético Madrid , 1-1 , CP Mérida
51 , Atlético Madrid , 2-0 , Racing de Santander
52 , Atlético Madrid , 0-0 , Rayo Vallecano
53 , Atlético Madrid , 1-2 , Real Madrid
54 , Atlético Madrid , 3-0 , Real Oviedo
55 , Atlético Madrid , 4-1 , Real Sociedad
56 , Atlético Madrid , 2-1 , UD Salamanca
57 , Atlético Madrid , 0-1 , Sevilla FC
58 , Atlético Madrid , 2-0 , Sporting de Gijón
59 , Atlético Madrid , 3-1 , Tenerife
60 , Atlético Madrid , 2-3 , Valencia CF
61 , Atlético Madrid , 0-2 , Valladolid
62 , Atlético Madrid , 1-1 , Zaragoza
63 , FC Barcelona , 3-0 , Albacete
64 , FC Barcelona , 4-1 , Athletic Bilbao
65 , FC Barcelona , 1-3 , Atlético Madrid
66 , FC Barcelona , 1-0 , Betis
67 , FC Barcelona , 3-2 , Celta de Vigo
68 , FC Barcelona , 1-0 , SD Compostela
69 , FC Barcelona , 1-1 , Deportivo de La Coruña
70 , FC Barcelona , 2-1 , RCD Espanyol
71 , FC Barcelona , 2-2 , CP Mérida
72 , FC Barcelona , 1-1 , Racing de Santander
73 , FC Barcelona , 2-0 , Rayo Vallecano
74 , FC Barcelona , 3-0 , Real Madrid
75 , FC Barcelona , 4-1 , Real Oviedo
76 , FC Barcelona , 1-0 , Real Sociedad
77 , FC Barcelona , 4-1 , UD Salamanca
78 , FC Barcelona , 1-1 , Sevilla FC
79 , FC Barcelona , 1-0 , Sporting de Gijón
80 , FC Barcelona , 2-2 , Tenerife
81 , FC Barcelona , 1-0 , Valencia CF
82 , FC Barcelona , 1-0 , Valladolid
83 , FC Barcelona , 3-1 , Zaragoza
84 , Betis , 2-3 , Albacete
85 , Betis , 0-0 , Athletic Bilbao
86 , Betis , 2-1 , Atlético Madrid
87 , Betis , 1-5 , FC Barcelona
88 , Betis , 0-3 , Celta de Vigo
89 , Betis , 5-0 , SD Compostela
90 , Betis , 1-0 , Deportivo de La Coruña
91 , Betis , 2-3 , RCD Espanyol
92 , Betis , 0-1 , CP Mérida
93 , Betis , 2-2 , Racing de Santander
94 , Betis , 0-0 , Rayo Vallecano
95 , Betis , 0-0 , Real Madrid
96 , Betis , 2-1 , Real Oviedo
97 , Betis , 3-1 , Real Sociedad
98 , Betis , 4-0 , UD Salamanca
99 , Betis , 1-1 , Sevilla FC
100 , Betis , 2-5 , Sporting de Gijón
101 , Betis , 3-3 , Tenerife
102 , Betis , 3-0 , Valencia CF
103 , Betis , 3-0 , Valladolid
104 , Betis , 3-1 , Zaragoza
105 , Celta de Vigo , 2-2 , Albacete
106 , Celta de Vigo , 3-1 , Athletic Bilbao
107 , Celta de Vigo , 0-3 , Atlético Madrid
108 , Celta de Vigo , 1-0 , FC Barcelona
109 , Celta de Vigo , 2-0 , Betis
110 , Celta de Vigo , 0-1 , SD Compostela
111 , Celta de Vigo , 0-0 , Deportivo de La Coruña
112 , Celta de Vigo , 4-2 , RCD Espanyol
113 , Celta de Vigo , 2-0 , CP Mérida
114 , Celta de Vigo , 0-0 , Racing de Santander
115 , Celta de Vigo , 2-0 , Rayo Vallecano
116 , Celta de Vigo , 1-1 , Real Madrid
117 , Celta de Vigo , 1-0 , Real Oviedo
118 , Celta de Vigo , 1-1 , Real Sociedad
119 , Celta de Vigo , 2-1 , UD Salamanca
120 , Celta de Vigo , 4-0 , Sevilla FC
121 , Celta de Vigo , 0-0 , Sporting de Gijón
122 , Celta de Vigo , 2-2 , Tenerife
123 , Celta de Vigo , 1-1 , Valencia CF
124 , Celta de Vigo , 1-1 , Valladolid
125 , Celta de Vigo , 1-1 , Zaragoza
126 , SD Compostela , 3-1 , Albacete
127 , SD Compostela , 2-1 , Athletic Bilbao
128 , SD Compostela , 1-3 , Atlético Madrid
129 , SD Compostela , 2-1 , FC Barcelona
130 , SD Compostela , 1-2 , Betis
131 , SD Compostela , 1-1 , Celta de Vigo
132 , SD Compostela , 4-0 , Deportivo de La Coruña
133 , SD Compostela , 2-1 , RCD Espanyol
134 , SD Compostela , 1-0 , CP Mérida
135 , SD Compostela , 2-0 , Racing de Santander
136 , SD Compostela , 1-0 , Rayo Vallecano
137 , SD Compostela , 3-3 , Real Madrid
138 , SD Compostela , 4-1 , Real Oviedo
139 , SD Compostela , 2-0 , Real Sociedad
140 , SD Compostela , 0-0 , UD Salamanca
141 , SD Compostela , 0-0 , Sevilla FC
142 , SD Compostela , 1-0 , Sporting de Gijón
143 , SD Compostela , 0-2 , Tenerife
144 , SD Compostela , 0-4 , Valencia CF
145 , SD Compostela , 1-3 , Valladolid
