0 , Athletic Bilbao , 3-1 , Barcelona
1 , Athletic Bilbao , 2-1 , Celta de Vigo
2 , Athletic Bilbao , 2-0 , Alavés
3 , Athletic Bilbao , 2-2 , Deportivo La Coruña
4 , Athletic Bilbao , 0-1 , Espanyol
5 , Athletic Bilbao , 0-3 , Las Palmas
6 , Athletic Bilbao , 1-3 , Málaga
7 , Athletic Bilbao , 2-1 , Mallorca
8 , Athletic Bilbao , 3-1 , Numancia
9 , Athletic Bilbao , 0-1 , Osasuna
10 , Athletic Bilbao , 3-1 , Racing Santander
11 , Athletic Bilbao , 4-2 , Rayo Vallecano
12 , Athletic Bilbao , 1-0 , Real Madrid
13 , Athletic Bilbao , 4-0 , Oviedo
14 , Athletic Bilbao , 1-3 , Real Sociedad
15 , Athletic Bilbao , 1-1 , Valencia
16 , Athletic Bilbao , 1-1 , Valladolid
17 , Athletic Bilbao , 1-1 , Villarreal
18 , Athletic Bilbao , 1-2 , Zaragoza
19 , Barcelona , 7-0 , Athletic Bilbao
20 , Barcelona , 1-1 , Celta de Vigo
21 , Barcelona , 3-2 , Alavés
22 , Barcelona , 2-3 , Deportivo La Coruña
23 , Barcelona , 4-2 , Espanyol
24 , Barcelona , 4-1 , Las Palmas
25 , Barcelona , 2-1 , Málaga
26 , Barcelona , 1-1 , Mallorca
27 , Barcelona , 1-1 , Numancia
28 , Barcelona , 2-0 , Osasuna
29 , Barcelona , 3-1 , Racing Santander
30 , Barcelona , 5-1 , Rayo Vallecano
31 , Barcelona , 2-0 , Real Madrid
32 , Barcelona , 0-1 , Oviedo
33 , Barcelona , 3-0 , Real Sociedad
34 , Barcelona , 3-2 , Valencia
35 , Barcelona , 3-1 , Valladolid
36 , Barcelona , 1-2 , Villarreal
37 , Barcelona , 4-4 , Zaragoza
38 , Celta de Vigo , 2-1 , Athletic Bilbao
39 , Celta de Vigo , 3-3 , Barcelona
40 , Celta de Vigo , 1-1 , Alavés
41 , Celta de Vigo , 2-1 , Deportivo La Coruña
42 , Celta de Vigo , 1-0 , Espanyol
43 , Celta de Vigo , 0-1 , Las Palmas
