0 , Atalanta , 0-0 , Bari
1 , Atalanta , 2-2 , Bologna
2 , Atalanta , 2-0 , Brescia
3 , Atalanta , 0-0 , Fiorentina
4 , Atalanta , 0-1 , Internazionale
5 , Atalanta , 2-1 , Juventus
6 , Atalanta , 2-2 , Lazio
7 , Atalanta , 1-0 , Lecce
8 , Atalanta , 1-1 , Milan
9 , Atalanta , 1-1 , Napoli
10 , Atalanta , 0-1 , Parma
11 , Atalanta , 0-0 , Perugia
12 , Atalanta , 1-1 , Reggina
13 , Atalanta , 0-2 , Roma
14 , Atalanta , 0-1 , Udinese
15 , Atalanta , 3-0 , Hellas Verona
16 , Atalanta , 1-1 , Vicenza
17 , Bari , 0-2 , Atalanta
18 , Bari , 2-0 , Bologna
19 , Bari , 1-3 , Brescia
20 , Bari , 2-1 , Fiorentina
21 , Bari , 1-2 , Internazionale
22 , Bari , 0-1 , Juventus
23 , Bari , 1-2 , Lazio
24 , Bari , 3-2 , Lecce
25 , Bari , 1-3 , Milan
26 , Bari , 0-1 , Napoli
27 , Bari , 0-1 , Parma
28 , Bari , 3-4 , Perugia
29 , Bari , 2-1 , Reggina
30 , Bari , 1-4 , Roma
31 , Bari , 2-1 , Udinese
32 , Bari , 1-1 , Hellas Verona
33 , Bari , 2-2 , Vicenza
34 , Bologna , 0-1 , Atalanta
35 , Bologna , 4-2 , Bari
36 , Bologna , 1-0 , Brescia
37 , Bologna , 1-1 , Fiorentina
38 , Bologna , 0-3 , Internazionale
39 , Bologna , 1-4 , Juventus
40 , Bologna , 2-0 , Lazio
41 , Bologna , 2-2 , Lecce
42 , Bologna , 2-1 , Milan
43 , Bologna , 2-1 , Napoli
44 , Bologna , 2-1 , Parma
45 , Bologna , 3-2 , Perugia
46 , Bologna , 2-0 , Reggina
47 , Bologna , 1-2 , Roma
48 , Bologna , 1-1 , Udinese
49 , Bologna , 1-0 , Hellas Verona
50 , Bologna , 1-1 , Vicenza
51 , Brescia , 0-3 , Atalanta
52 , Brescia , 3-1 , Bari
53 , Brescia , 0-0 , Bologna
54 , Brescia , 1-1 , Fiorentina
55 , Brescia , 1-0 , Internazionale
56 , Brescia , 0-0 , Juventus
57 , Brescia , 0-1 , Lazio
