0 , Ancona , 3-2 , Bologna
1 , Ancona , 1-1 , Brescia
2 , Ancona , 0-2 , Chievo
3 , Ancona , 2-1 , Empoli
4 , Ancona , 0-2 , Internazionale
5 , Ancona , 2-3 , Juventus
6 , Ancona , 0-1 , Lazio
7 , Ancona , 0-2 , Lecce
8 , Ancona , 0-2 , Milan
9 , Ancona , 1-1 , Modena
10 , Ancona , 0-2 , Parma
11 , Ancona , 0-0 , Perugia
12 , Ancona , 1-1 , Reggina
13 , Ancona , 0-0 , Roma
14 , Ancona , 0-1 , Sampdoria
15 , Ancona , 0-0 , Siena
16 , Ancona , 0-3 , Udinese
17 , Bologna , 3-2 , Ancona
18 , Bologna , 3-0 , Brescia
19 , Bologna , 3-1 , Chievo
20 , Bologna , 2-1 , Empoli
21 , Bologna , 0-2 , Internazionale
22 , Bologna , 0-1 , Juventus
23 , Bologna , 2-1 , Lazio
24 , Bologna , 1-1 , Lecce
25 , Bologna , 0-3 , Milan
26 , Bologna , 1-1 , Modena
27 , Bologna , 2-2 , Parma
28 , Bologna , 2-2 , Perugia
29 , Bologna , 2-2 , Reggina
30 , Bologna , 0-4 , Roma
31 , Bologna , 0-1 , Sampdoria
32 , Bologna , 3-1 , Siena
33 , Bologna , 2-0 , Udinese
34 , Brescia , 5-2 , Ancona
35 , Brescia , 0-0 , Bologna
36 , Brescia , 1-1 , Chievo
37 , Brescia , 2-0 , Empoli
38 , Brescia , 2-2 , Internazionale
39 , Brescia , 2-3 , Juventus
40 , Brescia , 2-1 , Lazio
41 , Brescia , 1-2 , Lecce
42 , Brescia , 0-1 , Milan
43 , Brescia , 0-0 , Modena
44 , Brescia , 2-3 , Parma
45 , Brescia , 1-1 , Perugia
46 , Brescia , 4-4 , Reggina
47 , Brescia , 1-0 , Roma
48 , Brescia , 1-1 , Sampdoria
49 , Brescia , 4-2 , Siena
50 , Brescia , 1-2 , Udinese
51 , Chievo , 1-0 , Ancona
52 , Chievo , 2-1 , Bologna
53 , Chievo , 3-1 , Brescia
54 , Chievo , 0-0 , Empoli
55 , Chievo , 0-2 , Internazionale
56 , Chievo , 1-2 , Juventus
57 , Chievo , 0-0 , Lazio
58 , Chievo , 2-3 , Lecce
59 , Chievo , 0-2 , Milan
60 , Chievo , 2-0 , Modena
61 , Chievo , 0-2 , Parma
62 , Chievo , 4-1 , Perugia
63 , Chievo , 0-0 , Reggina
64 , Chievo , 0-3 , Roma
65 , Chievo , 1-1 , Sampdoria
66 , Chievo , 1-1 , Siena
67 , Chievo , 0-0 , Udinese
68 , Empoli , 2-0 , Ancona
69 , Empoli , 2-0 , Bologna
70 , Empoli , 1-1 , Brescia
71 , Empoli , 0-1 , Chievo
72 , Empoli , 2-3 , Internazionale
73 , Empoli , 3-3 , Juventus
74 , Empoli , 2-2 , Lazio
75 , Empoli , 0-0 , Lecce
76 , Empoli , 0-1 , Milan
77 , Empoli , 0-3 , Modena
78 , Empoli , 1-0 , Parma
79 , Empoli , 1-0 , Perugia
80 , Empoli , 1-1 , Reggina
81 , Empoli , 0-2 , Roma
82 , Empoli , 1-1 , Sampdoria
83 , Empoli , 1-0 , Siena
84 , Empoli , 2-0 , Udinese
85 , Internazionale , 3-0 , Ancona
86 , Internazionale , 4-2 , Bologna
87 , Internazionale , 1-3 , Brescia
88 , Internazionale , 0-0 , Chievo
89 , Internazionale , 0-1 , Empoli
90 , Internazionale , 3-2 , Juventus
91 , Internazionale , 0-0 , Lazio
92 , Internazionale , 3-1 , Lecce
93 , Internazionale , 1-3 , Milan
94 , Internazionale , 2-0 , Modena
95 , Internazionale , 1-0 , Parma
96 , Internazionale , 2-1 , Perugia
97 , Internazionale , 6-0 , Reggina
98 , Internazionale , 0-0 , Roma
99 , Internazionale , 0-0 , Sampdoria
100 , Internazionale , 4-0 , Siena
101 , Internazionale , 1-2 , Udinese
102 , Juventus , 3-0 , Ancona
103 , Juventus , 2-1 , Bologna
104 , Juventus , 2-0 , Brescia
105 , Juventus , 1-0 , Chievo
106 , Juventus , 5-1 , Empoli
107 , Juventus , 1-3 , Internazionale
108 , Juventus , 1-0 , Lazio
109 , Juventus , 3-4 , Lecce
110 , Juventus , 1-3 , Milan
111 , Juventus , 3-1 , Modena
112 , Juventus , 4-0 , Parma
113 , Juventus , 1-0 , Perugia
114 , Juventus , 1-0 , Reggina
115 , Juventus , 2-2 , Roma
116 , Juventus , 2-0 , Sampdoria
117 , Juventus , 4-2 , Siena
118 , Juventus , 4-1 , Udinese
119 , Lazio , 4-2 , Ancona
120 , Lazio , 2-1 , Bologna
121 , Lazio , 0-1 , Brescia
122 , Lazio , 1-0 , Chievo
123 , Lazio , 3-0 , Empoli
124 , Lazio , 2-1 , Internazionale
125 , Lazio , 2-0 , Juventus
126 , Lazio , 4-1 , Lecce
127 , Lazio , 0-1 , Milan
128 , Lazio , 2-1 , Modena
129 , Lazio , 2-3 , Parma
130 , Lazio , 3-1 , Perugia
131 , Lazio , 1-1 , Reggina
132 , Lazio , 1-1 , Roma
133 , Lazio , 1-1 , Sampdoria
134 , Lazio , 5-2 , Siena
135 , Lazio , 2-2 , Udinese
136 , Lecce , 3-1 , Ancona
137 , Lecce , 1-2 , Bologna
138 , Lecce , 1-4 , Brescia
139 , Lecce , 1-2 , Chievo
140 , Lecce , 2-1 , Empoli
141 , Lecce , 2-1 , Internazionale
142 , Lecce , 1-1 , Juventus
143 , Lecce , 0-1 , Lazio
144 , Lecce , 1-1 , Milan
145 , Lecce , 1-0 , Modena
146 , Lecce , 1-2 , Parma
147 , Lecce , 1-2 , Perugia
148 , Lecce , 2-1 , Reggina
149 , Lecce , 0-3 , Roma
150 , Lecce , 0-0 , Sampdoria
151 , Lecce , 0-0 , Siena
152 , Lecce , 2-1 , Udinese
153 , Milan , 5-0 , Ancona
154 , Milan , 2-1 , Bologna
155 , Milan , 4-2 , Brescia
156 , Milan , 2-2 , Chievo
157 , Milan , 1-0 , Empoli
158 , Milan , 3-2 , Internazionale
159 , Milan , 1-1 , Juventus
160 , Milan , 1-0 , Lazio
161 , Milan , 3-0 , Lecce
162 , Milan , 2-0 , Modena
163 , Milan , 3-1 , Parma
164 , Milan , 2-1 , Perugia
165 , Milan , 3-1 , Reggina
166 , Milan , 1-0 , Roma
167 , Milan , 3-1 , Sampdoria
168 , Milan , 2-1 , Siena
169 , Milan , 1-2 , Udinese
170 , Modena , 2-1 , Ancona
171 , Modena , 2-0 , Bologna
172 , Modena , 1-1 , Brescia
173 , Modena , 0-3 , Chievo
174 , Modena , 1-1 , Empoli
175 , Modena , 1-1 , Internazionale
176 , Modena , 0-2 , Juventus
177 , Modena , 1-1 , Lazio
178 , Modena , 2-0 , Lecce
179 , Modena , 1-1 , Milan
180 , Modena , 2-2 , Parma
181 , Modena , 1-0 , Perugia
182 , Modena , 1-2 , Reggina
183 , Modena , 0-1 , Roma
184 , Modena , 1-0 , Sampdoria
185 , Modena , 1-3 , Siena
186 , Modena , 0-1 , Udinese
187 , Parma , 3-1 , Ancona
188 , Parma , 0-0 , Bologna
189 , Parma , 2-2 , Brescia
190 , Parma , 3-1 , Chievo
191 , Parma , 4-0 , Empoli
192 , Parma , 1-0 , Internazionale
193 , Parma , 2-2 , Juventus
194 , Parma , 0-3 , Lazio
195 , Parma , 3-1 , Lecce
196 , Parma , 0-0 , Milan
197 , Parma , 3-0 , Modena
198 , Parma , 3-0 , Perugia
199 , Parma , 1-2 , Reggina
200 , Parma , 1-4 , Roma
201 , Parma , 1-0 , Sampdoria
202 , Parma , 1-1 , Siena
203 , Parma , 4-3 , Udinese
204 , Perugia , 1-0 , Ancona
205 , Perugia , 4-2 , Bologna
206 , Perugia , 2-2 , Brescia
207 , Perugia , 0-2 , Chievo
208 , Perugia , 1-1 , Empoli
209 , Perugia , 2-3 , Internazionale
210 , Perugia , 1-0 , Juventus
211 , Perugia , 1-2 , Lazio
212 , Perugia , 2-2 , Lecce
213 , Perugia , 1-1 , Milan
214 , Perugia , 1-1 , Modena
215 , Perugia , 2-2 , Parma
216 , Perugia , 0-0 , Reggina
217 , Perugia , 0-1 , Roma
218 , Perugia , 3-3 , Sampdoria
219 , Perugia , 2-2 , Siena
220 , Perugia , 3-3 , Udinese
221 , Reggina , 0-0 , Ancona
222 , Reggina , 0-0 , Bologna
223 , Reggina , 0-0 , Brescia
224 , Reggina , 0-0 , Chievo
225 , Reggina , 2-0 , Empoli
226 , Reggina , 0-2 , Internazionale
227 , Reggina , 0-2 , Juventus
228 , Reggina , 2-1 , Lazio
229 , Reggina , 1-3 , Lecce
230 , Reggina , 2-1 , Milan
231 , Reggina , 1-1 , Modena
232 , Reggina , 1-1 , Parma
233 , Reggina , 1-2 , Perugia
234 , Reggina , 0-0 , Roma
235 , Reggina , 2-2 , Sampdoria
236 , Reggina , 2-1 , Siena
237 , Reggina , 0-1 , Udinese
238 , Roma , 3-0 , Ancona
239 , Roma , 1-2 , Bologna
240 , Roma , 5-0 , Brescia
241 , Roma , 3-1 , Chievo
242 , Roma , 3-0 , Empoli
243 , Roma , 4-1 , Internazionale
244 , Roma , 4-0 , Juventus
245 , Roma , 2-0 , Lazio
246 , Roma , 3-1 , Lecce
247 , Roma , 1-2 , Milan
248 , Roma , 1-0 , Modena
249 , Roma , 2-0 , Parma
250 , Roma , 1-3 , Perugia
251 , Roma , 2-0 , Reggina
252 , Roma , 3-1 , Sampdoria
253 , Roma , 6-0 , Siena
254 , Roma , 1-1 , Udinese
255 , Sampdoria , 2-0 , Ancona
256 , Sampdoria , 3-2 , Bologna
257 , Sampdoria , 2-1 , Brescia
258 , Sampdoria , 1-0 , Chievo
259 , Sampdoria , 2-0 , Empoli
260 , Sampdoria , 2-2 , Internazionale
261 , Sampdoria , 1-2 , Juventus
262 , Sampdoria , 1-2 , Lazio
263 , Sampdoria , 2-2 , Lecce
264 , Sampdoria , 0-4 , Milan
265 , Sampdoria , 1-1 , Modena
266 , Sampdoria , 1-2 , Parma
267 , Sampdoria , 3-2 , Perugia
268 , Sampdoria , 2-0 , Reggina
269 , Sampdoria , 0-0 , Roma
270 , Sampdoria , 2-1 , Siena
271 , Sampdoria , 1-3 , Udinese
272 , Siena , 3-2 , Ancona
273 , Siena , 0-0 , Bologna
274 , Siena , 0-1 , Brescia
275 , Siena , 1-2 , Chievo
276 , Siena , 4-0 , Empoli
277 , Siena , 0-1 , Internazionale
278 , Siena , 1-3 , Juventus
279 , Siena , 3-0 , Lazio
280 , Siena , 2-1 , Lecce
281 , Siena , 1-4 , Milan
282 , Siena , 4-0 , Modena
283 , Siena , 1-2 , Parma
284 , Siena , 2-1 , Perugia
285 , Siena , 0-0 , Reggina
286 , Siena , 0-0 , Roma
287 , Siena , 0-0 , Sampdoria
288 , Siena , 1-0 , Udinese
289 , Udinese , 3-0 , Ancona
290 , Udinese , 1-3 , Bologna
291 , Udinese , 4-3 , Brescia
292 , Udinese , 1-1 , Chievo
293 , Udinese , 2-0 , Empoli
294 , Udinese , 0-0 , Internazionale
295 , Udinese , 0-0 , Juventus
296 , Udinese , 1-2 , Lazio
297 , Udinese , 1-0 , Lecce
298 , Udinese , 0-0 , Milan
299 , Udinese , 1-0 , Modena
300 , Udinese , 1-1 , Parma
301 , Udinese , 1-1 , Perugia
302 , Udinese , 1-0 , Reggina
303 , Udinese , 1-2 , Roma
304 , Udinese , 0-1 , Sampdoria
305 , Udinese , 1-1 , Siena
shortNames:,,Home ╲ Away,Ancona !ANC,Bologna !BOL,Brescia !BRE,Chievo !CHV,Empoli !EMP,Internazionale !INT,Juventus !JUV,Lazio !LAZ,Lecce !LCE,Milan !MIL,Modena !MOD,Parma !PAR,Perugia !PER,Reggina !REG,Roma !ROM,Sampdoria !SAM,Siena !SIE,Udinese !UDI
