0 , Atalanta , 2-0 , Bologna
1 , Atalanta , 0-0 , Brescia
2 , Atalanta , 2-2 , Cagliari
3 , Atalanta , 3-0 , Chievo
4 , Atalanta , 1-0 , Fiorentina
5 , Atalanta , 2-3 , Internazionale
6 , Atalanta , 1-2 , Juventus
7 , Atalanta , 1-1 , Lazio
8 , Atalanta , 2-2 , Lecce
9 , Atalanta , 1-0 , Livorno
10 , Atalanta , 2-1 , Messina
11 , Atalanta , 1-2 , Milan
12 , Atalanta , 1-0 , Palermo
13 , Atalanta , 1-0 , Parma
14 , Atalanta , 0-1 , Reggina
15 , Atalanta , 0-1 , Roma
16 , Atalanta , 0-0 , Sampdoria
17 , Atalanta , 1-1 , Siena
18 , Atalanta , 0-1 , Udinese
19 , Bologna , 2-1 , Atalanta
20 , Bologna , 1-2 , Brescia
21 , Bologna , 1-0 , Cagliari
22 , Bologna , 3-1 , Chievo
23 , Bologna , 0-0 , Fiorentina
24 , Bologna , 0-1 , Internazionale
25 , Bologna , 0-1 , Juventus
26 , Bologna , 1-2 , Lazio
27 , Bologna , 0-0 , Lecce
28 , Bologna , 0-0 , Livorno
29 , Bologna , 2-2 , Messina
30 , Bologna , 0-2 , Milan
31 , Bologna , 1-1 , Palermo
32 , Bologna , 3-1 , Parma
33 , Bologna , 2-0 , Reggina
34 , Bologna , 3-1 , Roma
35 , Bologna , 0-0 , Sampdoria
36 , Bologna , 1-1 , Siena
37 , Bologna , 0-1 , Udinese
38 , Brescia , 1-0 , Atalanta
39 , Brescia , 1-1 , Bologna
40 , Brescia , 2-0 , Cagliari
41 , Brescia , 1-0 , Chievo
42 , Brescia , 1-1 , Fiorentina
43 , Brescia , 0-3 , Internazionale
44 , Brescia , 0-3 , Juventus
45 , Brescia , 0-2 , Lazio
46 , Brescia , 0-1 , Lecce
47 , Brescia , 2-3 , Livorno
48 , Brescia , 2-1 , Messina
49 , Brescia , 0-0 , Milan
50 , Brescia , 0-2 , Palermo
51 , Brescia , 3-1 , Parma
52 , Brescia , 2-0 , Reggina
53 , Brescia , 0-1 , Roma
54 , Brescia , 0-1 , Sampdoria
55 , Brescia , 0-1 , Siena
56 , Brescia , 0-1 , Udinese
57 , Cagliari , 3-3 , Atalanta
58 , Cagliari , 1-0 , Bologna
59 , Cagliari , 2-1 , Brescia
60 , Cagliari , 4-2 , Chievo
61 , Cagliari , 1-0 , Fiorentina
62 , Cagliari , 3-3 , Internazionale
63 , Cagliari , 1-1 , Juventus
64 , Cagliari , 1-1 , Lazio
65 , Cagliari , 3-1 , Lecce
66 , Cagliari , 0-0 , Livorno
67 , Cagliari , 2-1 , Messina
68 , Cagliari , 0-1 , Milan
69 , Cagliari , 0-0 , Palermo
70 , Cagliari , 2-1 , Parma
71 , Cagliari , 1-1 , Reggina
72 , Cagliari , 3-0 , Roma
73 , Cagliari , 0-0 , Sampdoria
74 , Cagliari , 2-0 , Siena
75 , Cagliari , 1-1 , Udinese
76 , Chievo , 1-0 , Atalanta
77 , Chievo , 1-0 , Bologna
78 , Chievo , 3-1 , Brescia
79 , Chievo , 1-1 , Cagliari
80 , Chievo , 1-2 , Fiorentina
81 , Chievo , 2-2 , Internazionale
82 , Chievo , 0-1 , Juventus
83 , Chievo , 0-1 , Lazio
84 , Chievo , 2-1 , Lecce
85 , Chievo , 1-0 , Livorno
86 , Chievo , 1-0 , Messina
87 , Chievo , 0-1 , Milan
88 , Chievo , 2-1 , Palermo
89 , Chievo , 2-0 , Parma
90 , Chievo , 0-0 , Reggina
91 , Chievo , 2-2 , Roma
92 , Chievo , 0-2 , Sampdoria
93 , Chievo , 1-3 , Siena
94 , Chievo , 0-0 , Udinese
95 , Fiorentina , 0-0 , Atalanta
96 , Fiorentina , 1-0 , Bologna
97 , Fiorentina , 3-0 , Brescia
98 , Fiorentina , 2-1 , Cagliari
99 , Fiorentina , 2-0 , Chievo
100 , Fiorentina , 1-1 , Internazionale
101 , Fiorentina , 3-3 , Juventus
102 , Fiorentina , 2-3 , Lazio
103 , Fiorentina , 4-0 , Lecce
104 , Fiorentina , 1-1 , Livorno
105 , Fiorentina , 1-1 , Messina
106 , Fiorentina , 1-2 , Milan
107 , Fiorentina , 1-2 , Palermo
108 , Fiorentina , 2-1 , Parma
109 , Fiorentina , 2-1 , Reggina
110 , Fiorentina , 1-2 , Roma
111 , Fiorentina , 0-2 , Sampdoria
112 , Fiorentina , 0-0 , Siena
113 , Fiorentina , 2-2 , Udinese
114 , Internazionale , 1-0 , Atalanta
115 , Internazionale , 2-2 , Bologna
116 , Internazionale , 1-0 , Brescia
117 , Internazionale , 2-0 , Cagliari
118 , Internazionale , 1-1 , Chievo
119 , Internazionale , 3-2 , Fiorentina
120 , Internazionale , 2-2 , Juventus
121 , Internazionale , 1-1 , Lazio
122 , Internazionale , 2-1 , Lecce
123 , Internazionale , 1-0 , Livorno
124 , Internazionale , 5-0 , Messina
125 , Internazionale , 0-1 , Milan
126 , Internazionale , 1-1 , Palermo
127 , Internazionale , 2-2 , Parma
128 , Internazionale , 0-0 , Reggina
129 , Internazionale , 2-0 , Roma
130 , Internazionale , 3-2 , Sampdoria
131 , Internazionale , 2-0 , Siena
132 , Internazionale , 3-1 , Udinese
133 , Juventus , 2-0 , Atalanta
134 , Juventus , 2-1 , Bologna
135 , Juventus , 2-0 , Brescia
136 , Juventus , 4-2 , Cagliari
137 , Juventus , 3-0 , Chievo
138 , Juventus , 1-0 , Fiorentina
139 , Juventus , 0-1 , Internazionale
140 , Juventus , 2-1 , Lazio
141 , Juventus , 5-2 , Lecce
142 , Juventus , 4-2 , Livorno
143 , Juventus , 2-1 , Messina
144 , Juventus , 0-0 , Milan
145 , Juventus , 1-1 , Palermo
146 , Juventus , 2-0 , Parma
147 , Juventus , 1-0 , Reggina
148 , Juventus , 2-0 , Roma
149 , Juventus , 0-1 , Sampdoria
150 , Juventus , 3-0 , Siena
151 , Juventus , 2-1 , Udinese
152 , Lazio , 2-1 , Atalanta
153 , Lazio , 2-1 , Bologna
154 , Lazio , 0-0 , Brescia
155 , Lazio , 2-3 , Cagliari
156 , Lazio , 0-1 , Chievo
157 , Lazio , 1-1 , Fiorentina
158 , Lazio , 1-1 , Internazionale
159 , Lazio , 0-1 , Juventus
160 , Lazio , 3-3 , Lecce
161 , Lazio , 3-1 , Livorno
162 , Lazio , 2-0 , Messina
163 , Lazio , 1-2 , Milan
164 , Lazio , 1-3 , Palermo
165 , Lazio , 2-0 , Parma
166 , Lazio , 1-1 , Reggina
167 , Lazio , 3-1 , Roma
168 , Lazio , 1-2 , Sampdoria
169 , Lazio , 1-1 , Siena
170 , Lazio , 0-1 , Udinese
171 , Lecce , 1-0 , Atalanta
172 , Lecce , 1-1 , Bologna
173 , Lecce , 4-1 , Brescia
174 , Lecce , 3-1 , Cagliari
175 , Lecce , 3-0 , Chievo
176 , Lecce , 2-2 , Fiorentina
177 , Lecce , 2-2 , Internazionale
178 , Lecce , 0-1 , Juventus
179 , Lecce , 5-3 , Lazio
180 , Lecce , 3-2 , Livorno
181 , Lecce , 1-0 , Messina
182 , Lecce , 2-2 , Milan
183 , Lecce , 2-0 , Palermo
184 , Lecce , 3-3 , Parma
185 , Lecce , 1-1 , Reggina
186 , Lecce , 1-1 , Roma
187 , Lecce , 1-4 , Sampdoria
188 , Lecce , 2-2 , Siena
189 , Lecce , 3-4 , Udinese
190 , Livorno , 1-1 , Atalanta
191 , Livorno , 1-0 , Bologna
192 , Livorno , 2-1 , Brescia
193 , Livorno , 3-3 , Cagliari
194 , Livorno , 1-2 , Chievo
195 , Livorno , 2-0 , Fiorentina
196 , Livorno , 0-2 , Internazionale
197 , Livorno , 2-2 , Juventus
198 , Livorno , 1-0 , Lazio
199 , Livorno , 1-0 , Lecce
200 , Livorno , 3-1 , Messina
201 , Livorno , 1-0 , Milan
202 , Livorno , 2-2 , Palermo
203 , Livorno , 2-0 , Parma
204 , Livorno , 1-1 , Reggina
205 , Livorno , 0-2 , Roma
206 , Livorno , 1-0 , Sampdoria
207 , Livorno , 3-6 , Siena
208 , Livorno , 1-2 , Udinese
209 , Messina , 1-0 , Atalanta
210 , Messina , 0-0 , Bologna
211 , Messina , 2-0 , Brescia
212 , Messina , 2-1 , Cagliari
213 , Messina , 0-0 , Chievo
214 , Messina , 1-1 , Fiorentina
215 , Messina , 2-1 , Internazionale
216 , Messina , 0-0 , Juventus
217 , Messina , 1-0 , Lazio
218 , Messina , 1-4 , Lecce
219 , Messina , 1-1 , Livorno
220 , Messina , 1-4 , Milan
221 , Messina , 0-0 , Palermo
222 , Messina , 1-0 , Parma
223 , Messina , 2-1 , Reggina
224 , Messina , 4-3 , Roma
225 , Messina , 2-2 , Sampdoria
226 , Messina , 4-1 , Siena
227 , Messina , 1-0 , Udinese
228 , Milan , 3-0 , Atalanta
229 , Milan , 0-1 , Bologna
230 , Milan , 1-1 , Brescia
231 , Milan , 1-0 , Cagliari
232 , Milan , 1-0 , Chievo
233 , Milan , 6-0 , Fiorentina
234 , Milan , 0-0 , Internazionale
235 , Milan , 0-1 , Juventus
236 , Milan , 2-1 , Lazio
237 , Milan , 5-2 , Lecce
238 , Milan , 2-2 , Livorno
239 , Milan , 1-2 , Messina
240 , Milan , 3-3 , Palermo
241 , Milan , 3-0 , Parma
242 , Milan , 3-1 , Reggina
243 , Milan , 1-1 , Roma
244 , Milan , 1-0 , Sampdoria
245 , Milan , 2-1 , Siena
246 , Milan , 3-1 , Udinese
247 , Palermo , 1-0 , Atalanta
248 , Palermo , 1-0 , Bologna
249 , Palermo , 3-3 , Brescia
250 , Palermo , 3-0 , Cagliari
251 , Palermo , 2-2 , Chievo
252 , Palermo , 0-0 , Fiorentina
253 , Palermo , 0-2 , Internazionale
254 , Palermo , 1-0 , Juventus
255 , Palermo , 3-3 , Lazio
256 , Palermo , 3-2 , Lecce
257 , Palermo , 1-2 , Livorno
258 , Palermo , 2-1 , Messina
259 , Palermo , 0-0 , Milan
260 , Palermo , 1-1 , Parma
261 , Palermo , 1-1 , Reggina
262 , Palermo , 2-0 , Roma
263 , Palermo , 2-0 , Sampdoria
264 , Palermo , 1-0 , Siena
265 , Palermo , 1-5 , Udinese
266 , Parma , 2-2 , Atalanta
267 , Parma , 1-2 , Bologna
268 , Parma , 2-1 , Brescia
269 , Parma , 3-2 , Cagliari
270 , Parma , 2-2 , Chievo
271 , Parma , 0-0 , Fiorentina
272 , Parma , 2-2 , Internazionale
273 , Parma , 1-1 , Juventus
274 , Parma , 3-1 , Lazio
275 , Parma , 2-1 , Lecce
276 , Parma , 6-4 , Livorno
277 , Parma , 0-0 , Messina
278 , Parma , 1-2 , Milan
279 , Parma , 3-3 , Palermo
280 , Parma , 1-0 , Reggina
281 , Parma , 2-1 , Roma
282 , Parma , 1-1 , Sampdoria
283 , Parma , 0-0 , Siena
284 , Parma , 1-0 , Udinese
285 , Reggina , 0-0 , Atalanta
286 , Reggina , 1-1 , Bologna
287 , Reggina , 1-3 , Brescia
288 , Reggina , 3-2 , Cagliari
289 , Reggina , 1-0 , Chievo
290 , Reggina , 1-2 , Fiorentina
291 , Reggina , 0-0 , Internazionale
292 , Reggina , 2-1 , Juventus
293 , Reggina , 2-1 , Lazio
294 , Reggina , 2-2 , Lecce
295 , Reggina , 2-1 , Livorno
296 , Reggina , 0-2 , Messina
297 , Reggina , 0-1 , Milan
298 , Reggina , 1-0 , Palermo
299 , Reggina , 1-3 , Parma
300 , Reggina , 1-0 , Roma
301 , Reggina , 0-1 , Sampdoria
302 , Reggina , 3-3 , Siena
303 , Reggina , 0-0 , Udinese
304 , Roma , 2-1 , Atalanta
305 , Roma , 1-1 , Bologna
306 , Roma , 2-2 , Brescia
307 , Roma , 5-1 , Cagliari
308 , Roma , 0-0 , Chievo
309 , Roma , 1-0 , Fiorentina
310 , Roma , 3-3 , Internazionale
311 , Roma , 1-2 , Juventus
312 , Roma , 0-0 , Lazio
313 , Roma , 2-2 , Lecce
314 , Roma , 3-0 , Livorno
315 , Roma , 3-2 , Messina
316 , Roma , 0-2 , Milan
317 , Roma , 1-1 , Palermo
318 , Roma , 5-1 , Parma
319 , Roma , 1-2 , Reggina
320 , Roma , 1-1 , Sampdoria
321 , Roma , 0-2 , Siena
322 , Roma , 0-3 , Udinese
323 , Sampdoria , 1-2 , Atalanta
324 , Sampdoria , 0-0 , Bologna
325 , Sampdoria , 0-1 , Brescia
326 , Sampdoria , 0-0 , Cagliari
327 , Sampdoria , 1-0 , Chievo
328 , Sampdoria , 3-0 , Fiorentina
329 , Sampdoria , 0-1 , Internazionale
330 , Sampdoria , 0-3 , Juventus
331 , Sampdoria , 0-1 , Lazio
332 , Sampdoria , 3-0 , Lecce
333 , Sampdoria , 2-0 , Livorno
334 , Sampdoria , 1-0 , Messina
335 , Sampdoria , 0-1 , Milan
336 , Sampdoria , 1-0 , Palermo
337 , Sampdoria , 1-0 , Parma
338 , Sampdoria , 3-2 , Reggina
339 , Sampdoria , 2-1 , Roma
340 , Sampdoria , 1-1 , Siena
341 , Sampdoria , 2-0 , Udinese
342 , Siena , 2-1 , Atalanta
343 , Siena , 1-1 , Bologna
344 , Siena , 2-3 , Brescia
345 , Siena , 2-2 , Cagliari
346 , Siena , 0-1 , Chievo
347 , Siena , 1-0 , Fiorentina
348 , Siena , 2-2 , Internazionale
349 , Siena , 0-3 , Juventus
350 , Siena , 1-0 , Lazio
351 , Siena , 1-1 , Lecce
352 , Siena , 1-1 , Livorno
353 , Siena , 2-2 , Messina
354 , Siena , 2-1 , Milan
355 , Siena , 0-0 , Palermo
356 , Siena , 0-1 , Parma
357 , Siena , 0-0 , Reggina
358 , Siena , 0-4 , Roma
359 , Siena , 2-1 , Sampdoria
360 , Siena , 2-3 , Udinese
361 , Udinese , 2-1 , Atalanta
362 , Udinese , 0-1 , Bologna
363 , Udinese , 1-2 , Brescia
364 , Udinese , 2-0 , Cagliari
365 , Udinese , 3-0 , Chievo
366 , Udinese , 2-2 , Fiorentina
367 , Udinese , 1-1 , Internazionale
368 , Udinese , 0-1 , Juventus
369 , Udinese , 3-0 , Lazio
370 , Udinese , 2-1 , Lecce
371 , Udinese , 1-1 , Livorno
372 , Udinese , 1-1 , Messina
373 , Udinese , 1-1 , Milan
374 , Udinese , 1-0 , Palermo
375 , Udinese , 4-0 , Parma
376 , Udinese , 0-2 , Reggina
377 , Udinese , 3-3 , Roma
378 , Udinese , 1-1 , Sampdoria
379 , Udinese , 1-0 , Siena
shortNames:,,Home ╲ Away,Atalanta !ATA,Bologna !BOL,Brescia !BRE,Cagliari !CAG,Chievo !CHV,Fiorentina !FIO,Internazionale !INT,Juventus !JUV,Lazio !LAZ,Lecce !LCE,Livorno !LIV,Messina !MES,Milan !MIL,Palermo !PAL,Parma !PAR,Reggina !REG,Roma !ROM,Sampdoria !SAM,Siena !SIE,Udinese !UDI
fullNames:,,Atalanta,Bologna,Brescia,Cagliari,Chievo,Fiorentina,Internazionale,Juventus,Lazio,Lecce,Livorno,Messina,Milan,Palermo,Parma,Reggina,Roma,Sampdoria,Siena,Udinese
