0 , Arsenal , 1-1 , Aston Villa
1 , Arsenal , 6-2 , Blackburn Rovers
2 , Arsenal , 2-1 , Bolton Wanderers
3 , Arsenal , 4-0 , Charlton Athletic
4 , Arsenal , 1-1 , Chelsea
5 , Arsenal , 1-1 , Everton
6 , Arsenal , 3-1 , Fulham
7 , Arsenal , 3-0 , Liverpool
8 , Arsenal , 3-1 , Manchester City
9 , Arsenal , 2-1 , Manchester United
10 , Arsenal , 1-1 , Middlesbrough
11 , Arsenal , 1-1 , Newcastle United
12 , Arsenal , 2-2 , Portsmouth
13 , Arsenal , 2-1 , Reading
14 , Arsenal , 3-0 , Sheffield United
15 , Arsenal , 3-0 , Tottenham Hotspur
16 , Arsenal , 3-0 , Watford
17 , Arsenal , 0-1 , West Ham United
18 , Arsenal , 2-1 , Wigan Athletic
19 , Aston Villa , 0-1 , Arsenal
20 , Aston Villa , 2-0 , Blackburn Rovers
21 , Aston Villa , 0-1 , Bolton Wanderers
22 , Aston Villa , 2-0 , Charlton Athletic
23 , Aston Villa , 0-0 , Chelsea
24 , Aston Villa , 1-1 , Everton
25 , Aston Villa , 1-1 , Fulham
26 , Aston Villa , 0-0 , Liverpool
27 , Aston Villa , 1-3 , Manchester City
28 , Aston Villa , 0-3 , Manchester United
29 , Aston Villa , 1-1 , Middlesbrough
30 , Aston Villa , 2-0 , Newcastle United
31 , Aston Villa , 0-0 , Portsmouth
32 , Aston Villa , 2-1 , Reading
33 , Aston Villa , 3-0 , Sheffield United
34 , Aston Villa , 1-1 , Tottenham Hotspur
35 , Aston Villa , 2-0 , Watford
36 , Aston Villa , 1-0 , West Ham United
37 , Aston Villa , 1-1 , Wigan Athletic
38 , Blackburn Rovers , 0-2 , Arsenal
39 , Blackburn Rovers , 1-2 , Aston Villa
40 , Blackburn Rovers , 0-1 , Bolton Wanderers
41 , Blackburn Rovers , 4-1 , Charlton Athletic
42 , Blackburn Rovers , 0-2 , Chelsea
43 , Blackburn Rovers , 1-1 , Everton
