0 , Almería , 1-3 , Athletic Bilbao
1 , Almería , 2-2 , Atlético Madrid
2 , Almería , 0-8 , Barcelona
3 , Almería , 1-1 , Deportivo La Coruña
4 , Almería , 3-2 , Espanyol
5 , Almería , 2-3 , Getafe
6 , Almería , 1-1 , Hércules
7 , Almería , 0-1 , Levante
8 , Almería , 1-1 , Málaga
9 , Almería , 3-1 , Mallorca
10 , Almería , 3-2 , Osasuna
11 , Almería , 1-1 , Racing Santander
12 , Almería , 1-1 , Real Madrid
13 , Almería , 2-2 , Real Sociedad
14 , Almería , 0-1 , Sevilla
15 , Almería , 1-1 , Sporting de Gijón
16 , Almería , 0-3 , Valencia
17 , Almería , 0-0 , Villarreal
18 , Almería , 1-1 , Zaragoza
19 , Athletic Bilbao , 1-0 , Almería
20 , Athletic Bilbao , 1-2 , Atlético Madrid
21 , Athletic Bilbao , 1-3 , Barcelona
22 , Athletic Bilbao , 1-2 , Deportivo La Coruña
23 , Athletic Bilbao , 2-1 , Espanyol
24 , Athletic Bilbao , 3-0 , Getafe
25 , Athletic Bilbao , 3-0 , Hércules
26 , Athletic Bilbao , 3-2 , Levante
27 , Athletic Bilbao , 1-1 , Málaga
28 , Athletic Bilbao , 3-0 , Mallorca
29 , Athletic Bilbao , 1-0 , Osasuna
30 , Athletic Bilbao , 2-1 , Racing Santander
31 , Athletic Bilbao , 0-3 , Real Madrid
32 , Athletic Bilbao , 2-1 , Real Sociedad
33 , Athletic Bilbao , 2-0 , Sevilla
34 , Athletic Bilbao , 3-0 , Sporting de Gijón
35 , Athletic Bilbao , 1-2 , Valencia
36 , Athletic Bilbao , 0-1 , Villarreal
37 , Athletic Bilbao , 2-1 , Zaragoza
38 , Atlético Madrid , 1-1 , Almería
39 , Atlético Madrid , 0-2 , Athletic Bilbao
40 , Atlético Madrid , 1-2 , Barcelona
41 , Atlético Madrid , 2-0 , Deportivo La Coruña
42 , Atlético Madrid , 2-3 , Espanyol
43 , Atlético Madrid , 2-0 , Getafe
44 , Atlético Madrid , 2-1 , Hércules
45 , Atlético Madrid , 4-1 , Levante
46 , Atlético Madrid , 0-3 , Málaga
47 , Atlético Madrid , 3-0 , Mallorca
48 , Atlético Madrid , 3-0 , Osasuna
49 , Atlético Madrid , 0-0 , Racing Santander
50 , Atlético Madrid , 1-2 , Real Madrid
51 , Atlético Madrid , 3-0 , Real Sociedad
52 , Atlético Madrid , 2-2 , Sevilla
53 , Atlético Madrid , 4-0 , Sporting de Gijón
54 , Atlético Madrid , 1-2 , Valencia
55 , Atlético Madrid , 3-1 , Villarreal
56 , Atlético Madrid , 1-0 , Zaragoza
57 , Barcelona , 3-1 , Almería
58 , Barcelona , 2-1 , Athletic Bilbao
59 , Barcelona , 3-0 , Atlético Madrid
60 , Barcelona , 0-0 , Deportivo La Coruña
61 , Barcelona , 2-0 , Espanyol
62 , Barcelona , 2-1 , Getafe
63 , Barcelona , 0-2 , Hércules
64 , Barcelona , 2-1 , Levante
65 , Barcelona , 4-1 , Málaga
66 , Barcelona , 1-1 , Mallorca
67 , Barcelona , 2-0 , Osasuna
68 , Barcelona , 3-0 , Racing Santander
69 , Barcelona , 5-0 , Real Madrid
70 , Barcelona , 5-0 , Real Sociedad
71 , Barcelona , 5-0 , Sevilla
72 , Barcelona , 1-0 , Sporting de Gijón
73 , Barcelona , 2-1 , Valencia
74 , Barcelona , 3-1 , Villarreal
75 , Barcelona , 1-0 , Zaragoza
76 , Deportivo La Coruña , 0-2 , Almería
77 , Deportivo La Coruña , 2-1 , Athletic Bilbao
78 , Deportivo La Coruña , 0-1 , Atlético Madrid
79 , Deportivo La Coruña , 0-4 , Barcelona
80 , Deportivo La Coruña , 3-0 , Espanyol
81 , Deportivo La Coruña , 2-2 , Getafe
82 , Deportivo La Coruña , 1-0 , Hércules
83 , Deportivo La Coruña , 0-1 , Levante
84 , Deportivo La Coruña , 3-0 , Málaga
85 , Deportivo La Coruña , 2-1 , Mallorca
86 , Deportivo La Coruña , 0-0 , Osasuna
87 , Deportivo La Coruña , 2-0 , Racing Santander
88 , Deportivo La Coruña , 0-0 , Real Madrid
89 , Deportivo La Coruña , 2-1 , Real Sociedad
90 , Deportivo La Coruña , 3-3 , Sevilla
91 , Deportivo La Coruña , 1-1 , Sporting de Gijón
92 , Deportivo La Coruña , 0-2 , Valencia
93 , Deportivo La Coruña , 1-0 , Villarreal
94 , Deportivo La Coruña , 0-0 , Zaragoza
95 , Espanyol , 1-0 , Almería
96 , Espanyol , 2-1 , Athletic Bilbao
97 , Espanyol , 2-2 , Atlético Madrid
98 , Espanyol , 1-5 , Barcelona
99 , Espanyol , 2-0 , Deportivo La Coruña
100 , Espanyol , 3-1 , Getafe
101 , Espanyol , 3-0 , Hércules
102 , Espanyol , 2-1 , Levante
103 , Espanyol , 1-0 , Málaga
104 , Espanyol , 1-2 , Mallorca
105 , Espanyol , 1-0 , Osasuna
106 , Espanyol , 1-2 , Racing Santander
107 , Espanyol , 0-1 , Real Madrid
108 , Espanyol , 4-1 , Real Sociedad
109 , Espanyol , 2-3 , Sevilla
110 , Espanyol , 1-0 , Sporting de Gijón
111 , Espanyol , 2-2 , Valencia
112 , Espanyol , 0-1 , Villarreal
113 , Espanyol , 4-0 , Zaragoza
114 , Getafe , 2-0 , Almería
115 , Getafe , 2-2 , Athletic Bilbao
116 , Getafe , 1-1 , Atlético Madrid
117 , Getafe , 1-3 , Barcelona
118 , Getafe , 4-1 , Deportivo La Coruña
119 , Getafe , 1-3 , Espanyol
120 , Getafe , 3-0 , Hércules
121 , Getafe , 4-1 , Levante
122 , Getafe , 0-2 , Málaga
123 , Getafe , 3-0 , Mallorca
124 , Getafe , 2-0 , Osasuna
125 , Getafe , 0-1 , Racing Santander
126 , Getafe , 2-3 , Real Madrid
127 , Getafe , 0-4 , Real Sociedad
128 , Getafe , 1-0 , Sevilla
